t,v,vw,o,c,h,l,n
2023-08-07 09:03:00,10.0,1.051,1.051,1.051,1.051,1.051,1
2023-08-07 09:08:00,100.0,1.06,1.06,1.06,1.06,1.06,4
2023-08-07 11:51:00,910.7,1.045,1.045,1.045,1.045,1.045,3
2023-08-07 11:56:00,50.0,1.049,1.049,1.049,1.049,1.049,2
2023-08-07 12:00:00,250.0,1.057,1.06,1.045,1.06,1.045,3
2023-08-07 12:03:00,251.0,1.05,1.05,1.05,1.05,1.05,3
2023-08-07 12:05:00,2580.4,1.041,1.041,1.041,1.041,1.041,5
2023-08-07 12:11:00,644.9,1.031,1.037,1.0305,1.037,1.0305,5
2023-08-07 12:12:00,10.0,1.031,1.031,1.031,1.031,1.031,1
2023-08-07 12:14:00,5116.3,1.026,1.03,1.025,1.03,1.024,28
2023-08-07 12:15:00,1118.3,1.022,1.022,1.022,1.022,1.022,2
2023-08-07 12:22:00,280.4,1.044,1.044,1.044,1.044,1.044,2
2023-08-07 12:31:00,17.5,1.044,1.044,1.044,1.044,1.044,3
2023-08-07 12:43:00,18.0,1.043,1.043,1.043,1.043,1.043,1
2023-08-07 12:48:00,1500.0,1.028,1.028,1.028,1.028,1.028,1
2023-08-07 13:06:00,40.0,1.043,1.043,1.043,1.043,1.043,1
2023-08-07 13:10:00,2222.2,1.047,1.042,1.048,1.048,1.042,11
2023-08-07 13:15:00,562.2,1.028,1.028,1.028,1.028,1.028,1
2023-08-07 13:17:00,190.0,1.051,1.047,1.054,1.055,1.047,11
2023-08-07 13:20:00,250.0,1.03,1.03,1.03,1.03,1.03,1
2023-08-07 13:30:00,2746.3,1.036,1.04,1.05,1.05,1.03,12
2023-08-07 13:31:00,588.9,1.03,1.03,1.03,1.03,1.03,3
2023-08-07 13:32:00,149.8,1.037,1.035,1.0476,1.0476,1.035,2
2023-08-07 13:33:00,100.7,1.042,1.042,1.042,1.042,1.042,2
2023-08-07 13:35:00,200.0,1.04,1.04,1.04,1.04,1.04,1
2023-08-07 13:37:00,60.1,1.036,1.037,1.037,1.037,1.037,19
2023-08-07 13:38:00,10.1,1.04,1.04,1.04,1.04,1.04,2
2023-08-07 13:39:00,20.0,1.048,1.0476,1.0476,1.0476,1.0476,1
2023-08-07 13:40:00,400.0,1.04,1.04,1.04,1.04,1.04,6
2023-08-07 13:43:00,301.1,1.041,1.041,1.047,1.047,1.04,12
2023-08-07 13:45:00,103.4,1.04,1.04,1.04,1.04,1.04,9
2023-08-07 13:46:00,220.2,1.031,1.036,1.03,1.036,1.03,19
2023-08-07 13:48:00,3015.0,1.027,1.03,1.022,1.03,1.022,29
2023-08-07 13:49:00,70557.5,0.9984,1.022,0.92,1.0221,0.914,308
2023-08-07 13:50:00,3619.9,0.931,0.966,0.938,0.966,0.925,9
2023-08-07 13:51:00,7827.5,0.9683,0.96,0.968,0.97,0.96,395
2023-08-07 13:52:00,9616.5,0.9621,0.969,1.0,1.0,0.96,29
2023-08-07 13:53:00,6453.3,0.9681,0.987,0.986,1.0,0.938,172
2023-08-07 13:54:00,4184.5,0.9943,0.986,0.998,0.999,0.976,117
2023-08-07 13:55:00,3780.7,0.9801,0.975,0.998,0.998,0.95,6
2023-08-07 13:56:00,1000.3,0.9867,0.998,0.997,0.998,0.976,7
2023-08-07 13:57:00,10.0,0.998,0.998,0.998,0.998,0.998,1
2023-08-07 13:58:00,900.8,0.9868,0.99,0.989,0.998,0.984,14
2023-08-07 13:59:00,410.0,0.9705,0.989,0.97,0.989,0.97,4
2023-08-07 14:00:00,2306.6,0.9531,0.969,0.9605,0.969,0.952,13
2023-08-07 14:02:00,2132.1,0.9615,0.97,0.969,0.97,0.961,8
2023-08-07 14:03:00,5010.0,0.951,0.96,0.97,0.97,0.95,21
2023-08-07 14:04:00,5662.4,0.9543,0.964,0.961,0.964,0.95,39
2023-08-07 14:06:00,1000.0,0.952,0.952,0.952,0.952,0.952,1
2023-08-07 14:07:00,2565.1,0.9555,0.961,0.97,0.97,0.95,17
2023-08-07 14:08:00,1722.5,0.9685,0.961,0.9619,0.97,0.961,14
2023-08-07 14:09:00,247.0,0.9662,0.969,0.965,0.97,0.965,4
2023-08-07 14:10:00,254.2,0.9625,0.965,0.96,0.965,0.96,5
2023-08-07 14:11:00,8130.4,0.9502,0.96,0.95,0.96,0.95,35
2023-08-07 14:12:00,13116.4,0.9359,0.946,0.933,0.948,0.933,46
2023-08-07 14:14:00,831.0,0.9442,0.942,0.94,0.949,0.94,8
2023-08-07 14:15:00,1634.1,0.9449,0.944,0.945,0.945,0.944,14
2023-08-07 14:16:00,836.1,0.9432,0.942,0.94,0.945,0.939,16
2023-08-07 14:17:00,2910.0,0.9411,0.945,0.94,0.945,0.935,26
2023-08-07 14:18:00,1431.4,0.9447,0.945,0.945,0.945,0.944,18
2023-08-07 14:19:00,1327.8,0.9422,0.945,0.938,0.945,0.93,18
2023-08-07 14:20:00,613.7,0.945,0.945,0.945,0.945,0.945,2
2023-08-07 14:21:00,1702.8,0.9388,0.945,0.944,0.945,0.935,8
2023-08-07 14:22:00,921.5,0.9423,0.943,0.942,0.943,0.9395,6
2023-08-07 14:23:00,5401.0,0.9347,0.9409,0.942,0.943,0.931,26
2023-08-07 14:24:00,357.7,0.9388,0.931,0.939,0.94,0.931,3
2023-08-07 14:25:00,5246.8,0.9323,0.93,0.936,0.936,0.925,27
2023-08-07 14:26:00,1972.2,0.931,0.93,0.939,0.94,0.928,16
2023-08-07 14:27:00,3426.7,0.9281,0.928,0.928,0.93,0.928,12
2023-08-07 14:28:00,12738.8,0.925,0.93,0.92,0.93,0.92,34
2023-08-07 14:29:00,12178.1,0.9081,0.92,0.919,0.921,0.9,99
2023-08-07 14:30:00,5234.6,0.9051,0.917,0.9,0.918,0.9,44
2023-08-07 14:31:00,8278.4,0.9001,0.904,0.9,0.904,0.891,112
