t,v,vw,o,c,h,l,n
2023-10-02 12:51:00,100,20.0,20.0,20.0,20.0,20.0,1
2023-10-02 13:30:00,20576,20.0531,20.04,20.07,20.115,20.04,99
2023-10-02 13:31:00,3437,20.1006,20.09,20.12,20.12,20.07,39
2023-10-02 13:32:00,2676,20.1286,20.13,20.13,20.13,20.125,42
2023-10-02 13:33:00,1831,20.1194,20.12,20.11,20.13,20.1075,32
2023-10-02 13:34:00,6725,20.1087,20.1,20.1,20.11,20.1,83
2023-10-02 13:35:00,5833,20.1087,20.105,20.105,20.11,20.1001,79
2023-10-02 13:36:00,22123,20.1338,20.1,20.15,20.17,20.1,242
2023-10-02 13:37:00,2296,20.1463,20.145,20.14,20.15,20.14,46
2023-10-02 13:38:00,5561,20.1192,20.129,20.11,20.13,20.11,79
2023-10-02 13:39:00,5125,20.0931,20.09,20.1,20.1,20.09,78
2023-10-02 13:40:00,4058,20.0843,20.09,20.09,20.1,20.08,67
2023-10-02 13:41:00,3350,20.0933,20.09,20.08,20.1,20.08,66
2023-10-02 13:42:00,4059,20.0715,20.07,20.08,20.08,20.06,71
2023-10-02 13:43:00,3756,20.0737,20.085,20.08,20.085,20.065,64
2023-10-02 13:44:00,3044,20.0871,20.09,20.075,20.1,20.075,55
2023-10-02 13:45:00,4665,20.0411,20.07,20.015,20.07,20.015,69
2023-10-02 13:46:00,20717,20.0264,20.02,20.045,20.06,20.01,234
2023-10-02 13:47:00,4797,20.032,20.04,20.04,20.04,20.025,76
2023-10-02 13:48:00,614,20.0359,20.04,20.035,20.04,20.03,13
2023-10-02 13:49:00,10877,20.0227,20.03,20.04,20.04,20.01,132
2023-10-02 13:50:00,16770,20.0282,20.035,20.02,20.04,20.02,165
2023-10-02 13:51:00,2014,20.0295,20.03,20.025,20.03,20.025,16
2023-10-02 13:52:00,2400,20.0264,20.02,20.025,20.03,20.02,42
2023-10-02 13:53:00,2301,20.0251,20.025,20.025,20.03,20.02,41
2023-10-02 13:54:00,8767,20.0375,20.025,20.04,20.05,20.02,91
2023-10-02 13:55:00,452,20.0309,20.03,20.03,20.03,20.03,11
2023-10-02 13:56:00,341,20.0369,20.04,20.03,20.04,20.03,15
2023-10-02 13:57:00,8445,20.0335,20.04,20.025,20.045,20.02,91
2023-10-02 13:58:00,3580,20.0308,20.03,20.03,20.04,20.03,34
2023-10-02 13:59:00,4191,20.0292,20.03,20.03,20.03,20.025,40
2023-10-02 14:00:00,15002,20.0279,20.02,20.06,20.06,20.01,151
2023-10-02 14:01:00,4857,20.0546,20.06,20.06,20.06,20.05,63
2023-10-02 14:02:00,5349,20.0753,20.07,20.08,20.08,20.07,74
2023-10-02 14:03:00,3375,20.0744,20.08,20.08,20.08,20.07,39
2023-10-02 14:04:00,395,20.0758,20.075,20.07,20.075,20.07,14
2023-10-02 14:05:00,7296,20.0731,20.07,20.08,20.08,20.06,111
2023-10-02 14:06:00,66102,20.0763,20.075,20.05,20.09,20.05,158
2023-10-02 14:07:00,1987,20.05,20.05,20.05,20.05,20.045,28
2023-10-02 14:08:00,14853,20.053,20.045,20.06,20.06,20.045,123
2023-10-02 14:09:00,11170,20.0526,20.06,20.06,20.06,20.05,98
2023-10-02 14:10:00,5024,20.0586,20.055,20.06,20.06,20.05,59
2023-10-02 14:11:00,3206,20.0649,20.06,20.07,20.07,20.06,37
2023-10-02 14:12:00,2474,20.0707,20.07,20.06,20.08,20.06,36
2023-10-02 14:13:00,1722,20.0558,20.06,20.05,20.06,20.05,36
2023-10-02 14:14:00,14878,20.0501,20.05,20.05,20.06,20.045,118
2023-10-02 14:15:00,7224,20.0537,20.05,20.06,20.06,20.05,58
2023-10-02 14:16:00,10644,20.0516,20.06,20.049,20.06,20.045,70
