t,v,vw,o,c,h,l,n
2023-08-21 11:12:00,400,11.8525,11.84,11.86,11.86,11.84,3
2023-08-21 11:13:00,1250,11.878,11.87,11.88,11.88,11.87,6
2023-08-21 11:14:00,2000,11.87,11.87,11.87,11.87,11.87,1
2023-08-21 11:22:00,1000,11.879,11.87,11.88,11.88,11.87,2
2023-08-21 11:30:00,400,11.87,11.87,11.87,11.87,11.87,1
2023-08-21 11:42:00,1000,11.86,11.86,11.86,11.86,11.86,2
2023-08-21 11:54:00,2116,11.8409,11.84,11.85,11.85,11.84,6
2023-08-21 12:00:00,4616,11.8105,11.81,11.81,11.81,11.81,4
2023-08-21 13:05:00,1700,11.8056,11.82,11.8,11.82,11.8,8
2023-08-21 13:07:00,284,11.81,11.81,11.81,11.81,11.81,2
2023-08-21 13:18:00,100,11.81,11.81,11.81,11.81,11.81,1
2023-08-21 13:27:00,649,11.8001,11.8,11.8,11.8,11.8,2
2023-08-21 13:30:00,53429,11.8568,11.85,11.87,11.88,11.84,222
2023-08-21 13:31:00,7423,11.877,11.87,11.895,11.895,11.87,68
2023-08-21 13:32:00,8446,11.8942,11.9,11.895,11.905,11.88,101
2023-08-21 13:33:00,2513,11.8871,11.9,11.875,11.9,11.875,46
2023-08-21 13:34:00,16113,11.8569,11.87,11.85,11.87,11.845,95
2023-08-21 13:35:00,18633,11.8477,11.85,11.855,11.86,11.83,103
2023-08-21 13:36:00,25457,11.8619,11.855,11.8688,11.87,11.85,195
2023-08-21 13:37:00,7517,11.8719,11.87,11.885,11.885,11.87,70
2023-08-21 13:38:00,5047,11.8864,11.88,11.88,11.89,11.88,62
2023-08-21 13:39:00,24273,11.8812,11.8799,11.875,11.89,11.87,91
2023-08-21 13:40:00,43240,11.8688,11.87,11.86,11.875,11.855,320
2023-08-21 13:41:00,22627,11.8541,11.86,11.865,11.865,11.85,141
2023-08-21 13:42:00,10647,11.876,11.86,11.885,11.885,11.86,54
2023-08-21 13:43:00,17278,11.8809,11.885,11.88,11.8899,11.88,128
2023-08-21 13:44:00,36467,11.8633,11.87,11.855,11.875,11.85,217
2023-08-21 13:45:00,10069,11.866,11.86,11.865,11.875,11.86,54
2023-08-21 13:46:00,18150,11.8531,11.865,11.855,11.865,11.85,115
2023-08-21 13:47:00,8264,11.8599,11.86,11.855,11.87,11.855,64
2023-08-21 13:48:00,24045,11.8446,11.85,11.865,11.87,11.83,136
2023-08-21 13:49:00,18585,11.8576,11.87,11.855,11.87,11.85,121
2023-08-21 13:50:00,11750,11.8603,11.855,11.86,11.87,11.855,112
2023-08-21 13:51:00,15439,11.8613,11.86,11.87,11.87,11.855,82
2023-08-21 13:52:00,23499,11.8615,11.865,11.85,11.87,11.85,124
2023-08-21 13:53:00,10767,11.8417,11.85,11.845,11.85,11.835,58
2023-08-21 13:54:00,32526,11.8385,11.845,11.84,11.8479,11.835,143
2023-08-21 13:55:00,12015,11.8399,11.84,11.84,11.84,11.835,75
2023-08-21 13:56:00,9523,11.8454,11.84,11.855,11.86,11.84,63
2023-08-21 13:57:00,10497,11.8505,11.85,11.86,11.86,11.845,85
2023-08-21 13:58:00,8939,11.8593,11.855,11.855,11.865,11.85,52
2023-08-21 13:59:00,4952,11.86,11.855,11.865,11.865,11.855,18
2023-08-21 14:00:00,29559,11.8583,11.86,11.865,11.87,11.85,175
2023-08-21 14:01:00,38001,11.8664,11.86,11.8705,11.88,11.85,115
2023-08-21 14:02:00,5068,11.8686,11.87,11.86,11.87,11.86,42
2023-08-21 14:03:00,1179,11.8615,11.86,11.86,11.86,11.86,20
2023-08-21 14:04:00,12049,11.8586,11.86,11.855,11.86,11.85,100
2023-08-21 14:05:00,49666,11.8572,11.855,11.8706,11.8706,11.85,226
2023-08-21 14:06:00,10059,11.8694,11.8756,11.87,11.88,11.865,44
2023-08-21 14:07:00,3750,11.869,11.87,11.87,11.87,11.865,28
2023-08-21 14:08:00,522,11.864,11.86,11.865,11.865,11.86,9
2023-08-21 14:09:00,5813,11.8625,11.865,11.86,11.87,11.86,80
2023-08-21 14:10:00,2400,11.8586,11.86,11.86,11.86,11.85,22
2023-08-21 14:11:00,21784,11.8467,11.8595,11.84,11.8595,11.84,176
2023-08-21 14:12:00,2479,11.8361,11.835,11.835,11.84,11.835,25
2023-08-21 14:13:00,18471,11.8304,11.8301,11.835,11.84,11.83,104
2023-08-21 14:14:00,11340,11.84,11.835,11.845,11.845,11.835,59
2023-08-21 14:15:00,6693,11.8351,11.84,11.84,11.845,11.83,60
2023-08-21 14:16:00,13729,11.8381,11.84,11.8342,11.845,11.83,59
2023-08-21 14:17:00,5048,11.839,11.835,11.84,11.84,11.835,23
2023-08-21 14:18:00,30396,11.8468,11.835,11.85,11.8599,11.835,178
2023-08-21 14:19:00,6599,11.853,11.855,11.85,11.855,11.85,38
2023-08-21 14:20:00,25527,11.8499,11.8586,11.855,11.8586,11.845,182
2023-08-21 14:21:00,11957,11.8509,11.855,11.85,11.855,11.85,72
2023-08-21 14:22:00,3844,11.8441,11.8401,11.85,11.85,11.8401,16
2023-08-21 14:23:00,5857,11.8499,11.85,11.85,11.85,11.8496,15
2023-08-21 14:24:00,27677,11.8398,11.845,11.83,11.85,11.83,172
2023-08-21 14:25:00,61419,11.8273,11.835,11.815,11.835,11.815,253
2023-08-21 14:26:00,11918,11.8121,11.82,11.81,11.82,11.81,64
2023-08-21 14:27:00,43516,11.8011,11.81,11.795,11.81,11.795,240
2023-08-21 14:28:00,13123,11.7959,11.795,11.79,11.8,11.79,46
2023-08-21 14:29:00,5163,11.7934,11.79,11.79,11.795,11.79,31
2023-08-21 14:30:00,43578,11.8009,11.79,11.795,11.81,11.79,228
2023-08-21 14:31:00,11651,11.8019,11.79,11.805,11.81,11.79,61
2023-08-21 14:32:00,21144,11.8096,11.805,11.805,11.815,11.805,99
2023-08-21 14:33:00,12338,11.8002,11.805,11.805,11.81,11.79,71
2023-08-21 14:34:00,5881,11.8008,11.805,11.8,11.805,11.8,45
2023-08-21 14:35:00,33755,11.8008,11.8079,11.805,11.81,11.79,149
2023-08-21 14:36:00,8869,11.8108,11.81,11.82,11.82,11.805,47
2023-08-21 14:37:00,22999,11.8242,11.815,11.825,11.83,11.815,72
2023-08-21 14:38:00,47972,11.8283,11.83,11.83,11.84,11.82,190
2023-08-21 14:39:00,1731,11.8241,11.83,11.82,11.83,11.82,19
2023-08-21 14:40:00,16482,11.8293,11.825,11.825,11.83,11.825,56
2023-08-21 14:41:00,13427,11.8178,11.825,11.815,11.825,11.81,70
2023-08-21 14:42:00,16763,11.8193,11.815,11.815,11.825,11.815,86
2023-08-21 14:43:00,7773,11.8231,11.8195,11.83,11.83,11.8195,33
2023-08-21 14:44:00,17553,11.8319,11.83,11.835,11.84,11.825,75
2023-08-21 14:45:00,5140,11.8339,11.8354,11.835,11.84,11.8301,29
2023-08-21 14:46:00,22321,11.8417,11.835,11.85,11.85,11.8301,66
2023-08-21 14:47:00,6322,11.847,11.85,11.845,11.85,11.84,33
2023-08-21 14:48:00,13057,11.8406,11.845,11.835,11.845,11.835,73
2023-08-21 14:49:00,10822,11.8403,11.835,11.84,11.845,11.835,61
2023-08-21 14:50:00,36101,11.8577,11.845,11.87,11.87,11.84,216
2023-08-21 14:51:00,19191,11.862,11.865,11.855,11.87,11.85,71
2023-08-21 14:52:00,1837,11.855,11.855,11.8553,11.8553,11.855,14
2023-08-21 14:53:00,18271,11.8601,11.855,11.865,11.865,11.855,60
2023-08-21 14:54:00,31480,11.8664,11.865,11.87,11.875,11.865,57
2023-08-21 14:55:00,13733,11.8776,11.8798,11.875,11.88,11.8708,27
2023-08-21 14:56:00,34412,11.8812,11.875,11.89,11.89,11.875,153
2023-08-21 14:57:00,19507,11.8885,11.89,11.89,11.89,11.8812,67
2023-08-21 14:58:00,5059,11.8879,11.89,11.89,11.89,11.8801,36
2023-08-21 14:59:00,57482,11.8832,11.89,11.875,11.9,11.875,226
2023-08-21 15:00:00,6367,11.8729,11.87,11.87,11.875,11.87,25
2023-08-21 15:01:00,1332,11.8753,11.87,11.8788,11.8788,11.87,17
2023-08-21 15:02:00,26717,11.887,11.8799,11.895,11.895,11.87,145
2023-08-21 15:03:00,1218,11.8884,11.89,11.89,11.895,11.89,10
2023-08-21 15:04:00,27700,11.8892,11.89,11.885,11.89,11.88,79
2023-08-21 15:05:00,31839,11.8897,11.885,11.9,11.9,11.8812,136
2023-08-21 15:06:00,12988,11.8996,11.9,11.905,11.905,11.895,74
2023-08-21 15:07:00,2690,11.9069,11.905,11.905,11.91,11.905,20
2023-08-21 15:08:00,3906,11.9055,11.905,11.9075,11.91,11.9,23
2023-08-21 15:09:00,6457,11.9072,11.905,11.9025,11.91,11.9,34
2023-08-21 15:10:00,29800,11.9009,11.905,11.9,11.91,11.9,167
2023-08-21 15:11:00,99791,11.9002,11.905,11.9,11.91,11.895,371
2023-08-21 15:12:00,8883,11.8953,11.895,11.895,11.9,11.89,36
2023-08-21 15:13:00,65465,11.8902,11.89,11.89,11.8959,11.885,249
2023-08-21 15:14:00,34091,11.8812,11.89,11.87,11.89,11.87,194
2023-08-21 15:15:00,9674,11.8666,11.87,11.86,11.87,11.86,75
2023-08-21 15:16:00,48606,11.8478,11.86,11.845,11.86,11.84,154
2023-08-21 15:17:00,16093,11.8495,11.85,11.845,11.85,11.845,121
2023-08-21 15:18:00,23956,11.8492,11.84,11.8496,11.8542,11.84,82
2023-08-21 15:19:00,20928,11.8479,11.85,11.83,11.855,11.83,110
2023-08-21 15:20:00,18374,11.8352,11.8309,11.84,11.84,11.83,100
2023-08-21 15:21:00,3165,11.8427,11.84,11.845,11.845,11.84,19
2023-08-21 15:22:00,12939,11.8403,11.84,11.845,11.845,11.84,48
2023-08-21 15:23:00,4113,11.8402,11.84,11.84,11.845,11.84,27
2023-08-21 15:24:00,49733,11.8407,11.84,11.84,11.85,11.83,169
2023-08-21 15:25:00,36948,11.8294,11.835,11.8308,11.8352,11.82,168
2023-08-21 15:26:00,18782,11.8311,11.84,11.83,11.84,11.82,83
2023-08-21 15:27:00,7950,11.8278,11.83,11.82,11.83,11.82,43
2023-08-21 15:28:00,27219,11.8279,11.825,11.825,11.835,11.82,170
2023-08-21 15:29:00,7095,11.8252,11.82,11.825,11.83,11.82,44
2023-08-21 15:30:00,29900,11.8318,11.83,11.835,11.84,11.825,141
2023-08-21 15:31:00,25226,11.839,11.8392,11.845,11.845,11.83,154
2023-08-21 15:32:00,23789,11.8497,11.84,11.855,11.855,11.84,108
2023-08-21 15:33:00,64554,11.851,11.86,11.85,11.86,11.85,156
