t,v,vw,o,c,h,l,n
2023-06-12 09:38:00,104,90.5,90.5,90.5,90.5,90.5,2
2023-06-12 10:28:00,311,90.2596,90.25,90.25,90.25,90.25,2
2023-06-12 11:04:00,543,90.2948,90.3,90.3,90.3,90.3,10
2023-06-12 11:34:00,505,90.112,90.11,90.11,90.11,90.11,5
2023-06-12 11:44:00,2053,90.3749,90.38,90.38,90.38,90.38,6
2023-06-12 11:50:00,100,90.44,90.44,90.44,90.44,90.44,1
2023-06-12 12:00:00,573,90.3332,90.29,90.5,90.5,90.05,22
2023-06-12 12:01:00,410,89.4505,89.18,89.18,89.18,89.18,19
2023-06-12 12:02:00,469,89.4301,89.4,89.4,89.4,89.4,10
2023-06-12 12:06:00,133,90.4355,90.44,90.44,90.44,90.44,2
2023-06-12 12:17:00,639,90.1235,90.1,90.1,90.1,90.1,10
2023-06-12 12:21:00,2155,90.0001,90.0,90.0,90.0,90.0,31
2023-06-12 12:22:00,648,90.2398,90.24,90.25,90.25,90.24,8
2023-06-12 12:26:00,3119,90.0,90.0,90.0,90.0,90.0,2
2023-06-12 12:38:00,106,90.2495,90.25,90.25,90.25,90.25,3
2023-06-12 12:41:00,8193,89.9527,90.01,89.91,90.03,89.91,67
2023-06-12 12:44:00,2261,89.9954,90.0,90.0,90.0,90.0,7
2023-06-12 12:45:00,846,90.0012,90.0,90.0,90.0,90.0,9
2023-06-12 12:46:00,150,90.0,90.0,90.0,90.0,90.0,1
2023-06-12 12:48:00,399,90.15,90.15,90.15,90.15,90.15,2
2023-06-12 12:58:00,100,90.212,90.212,90.212,90.212,90.212,1
2023-06-12 13:00:00,2689,90.0505,90.05,90.05,90.05,90.05,16
2023-06-12 13:01:00,1417,90.0051,90.0,90.06,90.06,90.0,14
2023-06-12 13:02:00,534,90.1006,90.1,90.1,90.1,90.1,6
2023-06-12 13:03:00,145,90.1711,90.1795,90.1795,90.1795,90.1795,9
2023-06-12 13:04:00,500,90.1999,90.1999,90.1999,90.1999,90.1999,1
2023-06-12 13:05:00,110,90.1909,90.19,90.19,90.19,90.19,2
2023-06-12 13:07:00,610,90.1201,90.19,90.1,90.19,90.1,9
2023-06-12 13:12:00,630,90.1395,90.14,90.14,90.14,90.14,2
2023-06-12 13:19:00,201,90.0999,90.1,90.1,90.1,90.1,2
2023-06-12 13:22:00,453,90.0932,90.1,90.07,90.1,90.07,8
2023-06-12 13:23:00,350,90.0957,90.0999,90.09,90.0999,90.09,3
2023-06-12 13:26:00,14527,89.9932,90.0,89.9,90.0,89.9,19
2023-06-12 13:28:00,1309,89.8072,89.77,89.8,89.8,89.77,16
2023-06-12 13:29:00,5547,90.1585,89.8,90.14,90.29,89.8,25
2023-06-12 13:30:00,101277,90.0768,90.19,89.9,90.22,89.776,714
2023-06-12 13:31:00,32137,89.8957,89.9,89.89,89.99,89.8,415
2023-06-12 13:32:00,32244,89.857,89.875,89.595,89.98,89.595,618
2023-06-12 13:33:00,37284,89.5369,89.635,89.515,89.66,89.4401,571
2023-06-12 13:34:00,28795,89.5225,89.52,89.6,89.81,89.4,340
2023-06-12 13:35:00,68507,89.6035,89.65,89.605,89.65,89.45,854
2023-06-12 13:36:00,21509,89.5418,89.6,89.5,89.64,89.44,304
2023-06-12 13:37:00,14980,89.5001,89.46,89.52,89.55,89.36,257
2023-06-12 13:38:00,25044,89.471,89.55,89.56,89.625,89.37,345
2023-06-12 13:39:00,10678,89.5407,89.54,89.575,89.6799,89.43,131
2023-06-12 13:40:00,19188,89.7344,89.56,89.8,89.89,89.53,305
2023-06-12 13:41:00,18447,89.7597,89.8232,89.845,89.86,89.7,265
2023-06-12 13:42:00,15845,89.9608,89.82,90.1,90.13,89.78,264
2023-06-12 13:43:00,14267,90.075,90.03,90.23,90.23,89.97,260
2023-06-12 13:44:00,25534,90.1298,90.14,90.055,90.25,90.035,292
2023-06-12 13:45:00,15284,90.0241,90.055,89.965,90.08,89.965,254
2023-06-12 13:46:00,16989,89.8705,89.97,89.75,89.98,89.71,303
2023-06-12 13:47:00,16231,89.6319,89.74,89.59,89.74,89.52,306
2023-06-12 13:48:00,13780,89.5955,89.64,89.59,89.64,89.54,193
2023-06-12 13:49:00,52877,89.5097,89.57,89.87,89.87,89.41,225
2023-06-12 13:50:00,9556,89.9797,89.85,90.1,90.1,89.82,169
2023-06-12 13:51:00,26519,90.3283,90.125,90.35,90.42,90.125,359
2023-06-12 13:52:00,7215,90.3255,90.32,90.305,90.37,90.26,169
2023-06-12 13:53:00,8194,90.3569,90.31,90.35,90.42,90.31,179
2023-06-12 13:54:00,18287,90.4421,90.4,90.35,90.52,90.295,287
2023-06-12 13:55:00,26699,90.4205,90.34,90.46,90.53,90.34,227
2023-06-12 13:56:00,25953,90.5854,90.46,90.7,90.72,90.4,284
2023-06-12 13:57:00,12230,90.5683,90.69,90.43,90.7,90.41,192
2023-06-12 13:58:00,12903,90.3737,90.43,90.41,90.44,90.31,209
2023-06-12 13:59:00,7059,90.3764,90.45,90.3447,90.45,90.31,121
2023-06-12 14:00:00,9496,90.2984,90.34,90.32,90.37,90.215,192
2023-06-12 14:01:00,19234,90.478,90.29,90.57,90.64,90.25,288
2023-06-12 14:02:00,15279,90.6077,90.63,90.68,90.685,90.56,235
2023-06-12 14:03:00,16669,90.7274,90.69,90.69,90.77,90.69,281
2023-06-12 14:04:00,11355,90.6697,90.7,90.5999,90.73,90.59,284
2023-06-12 14:05:00,17210,90.4869,90.58,90.345,90.61,90.34,255
2023-06-12 14:06:00,17837,90.3207,90.3499,90.34,90.37,90.28,297
2023-06-12 14:07:00,11903,90.4153,90.34,90.45,90.4855,90.3372,153
2023-06-12 14:08:00,9425,90.4744,90.45,90.55,90.55,90.42,203
2023-06-12 14:09:00,11470,90.5518,90.57,90.58,90.61,90.46,232
2023-06-12 14:10:00,10645,90.621,90.6,90.58,90.662,90.58,194
2023-06-12 14:11:00,16587,90.6042,90.57,90.59,90.67,90.57,270
2023-06-12 14:12:00,32228,90.462,90.615,90.38,90.615,90.35,400
2023-06-12 14:13:00,17590,90.5615,90.39,90.73,90.73,90.39,237
2023-06-12 14:14:00,45488,90.7812,90.75,90.825,90.85,90.71,436
2023-06-12 14:15:00,16682,90.7006,90.82,90.64,90.82,90.6,301
2023-06-12 14:16:00,10627,90.6694,90.68,90.685,90.71,90.63,212
2023-06-12 14:17:00,9026,90.6109,90.67,90.57,90.67,90.55,184
2023-06-12 14:18:00,12412,90.6331,90.58,90.6799,90.71,90.53,189
2023-06-12 14:19:00,7882,90.6397,90.66,90.67,90.68,90.61,135
2023-06-12 14:20:00,11265,90.7039,90.665,90.83,90.83,90.63,185
2023-06-12 14:21:00,12006,90.7748,90.825,90.72,90.85,90.69,260
2023-06-12 14:22:00,11454,90.5777,90.72,90.56,90.725,90.49,235
2023-06-12 14:23:00,8690,90.6155,90.57,90.7,90.7,90.5,124
2023-06-12 14:24:00,8693,90.6802,90.68,90.63,90.7329,90.62,171
2023-06-12 14:25:00,7342,90.5857,90.6,90.605,90.6589,90.53,154
2023-06-12 14:26:00,9014,90.5721,90.59,90.58,90.61,90.52,149
2023-06-12 14:27:00,10094,90.5216,90.58,90.545,90.58,90.49,221
2023-06-12 14:28:00,5862,90.6634,90.55,90.705,90.74,90.545,144
2023-06-12 14:29:00,8290,90.7477,90.72,90.79,90.835,90.7,198
2023-06-12 14:30:00,10559,90.752,90.81,90.79,90.82,90.69,166
2023-06-12 14:31:00,7659,90.71,90.77,90.67,90.7888,90.64,157
2023-06-12 14:32:00,9120,90.7387,90.69,90.75,90.78,90.69,145
2023-06-12 14:33:00,13772,90.8354,90.734,90.94,90.94,90.73,262
2023-06-12 14:34:00,9012,90.9205,90.94,90.899,90.96,90.8797,159
2023-06-12 14:35:00,11635,90.8612,90.88,90.82,90.91,90.8001,277
2023-06-12 14:36:00,6524,90.7564,90.78,90.7,90.8199,90.68,191
2023-06-12 14:37:00,12814,90.6266,90.7,90.52,90.73,90.52,243
2023-06-12 14:38:00,12385,90.5714,90.52,90.63,90.63,90.48,282
2023-06-12 14:39:00,90774,90.6227,90.595,90.54,90.65,90.54,276
2023-06-12 14:40:00,23888,90.4747,90.53,90.47,90.53,90.39,335
2023-06-12 14:41:00,23304,90.4304,90.46,90.39,90.5,90.36,385
2023-06-12 14:42:00,13121,90.4254,90.39,90.41,90.462,90.38,269
