t,v,vw,o,c,h,l,n
2024-04-01 10:33:00,100,0.265,0.265,0.265,0.265,0.265,1
2024-04-01 11:00:00,4883,0.2602,0.261,0.26,0.261,0.26,3
2024-04-01 11:10:00,581,0.26,0.26,0.26,0.26,0.26,2
2024-04-01 11:16:00,1000,0.26,0.26,0.26,0.26,0.26,1
2024-04-01 11:50:00,7975,0.2554,0.258,0.255,0.258,0.255,7
2024-04-01 11:53:00,255,0.26,0.26,0.26,0.26,0.26,1
2024-04-01 12:00:00,715,0.2599,0.26,0.2599,0.26,0.2599,12
2024-04-01 12:04:00,1000,0.26,0.26,0.26,0.26,0.26,1
2024-04-01 12:15:00,101,0.26,0.26,0.26,0.26,0.26,2
2024-04-01 12:30:00,200,0.26,0.25995,0.25995,0.25995,0.25995,1
2024-04-01 12:42:00,260,0.257,0.257,0.257,0.257,0.257,2
2024-04-01 12:43:00,274,0.2586,0.257,0.26,0.26,0.257,2
2024-04-01 13:02:00,200,0.26,0.26,0.26,0.26,0.26,1
2024-04-01 13:15:00,100,0.2599,0.2599,0.2599,0.2599,0.2599,1
2024-04-01 13:29:00,3337,0.26,0.26,0.26,0.26,0.26,2
2024-04-01 13:30:00,59256,0.2618,0.2667,0.266,0.269,0.2599,25
2024-04-01 13:31:00,550,0.269,0.2689,0.2689,0.2689,0.2689,2
2024-04-01 13:35:00,415,0.2652,0.265,0.265,0.265,0.265,2
2024-04-01 13:38:00,938,0.2663,0.265,0.266,0.2688,0.265,4
2024-04-01 13:39:00,1676,0.2661,0.267501,0.266,0.267501,0.266,4
2024-04-01 13:40:00,746,0.2663,0.265,0.2688,0.2688,0.265,2
2024-04-01 13:43:00,116,0.2657,0.265,0.265,0.265,0.265,2
2024-04-01 13:44:00,24052,0.2653,0.265,0.2645,0.2675,0.2645,18
2024-04-01 13:52:00,185,0.2699,0.269899,0.269899,0.269899,0.269899,2
2024-04-01 13:55:00,250,0.2699,0.2699,0.2699,0.2699,0.2699,2
2024-04-01 13:58:00,500,0.2679,0.2679,0.2679,0.2679,0.2679,1
2024-04-01 13:59:00,622,0.2673,0.2678,0.2646,0.2678,0.2646,3
2024-04-01 14:02:00,150,0.2678,0.2678,0.2678,0.2678,0.2678,1
2024-04-01 14:05:00,2504,0.2678,0.2678,0.2678,0.2678,0.2678,5
2024-04-01 14:06:00,500,0.2679,0.2679,0.2679,0.2679,0.2679,2
2024-04-01 14:11:00,125,0.2646,0.2646,0.2646,0.2646,0.2646,1
2024-04-01 14:13:00,3600,0.2679,0.2679,0.2679,0.2679,0.2679,2
2024-04-01 14:16:00,122,0.2679,0.2679,0.2679,0.2679,0.2679,2
2024-04-01 14:17:00,1900,0.2662,0.2662,0.2662,0.2662,0.2662,1
2024-04-01 14:20:00,3800,0.2663,0.2667,0.2656,0.2667,0.2655,3
2024-04-01 14:21:00,100,0.2655,0.2655,0.2655,0.2655,0.2655,1
2024-04-01 14:26:00,500,0.2662,0.2662,0.2662,0.2662,0.2662,1
2024-04-01 14:35:00,374,0.2675,0.2678,0.2678,0.2678,0.2678,3
2024-04-01 14:36:00,314,0.2662,0.2662,0.2662,0.2662,0.2662,1
2024-04-01 14:38:00,42055,0.2603,0.2662,0.2655,0.2678,0.260078,9
2024-04-01 14:39:00,100,0.2678,0.2678,0.2678,0.2678,0.2678,1
2024-04-01 14:41:00,400,0.2652,0.2652,0.2652,0.2652,0.2652,1
2024-04-01 14:44:00,100,0.2667,0.26665,0.26665,0.26665,0.26665,1
2024-04-01 14:45:00,300,0.2663,0.2655,0.2678,0.2678,0.2655,3
2024-04-01 14:46:00,3000,0.2662,0.26615,0.26615,0.26615,0.26615,1
2024-04-01 14:47:00,9500,0.2645,0.264501,0.264501,0.264501,0.264501,2
2024-04-01 14:51:00,2500,0.2645,0.264533,0.264533,0.264533,0.264533,1
2024-04-01 14:54:00,500,0.2655,0.2655,0.2655,0.2655,0.2655,1
2024-04-01 14:56:00,110,0.2655,0.2655,0.2655,0.2655,0.2655,1
2024-04-01 14:58:00,240,0.2674,0.2678,0.2678,0.2678,0.2678,3
2024-04-01 15:02:00,1409,0.2678,0.2678,0.2678,0.2678,0.2678,2
2024-04-01 15:05:00,200,0.2667,0.26665,0.26665,0.26665,0.26665,1
2024-04-01 15:09:00,370,0.2677,0.2677,0.2677,0.2677,0.2677,1
2024-04-01 15:10:00,2000,0.2618,0.2655,0.2601,0.2655,0.2601,9
2024-04-01 15:16:00,535,0.2614,0.262,0.261,0.262,0.261,8
2024-04-01 15:20:00,132,0.2611,0.2611,0.2611,0.2611,0.2611,1
2024-04-01 15:22:00,4004,0.2627,0.2644,0.261,0.2644,0.261,3
2024-04-01 15:28:00,516,0.2675,0.2677,0.2677,0.2677,0.2677,2
2024-04-01 15:29:00,100,0.2613,0.2613,0.2613,0.2613,0.2613,1
2024-04-01 15:31:00,500,0.2676,0.2676,0.2676,0.2676,0.2676,1
2024-04-01 15:33:00,1496,0.2646,0.2677,0.261,0.2677,0.261,6
2024-04-01 15:35:00,312,0.2611,0.2611,0.2611,0.2611,0.2611,1
2024-04-01 15:39:00,1046,0.261,0.261,0.261,0.261,0.261,1
