t,v,vw,o,c,h,l,n
2024-04-25 12:00:00,180,0.7439,0.74,0.74,0.74,0.74,2
2024-04-25 12:15:00,200,0.7591,0.7581,0.7581,0.7581,0.7581,4
2024-04-25 12:16:00,400,0.766,0.7641,0.7671,0.7686,0.7641,4
2024-04-25 12:17:00,200,0.7611,0.7641,0.7581,0.7641,0.7581,2
2024-04-25 12:20:00,100,0.7657,0.7657,0.7657,0.7657,0.7657,1
2024-04-25 12:21:00,100,0.7629,0.7629,0.7629,0.7629,0.7629,1
2024-04-25 12:22:00,100,0.7635,0.7635,0.7635,0.7635,0.7635,1
2024-04-25 12:38:00,1000,0.7615,0.7615,0.7615,0.7615,0.7615,1
2024-04-25 12:39:00,100,0.7615,0.7615,0.7615,0.7615,0.7615,1
2024-04-25 12:55:00,170,0.761,0.761,0.761,0.761,0.761,1
2024-04-25 13:08:00,296,0.7461,0.7461,0.7461,0.7461,0.7461,1
2024-04-25 13:11:00,300,0.76,0.76,0.76,0.76,0.76,1
2024-04-25 13:13:00,147,0.7436,0.7436,0.7436,0.7436,0.7436,1
2024-04-25 13:14:00,300,0.7461,0.7461,0.7461,0.7461,0.7461,1
2024-04-25 13:25:00,4280,0.7582,0.7461,0.76,0.76,0.7461,14
2024-04-25 13:30:00,32959,0.7492,0.7492,0.7468,0.7492,0.7468,13
2024-04-25 13:31:00,1886,0.7428,0.7461,0.74,0.7461,0.74,6
2024-04-25 13:32:00,205,0.745,0.745,0.745,0.745,0.745,2
2024-04-25 13:33:00,7439,0.729,0.7436,0.726101,0.7436,0.726101,18
2024-04-25 13:34:00,14819,0.7231,0.726,0.7225,0.729675,0.72,27
2024-04-25 13:35:00,14742,0.7175,0.72,0.7199,0.7201,0.7111,32
2024-04-25 13:36:00,21906,0.7246,0.7175,0.73,0.73,0.7172,26
2024-04-25 13:37:00,9415,0.7365,0.73,0.724,0.751,0.724,16
2024-04-25 13:38:00,1000,0.735,0.735,0.735,0.735,0.735,1
2024-04-25 13:39:00,21174,0.7233,0.737,0.723,0.737,0.723,25
2024-04-25 13:40:00,1557,0.7291,0.723,0.73,0.7302,0.723,13
2024-04-25 13:41:00,11221,0.7288,0.73,0.7111,0.73,0.7111,12
2024-04-25 13:42:00,546,0.7113,0.7111,0.7111,0.7111,0.7111,3
2024-04-25 13:43:00,1013,0.7113,0.712,0.712,0.712,0.7111,6
2024-04-25 13:44:00,3920,0.7153,0.7131,0.72,0.7201,0.7111,14
2024-04-25 13:45:00,4168,0.7202,0.721,0.7297,0.7297,0.7111,11
2024-04-25 13:46:00,336,0.7206,0.7222,0.7222,0.7222,0.7222,8
2024-04-25 13:47:00,1913,0.7256,0.7267,0.727,0.727,0.7204,27
2024-04-25 13:48:00,7105,0.7278,0.727,0.728,0.7296,0.727,61
2024-04-25 13:49:00,1253,0.728,0.728,0.728,0.728,0.728,18
2024-04-25 13:50:00,703,0.728,0.728,0.728,0.728,0.728,9
2024-04-25 13:51:00,1885,0.728,0.728,0.728,0.728,0.728,21
2024-04-25 13:52:00,6814,0.7215,0.724799,0.7207,0.728,0.72,9
2024-04-25 13:53:00,228,0.7127,0.712,0.712,0.712,0.712,4
2024-04-25 13:55:00,1557,0.7115,0.7112,0.7112,0.7112,0.7111,10
2024-04-25 13:56:00,27592,0.726,0.7112,0.7112,0.7263,0.7112,13
2024-04-25 13:57:00,245,0.7117,0.7112,0.7112,0.7112,0.7112,7
2024-04-25 13:58:00,103,0.7112,0.7112,0.7112,0.7112,0.7112,2
2024-04-25 13:59:00,103,0.7112,0.7112,0.7112,0.7112,0.7112,2
2024-04-25 14:00:00,1442,0.7216,0.725099,0.718,0.7252,0.7112,10
2024-04-25 14:01:00,9065,0.7232,0.718,0.718,0.7251,0.718,39
2024-04-25 14:02:00,606,0.724,0.7252,0.718,0.7252,0.718,6
2024-04-25 14:04:00,825,0.7182,0.718,0.7181,0.7181,0.718,8
2024-04-25 14:05:00,615,0.724,0.7252,0.7252,0.7252,0.7252,9
2024-04-25 14:06:00,603,0.7237,0.718,0.7249,0.7249,0.718,5
2024-04-25 14:07:00,13454,0.7139,0.718,0.7118,0.718,0.7111,46
2024-04-25 14:08:00,1881,0.718,0.7023,0.72,0.72,0.7023,8
2024-04-25 14:09:00,412,0.7141,0.716867,0.716867,0.716867,0.716867,8
2024-04-25 14:10:00,14868,0.7128,0.7111,0.71,0.72,0.71,70
2024-04-25 14:11:00,1502,0.7143,0.71,0.715,0.715,0.71,9
2024-04-25 14:12:00,15335,0.7109,0.71,0.7061,0.7112,0.7011,33
2024-04-25 14:13:00,9703,0.7015,0.705,0.7012,0.709,0.7011,27
2024-04-25 14:14:00,23300,0.7103,0.7011,0.7056,0.7128,0.7011,34
2024-04-25 14:15:00,146,0.7114,0.71,0.71,0.71,0.71,2
2024-04-25 14:16:00,714,0.7147,0.7152,0.7108,0.71535,0.7108,4
2024-04-25 14:17:00,100,0.7153,0.7153,0.7153,0.7153,0.7153,1
2024-04-25 14:18:00,8803,0.7126,0.72,0.7045,0.72,0.7045,46
2024-04-25 14:19:00,6200,0.7126,0.711,0.7064,0.71315,0.7064,4
2024-04-25 14:22:00,301,0.7117,0.708,0.708,0.708,0.708,6
2024-04-25 14:23:00,275,0.7095,0.71,0.71,0.71,0.71,3
2024-04-25 14:24:00,6286,0.708,0.7081,0.706,0.7081,0.706,7
2024-04-25 14:27:00,3279,0.7075,0.7075,0.7075,0.7075,0.7075,7
2024-04-25 14:28:00,3362,0.7042,0.7075,0.705,0.71,0.701,11
2024-04-25 14:29:00,151,0.7021,0.702099,0.702099,0.702099,0.702099,2
2024-04-25 14:30:00,101,0.7055,0.7055,0.7055,0.7055,0.7055,2
2024-04-25 14:31:00,303,0.7011,0.701,0.701,0.701,0.701,5
2024-04-25 14:32:00,164,0.7011,0.7011,0.7011,0.7011,0.7011,2
2024-04-25 14:33:00,1717,0.7048,0.7052,0.7055,0.7055,0.70315,12
2024-04-25 14:36:00,100,0.7055,0.7055,0.7055,0.7055,0.7055,1
2024-04-25 14:38:00,1107,0.7014,0.701,0.70525,0.70525,0.701,7
2024-04-25 14:39:00,200,0.71,0.71,0.71,0.71,0.71,1
2024-04-25 14:40:00,17120,0.7098,0.709,0.7066,0.71,0.70525,14
2024-04-25 14:42:00,700,0.7083,0.70825,0.70825,0.70825,0.70825,2
2024-04-25 14:43:00,15901,0.7074,0.7099,0.7054,0.7099,0.7007,24
2024-04-25 14:47:00,500,0.7065,0.7065,0.7065,0.7065,0.7065,1
2024-04-25 14:48:00,7699,0.7099,0.71,0.71,0.71,0.7077,27
2024-04-25 14:51:00,1000,0.7078,0.7078,0.7078,0.7078,0.7078,1
2024-04-25 14:52:00,155,0.708,0.7078,0.7078,0.7078,0.7078,4
2024-04-25 14:53:00,121,0.7082,0.70785,0.70785,0.70785,0.70785,3
2024-04-25 14:54:00,102,0.7079,0.70785,0.70785,0.70785,0.70785,3
2024-04-25 14:55:00,24904,0.7054,0.7057,0.705,0.71,0.705,69
2024-04-25 14:56:00,2501,0.7083,0.705,0.71,0.71,0.705,12
2024-04-25 14:57:00,100,0.7075,0.7075,0.7075,0.7075,0.7075,1
2024-04-25 14:58:00,3338,0.7093,0.7075,0.71,0.71,0.7075,19
2024-04-25 14:59:00,13100,0.7099,0.71,0.7091,0.71,0.7091,41
2024-04-25 15:00:00,53657,0.7106,0.71,0.7121,0.7121,0.7098,177
2024-04-25 15:01:00,53621,0.7066,0.7111,0.7028,0.7154,0.7017,144
2024-04-25 15:02:00,41005,0.7104,0.7104,0.71035,0.7104,0.71035,6
2024-04-25 15:04:00,114105,0.7031,0.706,0.699108,0.7098,0.692,86
2024-04-25 15:05:00,23295,0.6912,0.6902,0.6905,0.6931,0.6902,9
2024-04-25 15:06:00,7812,0.6927,0.69205,0.693,0.693,0.691,10
2024-04-25 15:07:00,47480,0.6868,0.693,0.6833,0.693,0.68,65
2024-04-25 15:08:00,9403,0.6888,0.6833,0.6833,0.691899,0.68,32
2024-04-25 15:10:00,21463,0.6868,0.6842,0.6886,0.69435,0.6842,10
2024-04-25 15:11:00,500,0.6858,0.6847,0.6865,0.6865,0.6847,2
2024-04-25 15:13:00,244,0.6858,0.688199,0.6823,0.688199,0.6823,2
2024-04-25 15:14:00,250,0.6825,0.6823,0.6825,0.6825,0.6823,3
2024-04-25 15:16:00,950,0.6858,0.68595,0.6825,0.68595,0.6825,5
2024-04-25 15:17:00,3403,0.682,0.685949,0.681,0.685949,0.681,22
2024-04-25 15:18:00,222,0.681,0.681,0.681,0.681,0.681,3
2024-04-25 15:21:00,625,0.6801,0.6801,0.6801,0.6801,0.6801,2
2024-04-25 15:22:00,788,0.6842,0.68475,0.68475,0.68475,0.68475,3
2024-04-25 15:23:00,315,0.6802,0.6801,0.6801,0.6801,0.6801,7
2024-04-25 15:24:00,6672,0.6802,0.681,0.68435,0.68435,0.6801,8
2024-04-25 15:25:00,3518,0.6853,0.6801,0.6886,0.6886,0.6801,16
2024-04-25 15:27:00,7302,0.6883,0.6886,0.68485,0.6886,0.6811,8
2024-04-25 15:28:00,300,0.6855,0.6886,0.68485,0.6886,0.68485,4
2024-04-25 15:29:00,9500,0.688,0.6849,0.6849,0.6886,0.6849,19
2024-04-25 15:30:00,5172,0.6886,0.68859,0.68675,0.68859,0.68675,4
2024-04-25 15:31:00,7075,0.6887,0.6886,0.6913,0.6913,0.6885,30
2024-04-25 15:32:00,100,0.694,0.694,0.694,0.694,0.694,1
2024-04-25 15:33:00,2024,0.6937,0.6927,0.693899,0.693899,0.6927,3
