t,v,vw,o,c,h,l,n
2024-05-13 11:00:00,628,17.7083,17.7,17.71,17.71,17.7,4
2024-05-13 11:49:00,212,17.6533,17.65,17.65,17.65,17.65,3
2024-05-13 11:51:00,578,17.576,17.6,17.57,17.6,17.57,10
2024-05-13 12:45:00,100,17.68,17.68,17.68,17.68,17.68,1
2024-05-13 13:30:00,18962,17.7605,17.75,17.81,17.82,17.73,104
2024-05-13 13:31:00,1200,17.8071,17.82,17.81,17.82,17.8,10
2024-05-13 13:32:00,11104,17.7951,17.8,17.78,17.82,17.78,83
2024-05-13 13:33:00,2322,17.7782,17.77,17.76,17.79,17.76,26
2024-05-13 13:34:00,2661,17.7897,17.76,17.805,17.81,17.76,41
2024-05-13 13:35:00,9010,17.7962,17.805,17.78,17.82,17.78,57
2024-05-13 13:36:00,5341,17.7671,17.77,17.75,17.79,17.75,51
2024-05-13 13:37:00,1217,17.7595,17.755,17.77,17.775,17.755,25
2024-05-13 13:38:00,2126,17.7534,17.765,17.74,17.765,17.74,27
2024-05-13 13:39:00,1729,17.7447,17.74,17.745,17.75,17.74,23
2024-05-13 13:40:00,1275,17.749,17.745,17.755,17.76,17.745,15
2024-05-13 13:41:00,1026,17.753,17.755,17.755,17.755,17.75,11
2024-05-13 13:42:00,3180,17.7303,17.75,17.72,17.75,17.715,29
2024-05-13 13:43:00,5627,17.7051,17.715,17.72,17.72,17.695,68
2024-05-13 13:44:00,1654,17.6948,17.7,17.69,17.7,17.69,18
2024-05-13 13:45:00,3475,17.6909,17.685,17.71,17.71,17.685,35
2024-05-13 13:46:00,4367,17.7152,17.72,17.695,17.73,17.695,34
2024-05-13 13:47:00,3066,17.692,17.69,17.695,17.695,17.69,27
2024-05-13 13:48:00,3434,17.6998,17.695,17.7,17.71,17.695,33
2024-05-13 13:49:00,3998,17.6964,17.69,17.6901,17.71,17.685,42
2024-05-13 13:50:00,1435,17.6865,17.695,17.69,17.695,17.68,14
2024-05-13 13:51:00,2422,17.6865,17.69,17.685,17.69,17.68,26
2024-05-13 13:52:00,2483,17.6819,17.68,17.68,17.69,17.68,22
2024-05-13 13:53:00,1691,17.6867,17.685,17.685,17.69,17.685,22
2024-05-13 13:54:00,701,17.685,17.685,17.685,17.685,17.685,8
2024-05-13 13:55:00,1186,17.685,17.685,17.685,17.69,17.68,13
2024-05-13 13:56:00,830,17.6812,17.68,17.685,17.685,17.68,8
2024-05-13 13:57:00,5763,17.6745,17.6801,17.675,17.6801,17.655,62
2024-05-13 13:58:00,1220,17.676,17.675,17.675,17.68,17.675,14
2024-05-13 13:59:00,755,17.676,17.675,17.675,17.68,17.675,9
2024-05-13 14:00:00,4414,17.6609,17.67,17.66,17.67,17.655,41
2024-05-13 14:01:00,3088,17.6521,17.665,17.65,17.665,17.6401,36
2024-05-13 14:02:00,1352,17.6524,17.655,17.645,17.66,17.645,20
2024-05-13 14:03:00,602,17.6442,17.645,17.645,17.645,17.645,9
2024-05-13 14:04:00,4838,17.6377,17.645,17.64,17.645,17.625,46
2024-05-13 14:05:00,1590,17.6512,17.645,17.6501,17.665,17.645,17
2024-05-13 14:06:00,1326,17.6449,17.65,17.64,17.65,17.64,13
2024-05-13 14:07:00,1710,17.6336,17.64,17.63,17.64,17.63,11
2024-05-13 14:08:00,3176,17.6216,17.63,17.62,17.63,17.62,25
2024-05-13 14:09:00,200,17.615,17.615,17.615,17.615,17.615,2
2024-05-13 14:10:00,1606,17.6165,17.62,17.62,17.62,17.615,12
2024-05-13 14:11:00,5847,17.6031,17.615,17.6,17.615,17.6,58
2024-05-13 14:12:00,1046,17.5919,17.6,17.59,17.6,17.585,20
2024-05-13 14:13:00,3360,17.5975,17.585,17.61,17.61,17.585,44
2024-05-13 14:14:00,2179,17.6053,17.605,17.6062,17.6062,17.6,11
2024-05-13 14:15:00,1969,17.6,17.6,17.6,17.6,17.6,15
2024-05-13 14:16:00,2909,17.5995,17.595,17.605,17.61,17.595,35
2024-05-13 14:17:00,3057,17.6052,17.605,17.61,17.61,17.605,25
2024-05-13 14:18:00,3454,17.6141,17.61,17.62,17.62,17.605,43
2024-05-13 14:19:00,4734,17.6131,17.62,17.605,17.62,17.6039,25
2024-05-13 14:20:00,2583,17.6042,17.61,17.61,17.61,17.602,11
2024-05-13 14:21:00,3193,17.5935,17.6041,17.59,17.6041,17.585,38
2024-05-13 14:22:00,3507,17.589,17.585,17.6,17.6,17.585,39
2024-05-13 14:23:00,4136,17.6044,17.6,17.61,17.61,17.6,45
2024-05-13 14:24:00,3254,17.6032,17.61,17.6,17.61,17.6,19
2024-05-13 14:25:00,772,17.6052,17.6001,17.605,17.61,17.6001,7
2024-05-13 14:27:00,2489,17.6129,17.605,17.625,17.625,17.605,41
2024-05-13 14:28:00,1812,17.6243,17.63,17.62,17.63,17.62,26
2024-05-13 14:29:00,2752,17.6076,17.605,17.6,17.61,17.6,29
2024-05-13 14:30:00,2253,17.6051,17.6,17.605,17.61,17.6,31
2024-05-13 14:31:00,1442,17.6022,17.6,17.605,17.61,17.6,20
2024-05-13 14:32:00,5524,17.592,17.605,17.6,17.605,17.585,55
2024-05-13 14:33:00,1149,17.5965,17.6,17.595,17.6,17.595,12
2024-05-13 14:34:00,3322,17.5896,17.595,17.58,17.595,17.58,34
2024-05-13 14:35:00,3191,17.5763,17.585,17.57,17.59,17.565,42
2024-05-13 14:36:00,4283,17.5605,17.56,17.56,17.565,17.555,46
2024-05-13 14:37:00,7437,17.5512,17.565,17.54,17.565,17.54,72
2024-05-13 14:38:00,1654,17.5438,17.545,17.545,17.55,17.54,15
2024-05-13 14:39:00,17644,17.5394,17.545,17.53,17.56,17.52,136
2024-05-13 14:40:00,4563,17.5203,17.525,17.525,17.525,17.515,50
2024-05-13 14:41:00,2126,17.5163,17.52,17.52,17.52,17.51,26
2024-05-13 14:42:00,5082,17.5218,17.515,17.53,17.535,17.51,53
2024-05-13 14:43:00,9148,17.5307,17.53,17.54,17.54,17.52,78
2024-05-13 14:44:00,2094,17.5453,17.545,17.545,17.55,17.545,17
2024-05-13 14:45:00,2065,17.5454,17.55,17.545,17.55,17.54,30
2024-05-13 14:46:00,5049,17.5356,17.545,17.525,17.545,17.52,52
2024-05-13 14:47:00,3125,17.5199,17.525,17.52,17.525,17.515,32
2024-05-13 14:48:00,2451,17.5154,17.515,17.515,17.52,17.515,11
2024-05-13 14:49:00,4554,17.5204,17.515,17.525,17.525,17.515,36
2024-05-13 14:50:00,4075,17.5241,17.525,17.525,17.525,17.522,36
2024-05-13 14:51:00,2606,17.5263,17.53,17.525,17.53,17.5249,29
2024-05-13 14:52:00,1853,17.5259,17.525,17.525,17.53,17.52,25
2024-05-13 14:53:00,6066,17.5309,17.52,17.545,17.55,17.52,77
2024-05-13 14:54:00,9664,17.5397,17.55,17.525,17.555,17.525,95
2024-05-13 14:55:00,5434,17.5233,17.53,17.515,17.53,17.515,57
2024-05-13 14:56:00,1000,17.516,17.515,17.52,17.52,17.515,11
2024-05-13 14:57:00,2339,17.5151,17.515,17.515,17.52,17.515,21
2024-05-13 14:58:00,18261,17.5119,17.515,17.515,17.52,17.51,98
2024-05-13 14:59:00,2220,17.5129,17.51,17.5107,17.52,17.51,18
2024-05-13 15:00:00,15465,17.5051,17.52,17.48,17.525,17.48,98
2024-05-13 15:01:00,1675,17.4739,17.4753,17.47,17.4753,17.47,7
2024-05-13 15:02:00,4802,17.4623,17.46,17.4606,17.47,17.46,21
2024-05-13 15:03:00,5605,17.4611,17.46,17.46,17.47,17.45,36
2024-05-13 15:04:00,1600,17.4559,17.45,17.455,17.46,17.45,13
2024-05-13 15:05:00,4080,17.4584,17.455,17.465,17.47,17.455,30
2024-05-13 15:06:00,5643,17.4577,17.465,17.456,17.465,17.45,39
2024-05-13 15:07:00,4249,17.463,17.455,17.47,17.47,17.455,37
2024-05-13 15:08:00,1732,17.4811,17.4799,17.485,17.485,17.4799,16
2024-05-13 15:09:00,2856,17.4758,17.485,17.47,17.485,17.465,17
2024-05-13 15:10:00,2682,17.4594,17.465,17.46,17.465,17.455,21
2024-05-13 15:11:00,10586,17.4488,17.455,17.44,17.455,17.44,36
2024-05-13 15:12:00,4221,17.4293,17.43,17.43,17.43,17.425,17
2024-05-13 15:13:00,2110,17.4273,17.425,17.43,17.43,17.42,16
2024-05-13 15:14:00,3740,17.4282,17.425,17.43,17.435,17.42,32
2024-05-13 15:15:00,2046,17.441,17.44,17.45,17.45,17.44,22
2024-05-13 15:16:00,905,17.4445,17.445,17.44,17.445,17.44,10
2024-05-13 15:17:00,4859,17.4361,17.44,17.435,17.44,17.43,33
2024-05-13 15:18:00,3574,17.4323,17.43,17.43,17.4399,17.43,36
2024-05-13 15:19:00,5612,17.4271,17.43,17.435,17.44,17.42,44
2024-05-13 15:20:00,4072,17.4266,17.435,17.425,17.435,17.42,28
2024-05-13 15:21:00,4062,17.4332,17.43,17.438,17.44,17.43,29
2024-05-13 15:22:00,1810,17.4369,17.431,17.44,17.44,17.431,10
2024-05-13 15:23:00,4258,17.4386,17.435,17.445,17.445,17.435,32
2024-05-13 15:24:00,2664,17.4398,17.44,17.435,17.44,17.435,21
2024-05-13 15:25:00,4609,17.4303,17.435,17.435,17.435,17.425,38
2024-05-13 15:26:00,1278,17.4342,17.435,17.4301,17.44,17.4301,16
2024-05-13 15:27:00,2382,17.427,17.43,17.4201,17.43,17.42,23
2024-05-13 15:28:00,5889,17.4122,17.42,17.41,17.42,17.41,58
2024-05-13 15:29:00,1760,17.4101,17.41,17.405,17.415,17.405,18
2024-05-13 15:30:00,5068,17.3995,17.4,17.4,17.405,17.395,45
2024-05-13 15:31:00,2616,17.4093,17.405,17.4101,17.415,17.405,24
2024-05-13 15:32:00,902,17.4133,17.41,17.415,17.415,17.41,11
2024-05-13 15:33:00,2291,17.4114,17.4107,17.4108,17.415,17.41,15
2024-05-13 15:34:00,5996,17.4031,17.41,17.41,17.41,17.395,48
2024-05-13 15:35:00,2315,17.408,17.405,17.4,17.41,17.4,26
2024-05-13 15:36:00,894,17.4034,17.405,17.4,17.405,17.4,12
2024-05-13 15:37:00,5522,17.4072,17.4,17.4152,17.42,17.4,55
2024-05-13 15:38:00,4285,17.4114,17.415,17.4,17.415,17.4,30
2024-05-13 15:39:00,2124,17.4027,17.4035,17.405,17.41,17.4,12
2024-05-13 15:40:00,972,17.4063,17.405,17.405,17.4099,17.405,20
2024-05-13 15:41:00,1659,17.4061,17.405,17.405,17.41,17.405,18
2024-05-13 15:42:00,4008,17.3981,17.4,17.3954,17.4,17.395,33
2024-05-13 15:43:00,6394,17.3995,17.395,17.405,17.405,17.395,51
2024-05-13 15:44:00,5265,17.4125,17.41,17.415,17.415,17.41,24
2024-05-13 15:45:00,1640,17.415,17.415,17.415,17.415,17.415,5
2024-05-13 15:46:00,4517,17.4097,17.415,17.405,17.415,17.405,34
2024-05-13 15:47:00,3470,17.4082,17.4099,17.4099,17.41,17.4,21
2024-05-13 15:48:00,1404,17.405,17.405,17.41,17.41,17.4012,12
2024-05-13 15:49:00,4684,17.4135,17.41,17.425,17.425,17.41,45
2024-05-13 15:50:00,8228,17.4206,17.425,17.425,17.43,17.415,48
2024-05-13 15:51:00,1405,17.4253,17.425,17.425,17.425,17.425,15
2024-05-13 15:52:00,606,17.4225,17.425,17.42,17.425,17.42,9
2024-05-13 15:53:00,2267,17.4235,17.425,17.42,17.43,17.42,22
2024-05-13 15:54:00,1006,17.425,17.425,17.425,17.425,17.425,12
2024-05-13 15:55:00,798,17.4249,17.425,17.425,17.425,17.425,9
