t,v,vw,o,c,h,l,n
2023-07-20 08:04:00,169,13.65,13.65,13.65,13.65,13.65,1
2023-07-20 11:16:00,1010,13.5998,13.6,13.6,13.6,13.6,3
2023-07-20 11:21:00,600,13.57,13.57,13.57,13.57,13.57,1
2023-07-20 11:23:00,1000,13.56,13.56,13.56,13.56,13.56,2
2023-07-20 12:22:00,2833,13.61,13.61,13.61,13.61,13.61,4
2023-07-20 12:24:00,100,13.59,13.59,13.59,13.59,13.59,1
2023-07-20 12:43:00,1885,13.587,13.58,13.61,13.61,13.58,15
2023-07-20 12:44:00,100,13.59,13.59,13.59,13.59,13.59,1
2023-07-20 12:56:00,10000,13.56,13.56,13.56,13.56,13.56,1
2023-07-20 13:05:00,703,13.5552,13.56,13.55,13.56,13.55,3
2023-07-20 13:14:00,300,13.55,13.55,13.55,13.55,13.55,2
2023-07-20 13:22:00,100,13.51,13.51,13.51,13.51,13.51,1
2023-07-20 13:30:00,51560,13.4669,13.351,13.46,13.5,13.34,172
2023-07-20 13:31:00,8773,13.515,13.47,13.57,13.57,13.45,140
2023-07-20 13:32:00,4861,13.5689,13.565,13.58,13.58,13.53,74
2023-07-20 13:33:00,873,13.644,13.59,13.665,13.68,13.59,23
2023-07-20 13:34:00,4478,13.6643,13.67,13.66,13.695,13.635,72
2023-07-20 13:35:00,10813,13.6072,13.64,13.57,13.64,13.57,158
2023-07-20 13:36:00,6677,13.5474,13.57,13.54,13.57,13.52,105
2023-07-20 13:37:00,4704,13.5247,13.53,13.51,13.545,13.5,93
2023-07-20 13:38:00,4257,13.5327,13.52,13.55,13.55,13.52,77
2023-07-20 13:39:00,6267,13.5364,13.55,13.505,13.57,13.5,96
2023-07-20 13:40:00,9031,13.4905,13.5,13.505,13.505,13.47,128
2023-07-20 13:41:00,2304,13.5037,13.495,13.53,13.53,13.49,53
2023-07-20 13:42:00,4755,13.5283,13.53,13.53,13.54,13.505,75
2023-07-20 13:43:00,15324,13.4958,13.53,13.42,13.53,13.42,190
2023-07-20 13:44:00,2125,13.435,13.425,13.44,13.45,13.425,41
2023-07-20 13:45:00,7089,13.4432,13.45,13.455,13.455,13.425,83
2023-07-20 13:46:00,3951,13.4417,13.46,13.4299,13.47,13.42,67
2023-07-20 13:47:00,4871,13.473,13.44,13.505,13.505,13.44,65
2023-07-20 13:48:00,4193,13.518,13.545,13.49,13.55,13.49,68
2023-07-20 13:49:00,6955,13.5048,13.49,13.515,13.525,13.485,101
2023-07-20 13:50:00,24587,13.5122,13.52,13.5,13.525,13.5,190
2023-07-20 13:51:00,22539,13.4987,13.5,13.485,13.51,13.485,188
2023-07-20 13:52:00,3495,13.4649,13.475,13.475,13.475,13.455,49
2023-07-20 13:53:00,6769,13.4694,13.49,13.445,13.5,13.445,87
2023-07-20 13:54:00,13127,13.446,13.45,13.43,13.46,13.425,128
2023-07-20 13:55:00,5010,13.4064,13.43,13.395,13.43,13.395,62
2023-07-20 13:56:00,12602,13.3592,13.39,13.345,13.39,13.345,87
2023-07-20 13:57:00,6956,13.3521,13.35,13.35,13.36,13.35,95
2023-07-20 13:58:00,11358,13.3151,13.35,13.32,13.35,13.29,117
2023-07-20 13:59:00,9306,13.3221,13.325,13.33,13.3306,13.31,75
2023-07-20 14:00:00,20765,13.3253,13.3325,13.29,13.35,13.29,171
2023-07-20 14:01:00,35337,13.2709,13.29,13.2315,13.305,13.2315,114
2023-07-20 14:02:00,7590,13.2449,13.235,13.25,13.255,13.235,72
2023-07-20 14:03:00,7850,13.2252,13.245,13.215,13.245,13.21,73
2023-07-20 14:04:00,6917,13.1932,13.21,13.17,13.2125,13.17,66
2023-07-20 14:05:00,13409,13.2104,13.175,13.28,13.28,13.175,140
2023-07-20 14:06:00,16841,13.2981,13.31,13.308,13.315,13.28,149
2023-07-20 14:07:00,5614,13.3017,13.3,13.335,13.335,13.28,63
2023-07-20 14:08:00,5988,13.2929,13.32,13.29,13.32,13.28,67
2023-07-20 14:09:00,1694,13.303,13.295,13.305,13.32,13.295,24
2023-07-20 14:10:00,4777,13.3328,13.3,13.36,13.36,13.3,72
2023-07-20 14:11:00,4877,13.3352,13.3523,13.33,13.3523,13.315,42
2023-07-20 14:12:00,1731,13.3307,13.325,13.335,13.34,13.325,25
2023-07-20 14:13:00,4052,13.3492,13.34,13.35,13.36,13.34,54
2023-07-20 14:14:00,3098,13.3309,13.35,13.34,13.35,13.32,48
2023-07-20 14:15:00,4496,13.3339,13.331,13.3295,13.3454,13.325,36
2023-07-20 14:16:00,9569,13.3174,13.32,13.31,13.32,13.3,77
2023-07-20 14:17:00,4140,13.2979,13.31,13.29,13.31,13.29,73
