t,v,vw,o,c,h,l,n
2024-04-17 13:30:00,20788,18.2787,18.32,18.275,18.32,18.215,154
2024-04-17 13:31:00,4034,18.2223,18.24,18.22,18.24,18.205,38
2024-04-17 13:32:00,3438,18.236,18.23,18.24,18.25,18.22,67
2024-04-17 13:33:00,261,18.2524,18.25,18.25,18.25,18.25,12
2024-04-17 13:34:00,1651,18.2389,18.27,18.24,18.27,18.23,30
2024-04-17 13:35:00,889,18.2293,18.24,18.22,18.24,18.21,17
2024-04-17 13:36:00,5091,18.2192,18.215,18.23,18.23,18.21,30
2024-04-17 13:37:00,1649,18.2274,18.23,18.215,18.23,18.215,30
2024-04-17 13:38:00,1011,18.2202,18.215,18.22,18.22,18.215,13
2024-04-17 13:39:00,2341,18.238,18.235,18.235,18.24,18.235,28
2024-04-17 13:40:00,1157,18.2485,18.24,18.245,18.25,18.24,14
2024-04-17 13:41:00,789,18.254,18.25,18.26,18.26,18.25,18
2024-04-17 13:42:00,1063,18.2597,18.255,18.265,18.265,18.255,13
2024-04-17 13:43:00,1208,18.2723,18.27,18.275,18.275,18.27,15
2024-04-17 13:44:00,774,18.2632,18.265,18.265,18.265,18.255,20
2024-04-17 13:45:00,2515,18.2777,18.265,18.285,18.285,18.265,23
2024-04-17 13:46:00,1284,18.2983,18.29,18.3,18.3,18.29,15
2024-04-17 13:47:00,302,18.301,18.3,18.3,18.3,18.3,3
2024-04-17 13:48:00,987,18.3013,18.3,18.31,18.31,18.3,13
2024-04-17 13:49:00,553,18.3116,18.31,18.31,18.31,18.31,19
2024-04-17 13:50:00,1539,18.3111,18.315,18.31,18.315,18.31,9
2024-04-17 13:51:00,1627,18.3096,18.305,18.315,18.315,18.305,18
2024-04-17 13:52:00,532,18.3,18.3,18.3,18.3,18.3,10
2024-04-17 13:53:00,3801,18.2955,18.2958,18.3,18.3,18.295,11
2024-04-17 13:54:00,249,18.294,18.29,18.29,18.29,18.29,7
2024-04-17 13:55:00,270,18.2854,18.2842,18.285,18.285,18.2842,7
2024-04-17 13:56:00,344,18.2877,18.29,18.289,18.29,18.289,8
2024-04-17 13:57:00,6096,18.281,18.285,18.285,18.285,18.275,48
2024-04-17 13:58:00,3535,18.2887,18.2839,18.295,18.295,18.2839,26
2024-04-17 13:59:00,2010,18.2955,18.295,18.296,18.296,18.295,4
2024-04-17 14:00:00,5516,18.2887,18.295,18.275,18.296,18.275,57
2024-04-17 14:01:00,2215,18.2698,18.27,18.27,18.275,18.265,22
2024-04-17 14:02:00,5462,18.2846,18.28,18.29,18.29,18.27,51
2024-04-17 14:03:00,4226,18.2967,18.299,18.295,18.299,18.295,22
2024-04-17 14:04:00,6375,18.2992,18.295,18.315,18.315,18.295,74
2024-04-17 14:06:00,1635,18.3039,18.31,18.3,18.31,18.295,22
2024-04-17 14:07:00,1897,18.2943,18.3092,18.285,18.3092,18.285,19
2024-04-17 14:08:00,1228,18.2815,18.28,18.285,18.285,18.28,15
2024-04-17 14:09:00,468,18.2782,18.28,18.275,18.28,18.275,13
