t,v,vw,o,c,h,l,n
2023-07-28 13:30:00,133179.0,17.6314,17.64,17.595,17.66,17.58,381
2023-07-28 13:31:00,66943.0,17.6115,17.595,17.6,17.645,17.59,357
2023-07-28 13:32:00,56865.0,17.6029,17.6,17.57,17.64,17.56,306
2023-07-28 13:33:00,28413.0,17.6004,17.565,17.64,17.64,17.565,174
2023-07-28 13:34:00,14119.0,17.65,17.64,17.645,17.67,17.635,91
2023-07-28 13:35:00,31947.0,17.6806,17.645,17.735,17.735,17.645,173
2023-07-28 13:36:00,48825.0,17.7636,17.74,17.77,17.79,17.74,277
2023-07-28 13:37:00,13740.0,17.7729,17.78,17.775,17.78,17.75,112
2023-07-28 13:38:00,39688.0,17.7757,17.775,17.785,17.8,17.76,202
2023-07-28 13:39:00,11529.0,17.7772,17.785,17.78,17.79,17.765,101
2023-07-28 13:40:00,53689.0,17.8061,17.79,17.815,17.82,17.78,329
2023-07-28 13:41:00,41056.0,17.8068,17.815,17.805,17.815,17.79,266
2023-07-28 13:42:00,32119.0,17.8178,17.81,17.82,17.83,17.8,234
2023-07-28 13:43:00,9975.0,17.7937,17.815,17.77,17.815,17.77,105
2023-07-28 13:44:00,15579.0,17.7512,17.77,17.725,17.77,17.725,165
2023-07-28 13:45:00,24666.0,17.7151,17.725,17.7,17.74,17.695,200
2023-07-28 13:46:00,14625.0,17.6919,17.695,17.69,17.7,17.685,125
2023-07-28 13:47:00,43089.0,17.6894,17.69,17.71,17.71,17.67,291
2023-07-28 13:48:00,18752.0,17.7429,17.71,17.735,17.76,17.71,151
2023-07-28 13:49:00,21319.0,17.7188,17.735,17.7,17.74,17.7,149
2023-07-28 13:50:00,9462.0,17.6995,17.7,17.685,17.71,17.68,88
2023-07-28 13:51:00,22268.0,17.692,17.685,17.67,17.7,17.67,147
2023-07-28 13:52:00,5261.0,17.6565,17.66,17.645,17.665,17.645,60
2023-07-28 13:53:00,18086.0,17.6635,17.65,17.69,17.69,17.65,142
2023-07-28 13:54:00,30862.0,17.6985,17.68,17.695,17.705,17.68,193
2023-07-28 13:55:00,11025.0,17.697,17.7,17.695,17.7,17.69,78
2023-07-28 13:56:00,11695.0,17.6861,17.7,17.67,17.7,17.67,90
2023-07-28 13:57:00,10222.0,17.6836,17.675,17.695,17.695,17.67,77
2023-07-28 13:58:00,6449.0,17.6871,17.69,17.685,17.69,17.68,65
2023-07-28 13:59:00,2927.0,17.6838,17.69,17.685,17.69,17.68,24
2023-07-28 14:00:00,89823.0,17.6478,17.68,17.645,17.68,17.625,652
2023-07-28 14:01:00,8295.0,17.6567,17.645,17.66,17.67,17.645,86
2023-07-28 14:02:00,24045.0,17.6529,17.66,17.665,17.675,17.635,164
2023-07-28 14:03:00,13584.0,17.6499,17.665,17.63,17.67,17.625,84
2023-07-28 14:04:00,7438.0,17.6301,17.625,17.635,17.635,17.625,68
2023-07-28 14:05:00,8573.0,17.6308,17.63,17.635,17.635,17.6249,51
2023-07-28 14:06:00,5432.0,17.6273,17.635,17.62,17.635,17.615,59
2023-07-28 14:07:00,17589.0,17.6276,17.62,17.625,17.635,17.62,139
2023-07-28 14:08:00,1537.0,17.6254,17.625,17.625,17.63,17.62,33
2023-07-28 14:09:00,8328.0,17.6213,17.625,17.615,17.63,17.615,94
2023-07-28 14:10:00,47555.0,17.6123,17.615,17.615,17.62,17.6,160
2023-07-28 14:11:00,4975.0,17.6148,17.615,17.615,17.62,17.61,37
2023-07-28 14:12:00,2504.0,17.6151,17.615,17.61,17.62,17.61,54
2023-07-28 14:13:00,25582.0,17.627,17.62,17.625,17.64,17.62,156
2023-07-28 14:14:00,1319.0,17.6281,17.625,17.63,17.63,17.625,19
2023-07-28 14:15:00,5707.0,17.6302,17.625,17.64,17.64,17.62,66
2023-07-28 14:16:00,4240.0,17.6364,17.64,17.64,17.64,17.635,62
2023-07-28 14:17:00,21447.0,17.631,17.635,17.62,17.6375,17.62,143
2023-07-28 14:18:00,12684.0,17.6197,17.625,17.62,17.63,17.615,86
2023-07-28 14:19:00,12156.0,17.6189,17.615,17.625,17.625,17.61,118
2023-07-28 14:20:00,26899.0,17.6296,17.625,17.635,17.64,17.625,169
2023-07-28 14:21:00,5200.0,17.6296,17.635,17.625,17.635,17.625,45
2023-07-28 14:22:00,14904.0,17.6127,17.62,17.605,17.62,17.6,78
2023-07-28 14:23:00,2412.0,17.6069,17.605,17.605,17.61,17.6,59
2023-07-28 14:24:00,13813.0,17.595,17.6,17.59,17.6,17.58,99
2023-07-28 14:25:00,15526.0,17.5929,17.5814,17.605,17.605,17.58,97
2023-07-28 14:26:00,24930.0,17.5897,17.6,17.58,17.6,17.58,119
2023-07-28 14:27:00,9077.0,17.5702,17.57,17.575,17.575,17.56,93
2023-07-28 14:28:00,28024.0,17.5636,17.571,17.575,17.575,17.555,187
2023-07-28 14:29:00,3608.0,17.5738,17.575,17.575,17.575,17.57,38
2023-07-28 14:30:00,12441.0,17.5663,17.575,17.555,17.575,17.555,94
2023-07-28 14:31:00,8383.0,17.5593,17.555,17.565,17.565,17.55,83
2023-07-28 14:32:00,13101.0,17.5545,17.565,17.545,17.565,17.545,118
2023-07-28 14:33:00,14127.0,17.5548,17.55,17.555,17.56,17.55,91
2023-07-28 14:34:00,17308.0,17.5439,17.555,17.525,17.56,17.525,122
2023-07-28 14:35:00,11359.0,17.5282,17.525,17.5214,17.5299,17.52,32
2023-07-28 14:36:00,9586.0,17.5254,17.5299,17.52,17.53,17.52,76
2023-07-28 14:37:00,3143.0,17.5289,17.525,17.53,17.53,17.52,48
2023-07-28 14:38:00,18926.0,17.5345,17.525,17.55,17.55,17.52,146
2023-07-28 14:39:00,9938.0,17.5399,17.545,17.53,17.55,17.53,93
2023-07-28 14:40:00,4548.0,17.5332,17.535,17.53,17.535,17.53,40
2023-07-28 14:41:00,7846.0,17.5292,17.53,17.53,17.53,17.525,81
2023-07-28 14:42:00,12680.0,17.5289,17.525,17.525,17.5299,17.52,56
2023-07-28 14:43:00,26479.0,17.5292,17.525,17.535,17.535,17.52,112
2023-07-28 14:44:00,3093.0,17.5345,17.535,17.535,17.535,17.535,28
2023-07-28 14:45:00,11645.0,17.5275,17.535,17.5213,17.535,17.52,88
2023-07-28 14:46:00,26098.0,17.5345,17.525,17.55,17.55,17.525,178
2023-07-28 14:47:00,37023.0,17.5605,17.545,17.58,17.58,17.545,143
2023-07-28 14:48:00,9537.0,17.5848,17.58,17.5899,17.59,17.58,64
2023-07-28 14:49:00,45455.0,17.589,17.59,17.59,17.595,17.585,254
2023-07-28 14:50:00,4880.0,17.5918,17.595,17.59,17.6,17.59,70
2023-07-28 14:51:00,6571.0,17.5935,17.59,17.6,17.6,17.59,100
2023-07-28 14:52:00,31857.0,17.5875,17.6,17.58,17.6,17.575,155
2023-07-28 14:53:00,26123.0,17.5912,17.58,17.615,17.62,17.58,230
2023-07-28 14:54:00,32393.0,17.6155,17.61,17.625,17.6253,17.605,234
2023-07-28 14:55:00,16262.0,17.6161,17.625,17.62,17.625,17.61,122
2023-07-28 14:56:00,15945.0,17.6275,17.615,17.625,17.635,17.615,154
2023-07-28 14:57:00,5690.0,17.6194,17.625,17.62,17.625,17.62,83
2023-07-28 14:58:00,2960.0,17.6153,17.61,17.615,17.62,17.61,46
2023-07-28 14:59:00,11130.0,17.6087,17.61,17.615,17.615,17.6025,95
2023-07-28 15:00:00,3706.0,17.6135,17.61,17.62,17.62,17.61,54
2023-07-28 15:01:00,2268.0,17.615,17.615,17.61,17.62,17.61,39
2023-07-28 15:02:00,1336.0,17.6117,17.61,17.615,17.615,17.61,39
2023-07-28 15:03:00,7198.0,17.6216,17.615,17.625,17.63,17.61,128
2023-07-28 15:04:00,17446.0,17.63,17.625,17.635,17.64,17.62,113
2023-07-28 15:05:00,22185.0,17.6479,17.64,17.655,17.655,17.6388,174
2023-07-28 15:06:00,15842.0,17.6484,17.655,17.64,17.655,17.64,148
2023-07-28 15:07:00,10739.0,17.6395,17.645,17.635,17.645,17.635,139
2023-07-28 15:08:00,3029.0,17.6339,17.635,17.63,17.635,17.63,41
2023-07-28 15:09:00,4838.0,17.6343,17.635,17.63,17.635,17.63,82
2023-07-28 15:10:00,29857.0,17.6292,17.63,17.62,17.63,17.62,204
2023-07-28 15:11:00,16093.0,17.6143,17.62,17.605,17.6288,17.605,156
2023-07-28 15:12:00,4797.0,17.6075,17.605,17.605,17.61,17.605,74
2023-07-28 15:13:00,65245.0,17.6054,17.605,17.605,17.62,17.6,351
2023-07-28 15:14:00,3261.0,17.6044,17.605,17.6,17.61,17.6,65
2023-07-28 15:15:00,17024.0,17.6098,17.605,17.62,17.62,17.605,147
2023-07-28 15:16:00,17706.0,17.6194,17.62,17.6101,17.625,17.6101,130
2023-07-28 15:17:00,6291.0,17.6215,17.62,17.63,17.63,17.62,94
2023-07-28 15:18:00,4252.0,17.6217,17.625,17.63,17.63,17.62,49
2023-07-28 15:19:00,15057.0,17.6205,17.62,17.62,17.63,17.615,153
2023-07-28 15:20:00,5489.0,17.6207,17.615,17.625,17.63,17.615,67
2023-07-28 15:21:00,7845.0,17.6204,17.625,17.6289,17.63,17.62,108
2023-07-28 15:22:00,2771.0,17.6253,17.625,17.625,17.63,17.62,47
2023-07-28 15:23:00,3103.0,17.6262,17.625,17.625,17.63,17.625,48
2023-07-28 15:24:00,16422.0,17.6197,17.625,17.61,17.625,17.61,184
2023-07-28 15:25:00,21925.0,17.6194,17.615,17.625,17.625,17.615,148
2023-07-28 15:26:00,20381.0,17.6292,17.625,17.63,17.63,17.625,158
2023-07-28 15:27:00,16513.0,17.6212,17.63,17.625,17.63,17.62,44
2023-07-28 15:28:00,4167.0,17.6256,17.63,17.625,17.63,17.625,99
2023-07-28 15:29:00,6390.0,17.6287,17.625,17.6317,17.64,17.625,89
2023-07-28 15:30:00,3033.0,17.636,17.635,17.635,17.64,17.635,64
2023-07-28 15:31:00,3975.0,17.636,17.64,17.64,17.64,17.635,51
2023-07-28 15:32:00,25999.0,17.6276,17.635,17.625,17.635,17.62,211
2023-07-28 15:33:00,19099.0,17.613,17.625,17.6,17.625,17.6,189
2023-07-28 15:34:00,4275.0,17.6069,17.605,17.605,17.61,17.6004,70
2023-07-28 15:35:00,4923.0,17.6097,17.6,17.61,17.61,17.6,49
2023-07-28 15:36:00,4108.0,17.6058,17.6,17.61,17.61,17.6,57
2023-07-28 15:37:00,7295.0,17.6026,17.605,17.6011,17.61,17.6,87
2023-07-28 15:38:00,23049.0,17.5949,17.6075,17.585,17.6075,17.58,201
2023-07-28 15:39:00,3588.0,17.5859,17.585,17.585,17.59,17.58,38
2023-07-28 15:40:00,13219.0,17.5792,17.59,17.575,17.59,17.5722,130
2023-07-28 15:41:00,14117.0,17.5823,17.58,17.59,17.59,17.58,153
2023-07-28 15:42:00,22381.0,17.591,17.59,17.595,17.595,17.59,127
2023-07-28 15:43:00,14077.0,17.6002,17.595,17.595,17.61,17.595,141
2023-07-28 15:44:00,4631.0,17.5948,17.595,17.595,17.595,17.59,104
2023-07-28 15:45:00,10851.0,17.6006,17.5947,17.61,17.61,17.5947,81
2023-07-28 15:46:00,10931.0,17.6006,17.61,17.59,17.61,17.59,108
2023-07-28 15:47:00,292.0,17.5926,17.595,17.59,17.595,17.59,10
2023-07-28 15:48:00,27116.0,17.5988,17.595,17.595,17.6,17.59,108
2023-07-28 15:49:00,17377.0,17.5979,17.595,17.595,17.6,17.59,60
2023-07-28 15:50:00,43680.0,17.6052,17.5999,17.61,17.615,17.595,248
2023-07-28 15:51:00,14143.0,17.599,17.61,17.595,17.61,17.59,124
2023-07-28 15:52:00,25441.0,17.5865,17.59,17.575,17.595,17.57,154
2023-07-28 15:53:00,3987.0,17.5732,17.57,17.57,17.575,17.57,57
2023-07-28 15:54:00,6712.0,17.5697,17.575,17.565,17.575,17.56,92
2023-07-28 15:55:00,3825.0,17.5674,17.56,17.567,17.57,17.56,33
2023-07-28 15:56:00,17930.0,17.5624,17.56,17.58,17.58,17.5525,194
2023-07-28 15:57:00,1219.0,17.5769,17.575,17.58,17.58,17.575,17
2023-07-28 15:58:00,8733.0,17.5706,17.575,17.565,17.58,17.565,109
2023-07-28 15:59:00,24953.0,17.567,17.565,17.57,17.57,17.56,157
2023-07-28 16:00:00,60486.0,17.576,17.575,17.59,17.59,17.57,335
2023-07-28 16:01:00,3795.0,17.5861,17.585,17.585,17.59,17.58,49
2023-07-28 16:02:00,13003.0,17.5806,17.585,17.575,17.59,17.575,101
2023-07-28 16:03:00,5318.0,17.5689,17.57,17.565,17.57,17.565,65
2023-07-28 16:04:00,11007.0,17.5751,17.57,17.585,17.59,17.565,122
2023-07-28 16:05:00,2044.0,17.5859,17.59,17.585,17.59,17.585,22
2023-07-28 16:06:00,3105.0,17.5847,17.585,17.58,17.59,17.58,31
2023-07-28 16:07:00,7393.0,17.5796,17.59,17.575,17.59,17.57,89
2023-07-28 16:08:00,2021.0,17.576,17.57,17.575,17.58,17.57,29
2023-07-28 16:09:00,3022.0,17.572,17.575,17.575,17.575,17.57,38
2023-07-28 16:10:00,8149.0,17.5744,17.58,17.575,17.58,17.57,82
2023-07-28 16:11:00,14237.0,17.5805,17.58,17.585,17.59,17.57,119
2023-07-28 16:12:00,11697.0,17.5912,17.58,17.6,17.6,17.58,133
2023-07-28 16:13:00,55641.0,17.5909,17.595,17.6,17.6,17.58,305
2023-07-28 16:14:00,29236.0,17.5897,17.595,17.59,17.6,17.58,161
2023-07-28 16:15:00,5020.0,17.5903,17.59,17.6,17.6,17.585,58
2023-07-28 16:16:00,8103.0,17.5934,17.6,17.595,17.6,17.59,76
2023-07-28 16:17:00,15135.0,17.5872,17.595,17.58,17.595,17.58,92
2023-07-28 16:18:00,9214.0,17.5793,17.585,17.575,17.585,17.575,69
2023-07-28 16:19:00,21120.0,17.5803,17.58,17.575,17.59,17.575,167
2023-07-28 16:20:00,1874.0,17.5759,17.575,17.575,17.575,17.575,21
2023-07-28 16:21:00,700.0,17.5746,17.575,17.575,17.575,17.57,16
2023-07-28 16:22:00,11150.0,17.5801,17.575,17.58,17.58,17.575,75
2023-07-28 16:23:00,15338.0,17.5813,17.575,17.585,17.59,17.575,129
2023-07-28 16:24:00,3540.0,17.588,17.585,17.59,17.59,17.585,38
2023-07-28 16:25:00,4040.0,17.5868,17.585,17.59,17.59,17.58,51
2023-07-28 16:26:00,4057.0,17.5858,17.585,17.585,17.59,17.585,49
2023-07-28 16:27:00,6523.0,17.5881,17.59,17.59,17.59,17.58,103
2023-07-28 16:28:00,23362.0,17.5941,17.59,17.595,17.6,17.5801,147
2023-07-28 16:29:00,19827.0,17.5904,17.595,17.585,17.6,17.585,148
2023-07-28 16:30:00,2418.0,17.5853,17.585,17.585,17.585,17.585,27
2023-07-28 16:31:00,1506.0,17.5866,17.585,17.585,17.59,17.585,13
2023-07-28 16:32:00,30647.0,17.5892,17.585,17.585,17.59,17.58,158
2023-07-28 16:33:00,17443.0,17.5893,17.585,17.585,17.59,17.58,88
2023-07-28 16:34:00,5324.0,17.5889,17.59,17.585,17.59,17.585,57
2023-07-28 16:35:00,20664.0,17.5849,17.585,17.585,17.59,17.58,76
2023-07-28 16:36:00,59762.0,17.5918,17.59,17.6,17.605,17.5801,252
2023-07-28 16:37:00,429227.0,17.5996,17.595,17.585,17.6,17.58,95
2023-07-28 16:38:00,6281.0,17.5798,17.58,17.575,17.58,17.575,57
2023-07-28 16:39:00,2608.0,17.571,17.57,17.57,17.575,17.57,35
2023-07-28 16:40:00,24115.0,17.5677,17.57,17.565,17.57,17.56,120
2023-07-28 16:41:00,1278.0,17.5662,17.565,17.56,17.565,17.56,11
2023-07-28 16:42:00,9568.0,17.5572,17.56,17.55,17.56,17.55,87
2023-07-28 16:43:00,3795.0,17.5511,17.555,17.555,17.555,17.55,50
2023-07-28 16:44:00,20570.0,17.5601,17.555,17.56,17.565,17.555,118
2023-07-28 16:45:00,3889.0,17.5646,17.56,17.565,17.565,17.56,36
2023-07-28 16:46:00,3831.0,17.5647,17.56,17.565,17.57,17.56,50
2023-07-28 16:47:00,5291.0,17.5589,17.56,17.55,17.56,17.55,62
2023-07-28 16:48:00,11832.0,17.5496,17.55,17.54,17.56,17.54,85
2023-07-28 16:49:00,8664.0,17.5474,17.545,17.55,17.55,17.5422,90
2023-07-28 16:50:00,1385.0,17.5456,17.545,17.545,17.545,17.545,16
2023-07-28 16:51:00,6220.0,17.5486,17.545,17.545,17.55,17.545,87
2023-07-28 16:52:00,2522.0,17.5463,17.55,17.55,17.55,17.54,42
2023-07-28 16:53:00,1134.0,17.5448,17.545,17.545,17.55,17.54,22
2023-07-28 16:54:00,3063.0,17.5431,17.545,17.5475,17.55,17.54,78
2023-07-28 16:55:00,20362.0,17.5394,17.545,17.535,17.545,17.53,130
2023-07-28 16:56:00,44164.0,17.5458,17.53,17.545,17.55,17.53,121
2023-07-28 16:57:00,5790.0,17.5512,17.545,17.555,17.56,17.545,71
2023-07-28 16:58:00,34453.0,17.5427,17.555,17.545,17.555,17.5401,80
2023-07-28 16:59:00,36164.0,17.5493,17.545,17.555,17.555,17.545,89
2023-07-28 17:00:00,4534.0,17.5557,17.555,17.56,17.56,17.555,35
2023-07-28 17:01:00,27579.0,17.5574,17.556,17.555,17.56,17.55,71
2023-07-28 17:02:00,15353.0,17.55,17.5527,17.545,17.555,17.545,71
2023-07-28 17:03:00,9476.0,17.5325,17.545,17.525,17.545,17.52,120
2023-07-28 17:04:00,14993.0,17.5299,17.5284,17.535,17.535,17.525,74
2023-07-28 17:05:00,8866.0,17.5401,17.535,17.54,17.545,17.535,84
2023-07-28 17:06:00,890.0,17.5432,17.54,17.55,17.55,17.54,14
2023-07-28 17:07:00,5288.0,17.5378,17.54,17.54,17.54,17.535,83
2023-07-28 17:08:00,2626.0,17.5367,17.54,17.54,17.54,17.535,24
2023-07-28 17:09:00,2429.0,17.5357,17.535,17.54,17.54,17.535,38
2023-07-28 17:10:00,3713.0,17.5416,17.53,17.535,17.535,17.53,23
2023-07-28 17:11:00,2848.0,17.533,17.53,17.535,17.535,17.53,23
2023-07-28 17:12:00,5655.0,17.5361,17.535,17.535,17.54,17.5325,47
2023-07-28 17:13:00,2066.0,17.5359,17.54,17.535,17.54,17.535,28
2023-07-28 17:14:00,1624.0,17.5351,17.535,17.54,17.54,17.53,24
2023-07-28 17:15:00,3392.0,17.5361,17.535,17.535,17.54,17.53,33
2023-07-28 17:16:00,1603.0,17.5355,17.535,17.535,17.5388,17.535,16
2023-07-28 17:17:00,3917.0,17.5325,17.535,17.53,17.54,17.53,41
2023-07-28 17:18:00,7701.0,17.5363,17.53,17.5375,17.5375,17.53,26
2023-07-28 17:19:00,2841.0,17.533,17.535,17.535,17.5371,17.53,40
2023-07-28 17:20:00,3946.0,17.5312,17.53,17.535,17.535,17.53,38
2023-07-28 17:21:00,3949.0,17.5327,17.535,17.535,17.54,17.53,45
2023-07-28 17:22:00,11263.0,17.5301,17.535,17.52,17.54,17.52,105
2023-07-28 17:23:00,24312.0,17.519,17.52,17.515,17.52,17.515,147
2023-07-28 17:24:00,3941.0,17.5165,17.515,17.515,17.52,17.51,44
2023-07-28 17:25:00,5460.0,17.5186,17.515,17.515,17.515,17.51,32
2023-07-28 17:26:00,26683.0,17.5089,17.51,17.5,17.51,17.5,122
2023-07-28 17:27:00,34570.0,17.4996,17.5,17.505,17.505,17.49,158
2023-07-28 17:28:00,996.0,17.506,17.505,17.5086,17.51,17.505,12
2023-07-28 17:29:00,5662.0,17.5049,17.507,17.505,17.5086,17.5,19
2023-07-28 17:30:00,4252.0,17.5053,17.5,17.51,17.51,17.5,29
2023-07-28 17:31:00,35428.0,17.4971,17.505,17.485,17.51,17.48,148
2023-07-28 17:32:00,20829.0,17.4749,17.485,17.47,17.485,17.47,126
2023-07-28 17:33:00,36063.0,17.4617,17.47,17.455,17.4701,17.455,193
2023-07-28 17:34:00,32431.0,17.4498,17.46,17.445,17.46,17.44,91
2023-07-28 17:35:00,19718.0,17.445,17.44,17.435,17.45,17.435,108
2023-07-28 17:36:00,1138.0,17.4338,17.435,17.43,17.4367,17.43,18
2023-07-28 17:37:00,10991.0,17.4378,17.435,17.425,17.44,17.425,75
2023-07-28 17:38:00,3342.0,17.4216,17.425,17.42,17.425,17.42,24
2023-07-28 17:39:00,7597.0,17.419,17.42,17.415,17.43,17.41,93
2023-07-28 17:40:00,9803.0,17.4193,17.4117,17.425,17.425,17.4117,97
2023-07-28 17:41:00,3307.0,17.4245,17.425,17.425,17.43,17.4206,19
2023-07-28 17:42:00,14234.0,17.4288,17.42,17.435,17.44,17.42,88
2023-07-28 17:43:00,2557.0,17.4353,17.435,17.435,17.44,17.435,21
2023-07-28 17:44:00,8432.0,17.4292,17.435,17.43,17.435,17.425,94
2023-07-28 17:45:00,7573.0,17.4303,17.425,17.435,17.44,17.425,44
2023-07-28 17:46:00,13739.0,17.43,17.435,17.425,17.435,17.425,107
2023-07-28 17:47:00,955.0,17.4241,17.42,17.425,17.425,17.42,18
2023-07-28 17:48:00,5907.0,17.4243,17.425,17.4254,17.43,17.42,60
2023-07-28 17:49:00,1342.0,17.4223,17.42,17.425,17.43,17.42,27
2023-07-28 17:50:00,5521.0,17.4269,17.425,17.425,17.43,17.425,46
2023-07-28 17:51:00,3239.0,17.4265,17.425,17.425,17.43,17.425,34
