t,v,vw,o,c,h,l,n
2024-04-01 13:29:00,608,66.4911,66.5,66.45,66.52,66.45,7
2024-04-01 13:30:00,28496,66.5253,66.53,66.45,66.53,66.43,74
2024-04-01 13:31:00,2804,66.4983,66.475,66.525,66.54,66.475,32
2024-04-01 13:32:00,2723,66.4843,66.525,66.43,66.525,66.43,32
2024-04-01 13:33:00,5353,66.4373,66.47,66.45,66.47,66.37,59
2024-04-01 13:34:00,3779,66.3733,66.41,66.36,66.41,66.3,75
2024-04-01 13:35:00,5716,66.3181,66.35,66.3,66.36,66.29,53
2024-04-01 13:36:00,4537,66.2585,66.275,66.235,66.285,66.22,37
2024-04-01 13:37:00,9947,66.1185,66.2,66.11,66.2,66.07,110
2024-04-01 13:38:00,3623,66.0631,66.07,66.05,66.0925,66.03,85
2024-04-01 13:39:00,3994,66.1113,66.06,66.14,66.15,66.06,70
2024-04-01 13:40:00,7832,66.1327,66.13,66.185,66.185,66.11,119
2024-04-01 13:41:00,2805,66.251,66.185,66.28,66.3,66.185,52
2024-04-01 13:42:00,906,66.3154,66.3,66.38,66.38,66.3,19
2024-04-01 13:43:00,8192,66.3197,66.345,66.2871,66.38,66.27,117
2024-04-01 13:44:00,2598,66.3031,66.24,66.39,66.39,66.24,49
2024-04-01 13:45:00,6814,66.3657,66.34,66.36,66.39,66.32,88
2024-04-01 13:46:00,6587,66.3184,66.34,66.31,66.37,66.27,95
2024-04-01 13:47:00,6091,66.3346,66.34,66.34,66.35,66.31,98
2024-04-01 13:48:00,3887,66.3574,66.35,66.2962,66.375,66.28,77
2024-04-01 13:49:00,5105,66.2554,66.295,66.245,66.32,66.22,111
2024-04-01 13:50:00,2946,66.2471,66.24,66.225,66.265,66.225,69
2024-04-01 13:51:00,2262,66.2933,66.25,66.3,66.3296,66.25,44
2024-04-01 13:52:00,4244,66.3349,66.33,66.34,66.37,66.32,58
2024-04-01 13:53:00,2477,66.3308,66.36,66.29,66.36,66.29,60
2024-04-01 13:54:00,1863,66.2686,66.285,66.26,66.285,66.25,54
2024-04-01 13:55:00,3901,66.2589,66.255,66.29,66.29,66.25,81
2024-04-01 13:56:00,28449,66.2697,66.29,66.215,66.29,66.21,85
2024-04-01 13:57:00,2816,66.1963,66.21,66.18,66.21,66.18,40
2024-04-01 13:58:00,1348,66.1847,66.1801,66.18,66.19,66.18,33
2024-04-01 13:59:00,2527,66.1703,66.17,66.15,66.19,66.15,52
2024-04-01 14:00:00,4383,66.1308,66.13,66.07,66.15,66.07,82
2024-04-01 14:01:00,7560,66.0592,66.08,66.07,66.1,66.0399,92
2024-04-01 14:02:00,2706,66.0514,66.08,66.0,66.08,66.0,58
2024-04-01 14:03:00,2701,66.0109,66.02,66.0,66.03,65.99,76
2024-04-01 14:04:00,4761,65.9572,65.97,65.9,65.99,65.9,97
2024-04-01 14:05:00,3486,65.906,65.88,65.86,65.92,65.85,101
2024-04-01 14:06:00,783,65.8274,65.84,65.805,65.84,65.805,34
2024-04-01 14:07:00,6631,65.8086,65.805,65.78,65.84,65.78,128
2024-04-01 14:08:00,4217,65.8452,65.81,65.89,65.89,65.81,73
2024-04-01 14:09:00,1264,65.9093,65.92,65.91,65.92,65.9,52
2024-04-01 14:10:00,3224,65.9257,65.915,65.96,65.96,65.9,59
2024-04-01 14:11:00,2328,66.0274,66.0,66.06,66.06,66.0,73
2024-04-01 14:12:00,2389,66.0383,66.07,66.095,66.095,66.07,52
2024-04-01 14:13:00,4353,66.0858,66.085,66.08,66.1,66.07,67
2024-04-01 14:14:00,5657,66.0309,66.08,66.005,66.08,65.99,109
2024-04-01 14:15:00,3647,65.9653,65.99,65.985,65.99,65.94,89
2024-04-01 14:16:00,2043,65.9678,65.96,65.965,65.97,65.96,37
2024-04-01 14:17:00,2445,65.9761,65.97,65.995,65.995,65.95,49
2024-04-01 14:18:00,3731,66.0473,66.01,66.105,66.105,66.01,54
2024-04-01 14:19:00,4812,66.1067,66.105,66.095,66.135,66.09,114
2024-04-01 14:20:00,4156,66.0814,66.09,66.09,66.09,66.07,49
2024-04-01 14:21:00,3585,66.081,66.07,66.085,66.095,66.06,85
2024-04-01 14:22:00,5086,66.1054,66.09,66.08,66.12,66.08,96
2024-04-01 14:23:00,3994,66.0665,66.07,66.07,66.07,66.05,89
2024-04-01 14:24:00,1989,66.0559,66.065,66.05,66.07,66.05,57
2024-04-01 14:25:00,5680,66.0327,66.0475,66.02,66.05,66.005,114
2024-04-01 14:26:00,1311,66.0332,66.025,66.05,66.05,66.025,33
