t,v,vw,o,c,h,l,n
2024-04-17 10:47:00,435,156.3131,156.42,156.42,156.42,156.42,12
2024-04-17 12:25:00,1174,156.3094,156.31,156.31,156.31,156.31,12
2024-04-17 13:21:00,676,156.1837,156.19,156.2,156.2,156.19,7
2024-04-17 13:27:00,293,155.9634,155.9,155.9,155.9,155.9,14
2024-04-17 13:29:00,1806,155.878,155.91,155.78,156.0,155.78,18
2024-04-17 13:30:00,176393,156.4636,156.3,156.67,156.685,156.17,665
2024-04-17 13:31:00,35917,156.7137,156.71,156.605,156.87,156.55,577
2024-04-17 13:32:00,37323,156.5375,156.615,156.69,156.69,156.38,411
2024-04-17 13:33:00,38401,156.4707,156.74,156.515,156.74,156.32,663
2024-04-17 13:34:00,13477,156.5332,156.51,156.47,156.6,156.47,271
2024-04-17 13:35:00,28090,156.3998,156.49,156.345,156.51,156.29,376
2024-04-17 13:36:00,19202,156.4479,156.37,156.45,156.58,156.36,306
2024-04-17 13:37:00,15735,156.4541,156.46,156.48,156.53,156.415,345
2024-04-17 13:38:00,55167,156.41,156.54,156.42,156.54,156.29,489
2024-04-17 13:39:00,17636,156.447,156.42,156.47,156.51,156.385,290
2024-04-17 13:40:00,19355,156.3802,156.47,156.285,156.47,156.285,384
2024-04-17 13:41:00,33622,156.3176,156.27,156.32,156.39,156.255,478
2024-04-17 13:42:00,30269,156.2545,156.33,156.19,156.33,156.18,508
2024-04-17 13:43:00,20705,156.2018,156.19,156.14,156.26,156.135,367
2024-04-17 13:44:00,45725,156.0942,156.15,156.155,156.1625,156.05,520
2024-04-17 13:45:00,23282,156.1413,156.155,156.16,156.2,156.06,391
2024-04-17 13:46:00,10784,156.1324,156.165,156.115,156.165,156.1,405
2024-04-17 13:47:00,46669,156.1913,156.11,156.29,156.31,156.11,558
2024-04-17 13:48:00,13081,156.25,156.29,156.215,156.31,156.19,587
2024-04-17 13:49:00,18679,156.2235,156.2,156.165,156.28,156.16,574
2024-04-17 13:50:00,39680,156.1644,156.17,156.31,156.31,156.1,864
2024-04-17 13:51:00,12724,156.3195,156.31,156.37,156.38,156.27,546
2024-04-17 13:52:00,14910,156.3467,156.38,156.315,156.38,156.31,666
2024-04-17 13:53:00,14882,156.4695,156.33,156.55,156.58,156.33,605
2024-04-17 13:54:00,13122,156.6259,156.565,156.6,156.67,156.56,463
2024-04-17 13:55:00,48900,156.5861,156.59,156.51,156.66,156.5,759
2024-04-17 13:56:00,14816,156.5122,156.52,156.53,156.56,156.43,543
2024-04-17 13:57:00,11081,156.5503,156.55,156.51,156.605,156.49,485
2024-04-17 13:58:00,8663,156.4999,156.52,156.5,156.52,156.48,476
2024-04-17 13:59:00,8422,156.4669,156.5,156.38,156.51,156.38,492
2024-04-17 14:00:00,16172,156.3799,156.38,156.38,156.42,156.35,567
2024-04-17 14:01:00,9086,156.33,156.34,156.32,156.35,156.29,564
2024-04-17 14:02:00,9977,156.4038,156.33,156.46,156.48,156.33,516
2024-04-17 14:03:00,10821,156.4604,156.47,156.38,156.51,156.38,512
2024-04-17 14:04:00,16876,156.3813,156.415,156.38,156.43,156.32,391
2024-04-17 14:05:00,15892,156.3469,156.35,156.36,156.38,156.29,464
2024-04-17 14:06:00,10743,156.4073,156.37,156.44,156.44,156.37,452
2024-04-17 14:07:00,15437,156.4225,156.45,156.5,156.5,156.385,451
2024-04-17 14:08:00,9375,156.5346,156.51,156.56,156.56,156.5,496
2024-04-17 14:09:00,7757,156.5685,156.55,156.61,156.62,156.53,459
2024-04-17 14:10:00,18896,156.6145,156.62,156.54,156.68,156.53,478
2024-04-17 14:11:00,29464,156.5139,156.55,156.53,156.55,156.45,443
2024-04-17 14:12:00,26577,156.5019,156.52,156.42,156.565,156.405,382
2024-04-17 14:13:00,24571,156.3976,156.41,156.38,156.48,156.38,185
2024-04-17 14:14:00,10565,156.397,156.37,156.41,156.44,156.36,212
2024-04-17 14:15:00,12430,156.4075,156.41,156.44,156.44,156.36,223
2024-04-17 14:16:00,12213,156.4655,156.45,156.46,156.5,156.44,200
2024-04-17 14:17:00,18102,156.4009,156.45,156.345,156.45,156.33,230
2024-04-17 14:18:00,15450,156.3292,156.345,156.38,156.385,156.29,197
2024-04-17 14:19:00,5826,156.3479,156.375,156.36,156.375,156.31,152
2024-04-17 14:20:00,8034,156.3119,156.35,156.275,156.37,156.275,149
2024-04-17 14:21:00,13116,156.2402,156.275,156.23,156.275,156.2,265
2024-04-17 14:22:00,11497,156.2234,156.24,156.2,156.28,156.18,191
2024-04-17 14:23:00,7920,156.2071,156.19,156.21,156.22,156.19,172
2024-04-17 14:24:00,10645,156.1937,156.22,156.2,156.24,156.15,184
2024-04-17 14:25:00,4854,156.2516,156.22,156.285,156.29,156.22,138
2024-04-17 14:26:00,7592,156.2681,156.29,156.22,156.3,156.22,157
2024-04-17 14:27:00,9839,156.2272,156.22,156.17,156.26,156.17,192
2024-04-17 14:28:00,5328,156.17,156.18,156.16,156.19,156.1572,122
2024-04-17 14:29:00,8909,156.1021,156.145,156.08,156.16,156.08,195
2024-04-17 14:30:00,6335,156.0893,156.07,156.07,156.11,156.05,134
2024-04-17 14:31:00,10838,156.0631,156.08,156.06,156.09,156.03,258
2024-04-17 14:32:00,5156,156.0524,156.06,156.05,156.06,156.04,119
2024-04-17 14:33:00,4662,156.0605,156.03,156.08,156.08,156.03,108
2024-04-17 14:34:00,7324,156.1017,156.09,156.08,156.13,156.08,149
2024-04-17 14:35:00,7900,156.1193,156.095,156.16,156.17,156.0907,161
2024-04-17 14:36:00,4901,156.1428,156.165,156.13,156.165,156.13,138
2024-04-17 14:37:00,8078,156.1079,156.14,156.1,156.15,156.07,193
2024-04-17 14:38:00,6350,156.1107,156.11,156.11,156.13,156.08,144
2024-04-17 14:39:00,21545,156.105,156.115,156.12,156.16,156.08,257
2024-04-17 14:40:00,14493,156.115,156.11,156.1227,156.14,156.09,236
2024-04-17 14:41:00,18632,156.1458,156.12,156.16,156.18,156.12,232
2024-04-17 14:42:00,8970,156.1411,156.15,156.1,156.17,156.09,204
2024-04-17 14:43:00,21236,156.0407,156.11,156.02,156.12,155.98,364
2024-04-17 14:44:00,6779,156.0045,156.02,156.045,156.045,155.98,148
2024-04-17 14:45:00,6579,156.0227,156.045,156.016,156.045,156.0,129
2024-04-17 14:46:00,8341,156.0542,156.01,156.1,156.1,156.01,213
2024-04-17 14:47:00,14358,156.1274,156.12,156.105,156.17,156.105,183
2024-04-17 14:48:00,9223,156.0988,156.1,156.08,156.12,156.08,216
2024-04-17 14:49:00,12161,156.0285,156.08,156.02,156.08,156.0,201
2024-04-17 14:50:00,6521,155.9864,156.015,155.97,156.02,155.96,163
2024-04-17 14:51:00,17903,155.9885,155.97,155.95,156.03,155.94,321
2024-04-17 14:52:00,8297,155.9412,155.97,155.95,155.97,155.91,205
2024-04-17 14:53:00,6320,155.9865,155.95,156.02,156.02,155.95,168
2024-04-17 14:54:00,8637,156.0101,156.0,156.035,156.04,155.97,189
2024-04-17 14:55:00,14008,156.0759,156.03,156.03,156.12,156.03,241
2024-04-17 14:56:00,12604,156.0673,156.04,156.095,156.095,156.04,209
2024-04-17 14:57:00,10507,156.0954,156.1,156.09,156.11,156.06,203
2024-04-17 14:58:00,9120,156.0852,156.1,156.065,156.11,156.05,153
