t,v,vw,o,c,h,l,n
2023-11-17 10:14:00,550,31.2439,31.25,31.25,31.25,31.25,13
2023-11-17 11:14:00,183,31.4,31.4,31.4,31.4,31.4,2
2023-11-17 12:10:00,200,31.35,31.35,31.35,31.35,31.35,1
2023-11-17 12:54:00,500,31.3987,31.4,31.4,31.4,31.4,10
2023-11-17 13:22:00,250,31.4779,31.4999,31.4999,31.4999,31.4999,3
2023-11-17 13:33:00,100,31.37,31.37,31.37,31.37,31.37,1
2023-11-17 13:48:00,200,31.4588,31.4588,31.4588,31.4588,31.4588,1
2023-11-17 13:51:00,739,31.3222,31.3,31.3,31.3,31.3,18
2023-11-17 13:52:00,1500,31.36,31.36,31.36,31.36,31.36,2
2023-11-17 14:07:00,11830,31.2765,31.31,31.3,31.31,31.3,15
2023-11-17 14:16:00,202,31.3346,31.34,31.34,31.34,31.34,4
2023-11-17 14:17:00,210,31.2299,31.22,31.22,31.22,31.22,8
2023-11-17 14:29:00,3038,31.27,31.27,31.27,31.27,31.27,1
2023-11-17 14:30:00,79305,31.1955,31.26,31.19,31.26,31.112,174
2023-11-17 14:31:00,27699,31.1964,31.2,31.21,31.2299,31.17,186
2023-11-17 14:32:00,13610,31.2465,31.23,31.265,31.265,31.23,129
2023-11-17 14:33:00,8464,31.2566,31.28,31.28,31.295,31.23,81
2023-11-17 14:34:00,23803,31.2864,31.268,31.3399,31.34,31.2413,171
2023-11-17 14:35:00,14546,31.2903,31.34,31.315,31.34,31.26,170
2023-11-17 14:36:00,12855,31.301,31.31,31.32,31.32,31.285,112
2023-11-17 14:37:00,20178,31.2806,31.32,31.275,31.33,31.24,194
2023-11-17 14:38:00,8733,31.2797,31.28,31.305,31.31,31.26,103
2023-11-17 14:39:00,9841,31.3066,31.32,31.3,31.33,31.29,108
2023-11-17 14:40:00,22850,31.2455,31.3,31.225,31.32,31.22,173
2023-11-17 14:41:00,50681,31.2049,31.225,31.16,31.245,31.155,413
2023-11-17 14:42:00,62765,31.1099,31.16,31.1,31.16,31.07,482
2023-11-17 14:43:00,16532,31.1035,31.11,31.095,31.13,31.085,200
2023-11-17 14:44:00,24605,31.1147,31.0999,31.13,31.13,31.0999,193
2023-11-17 14:45:00,19544,31.1531,31.14,31.15,31.17,31.13,215
2023-11-17 14:46:00,27781,31.1114,31.14,31.105,31.14,31.09,250
2023-11-17 14:47:00,41186,31.0843,31.11,31.09,31.125,31.04,309
2023-11-17 14:48:00,30960,31.0866,31.08,31.06,31.12,31.06,235
2023-11-17 14:49:00,25774,31.0698,31.055,31.085,31.09,31.045,223
2023-11-17 14:50:00,38873,31.0612,31.08,31.045,31.11,31.02,312
2023-11-17 14:51:00,30621,31.0871,31.045,31.11,31.12,31.045,338
2023-11-17 14:52:00,25131,31.1075,31.1,31.13,31.135,31.08,232
2023-11-17 14:53:00,21387,31.1413,31.125,31.145,31.16,31.115,164
2023-11-17 14:54:00,27225,31.1517,31.15,31.135,31.18,31.13,141
2023-11-17 14:55:00,12164,31.1454,31.14,31.13,31.16,31.12,118
2023-11-17 14:56:00,19247,31.1359,31.13,31.1447,31.155,31.11,192
2023-11-17 14:57:00,18611,31.1359,31.145,31.115,31.15,31.11,151
2023-11-17 14:58:00,17527,31.1148,31.1125,31.105,31.125,31.105,156
2023-11-17 14:59:00,12811,31.1133,31.11,31.115,31.125,31.1,124
2023-11-17 15:00:00,45497,31.0547,31.115,31.07,31.12,31.01,354
2023-11-17 15:01:00,42546,31.074,31.07,31.055,31.1,31.055,224
2023-11-17 15:02:00,45535,31.0399,31.06,31.05,31.06,31.025,225
2023-11-17 15:03:00,121641,30.9926,31.04,31.005,31.04,30.96,745
2023-11-17 15:04:00,47754,31.0214,31.005,31.03,31.04,31.002,320
2023-11-17 15:05:00,57347,31.0721,31.035,31.05,31.11,31.035,343
2023-11-17 15:06:00,33456,31.0678,31.05,31.065,31.0999,31.045,158
2023-11-17 15:07:00,27684,31.0685,31.06,31.06,31.095,31.06,211
2023-11-17 15:08:00,14333,31.0914,31.065,31.115,31.115,31.065,123
2023-11-17 15:09:00,9969,31.1097,31.12,31.11,31.1299,31.09,98
2023-11-17 15:10:00,15458,31.1249,31.115,31.135,31.145,31.105,140
2023-11-17 15:11:00,15295,31.1433,31.135,31.155,31.1612,31.125,121
2023-11-17 15:12:00,28341,31.1338,31.155,31.14,31.16,31.1,197
2023-11-17 15:13:00,21584,31.0966,31.14,31.09,31.14,31.07,201
2023-11-17 15:14:00,47484,31.0464,31.09,31.08,31.09,31.02,305
2023-11-17 15:15:00,22675,31.1085,31.09,31.15,31.15,31.09,161
2023-11-17 15:16:00,14067,31.1583,31.15,31.175,31.18,31.13,141
2023-11-17 15:17:00,12411,31.1631,31.175,31.155,31.18,31.15,123
2023-11-17 15:18:00,29012,31.1781,31.16,31.16,31.205,31.155,279
2023-11-17 15:19:00,9038,31.1669,31.16,31.18,31.18,31.155,87
2023-11-17 15:20:00,25900,31.2082,31.2,31.21,31.24,31.18,236
2023-11-17 15:21:00,33259,31.2127,31.215,31.21,31.235,31.18,306
2023-11-17 15:22:00,39150,31.2125,31.21,31.19,31.25,31.18,308
2023-11-17 15:23:00,25119,31.1933,31.19,31.185,31.21,31.18,220
2023-11-17 15:24:00,31323,31.193,31.18,31.205,31.205,31.18,300
2023-11-17 15:25:00,25868,31.2031,31.2,31.18,31.22,31.18,206
2023-11-17 15:26:00,17221,31.1714,31.18,31.17,31.18,31.16,157
2023-11-17 15:27:00,11899,31.173,31.175,31.16,31.185,31.16,112
2023-11-17 15:28:00,34184,31.1651,31.165,31.165,31.175,31.15,309
2023-11-17 15:29:00,24593,31.1546,31.1654,31.1525,31.1654,31.14,184
2023-11-17 15:30:00,15222,31.1507,31.165,31.125,31.165,31.12,150
2023-11-17 15:31:00,19591,31.1239,31.12,31.14,31.145,31.105,202
2023-11-17 15:32:00,14922,31.1346,31.135,31.115,31.145,31.115,157
2023-11-17 15:33:00,11235,31.1175,31.11,31.115,31.12,31.105,83
2023-11-17 15:34:00,20856,31.1098,31.115,31.11,31.13,31.09,175
2023-11-17 15:35:00,17632,31.119,31.105,31.1418,31.145,31.105,145
2023-11-17 15:36:00,26174,31.1223,31.15,31.09,31.155,31.085,251
2023-11-17 15:37:00,14308,31.1119,31.095,31.13,31.13,31.095,153
2023-11-17 15:38:00,14177,31.1241,31.127,31.12,31.14,31.11,151
2023-11-17 15:39:00,14208,31.1573,31.125,31.19,31.195,31.125,158
2023-11-17 15:40:00,7894,31.1902,31.185,31.23,31.23,31.175,104
2023-11-17 15:41:00,16297,31.2187,31.23,31.205,31.24,31.2,159
2023-11-17 15:42:00,25337,31.2364,31.22,31.24,31.25,31.21,177
2023-11-17 15:43:00,30256,31.2579,31.23,31.275,31.29,31.22,238
2023-11-17 15:44:00,18463,31.281,31.27,31.2912,31.305,31.26,131
2023-11-17 15:45:00,19645,31.2789,31.295,31.265,31.3,31.26,161
2023-11-17 15:46:00,15134,31.2563,31.265,31.24,31.27,31.23,153
2023-11-17 15:47:00,13739,31.2497,31.24,31.28,31.28,31.225,131
2023-11-17 15:48:00,15951,31.279,31.275,31.275,31.305,31.255,167
2023-11-17 15:49:00,14433,31.2629,31.275,31.265,31.295,31.255,124
2023-11-17 15:50:00,7442,31.29,31.27,31.29,31.2991,31.27,69
2023-11-17 15:51:00,19229,31.2953,31.29,31.3,31.305,31.2802,167
2023-11-17 15:52:00,20064,31.3019,31.3,31.2814,31.31,31.2814,187
2023-11-17 15:53:00,23223,31.2907,31.29,31.305,31.31,31.275,208
2023-11-17 15:54:00,22178,31.3196,31.305,31.32,31.335,31.305,237
2023-11-17 15:55:00,16611,31.3097,31.325,31.295,31.325,31.295,148
2023-11-17 15:56:00,19086,31.3033,31.3,31.295,31.33,31.29,114
2023-11-17 15:57:00,14003,31.295,31.295,31.305,31.305,31.285,120
2023-11-17 15:58:00,20660,31.2866,31.3,31.28,31.3,31.275,191
2023-11-17 15:59:00,28400,31.2659,31.275,31.24,31.28,31.235,205
2023-11-17 16:00:00,38337,31.257,31.245,31.255,31.275,31.2401,203
2023-11-17 16:01:00,12521,31.2576,31.26,31.2501,31.275,31.25,115
2023-11-17 16:02:00,14908,31.2326,31.25,31.24,31.25,31.225,121
2023-11-17 16:03:00,13672,31.207,31.23,31.195,31.23,31.19,134
2023-11-17 16:04:00,19738,31.2126,31.2,31.21,31.22,31.195,168
2023-11-17 16:05:00,36887,31.2025,31.215,31.16,31.22,31.16,264
2023-11-17 16:06:00,16615,31.1767,31.16,31.19,31.19,31.16,147
2023-11-17 16:07:00,14237,31.2027,31.195,31.2281,31.2281,31.1901,146
2023-11-17 16:08:00,9860,31.2173,31.225,31.22,31.23,31.21,100
2023-11-17 16:09:00,13803,31.2343,31.23,31.27,31.27,31.225,91
2023-11-17 16:10:00,20593,31.2539,31.265,31.25,31.27,31.23,173
2023-11-17 16:11:00,7308,31.2305,31.245,31.24,31.245,31.21,86
2023-11-17 16:12:00,5065,31.2378,31.24,31.235,31.24,31.235,50
2023-11-17 16:13:00,10736,31.2458,31.24,31.255,31.26,31.23,107
2023-11-17 16:14:00,14027,31.2596,31.26,31.24,31.28,31.24,159
2023-11-17 16:15:00,13527,31.2392,31.24,31.25,31.25,31.23,122
2023-11-17 16:16:00,18896,31.2352,31.25,31.225,31.25,31.22,183
2023-11-17 16:17:00,12488,31.2244,31.22,31.245,31.245,31.21,125
2023-11-17 16:18:00,8782,31.2493,31.24,31.265,31.265,31.235,83
2023-11-17 16:19:00,9932,31.2633,31.26,31.275,31.275,31.25,120
2023-11-17 16:20:00,14035,31.2578,31.275,31.255,31.28,31.245,139
2023-11-17 16:21:00,13044,31.2667,31.26,31.265,31.28,31.255,115
2023-11-17 16:22:00,13684,31.2779,31.265,31.265,31.295,31.265,145
2023-11-17 16:23:00,3815,31.2695,31.265,31.275,31.275,31.26,49
2023-11-17 16:24:00,15741,31.278,31.275,31.29,31.295,31.275,141
2023-11-17 16:25:00,13265,31.2783,31.28,31.295,31.295,31.2645,149
2023-11-17 16:26:00,31507,31.2998,31.295,31.31,31.325,31.2811,245
2023-11-17 16:27:00,23326,31.3194,31.3187,31.32,31.33,31.3099,162
2023-11-17 16:28:00,11867,31.3285,31.33,31.325,31.335,31.32,97
2023-11-17 16:29:00,13224,31.3284,31.325,31.33,31.34,31.32,126
2023-11-17 16:30:00,15956,31.3191,31.325,31.335,31.335,31.31,163
2023-11-17 16:31:00,26844,31.3373,31.335,31.3301,31.35,31.325,196
2023-11-17 16:32:00,12828,31.3168,31.335,31.305,31.335,31.295,142
2023-11-17 16:33:00,14971,31.3151,31.3,31.33,31.33,31.3,149
2023-11-17 16:34:00,35638,31.3403,31.34,31.355,31.36,31.33,170
2023-11-17 16:35:00,18859,31.3507,31.355,31.335,31.36,31.335,190
2023-11-17 16:36:00,18798,31.35,31.335,31.365,31.379,31.335,162
2023-11-17 16:37:00,18421,31.3335,31.36,31.34,31.36,31.31,182
2023-11-17 16:38:00,16479,31.3554,31.35,31.35,31.3685,31.345,126
2023-11-17 16:39:00,14215,31.3845,31.35,31.3801,31.3993,31.35,106
2023-11-17 16:40:00,10844,31.3734,31.38,31.375,31.38,31.365,90
2023-11-17 16:41:00,26226,31.4098,31.38,31.435,31.435,31.38,213
2023-11-17 16:42:00,19729,31.4158,31.435,31.4,31.44,31.38,190
2023-11-17 16:43:00,20007,31.4149,31.4087,31.415,31.425,31.395,118
2023-11-17 16:44:00,14082,31.4335,31.415,31.445,31.455,31.415,102
2023-11-17 16:45:00,14610,31.4427,31.44,31.445,31.45,31.435,93
2023-11-17 16:46:00,18936,31.4587,31.45,31.455,31.475,31.445,149
2023-11-17 16:47:00,34683,31.4398,31.45,31.445,31.47,31.42,236
2023-11-17 16:48:00,17340,31.4292,31.44,31.43,31.445,31.415,103
2023-11-17 16:49:00,17206,31.4337,31.44,31.44,31.445,31.42,182
2023-11-17 16:50:00,87462,31.3679,31.43,31.415,31.455,31.41,115
2023-11-17 16:51:00,26971,31.4382,31.42,31.445,31.45,31.42,235
2023-11-17 16:52:00,17632,31.4532,31.445,31.465,31.47,31.435,124
2023-11-17 16:53:00,8355,31.4671,31.46,31.465,31.4784,31.455,106
2023-11-17 16:54:00,14049,31.4795,31.47,31.48,31.485,31.47,129
2023-11-17 16:55:00,20521,31.4979,31.485,31.5,31.51,31.485,157
2023-11-17 16:56:00,17597,31.5276,31.51,31.5284,31.555,31.505,196
2023-11-17 16:57:00,34396,31.4708,31.52,31.535,31.535,31.52,51
2023-11-17 16:58:00,20876,31.5379,31.54,31.535,31.55,31.5231,141
2023-11-17 16:59:00,12706,31.5494,31.53,31.58,31.58,31.525,139
2023-11-17 17:00:00,34994,31.5653,31.575,31.55,31.585,31.54,335
2023-11-17 17:01:00,10566,31.5688,31.56,31.575,31.575,31.56,75
2023-11-17 17:02:00,32805,31.5805,31.58,31.575,31.595,31.56,200
2023-11-17 17:03:00,11077,31.5822,31.58,31.595,31.595,31.575,93
2023-11-17 17:04:00,17401,31.5812,31.595,31.58,31.595,31.565,147
2023-11-17 17:05:00,49062,31.5897,31.58,31.585,31.63,31.56,339
2023-11-17 17:06:00,8888,31.5959,31.585,31.605,31.605,31.58,90
2023-11-17 17:07:00,18844,31.6067,31.6001,31.58,31.62,31.575,120
2023-11-17 17:08:00,12443,31.5982,31.58,31.61,31.62,31.58,101
2023-11-17 17:09:00,13145,31.5838,31.605,31.58,31.605,31.57,130
2023-11-17 17:10:00,12671,31.5626,31.575,31.585,31.585,31.55,142
2023-11-17 17:11:00,27229,31.5898,31.58,31.59,31.6,31.575,99
2023-11-17 17:12:00,7128,31.5762,31.59,31.565,31.59,31.565,80
2023-11-17 17:13:00,16961,31.5898,31.58,31.595,31.6,31.5799,132
2023-11-17 17:14:00,63039,31.5828,31.5902,31.575,31.6,31.565,283
2023-11-17 17:15:00,65365,31.5715,31.58,31.56,31.58,31.56,113
2023-11-17 17:16:00,10241,31.578,31.565,31.595,31.595,31.565,107
2023-11-17 17:17:00,93953,31.574,31.595,31.55,31.595,31.545,647
2023-11-17 17:18:00,37527,31.537,31.555,31.535,31.555,31.5201,249
