t,v,vw,o,c,h,l,n
2023-12-04 09:00:00,1193.0,4.5462,4.53,4.57,4.57,4.53,28
2023-12-04 09:01:00,2502.0,4.5511,4.55,4.55,4.56,4.55,22
2023-12-04 09:03:00,2030.0,4.5504,4.55,4.55,4.555,4.55,11
2023-12-04 09:04:00,445.0,4.55,4.55,4.55,4.55,4.55,9
2023-12-04 09:05:00,2897.0,4.55,4.55,4.55,4.55,4.55,18
2023-12-04 09:06:00,3481.0,4.55,4.55,4.55,4.55,4.55,13
2023-12-04 09:07:00,430.0,4.5481,4.55,4.545,4.55,4.545,3
2023-12-04 09:08:00,620.0,4.5402,4.54,4.54,4.54,4.54,5
2023-12-04 09:10:00,252.0,4.54,4.54,4.54,4.54,4.54,5
2023-12-04 09:11:00,119.0,4.5255,4.525,4.525,4.525,4.525,4
2023-12-04 09:12:00,757.0,4.524,4.52,4.53,4.53,4.52,6
2023-12-04 09:18:00,1446.0,4.5279,4.53,4.53,4.53,4.52,10
2023-12-04 09:24:00,3084.0,4.52,4.52,4.52,4.52,4.52,20
2023-12-04 09:25:00,510.0,4.51,4.51,4.51,4.51,4.51,5
2023-12-04 09:27:00,6402.0,4.5015,4.5,4.5,4.52,4.5,36
2023-12-04 09:28:00,5600.0,4.5005,4.5,4.51,4.51,4.5,14
2023-12-04 09:29:00,6140.0,4.4807,4.48,4.47,4.48,4.47,60
2023-12-04 09:30:00,1243.0,4.4833,4.49,4.48,4.49,4.48,18
2023-12-04 09:31:00,5297.0,4.4761,4.47,4.47,4.48,4.46,49
2023-12-04 09:32:00,8686.0,4.469,4.47,4.46,4.47,4.46,53
2023-12-04 09:33:00,2728.0,4.4669,4.47,4.47,4.47,4.46,15
2023-12-04 09:34:00,196.0,4.4701,4.47,4.47,4.47,4.47,2
2023-12-04 09:35:00,1084.0,4.4754,4.48,4.47,4.48,4.47,7
2023-12-04 09:36:00,608.0,4.4799,4.48,4.48,4.48,4.48,5
2023-12-04 09:37:00,201.0,4.48,4.48,4.48,4.48,4.48,2
2023-12-04 09:38:00,709.0,4.48,4.48,4.48,4.48,4.48,6
