t,v,vw,o,c,h,l,n
2024-03-18 11:10:00,100,93.9,93.9,93.9,93.9,93.9,1
2024-03-18 11:45:00,176,93.9,93.9,93.9,93.9,93.9,1
2024-03-18 12:00:00,170,93.9495,93.96,93.96,93.96,93.96,6
2024-03-18 12:11:00,200,93.9,93.9,93.9,93.9,93.9,1
2024-03-18 12:40:00,4176,93.9238,93.9,93.9,94.0,93.9,65
2024-03-18 13:30:00,98510,94.2527,94.1,94.55,94.55,94.1,441
2024-03-18 13:31:00,13474,94.5567,94.59,94.43,94.675,94.43,203
2024-03-18 13:32:00,13509,94.3816,94.45,94.35,94.45,94.33,181
2024-03-18 13:33:00,6444,94.2691,94.33,94.2686,94.34,94.2,109
2024-03-18 13:34:00,17255,94.2483,94.28,94.16,94.3,94.16,209
2024-03-18 13:35:00,14974,94.1174,94.16,93.925,94.18,93.925,156
2024-03-18 13:36:00,18964,93.9299,93.94,93.9513,93.98,93.86,194
2024-03-18 13:37:00,20180,94.0772,93.9702,94.17,94.2062,93.97,199
2024-03-18 13:38:00,16006,94.1633,94.175,94.06,94.21,94.06,168
2024-03-18 13:39:00,14007,94.0376,94.08,93.87,94.09,93.87,136
2024-03-18 13:40:00,17977,93.9542,93.8986,94.04,94.05,93.88,235
2024-03-18 13:41:00,10252,93.9328,94.0378,93.9,94.0378,93.86,175
2024-03-18 13:42:00,10820,93.9611,93.8932,93.94,93.995,93.8932,192
2024-03-18 13:43:00,15295,93.9756,93.9,93.99,94.01,93.88,152
2024-03-18 13:44:00,10485,94.012,94.005,93.97,94.05,93.97,172
2024-03-18 13:45:00,15763,93.8789,93.93,93.865,93.93,93.86,151
2024-03-18 13:46:00,43217,93.7582,93.85,93.69,93.85,93.69,341
2024-03-18 13:47:00,17258,93.7417,93.7,93.81,93.81,93.68,233
2024-03-18 13:48:00,9655,93.8426,93.81,93.7977,93.89,93.7977,178
2024-03-18 13:49:00,7720,93.8119,93.785,93.84,93.85,93.785,224
2024-03-18 13:50:00,6926,93.9005,93.84,93.8913,93.95,93.84,152
2024-03-18 13:51:00,10035,93.8517,93.87,93.83,93.88,93.81,197
2024-03-18 13:52:00,9149,93.9473,93.8599,94.02,94.05,93.83,181
2024-03-18 13:53:00,4746,94.0969,94.045,94.16,94.16,94.045,116
2024-03-18 13:54:00,8845,94.1597,94.18,94.16,94.21,94.11,210
2024-03-18 13:55:00,17157,94.0911,94.15,94.05,94.16,94.04,281
2024-03-18 13:56:00,2837,94.1197,94.075,94.15,94.16,94.075,94
2024-03-18 13:57:00,8675,94.1981,94.145,94.245,94.28,94.145,173
2024-03-18 13:58:00,14694,94.2452,94.23,94.3,94.3,94.2,249
2024-03-18 13:59:00,5962,94.3199,94.32,94.34,94.34,94.31,163
2024-03-18 14:00:00,39749,94.1743,94.3,94.19,94.3,94.12,501
2024-03-18 14:01:00,4408,94.1269,94.18,94.075,94.18,94.05,152
2024-03-18 14:02:00,24952,94.0738,94.075,94.175,94.18,93.99,299
2024-03-18 14:03:00,15417,94.156,94.12,94.2,94.23,94.12,187
2024-03-18 14:04:00,5440,94.2394,94.22,94.3,94.3,94.2,132
2024-03-18 14:05:00,6829,94.251,94.31,94.17,94.32,94.17,180
2024-03-18 14:06:00,3055,94.1436,94.16,94.16,94.169,94.12,137
2024-03-18 14:07:00,11462,94.1437,94.16,94.15,94.18,94.12,234
2024-03-18 14:08:00,13321,94.1225,94.17,94.1,94.18,94.05,199
2024-03-18 14:09:00,3840,94.1113,94.08,94.12,94.13,94.08,141
2024-03-18 14:10:00,7566,94.1428,94.1183,94.23,94.23,94.1,151
2024-03-18 14:11:00,6741,94.2165,94.23,94.155,94.25,94.155,200
2024-03-18 14:12:00,6334,94.1796,94.155,94.19,94.2,94.155,137
2024-03-18 14:13:00,5167,94.2219,94.2,94.2659,94.28,94.2,140
2024-03-18 14:14:00,8751,94.2916,94.26,94.33,94.33,94.25,143
2024-03-18 14:15:00,10959,94.3496,94.34,94.365,94.4,94.33,233
2024-03-18 14:16:00,4013,94.3752,94.37,94.39,94.4,94.36,96
2024-03-18 14:17:00,7672,94.4321,94.41,94.45,94.45,94.41,121
2024-03-18 14:18:00,6819,94.4367,94.46,94.425,94.47,94.41,132
2024-03-18 14:19:00,8418,94.4588,94.41,94.52,94.52,94.405,122
2024-03-18 14:20:00,20650,94.5165,94.53,94.47,94.55,94.47,235
2024-03-18 14:21:00,11901,94.4938,94.46,94.49,94.51,94.46,140
2024-03-18 14:22:00,6587,94.4825,94.4971,94.495,94.4971,94.475,115
2024-03-18 14:23:00,6353,94.5262,94.5,94.58,94.58,94.4801,126
2024-03-18 14:24:00,8098,94.5672,94.58,94.58,94.59,94.55,141
2024-03-18 14:25:00,9692,94.539,94.585,94.505,94.59,94.505,158
2024-03-18 14:26:00,11318,94.5619,94.51,94.575,94.59,94.51,185
2024-03-18 14:27:00,14302,94.5829,94.58,94.53,94.63,94.52,233
2024-03-18 14:28:00,3721,94.5472,94.51,94.58,94.58,94.51,78
2024-03-18 14:29:00,8055,94.5754,94.58,94.59,94.605,94.54,101
2024-03-18 14:30:00,8473,94.5486,94.58,94.54,94.58,94.53,152
2024-03-18 14:31:00,4462,94.5048,94.53,94.47,94.53,94.47,106
2024-03-18 14:32:00,16322,94.435,94.46,94.4311,94.47,94.4,151
2024-03-18 14:33:00,12047,94.424,94.435,94.46,94.47,94.405,110
2024-03-18 14:34:00,5120,94.4283,94.45,94.43,94.45,94.41,102
2024-03-18 14:35:00,14674,94.4526,94.42,94.5,94.52,94.4,227
2024-03-18 14:36:00,5622,94.549,94.5,94.6045,94.6045,94.5,119
2024-03-18 14:37:00,9079,94.5899,94.605,94.6017,94.62,94.565,112
2024-03-18 14:38:00,9096,94.5957,94.61,94.62,94.625,94.565,148
2024-03-18 14:39:00,5695,94.6256,94.63,94.6076,94.65,94.605,125
2024-03-18 14:40:00,23799,94.6155,94.61,94.62,94.65,94.6,315
2024-03-18 14:41:00,28525,94.5961,94.61,94.59,94.62,94.57,313
2024-03-18 14:42:00,8696,94.5594,94.56,94.59,94.59,94.54,100
2024-03-18 14:43:00,6604,94.61,94.605,94.65,94.65,94.59,85
2024-03-18 14:44:00,22333,94.6323,94.635,94.65,94.67,94.59,215
2024-03-18 14:45:00,11887,94.6312,94.62,94.64,94.7,94.605,110
2024-03-18 14:46:00,56403,94.6238,94.63,94.62,94.66,94.61,140
2024-03-18 14:47:00,8635,94.6197,94.62,94.632,94.65,94.59,122
2024-03-18 14:48:00,11040,94.6421,94.6498,94.635,94.66,94.62,130
2024-03-18 14:49:00,2957,94.6452,94.63,94.675,94.675,94.6239,67
2024-03-18 14:50:00,6297,94.6528,94.66,94.66,94.6747,94.64,60
2024-03-18 14:51:00,4876,94.6831,94.69,94.66,94.69,94.65,84
2024-03-18 14:52:00,8367,94.6501,94.67,94.645,94.67,94.64,100
2024-03-18 14:53:00,2660,94.6786,94.65,94.7,94.71,94.65,70
2024-03-18 14:54:00,2496,94.7274,94.72,94.73,94.74,94.72,49
2024-03-18 14:55:00,2145,94.7251,94.72,94.71,94.74,94.71,68
2024-03-18 14:56:00,10570,94.6518,94.71,94.5663,94.72,94.56,145
2024-03-18 14:57:00,5064,94.5596,94.56,94.5601,94.57,94.54,96
2024-03-18 14:58:00,3024,94.5672,94.56,94.55,94.575,94.55,64
2024-03-18 14:59:00,11980,94.5605,94.55,94.59,94.6,94.54,177
2024-03-18 15:00:00,8307,94.5977,94.5901,94.61,94.62,94.59,147
2024-03-18 15:01:00,3976,94.6285,94.615,94.63,94.64,94.615,70
2024-03-18 15:02:00,5587,94.6385,94.63,94.64,94.66,94.61,99
2024-03-18 15:03:00,2753,94.6433,94.645,94.65,94.655,94.62,69
2024-03-18 15:04:00,2386,94.6706,94.6621,94.69,94.69,94.6601,73
2024-03-18 15:05:00,3408,94.6978,94.71,94.67,94.715,94.67,85
2024-03-18 15:06:00,3083,94.6476,94.665,94.635,94.665,94.635,63
2024-03-18 15:07:00,4317,94.6457,94.635,94.635,94.66,94.63,85
2024-03-18 15:08:00,5291,94.6519,94.63,94.65,94.66,94.63,94
2024-03-18 15:09:00,16174,94.631,94.6267,94.61,94.66,94.6001,200
2024-03-18 15:10:00,4875,94.6231,94.605,94.65,94.65,94.605,117
2024-03-18 15:11:00,4437,94.6629,94.655,94.67,94.67,94.64,100
2024-03-18 15:12:00,3973,94.6575,94.6751,94.66,94.6751,94.64,91
2024-03-18 15:13:00,3096,94.6904,94.67,94.7106,94.7106,94.6614,67
2024-03-18 15:14:00,7204,94.7165,94.725,94.72,94.74,94.71,107
2024-03-18 15:15:00,2800,94.7294,94.72,94.75,94.75,94.7115,60
2024-03-18 15:16:00,5256,94.7596,94.75,94.75,94.77,94.75,87
2024-03-18 15:17:00,16649,94.7326,94.76,94.7611,94.78,94.71,186
2024-03-18 15:18:00,7546,94.7019,94.765,94.71,94.765,94.68,130
2024-03-18 15:19:00,4523,94.7101,94.71,94.739,94.739,94.69,83
2024-03-18 15:20:00,15167,94.7588,94.738,94.76,94.77,94.738,104
2024-03-18 15:21:00,4167,94.7434,94.77,94.72,94.77,94.72,95
2024-03-18 15:22:00,10554,94.7669,94.74,94.73,94.78,94.73,124
2024-03-18 15:23:00,3668,94.7235,94.74,94.7,94.74,94.7,69
2024-03-18 15:24:00,8331,94.7112,94.7,94.74,94.74,94.7,171
2024-03-18 15:25:00,7577,94.717,94.745,94.72,94.75,94.695,127
2024-03-18 15:26:00,5856,94.7665,94.73,94.79,94.81,94.73,118
2024-03-18 15:27:00,4210,94.7599,94.78,94.76,94.78,94.74,92
2024-03-18 15:28:00,10221,94.7772,94.77,94.78,94.79,94.75,156
2024-03-18 15:29:00,6319,94.819,94.8,94.85,94.86,94.79,136
2024-03-18 15:30:00,19308,94.8664,94.85,94.87,94.89,94.8418,210
2024-03-18 15:31:00,25069,94.8814,94.88,94.9,94.9,94.85,404
2024-03-18 15:32:00,23116,94.9202,94.9,94.95,94.95,94.87,288
2024-03-18 15:33:00,4220,94.9438,94.96,94.9,94.96,94.9,98
2024-03-18 15:34:00,6863,94.8825,94.9,94.86,94.905,94.86,130
2024-03-18 15:35:00,4350,94.8755,94.87,94.885,94.89,94.86,92
2024-03-18 15:36:00,11621,94.9193,94.885,94.915,94.94,94.88,196
2024-03-18 15:37:00,6557,94.8879,94.91,94.87,94.91,94.87,108
2024-03-18 15:38:00,4049,94.878,94.87,94.88,94.89,94.86,132
2024-03-18 15:39:00,3513,94.8988,94.89,94.905,94.91,94.89,82
2024-03-18 15:40:00,7635,94.9032,94.9,94.91,94.929,94.88,146
2024-03-18 15:41:00,6264,94.8973,94.9,94.88,94.91,94.88,120
2024-03-18 15:42:00,12669,94.905,94.89,94.915,94.915,94.89,202
2024-03-18 15:43:00,7615,94.8979,94.91,94.885,94.915,94.87,151
2024-03-18 15:44:00,15523,94.8853,94.885,94.885,94.91,94.85,242
2024-03-18 15:45:00,5074,94.9132,94.89,94.92,94.925,94.89,98
2024-03-18 15:46:00,6955,94.8992,94.92,94.88,94.93,94.88,130
