t,v,vw,o,c,h,l,n
2023-05-09 10:09:00,500,28.6,28.6,28.6,28.6,28.6,1
2023-05-09 12:00:00,400,28.46,28.46,28.46,28.46,28.46,1
2023-05-09 13:30:00,24774,28.4885,28.49,28.47,28.49,28.45,62
2023-05-09 13:31:00,7769,28.4921,28.47,28.53,28.53,28.47,123
2023-05-09 13:32:00,3728,28.5485,28.53,28.52,28.57,28.52,51
2023-05-09 13:33:00,4886,28.5037,28.52,28.53,28.53,28.49,89
2023-05-09 13:34:00,3937,28.5329,28.52,28.55,28.55,28.52,84
2023-05-09 13:35:00,4719,28.5635,28.56,28.57,28.57,28.56,94
2023-05-09 13:36:00,12629,28.5191,28.55,28.5,28.55,28.49,160
2023-05-09 13:37:00,3760,28.4988,28.51,28.49,28.51,28.49,62
2023-05-09 13:38:00,9368,28.5027,28.51,28.495,28.515,28.49,139
2023-05-09 13:39:00,3987,28.487,28.49,28.49,28.5,28.47,82
2023-05-09 13:40:00,5472,28.4807,28.49,28.48,28.49,28.475,74
2023-05-09 13:41:00,3399,28.4954,28.49,28.5005,28.505,28.49,58
2023-05-09 13:42:00,7020,28.5043,28.525,28.475,28.53,28.475,102
2023-05-09 13:43:00,3564,28.4801,28.48,28.49,28.49,28.48,74
2023-05-09 13:44:00,2099,28.4764,28.49,28.485,28.49,28.465,45
2023-05-09 13:45:00,12172,28.4882,28.48,28.495,28.5,28.47,122
2023-05-09 13:46:00,5156,28.4772,28.49,28.485,28.49,28.465,90
2023-05-09 13:47:00,4133,28.4814,28.485,28.485,28.49,28.475,51
2023-05-09 13:48:00,12324,28.5183,28.485,28.515,28.53,28.485,127
2023-05-09 13:49:00,10757,28.506,28.51,28.52,28.52,28.5,103
2023-05-09 13:50:00,11038,28.5294,28.525,28.51,28.54,28.51,114
2023-05-09 13:51:00,8554,28.5009,28.505,28.5,28.51,28.49,116
2023-05-09 13:52:00,4692,28.4933,28.5,28.48,28.5,28.475,70
2023-05-09 13:53:00,5924,28.4894,28.47,28.49,28.5,28.47,69
2023-05-09 13:54:00,6560,28.4674,28.4925,28.4442,28.4925,28.44,83
