t,v,vw,o,c,h,l,n
2023-05-01 08:00:00,566,3.8492,3.82,3.9,3.9,3.82,11
2023-05-01 08:02:00,1000,3.8948,3.88,3.9,3.9,3.88,4
2023-05-01 08:08:00,682,3.849,3.85,3.84,3.85,3.84,4
2023-05-01 08:09:00,770,3.83,3.83,3.83,3.83,3.83,6
2023-05-01 10:01:00,700,3.7328,3.73,3.74,3.74,3.73,6
2023-05-01 10:09:00,500,3.75,3.75,3.75,3.75,3.75,1
2023-05-01 10:15:00,320,3.75,3.75,3.75,3.75,3.75,2
2023-05-01 11:11:00,140,3.8329,3.83,3.83,3.83,3.83,2
2023-05-01 11:33:00,900,3.83,3.83,3.83,3.83,3.83,1
2023-05-01 11:38:00,300,3.82,3.82,3.82,3.82,3.82,1
2023-05-01 11:47:00,601,3.81,3.81,3.81,3.81,3.81,3
2023-05-01 11:52:00,2098,3.7887,3.8,3.77,3.8,3.76,15
2023-05-01 12:00:00,2708,3.8445,3.8493,3.83,3.85,3.83,26
2023-05-01 12:01:00,236,3.8092,3.8115,3.8115,3.8115,3.8115,6
2023-05-01 12:05:00,1136,3.7902,3.79,3.79,3.79,3.79,2
2023-05-01 12:09:00,125,3.85,3.85,3.85,3.85,3.85,1
2023-05-01 12:10:00,260,3.8015,3.8015,3.8015,3.8015,3.8015,1
2023-05-01 12:28:00,125,3.8397,3.84,3.84,3.84,3.84,2
2023-05-01 12:36:00,1286,3.8299,3.83,3.83,3.83,3.83,4
2023-05-01 12:38:00,110,3.8391,3.84,3.84,3.84,3.84,3
2023-05-01 13:02:00,500,3.84,3.84,3.84,3.84,3.84,1
2023-05-01 13:03:00,100,3.8385,3.8385,3.8385,3.8385,3.8385,1
2023-05-01 13:07:00,320,3.84,3.84,3.84,3.84,3.84,3
2023-05-01 13:24:00,155,3.8399,3.84,3.84,3.84,3.84,3
2023-05-01 13:30:00,47521,3.8263,3.83,3.81,3.84,3.81,112
2023-05-01 13:31:00,26046,3.7837,3.8126,3.7686,3.8126,3.7686,119
2023-05-01 13:32:00,26785,3.7418,3.76,3.72,3.76,3.72,91
2023-05-01 13:33:00,4684,3.7322,3.725,3.7353,3.74,3.725,50
2023-05-01 13:34:00,4763,3.7221,3.73,3.72,3.73,3.72,28
2023-05-01 13:35:00,11369,3.7386,3.725,3.745,3.75,3.725,61
2023-05-01 13:36:00,9842,3.7431,3.75,3.74,3.75,3.74,75
2023-05-01 13:37:00,2132,3.7366,3.735,3.7393,3.74,3.732,28
2023-05-01 13:38:00,1350,3.7482,3.75,3.745,3.75,3.745,25
2023-05-01 13:39:00,6203,3.7491,3.745,3.765,3.765,3.745,53
2023-05-01 13:40:00,6793,3.7716,3.765,3.775,3.7799,3.765,58
2023-05-01 13:41:00,7336,3.7783,3.775,3.78,3.78,3.775,40
2023-05-01 13:42:00,8118,3.7779,3.785,3.77,3.79,3.77,62
2023-05-01 13:43:00,1205,3.7635,3.765,3.765,3.7692,3.755,21
2023-05-01 13:44:00,1205,3.7688,3.77,3.765,3.77,3.765,18
2023-05-01 13:45:00,2428,3.7518,3.7577,3.7525,3.7598,3.75,21
2023-05-01 13:46:00,7191,3.7481,3.75,3.7573,3.7585,3.74,71
2023-05-01 13:47:00,4711,3.7629,3.76,3.76,3.7675,3.76,39
2023-05-01 13:48:00,2966,3.7645,3.76,3.765,3.77,3.76,38
2023-05-01 13:49:00,1772,3.7645,3.765,3.7781,3.7781,3.76,36
2023-05-01 13:50:00,1884,3.7799,3.78,3.78,3.78,3.78,29
2023-05-01 13:51:00,1047,3.7855,3.79,3.7894,3.79,3.78,17
2023-05-01 13:52:00,921,3.7858,3.78,3.79,3.79,3.78,24
2023-05-01 13:53:00,1301,3.7817,3.78,3.78,3.7872,3.78,21
2023-05-01 13:54:00,514,3.7859,3.79,3.78,3.79,3.78,17
2023-05-01 13:55:00,6230,3.7829,3.785,3.77,3.7885,3.77,47
2023-05-01 13:56:00,11217,3.7637,3.7601,3.775,3.775,3.7601,28
2023-05-01 13:57:00,1328,3.7772,3.775,3.78,3.78,3.775,15
2023-05-01 13:58:00,3456,3.7708,3.772,3.77,3.772,3.77,16
2023-05-01 13:59:00,980,3.7701,3.77,3.77,3.7703,3.77,13
2023-05-01 14:00:00,2145,3.7689,3.77,3.7601,3.77,3.7601,34
2023-05-01 14:01:00,2223,3.7581,3.76,3.7501,3.76,3.7501,32
2023-05-01 14:02:00,16525,3.7548,3.76,3.76,3.76,3.7503,58
2023-05-01 14:03:00,647,3.7685,3.77,3.7694,3.77,3.7694,11
2023-05-01 14:04:00,3352,3.7706,3.77,3.7711,3.7711,3.77,16
2023-05-01 14:05:00,1728,3.7811,3.7788,3.7873,3.7873,3.775,39
2023-05-01 14:06:00,1615,3.7862,3.7869,3.785,3.79,3.78,30
2023-05-01 14:07:00,4515,3.7797,3.79,3.78,3.79,3.7711,51
2023-05-01 14:08:00,2965,3.778,3.775,3.78,3.78,3.775,30
2023-05-01 14:09:00,6862,3.7821,3.77,3.79,3.79,3.77,43
2023-05-01 14:10:00,2211,3.7963,3.8,3.8,3.8,3.7912,27
2023-05-01 14:11:00,3744,3.7981,3.8,3.8,3.8,3.795,23
2023-05-01 14:12:00,8116,3.8007,3.799,3.8,3.81,3.799,50
2023-05-01 14:13:00,1728,3.8077,3.81,3.8,3.81,3.8,24
2023-05-01 14:14:00,15811,3.8007,3.805,3.7999,3.805,3.795,105
2023-05-01 14:15:00,2361,3.8,3.8,3.8,3.8,3.8,27
2023-05-01 14:16:00,4729,3.8127,3.8022,3.815,3.8199,3.8022,54
2023-05-01 14:17:00,1782,3.8204,3.8194,3.821,3.821,3.8194,42
2023-05-01 14:18:00,3316,3.8282,3.825,3.82,3.83,3.82,19
2023-05-01 14:19:00,5883,3.8087,3.82,3.8008,3.82,3.8008,60
2023-05-01 14:20:00,1163,3.8048,3.8018,3.805,3.8099,3.8011,20
2023-05-01 14:21:00,2913,3.8018,3.805,3.8,3.805,3.8,39
2023-05-01 14:22:00,1859,3.7952,3.7915,3.7966,3.7966,3.7915,16
2023-05-01 14:23:00,280,3.7948,3.7954,3.7954,3.7954,3.7954,10
2023-05-01 14:24:00,8186,3.7995,3.795,3.7999,3.7999,3.795,17
2023-05-01 14:25:00,459,3.7903,3.79,3.79,3.79,3.79,9
2023-05-01 14:26:00,1621,3.7968,3.795,3.798,3.798,3.7934,17
2023-05-01 14:28:00,5111,3.7955,3.7999,3.7915,3.7999,3.7915,14
2023-05-01 14:29:00,4337,3.7904,3.7901,3.795,3.795,3.7901,22
2023-05-01 14:30:00,23118,3.7908,3.7949,3.795,3.798,3.79,23
2023-05-01 14:31:00,4315,3.7896,3.795,3.7823,3.795,3.7823,56
2023-05-01 14:32:00,299,3.788,3.79,3.785,3.79,3.785,15
2023-05-01 14:33:00,1676,3.7902,3.79,3.8,3.8,3.79,40
2023-05-01 14:34:00,14533,3.8067,3.8,3.815,3.815,3.8,107
2023-05-01 14:35:00,566,3.813,3.8101,3.82,3.82,3.8101,8
2023-05-01 14:36:00,362,3.8154,3.82,3.81,3.82,3.81,6
