t,v,vw,o,c,h,l,n
2024-02-05 14:06:00,926.0,10.3989,10.39,10.4,10.4,10.39,4
2024-02-05 14:30:00,39239.0,10.3176,10.32,10.34,10.35,10.29,203
2024-02-05 14:31:00,19935.0,10.2818,10.33,10.26,10.33,10.245,199
2024-02-05 14:32:00,9078.0,10.2472,10.25,10.29,10.29,10.23,110
2024-02-05 14:33:00,10008.0,10.2975,10.29,10.295,10.3,10.29,114
2024-02-05 14:34:00,5070.0,10.2893,10.29,10.28,10.3,10.28,77
2024-02-05 14:35:00,11099.0,10.2794,10.28,10.295,10.295,10.27,106
2024-02-05 14:36:00,6593.0,10.2638,10.29,10.2409,10.29,10.2409,66
2024-02-05 14:37:00,2907.0,10.247,10.24,10.25,10.25,10.23,56
2024-02-05 14:38:00,6833.0,10.245,10.25,10.25,10.25,10.24,75
2024-02-05 14:39:00,2518.0,10.2404,10.25,10.2258,10.25,10.2258,46
2024-02-05 14:40:00,39489.0,10.1986,10.225,10.2,10.225,10.18,309
2024-02-05 14:41:00,41415.0,10.1968,10.2,10.185,10.205,10.185,340
2024-02-05 14:42:00,10655.0,10.195,10.185,10.2,10.2,10.18,67
2024-02-05 14:43:00,26107.0,10.1676,10.19,10.15,10.19,10.14,103
2024-02-05 14:44:00,8690.0,10.1623,10.15,10.175,10.175,10.15,49
2024-02-05 14:45:00,3178.0,10.175,10.17,10.18,10.19,10.17,42
2024-02-05 14:46:00,50587.0,10.1975,10.18,10.1829,10.21,10.17,385
2024-02-05 14:47:00,3062.0,10.176,10.18,10.16,10.18,10.16,58
2024-02-05 14:48:00,36476.0,10.1601,10.15,10.14,10.185,10.14,296
2024-02-05 14:49:00,12365.0,10.1354,10.145,10.145,10.145,10.125,99
2024-02-05 14:50:00,14291.0,10.1314,10.14,10.135,10.1435,10.12,102
2024-02-05 14:51:00,13021.0,10.125,10.132,10.11,10.135,10.11,90
2024-02-05 14:52:00,24240.0,10.108,10.11,10.12,10.121,10.09,222
2024-02-05 14:53:00,3510.0,10.1254,10.11,10.15,10.15,10.11,52
2024-02-05 14:54:00,4395.0,10.1461,10.15,10.13,10.15,10.13,47
2024-02-05 14:55:00,3475.0,10.1245,10.13,10.13,10.13,10.12,44
2024-02-05 14:56:00,3058.0,10.127,10.13,10.135,10.135,10.115,48
2024-02-05 14:57:00,14110.0,10.1494,10.14,10.15,10.165,10.14,84
2024-02-05 14:58:00,6898.0,10.1441,10.15,10.14,10.15,10.14,71
2024-02-05 14:59:00,9548.0,10.1407,10.14,10.15,10.15,10.13,70
2024-02-05 15:00:00,26651.0,10.1283,10.15,10.115,10.15,10.11,242
2024-02-05 15:01:00,3642.0,10.1221,10.1125,10.125,10.125,10.11,42
2024-02-05 15:02:00,21443.0,10.1084,10.13,10.1,10.135,10.1,186
2024-02-05 15:03:00,9652.0,10.094,10.1,10.095,10.1,10.0825,107
2024-02-05 15:04:00,9672.0,10.1168,10.0985,10.14,10.15,10.0985,108
2024-02-05 15:05:00,7261.0,10.126,10.14,10.12,10.145,10.12,72
2024-02-05 15:06:00,6670.0,10.1203,10.125,10.13,10.13,10.115,66
2024-02-05 15:07:00,6475.0,10.1425,10.13,10.15,10.15,10.13,75
2024-02-05 15:08:00,7894.0,10.1342,10.155,10.12,10.155,10.12,104
2024-02-05 15:09:00,8487.0,10.1216,10.12,10.12,10.125,10.115,101
2024-02-05 15:10:00,14958.0,10.1212,10.1107,10.125,10.127,10.11,116
2024-02-05 15:11:00,9625.0,10.1164,10.12,10.105,10.125,10.105,80
2024-02-05 15:12:00,14152.0,10.0895,10.1,10.07,10.105,10.07,135
2024-02-05 15:13:00,36995.0,10.0704,10.075,10.08,10.08,10.065,122
2024-02-05 15:14:00,10444.0,10.0799,10.07,10.07,10.085,10.07,100
2024-02-05 15:15:00,22935.0,10.077,10.07,10.09,10.1,10.06,172
2024-02-05 15:16:00,52346.0,10.0755,10.085,10.06,10.09,10.06,157
2024-02-05 15:17:00,22340.0,10.0608,10.06,10.07,10.08,10.055,87
2024-02-05 15:18:00,34051.0,10.0644,10.07,10.065,10.07,10.055,97
2024-02-05 15:19:00,15693.0,10.0671,10.07,10.05,10.07,10.05,94
2024-02-05 15:20:00,18660.0,10.0538,10.05,10.055,10.059,10.045,83
2024-02-05 15:21:00,19894.0,10.0626,10.05,10.075,10.08,10.045,143
2024-02-05 15:22:00,15203.0,10.0729,10.075,10.07,10.08,10.065,94
2024-02-05 15:23:00,12601.0,10.0917,10.075,10.1,10.1048,10.075,118
2024-02-05 15:24:00,18907.0,10.0863,10.1,10.07,10.1,10.07,161
2024-02-05 15:25:00,1604.0,10.0754,10.0725,10.075,10.08,10.0713,19
2024-02-05 15:26:00,16291.0,10.0844,10.08,10.09,10.095,10.08,131
2024-02-05 15:27:00,19316.0,10.1142,10.095,10.115,10.125,10.09,180
2024-02-05 15:28:00,10795.0,10.1149,10.11,10.13,10.13,10.11,170
2024-02-05 15:29:00,23970.0,10.1425,10.13,10.145,10.155,10.12,206
2024-02-05 15:30:00,17215.0,10.131,10.14,10.135,10.145,10.12,180
2024-02-05 15:31:00,28405.0,10.1437,10.13,10.16,10.16,10.13,244
2024-02-05 15:32:00,20414.0,10.1617,10.15,10.17,10.175,10.15,190
2024-02-05 15:33:00,19739.0,10.1889,10.17,10.21,10.22,10.17,164
2024-02-05 15:34:00,17408.0,10.2149,10.22,10.21,10.225,10.2,172
2024-02-05 15:35:00,10224.0,10.1912,10.2,10.18,10.2,10.18,102
2024-02-05 15:36:00,12605.0,10.1696,10.18,10.16,10.18,10.16,101
2024-02-05 15:37:00,14333.0,10.1607,10.15,10.155,10.16,10.144,108
2024-02-05 15:38:00,2876.0,10.1518,10.15,10.16,10.16,10.145,37
2024-02-05 15:39:00,2569.0,10.152,10.155,10.15,10.155,10.15,31
2024-02-05 15:40:00,9501.0,10.1496,10.15,10.14,10.15,10.14,101
2024-02-05 15:41:00,5767.0,10.1565,10.145,10.17,10.17,10.145,68
2024-02-05 15:42:00,8092.0,10.1595,10.17,10.15,10.17,10.15,86
2024-02-05 15:43:00,6174.0,10.1495,10.15,10.15,10.15,10.14,63
2024-02-05 15:44:00,1860.0,10.1558,10.15,10.16,10.16,10.15,31
2024-02-05 15:45:00,8501.0,10.1597,10.16,10.17,10.17,10.15,86
2024-02-05 15:46:00,12172.0,10.1834,10.17,10.175,10.191,10.17,135
2024-02-05 15:47:00,8495.0,10.1664,10.175,10.16,10.175,10.16,106
2024-02-05 15:48:00,9051.0,10.1422,10.15,10.1449,10.15,10.13,79
2024-02-05 15:49:00,1434.0,10.1466,10.14,10.15,10.15,10.14,25
2024-02-05 15:50:00,9938.0,10.1403,10.145,10.14,10.145,10.135,111
2024-02-05 15:51:00,5104.0,10.1415,10.145,10.145,10.15,10.13,52
2024-02-05 15:52:00,6502.0,10.1462,10.145,10.15,10.15,10.14,75
2024-02-05 15:53:00,8539.0,10.1563,10.1425,10.155,10.17,10.1425,108
2024-02-05 15:54:00,4168.0,10.1507,10.159,10.14,10.16,10.14,64
2024-02-05 15:55:00,2388.0,10.1378,10.14,10.13,10.14,10.13,36
2024-02-05 15:56:00,1557.0,10.1322,10.135,10.13,10.135,10.13,30
2024-02-05 15:57:00,17325.0,10.1211,10.13,10.1168,10.13,10.11,182
