t,v,vw,o,c,h,l,n
2024-01-22 09:00:00,200,5.66,5.63,5.69,5.69,5.63,2
2024-01-22 09:01:00,200,5.63,5.63,5.63,5.63,5.63,1
2024-01-22 09:02:00,137,5.64,5.64,5.64,5.64,5.64,2
2024-01-22 09:03:00,350,5.63,5.63,5.63,5.63,5.63,1
2024-01-22 09:10:00,360,5.63,5.63,5.63,5.63,5.63,2
2024-01-22 09:18:00,237,5.61,5.61,5.61,5.61,5.61,5
2024-01-22 09:19:00,269,5.6,5.6,5.6,5.6,5.6,3
2024-01-22 09:40:00,817,5.6,5.6,5.6,5.6,5.6,5
2024-01-22 09:54:00,342,5.6071,5.6,5.61,5.61,5.6,2
2024-01-22 10:09:00,386,5.6113,5.61,5.61,5.61,5.61,2
2024-01-22 10:53:00,145,5.61,5.61,5.61,5.61,5.61,2
2024-01-22 11:22:00,101,5.61,5.61,5.61,5.61,5.61,2
2024-01-22 11:24:00,249,5.5901,5.59,5.59,5.59,5.59,3
2024-01-22 11:40:00,500,5.63,5.63,5.63,5.63,5.63,1
2024-01-22 12:00:00,1418,5.6207,5.62,5.62,5.62,5.62,5
2024-01-22 12:19:00,1100,5.63,5.63,5.63,5.63,5.63,3
2024-01-22 12:22:00,429,5.68,5.68,5.68,5.68,5.68,2
2024-01-22 13:00:00,8892,5.6586,5.62,5.6897,5.69,5.62,30
2024-01-22 13:01:00,108,5.6785,5.68,5.68,5.68,5.68,9
2024-01-22 13:05:00,624,5.6495,5.65,5.65,5.65,5.65,7
2024-01-22 13:09:00,7008,5.65,5.65,5.65,5.65,5.65,4
2024-01-22 13:23:00,830,5.65,5.65,5.65,5.65,5.65,3
2024-01-22 13:33:00,100,5.65,5.65,5.65,5.65,5.65,1
2024-01-22 13:34:00,250,5.66,5.66,5.66,5.66,5.66,1
2024-01-22 13:35:00,250,5.65,5.65,5.65,5.65,5.65,1
2024-01-22 13:44:00,122,5.6521,5.65,5.65,5.65,5.65,3
2024-01-22 13:50:00,511,5.65,5.65,5.65,5.65,5.65,3
2024-01-22 13:53:00,375,5.6663,5.66,5.67,5.67,5.66,4
