t,v,vw,o,c,h,l,n
2023-08-29 13:30:00,8997,9.7793,9.78,9.78,9.79,9.78,36
2023-08-29 13:31:00,1046,9.7412,9.77,9.725,9.77,9.72,18
2023-08-29 13:32:00,554,9.6973,9.7,9.685,9.7,9.685,6
2023-08-29 13:33:00,882,9.6788,9.68,9.68,9.68,9.67,13
2023-08-29 13:34:00,1413,9.6613,9.68,9.655,9.68,9.65,21
2023-08-29 13:35:00,1462,9.6536,9.655,9.66,9.66,9.65,21
2023-08-29 13:36:00,777,9.67,9.67,9.67,9.67,9.67,9
2023-08-29 13:37:00,822,9.6996,9.685,9.7195,9.7195,9.68,10
2023-08-29 13:38:00,807,9.72,9.72,9.72,9.72,9.72,9
2023-08-29 13:39:00,2708,9.7137,9.72,9.71,9.72,9.71,14
2023-08-29 13:40:00,711,9.7158,9.71,9.72,9.72,9.71,12
2023-08-29 13:41:00,560,9.72,9.72,9.72,9.72,9.72,19
2023-08-29 13:42:00,613,9.72,9.72,9.72,9.72,9.72,6
2023-08-29 13:43:00,3788,9.7134,9.72,9.71,9.72,9.7,37
2023-08-29 13:44:00,417,9.72,9.72,9.72,9.72,9.72,11
2023-08-29 13:45:00,2132,9.7206,9.725,9.71,9.73,9.71,29
2023-08-29 13:46:00,312,9.7018,9.71,9.695,9.71,9.695,6
2023-08-29 13:47:00,2285,9.6844,9.69,9.68,9.69,9.68,27
2023-08-29 13:48:00,879,9.6801,9.68,9.68,9.68,9.68,10
2023-08-29 13:49:00,2352,9.6906,9.69,9.7,9.7,9.69,35
2023-08-29 13:50:00,656,9.7,9.7,9.7,9.7,9.7,10
2023-08-29 13:51:00,355,9.6899,9.69,9.69,9.69,9.69,9
2023-08-29 13:52:00,536,9.6899,9.69,9.69,9.69,9.69,14
2023-08-29 13:53:00,266,9.7038,9.7,9.71,9.71,9.7,8
2023-08-29 13:54:00,3199,9.7128,9.715,9.705,9.715,9.705,11
2023-08-29 13:55:00,1484,9.7097,9.71,9.705,9.71,9.705,26
2023-08-29 13:56:00,2964,9.6997,9.7,9.69,9.7099,9.69,18
2023-08-29 13:58:00,995,9.7,9.7,9.7,9.7,9.7,18
2023-08-29 14:00:00,2272,9.704,9.7,9.7,9.71,9.695,27
2023-08-29 14:01:00,1511,9.6822,9.69,9.6608,9.69,9.6608,18
2023-08-29 14:02:00,1218,9.665,9.67,9.66,9.67,9.66,20
2023-08-29 14:03:00,1922,9.6497,9.65,9.65,9.65,9.645,15
2023-08-29 14:04:00,1216,9.6592,9.66,9.66,9.66,9.66,31
2023-08-29 14:05:00,1205,9.6496,9.65,9.65,9.65,9.645,25
2023-08-29 14:06:00,737,9.6421,9.64,9.64,9.64,9.64,28
2023-08-29 14:08:00,1511,9.64,9.64,9.64,9.64,9.64,11
2023-08-29 14:09:00,1723,9.64,9.64,9.64,9.64,9.64,31
2023-08-29 14:10:00,536,9.639,9.64,9.64,9.64,9.635,13
2023-08-29 14:11:00,2595,9.6465,9.64,9.64,9.65,9.64,37
2023-08-29 14:12:00,1410,9.6311,9.635,9.635,9.635,9.63,22
2023-08-29 14:13:00,1879,9.637,9.63,9.64,9.64,9.63,24
2023-08-29 14:14:00,1392,9.65,9.645,9.65,9.6547,9.645,17
2023-08-29 14:15:00,109,9.6547,9.655,9.655,9.655,9.655,3
2023-08-29 14:16:00,1798,9.6503,9.65,9.655,9.655,9.65,20
2023-08-29 14:17:00,1671,9.6589,9.66,9.65,9.665,9.65,23
2023-08-29 14:18:00,1413,9.6493,9.65,9.64,9.65,9.64,10
2023-08-29 14:19:00,1643,9.65,9.65,9.65,9.65,9.65,34
2023-08-29 14:20:00,243,9.6459,9.64,9.64,9.64,9.64,4
2023-08-29 14:21:00,616,9.6401,9.64,9.64,9.64,9.64,6
2023-08-29 14:22:00,2005,9.648,9.648,9.648,9.648,9.648,2
2023-08-29 14:23:00,1951,9.6392,9.64,9.635,9.64,9.635,23
2023-08-29 14:24:00,1956,9.63,9.63,9.63,9.63,9.63,23
2023-08-29 14:25:00,2385,9.6365,9.63,9.64,9.64,9.63,43
2023-08-29 14:26:00,1179,9.6465,9.635,9.66,9.66,9.635,18
2023-08-29 14:27:00,2803,9.6597,9.655,9.66,9.66,9.655,25
2023-08-29 14:29:00,470,9.66,9.66,9.66,9.66,9.66,5
2023-08-29 14:30:00,1346,9.6674,9.665,9.67,9.67,9.665,27
2023-08-29 14:31:00,544,9.6823,9.68,9.68,9.68,9.68,20
2023-08-29 14:32:00,2418,9.6965,9.69,9.7,9.7,9.69,34
2023-08-29 14:33:00,834,9.6989,9.69,9.7,9.7,9.69,9
2023-08-29 14:34:00,100,9.71,9.71,9.71,9.71,9.71,1
2023-08-29 14:35:00,2585,9.7096,9.71,9.7,9.71,9.7,24
2023-08-29 14:36:00,100,9.71,9.71,9.71,9.71,9.71,1
2023-08-29 14:37:00,5507,9.6992,9.7,9.69,9.7,9.69,65
2023-08-29 14:38:00,560,9.6773,9.68,9.675,9.68,9.675,10
2023-08-29 14:39:00,726,9.6702,9.67,9.67,9.67,9.67,7
2023-08-29 14:40:00,2011,9.6692,9.67,9.67,9.67,9.665,23
2023-08-29 14:41:00,972,9.656,9.66,9.65,9.66,9.65,13
2023-08-29 14:42:00,3144,9.6598,9.66,9.66,9.66,9.655,49
2023-08-29 14:43:00,620,9.6558,9.66,9.65,9.66,9.65,10
2023-08-29 14:44:00,2732,9.6668,9.66,9.67,9.67,9.66,44
2023-08-29 14:45:00,1649,9.6579,9.66,9.655,9.66,9.65,15
2023-08-29 14:46:00,1260,9.663,9.66,9.67,9.67,9.66,21
2023-08-29 14:47:00,600,9.658,9.66,9.65,9.66,9.65,14
2023-08-29 14:48:00,496,9.6559,9.66,9.65,9.66,9.65,7
2023-08-29 14:49:00,1096,9.6596,9.655,9.66,9.66,9.655,22
2023-08-29 14:50:00,124,9.67,9.67,9.67,9.67,9.67,4
2023-08-29 14:51:00,3028,9.6771,9.665,9.68,9.68,9.665,43
2023-08-29 14:52:00,431,9.6853,9.69,9.685,9.69,9.685,6
2023-08-29 14:53:00,2300,9.6798,9.69,9.68,9.69,9.68,18
2023-08-29 14:54:00,368,9.6771,9.67,9.68,9.68,9.67,5
2023-08-29 14:55:00,1556,9.67,9.67,9.67,9.67,9.67,16
2023-08-29 14:56:00,789,9.6694,9.67,9.67,9.67,9.67,19
2023-08-29 14:57:00,1898,9.6633,9.67,9.66,9.67,9.655,24
2023-08-29 14:58:00,261,9.665,9.665,9.665,9.665,9.665,4
2023-08-29 14:59:00,992,9.6616,9.665,9.66,9.665,9.66,11
2023-08-29 15:00:00,365,9.6603,9.66,9.66,9.66,9.66,6
2023-08-29 15:01:00,2527,9.6695,9.67,9.665,9.67,9.665,40
2023-08-29 15:02:00,623,9.6724,9.67,9.68,9.68,9.67,12
2023-08-29 15:03:00,2592,9.6829,9.68,9.69,9.69,9.675,31
2023-08-29 15:04:00,1593,9.6887,9.69,9.685,9.69,9.685,16
2023-08-29 15:05:00,948,9.6795,9.68,9.68,9.68,9.675,19
2023-08-29 15:06:00,916,9.6806,9.68,9.68,9.68,9.68,7
2023-08-29 15:07:00,846,9.688,9.68,9.695,9.695,9.68,16
2023-08-29 15:08:00,300,9.69,9.69,9.69,9.69,9.69,1
2023-08-29 15:09:00,762,9.6993,9.695,9.7,9.7,9.695,6
2023-08-29 15:10:00,1216,9.7,9.7,9.7,9.7,9.7,13
2023-08-29 15:11:00,141,9.6941,9.695,9.695,9.695,9.695,4
2023-08-29 15:12:00,1492,9.6998,9.695,9.705,9.705,9.695,19
2023-08-29 15:13:00,814,9.705,9.705,9.705,9.705,9.705,7
2023-08-29 15:14:00,560,9.7007,9.705,9.7,9.705,9.7,5
2023-08-29 15:16:00,1204,9.7101,9.71,9.715,9.715,9.71,20
2023-08-29 15:17:00,2871,9.7202,9.715,9.72,9.725,9.715,27
2023-08-29 15:18:00,211,9.71,9.71,9.71,9.71,9.71,5
2023-08-29 15:19:00,1570,9.7095,9.71,9.705,9.71,9.705,18
2023-08-29 15:20:00,100,9.7,9.7,9.7,9.7,9.7,1
2023-08-29 15:21:00,2366,9.7097,9.71,9.71,9.71,9.705,35
2023-08-29 15:22:00,1807,9.7079,9.71,9.705,9.71,9.705,19
2023-08-29 15:23:00,2042,9.7093,9.71,9.71,9.71,9.705,31
2023-08-29 15:24:00,1148,9.7092,9.71,9.71,9.71,9.7,18
2023-08-29 15:25:00,100,9.71,9.71,9.71,9.71,9.71,1
2023-08-29 15:27:00,905,9.72,9.72,9.72,9.72,9.72,24
2023-08-29 15:28:00,2048,9.7191,9.72,9.71,9.72,9.71,23
2023-08-29 15:29:00,586,9.7146,9.71,9.72,9.72,9.71,7
2023-08-29 15:30:00,474,9.7158,9.72,9.715,9.72,9.71,7
2023-08-29 15:31:00,479,9.7195,9.7195,9.7195,9.7195,9.7195,1
2023-08-29 15:34:00,685,9.7118,9.71,9.71,9.7175,9.71,6
2023-08-29 15:35:00,300,9.715,9.715,9.715,9.715,9.715,3
2023-08-29 15:36:00,647,9.7132,9.71,9.71,9.71,9.71,11
2023-08-29 15:38:00,601,9.7109,9.71,9.71,9.715,9.71,5
2023-08-29 15:39:00,391,9.7142,9.71,9.72,9.72,9.71,7
2023-08-29 15:40:00,424,9.7127,9.71,9.715,9.715,9.71,13
2023-08-29 15:41:00,1831,9.7196,9.72,9.72,9.72,9.72,31
2023-08-29 15:42:00,6110,9.711,9.72,9.69,9.725,9.69,46
2023-08-29 15:43:00,2356,9.6898,9.69,9.69,9.69,9.69,26
2023-08-29 15:44:00,446,9.6877,9.69,9.685,9.69,9.685,10
2023-08-29 15:45:00,618,9.69,9.69,9.69,9.69,9.69,9
2023-08-29 15:48:00,2177,9.6865,9.69,9.68,9.69,9.68,23
2023-08-29 15:50:00,2119,9.6892,9.6893,9.69,9.69,9.685,17
2023-08-29 15:51:00,11809,9.704,9.695,9.72,9.72,9.695,68
2023-08-29 15:52:00,1706,9.7053,9.71,9.7,9.71,9.7,13
2023-08-29 15:53:00,1328,9.7,9.7,9.7,9.7,9.7,20
2023-08-29 15:54:00,991,9.71,9.7,9.72,9.72,9.7,12
2023-08-29 15:55:00,903,9.7194,9.715,9.72,9.72,9.715,12
2023-08-29 15:56:00,691,9.7193,9.72,9.72,9.72,9.72,10
2023-08-29 15:57:00,101,9.71,9.71,9.71,9.71,9.71,2
2023-08-29 15:58:00,921,9.72,9.72,9.72,9.72,9.72,12
2023-08-29 16:00:00,101,9.725,9.725,9.725,9.725,9.725,2
2023-08-29 16:01:00,1776,9.72,9.725,9.715,9.725,9.715,16
2023-08-29 16:02:00,1413,9.7183,9.71,9.71,9.72,9.71,15
2023-08-29 16:04:00,424,9.7113,9.715,9.71,9.715,9.71,10
2023-08-29 16:05:00,102,9.71,9.71,9.71,9.71,9.71,3
2023-08-29 16:06:00,827,9.7186,9.72,9.72,9.72,9.71,15
2023-08-29 16:09:00,2510,9.7195,9.7201,9.712,9.7201,9.712,12
2023-08-29 16:10:00,227,9.7133,9.715,9.71,9.715,9.71,5
2023-08-29 16:12:00,2252,9.7104,9.715,9.71,9.715,9.71,18
2023-08-29 16:14:00,609,9.7104,9.71,9.71,9.71,9.71,10
2023-08-29 16:15:00,1252,9.7096,9.71,9.705,9.71,9.705,13
2023-08-29 16:16:00,270,9.7006,9.7,9.7,9.7,9.7,8
2023-08-29 16:17:00,2449,9.7101,9.71,9.71,9.71,9.71,30
2023-08-29 16:18:00,826,9.7109,9.71,9.71,9.71,9.71,15
2023-08-29 16:19:00,2573,9.7101,9.71,9.715,9.715,9.71,25
2023-08-29 16:20:00,196,9.7119,9.71,9.71,9.71,9.71,12
2023-08-29 16:21:00,880,9.7221,9.72,9.725,9.725,9.72,11
2023-08-29 16:22:00,1647,9.7186,9.72,9.71,9.72,9.71,22
2023-08-29 16:23:00,604,9.712,9.715,9.71,9.715,9.71,8
2023-08-29 16:26:00,316,9.7104,9.71,9.71,9.71,9.71,14
2023-08-29 16:27:00,1642,9.7197,9.715,9.72,9.72,9.715,24
2023-08-29 16:28:00,559,9.7116,9.7122,9.71,9.715,9.71,11
2023-08-29 16:30:00,148,9.7157,9.715,9.715,9.715,9.715,4
2023-08-29 16:31:00,166,9.7129,9.71,9.71,9.71,9.71,6
2023-08-29 16:32:00,704,9.72,9.72,9.72,9.72,9.72,18
2023-08-29 16:33:00,303,9.7178,9.72,9.72,9.72,9.72,6
2023-08-29 16:34:00,429,9.7203,9.72,9.72,9.72,9.72,4
2023-08-29 16:35:00,322,9.7235,9.72,9.725,9.725,9.72,10
2023-08-29 16:36:00,1482,9.7304,9.73,9.73,9.735,9.73,24
2023-08-29 16:37:00,4060,9.7306,9.73,9.73,9.7336,9.73,24
2023-08-29 16:38:00,1821,9.7169,9.72,9.71,9.72,9.71,21
2023-08-29 16:40:00,214,9.7107,9.71,9.71,9.71,9.71,5
2023-08-29 16:41:00,100,9.71,9.71,9.71,9.71,9.71,1
2023-08-29 16:42:00,1673,9.72,9.72,9.72,9.72,9.72,17
2023-08-29 16:43:00,415,9.7195,9.72,9.72,9.72,9.72,6
2023-08-29 16:44:00,1374,9.7201,9.7213,9.72,9.7213,9.72,11
2023-08-29 16:46:00,302,9.71,9.71,9.71,9.71,9.71,5
2023-08-29 16:48:00,564,9.71,9.71,9.71,9.71,9.71,8
2023-08-29 16:49:00,206,9.7101,9.71,9.71,9.71,9.71,3
2023-08-29 16:50:00,354,9.7121,9.71,9.71,9.71,9.71,14
2023-08-29 16:51:00,247,9.712,9.71,9.715,9.715,9.71,5
2023-08-29 16:52:00,1859,9.71,9.71,9.71,9.71,9.71,25
2023-08-29 16:53:00,900,9.71,9.71,9.71,9.71,9.71,10
2023-08-29 16:54:00,583,9.71,9.71,9.71,9.71,9.71,19
2023-08-29 16:55:00,498,9.7086,9.71,9.705,9.71,9.705,13
