t,v,vw,o,c,h,l,n
2023-08-14 12:47:00,100,11.0,11.0,11.0,11.0,11.0,1
2023-08-14 13:23:00,600,10.98,10.98,10.98,10.98,10.98,1
2023-08-14 13:26:00,800,10.98,10.98,10.98,10.98,10.98,1
2023-08-14 13:27:00,100,10.98,10.98,10.98,10.98,10.98,1
2023-08-14 13:29:00,3700,10.9781,10.98,10.97,10.98,10.97,5
2023-08-14 13:30:00,15758,10.969,10.98,10.93,10.98,10.91,59
2023-08-14 13:31:00,3519,10.8959,10.91,10.89,10.91,10.885,30
2023-08-14 13:32:00,15177,10.8452,10.88,10.83,10.88,10.83,112
2023-08-14 13:33:00,3362,10.8338,10.82,10.84,10.84,10.82,24
2023-08-14 13:34:00,3208,10.8464,10.838,10.8496,10.85,10.838,23
2023-08-14 13:35:00,2986,10.8556,10.85,10.855,10.86,10.85,29
2023-08-14 13:36:00,2087,10.8525,10.857,10.84,10.857,10.84,16
2023-08-14 13:37:00,6254,10.8487,10.85,10.85,10.85,10.845,24
2023-08-14 13:38:00,5495,10.8598,10.855,10.86,10.865,10.855,55
2023-08-14 13:39:00,9889,10.8466,10.85,10.85,10.855,10.835,47
2023-08-14 13:40:00,1877,10.8594,10.86,10.86,10.86,10.855,18
2023-08-14 13:41:00,1409,10.8699,10.87,10.87,10.87,10.87,21
2023-08-14 13:42:00,902,10.8678,10.86,10.87,10.87,10.86,7
2023-08-14 13:43:00,942,10.886,10.885,10.89,10.89,10.88,19
2023-08-14 13:44:00,4127,10.8824,10.88,10.895,10.898,10.87,40
2023-08-14 13:45:00,885,10.8918,10.89,10.89,10.8981,10.89,14
2023-08-14 13:46:00,1220,10.872,10.88,10.87,10.88,10.87,19
2023-08-14 13:47:00,1911,10.8736,10.87,10.8709,10.88,10.87,19
2023-08-14 13:48:00,15111,10.8412,10.86,10.8301,10.86,10.83,84
2023-08-14 13:49:00,28174,10.8116,10.825,10.809,10.825,10.8,171
2023-08-14 13:50:00,3477,10.8088,10.81,10.795,10.81,10.795,31
2023-08-14 13:51:00,1386,10.8068,10.8,10.82,10.82,10.8,33
2023-08-14 13:52:00,2853,10.8192,10.82,10.825,10.83,10.815,30
2023-08-14 13:53:00,1710,10.8238,10.825,10.825,10.83,10.8201,10
2023-08-14 13:54:00,2389,10.8135,10.82,10.82,10.82,10.81,28
2023-08-14 13:55:00,817,10.8227,10.825,10.82,10.83,10.82,11
2023-08-14 13:56:00,21239,10.8212,10.809,10.825,10.8299,10.809,63
2023-08-14 13:57:00,10857,10.8376,10.825,10.835,10.84,10.825,39
2023-08-14 13:58:00,14913,10.8483,10.835,10.835,10.85,10.835,22
2023-08-14 13:59:00,1460,10.8404,10.84,10.84,10.84,10.84,11
2023-08-14 14:00:00,2579,10.8338,10.845,10.8318,10.845,10.8318,12
2023-08-14 14:01:00,342,10.8355,10.835,10.835,10.835,10.835,9
2023-08-14 14:02:00,4660,10.8484,10.84,10.85,10.855,10.84,49
2023-08-14 14:03:00,662,10.8406,10.8408,10.835,10.8408,10.835,16
2023-08-14 14:04:00,3570,10.8443,10.835,10.85,10.85,10.835,35
