t,v,vw,o,c,h,l,n
2023-09-06 13:30:00,10484,26.4983,26.5,26.43,26.5,26.43,17
2023-09-06 13:31:00,321,26.3993,26.41,26.381,26.41,26.381,8
2023-09-06 13:33:00,1169,26.4718,26.47,26.47,26.49,26.46,25
2023-09-06 13:34:00,1377,26.4675,26.46,26.49,26.49,26.46,28
2023-09-06 13:35:00,266,26.5011,26.49,26.52,26.52,26.49,16
2023-09-06 13:36:00,248,26.5056,26.51,26.51,26.51,26.51,13
2023-09-06 13:37:00,802,26.4952,26.49,26.51,26.51,26.49,21
2023-09-06 13:38:00,1005,26.484,26.4812,26.49,26.49,26.48,24
2023-09-06 13:39:00,420,26.5043,26.52,26.52,26.52,26.52,11
2023-09-06 13:40:00,420,26.5424,26.54,26.55,26.55,26.54,10
2023-09-06 13:41:00,1826,26.5458,26.55,26.56,26.56,26.54,49
2023-09-06 13:42:00,1313,26.5771,26.58,26.57,26.58,26.57,28
2023-09-06 13:45:00,2964,26.5752,26.57,26.58,26.585,26.57,67
2023-09-06 13:46:00,2292,26.5659,26.58,26.555,26.585,26.55,47
2023-09-06 13:47:00,1888,26.5246,26.54,26.515,26.54,26.51,42
2023-09-06 13:48:00,1296,26.5188,26.51,26.54,26.54,26.51,36
2023-09-06 13:49:00,891,26.5464,26.54,26.55,26.56,26.54,25
2023-09-06 13:50:00,3231,26.5469,26.54,26.58,26.58,26.54,41
2023-09-06 13:51:00,819,26.5933,26.59,26.59,26.59,26.59,30
2023-09-06 13:52:00,248,26.5703,26.57,26.57,26.57,26.57,8
2023-09-06 13:54:00,2025,26.5665,26.57,26.57,26.58,26.56,66
2023-09-06 13:56:00,977,26.5804,26.57,26.59,26.59,26.57,28
2023-09-06 13:57:00,7900,26.5808,26.6,26.58,26.6,26.58,19
2023-09-06 13:59:00,697,26.5573,26.56,26.555,26.56,26.555,29
2023-09-06 14:01:00,654,26.4854,26.49,26.46,26.49,26.46,17
2023-09-06 14:02:00,1804,26.4779,26.46,26.49,26.49,26.46,48
2023-09-06 14:03:00,1629,26.5096,26.505,26.51,26.51,26.505,41
2023-09-06 14:04:00,749,26.5115,26.515,26.51,26.515,26.51,20
2023-09-06 14:05:00,1182,26.4992,26.48,26.5,26.5,26.48,36
2023-09-06 14:06:00,736,26.5145,26.52,26.52,26.52,26.52,27
2023-09-06 14:07:00,1043,26.515,26.51,26.52,26.52,26.51,41
2023-09-06 14:08:00,375,26.5598,26.54,26.57,26.57,26.54,10
2023-09-06 14:09:00,982,26.557,26.56,26.55,26.56,26.55,36
2023-09-06 14:10:00,770,26.5405,26.54,26.54,26.54,26.54,27
2023-09-06 14:11:00,337,26.5628,26.57,26.57,26.57,26.57,19
2023-09-06 14:13:00,1168,26.5604,26.56,26.56,26.56,26.56,44
2023-09-06 14:14:00,1316,26.5543,26.55,26.56,26.56,26.55,41
2023-09-06 14:15:00,1685,26.5395,26.55,26.53,26.55,26.53,37
2023-09-06 14:16:00,1183,26.5457,26.54,26.55,26.55,26.535,40
2023-09-06 14:17:00,304,26.5638,26.56,26.56,26.56,26.56,21
2023-09-06 14:18:00,666,26.5453,26.55,26.53,26.55,26.53,24
2023-09-06 14:19:00,501,26.5435,26.535,26.535,26.535,26.535,20
2023-09-06 14:20:00,2489,26.5258,26.555,26.51,26.555,26.51,47
2023-09-06 14:21:00,955,26.5045,26.51,26.49,26.51,26.49,24
2023-09-06 14:22:00,1322,26.4791,26.49,26.47,26.49,26.47,26
2023-09-06 14:23:00,1511,26.4537,26.46,26.45,26.46,26.45,38
2023-09-06 14:24:00,795,26.4489,26.44,26.44,26.44,26.44,30
2023-09-06 14:25:00,1128,26.4386,26.43,26.45,26.45,26.43,43
2023-09-06 14:26:00,775,26.4639,26.46,26.47,26.47,26.46,30
2023-09-06 14:27:00,932,26.481,26.48,26.48,26.48,26.48,14
2023-09-06 14:28:00,1067,26.4621,26.47,26.45,26.47,26.45,32
2023-09-06 14:29:00,601,26.4613,26.46,26.46,26.46,26.46,12
2023-09-06 14:30:00,1041,26.4705,26.46,26.485,26.485,26.46,33
2023-09-06 14:31:00,738,26.4747,26.48,26.46,26.48,26.46,20
2023-09-06 14:32:00,938,26.4732,26.47,26.485,26.485,26.47,23
2023-09-06 14:33:00,801,26.4752,26.48,26.475,26.48,26.475,32
2023-09-06 14:34:00,502,26.4795,26.47,26.49,26.49,26.47,20
2023-09-06 14:35:00,955,26.4978,26.5,26.5,26.5,26.5,38
2023-09-06 14:36:00,966,26.4927,26.49,26.49,26.5,26.49,27
2023-09-06 14:37:00,413,26.493,26.49,26.49,26.49,26.49,17
2023-09-06 14:38:00,1294,26.4953,26.49,26.49,26.5,26.49,39
2023-09-06 14:39:00,406,26.4817,26.48,26.48,26.48,26.48,19
2023-09-06 14:40:00,1091,26.4816,26.48,26.48,26.49,26.48,31
