t,v,vw,o,c,h,l,n
2023-08-29 13:30:00,8013,24.6395,24.63,24.66,24.755,24.63,21
2023-08-29 13:31:00,2858,24.5695,24.58,24.605,24.61,24.52,33
2023-08-29 13:32:00,1859,24.4932,24.605,24.4001,24.605,24.4001,20
2023-08-29 13:33:00,1809,24.5074,24.495,24.5,24.58,24.46,31
2023-08-29 13:34:00,2209,24.5214,24.525,24.53,24.56,24.48,54
2023-08-29 13:35:00,2056,24.538,24.555,24.52,24.555,24.52,16
2023-08-29 13:36:00,738,24.5861,24.5945,24.565,24.5945,24.565,4
2023-08-29 13:37:00,1403,24.5602,24.565,24.55,24.565,24.5384,21
2023-08-29 13:38:00,1174,24.5399,24.54,24.5699,24.5699,24.51,16
2023-08-29 13:39:00,2734,24.5571,24.57,24.53,24.57,24.53,44
2023-08-29 13:40:00,607,24.5443,24.54,24.57,24.57,24.54,16
2023-08-29 13:41:00,3830,24.5722,24.57,24.6,24.6,24.57,69
2023-08-29 13:42:00,158,24.7003,24.71,24.71,24.71,24.71,8
2023-08-29 13:43:00,2062,24.6288,24.65,24.61,24.65,24.61,49
2023-08-29 13:44:00,810,24.5944,24.63,24.59,24.63,24.58,18
2023-08-29 13:45:00,1039,24.6182,24.62,24.61,24.63,24.61,26
2023-08-29 13:46:00,895,24.6464,24.63,24.65,24.65,24.63,16
2023-08-29 13:47:00,460,24.6668,24.68,24.665,24.68,24.665,11
2023-08-29 13:48:00,1280,24.666,24.66,24.67,24.675,24.65,41
2023-08-29 13:50:00,1378,24.658,24.66,24.64,24.68,24.64,45
2023-08-29 13:51:00,869,24.6315,24.64,24.635,24.64,24.635,25
2023-08-29 13:52:00,141,24.6257,24.6256,24.6256,24.6256,24.6256,3
2023-08-29 13:53:00,2127,24.6468,24.66,24.625,24.68,24.62,71
2023-08-29 13:54:00,689,24.6291,24.635,24.62,24.645,24.62,8
2023-08-29 13:55:00,200,24.6311,24.6172,24.645,24.645,24.6172,2
2023-08-29 13:56:00,886,24.652,24.645,24.65,24.65,24.645,27
2023-08-29 13:57:00,3839,24.6288,24.63,24.64,24.64,24.63,40
2023-08-29 13:58:00,1124,24.6275,24.63,24.62,24.635,24.62,28
2023-08-29 13:59:00,1266,24.6049,24.63,24.6,24.63,24.6,47
2023-08-29 14:00:00,1027,24.6465,24.6,24.67,24.67,24.6,25
2023-08-29 14:01:00,2288,24.682,24.7,24.71,24.71,24.67,23
2023-08-29 14:02:00,916,24.6916,24.69,24.68,24.69,24.68,23
2023-08-29 14:03:00,1665,24.7506,24.7338,24.7849,24.7849,24.7338,17
2023-08-29 14:04:00,1394,24.8095,24.76,24.8244,24.84,24.76,37
2023-08-29 14:05:00,520,24.8294,24.8622,24.855,24.8622,24.855,10
2023-08-29 14:06:00,725,24.879,24.89,24.9,24.9,24.87,10
2023-08-29 14:07:00,4400,24.8448,24.88,24.845,24.88,24.81,104
2023-08-29 14:08:00,1536,24.8198,24.83,24.81,24.83,24.8,30
2023-08-29 14:09:00,728,24.7983,24.8,24.79,24.81,24.79,21
2023-08-29 14:10:00,1617,24.7795,24.795,24.78,24.795,24.77,40
2023-08-29 14:11:00,331,24.7758,24.775,24.775,24.775,24.775,9
2023-08-29 14:12:00,459,24.7773,24.78,24.77,24.78,24.77,14
2023-08-29 14:13:00,2334,24.7868,24.78,24.78,24.8,24.78,41
2023-08-29 14:14:00,525,24.8042,24.8,24.8,24.8082,24.8,6
2023-08-29 14:15:00,2306,24.8219,24.8,24.8499,24.8499,24.8,43
2023-08-29 14:16:00,914,24.8657,24.87,24.865,24.88,24.86,23
2023-08-29 14:17:00,2429,24.8761,24.865,24.865,24.88,24.865,61
2023-08-29 14:18:00,285,24.8696,24.8695,24.87,24.87,24.8695,5
2023-08-29 14:19:00,1819,24.8709,24.865,24.87,24.89,24.86,39
2023-08-29 14:20:00,1580,24.9209,24.9,24.94,24.94,24.9,52
2023-08-29 14:21:00,1169,24.9582,24.93,24.98,24.98,24.93,18
2023-08-29 14:22:00,11265,25.0184,24.99,25.07,25.07,24.99,134
2023-08-29 14:23:00,1750,25.0809,25.1,25.07,25.1,25.07,38
2023-08-29 14:24:00,2734,25.0594,25.09,25.05,25.09,25.05,50
2023-08-29 14:25:00,463,25.0751,25.06,25.09,25.09,25.06,14
2023-08-29 14:26:00,1258,25.1418,25.11,25.17,25.17,25.11,23
2023-08-29 14:27:00,1794,25.1453,25.16,25.135,25.16,25.135,62
2023-08-29 14:28:00,3004,25.1508,25.15,25.145,25.1632,25.14,66
2023-08-29 14:29:00,648,25.1249,25.16,25.17,25.17,25.16,11
2023-08-29 14:30:00,1535,25.1536,25.15,25.15,25.16,25.15,51
2023-08-29 14:31:00,889,25.146,25.14,25.155,25.155,25.14,40
2023-08-29 14:32:00,1602,25.1365,25.14,25.14,25.14,25.13,37
2023-08-29 14:33:00,3102,25.1403,25.13,25.165,25.165,25.13,67
2023-08-29 14:34:00,2884,25.1556,25.165,25.155,25.165,25.15,68
2023-08-29 14:35:00,1066,25.1486,25.15,25.14,25.15,25.14,25
2023-08-29 14:36:00,31039,25.1835,25.16,25.16,25.23,25.16,195
2023-08-29 14:37:00,2994,25.135,25.15,25.125,25.15,25.11,64
2023-08-29 14:38:00,2920,25.1029,25.12,25.09,25.125,25.09,50
2023-08-29 14:39:00,1790,25.098,25.1,25.13,25.13,25.09,29
2023-08-29 14:40:00,2028,25.105,25.12,25.11,25.12,25.09,36
2023-08-29 14:41:00,4313,25.0841,25.125,25.07,25.125,25.07,68
2023-08-29 14:42:00,1144,25.0801,25.08,25.1,25.1,25.07,32
2023-08-29 14:43:00,3678,25.0828,25.105,25.075,25.105,25.06,56
2023-08-29 14:44:00,100,25.07,25.07,25.07,25.07,25.07,1
2023-08-29 14:45:00,834,25.1025,25.11,25.1,25.12,25.1,22
2023-08-29 14:46:00,2312,25.1062,25.11,25.11,25.115,25.1,36
2023-08-29 14:47:00,815,25.1303,25.14,25.14,25.14,25.125,9
2023-08-29 14:48:00,3077,25.144,25.14,25.14,25.15,25.13,62
2023-08-29 14:49:00,1059,25.1345,25.13,25.15,25.15,25.13,17
2023-08-29 14:50:00,409,25.1699,25.1799,25.16,25.1799,25.16,6
2023-08-29 14:51:00,527,25.188,25.17,25.18,25.18,25.17,10
2023-08-29 14:52:00,5010,25.1997,25.24,25.18,25.24,25.18,97
2023-08-29 14:53:00,103,25.1904,25.19,25.19,25.19,25.19,3
2023-08-29 14:54:00,609,25.1853,25.18,25.2,25.2,25.17,13
2023-08-29 14:55:00,1920,25.1723,25.17,25.17,25.17,25.17,44
2023-08-29 14:56:00,2874,25.1703,25.16,25.18,25.18,25.15,59
2023-08-29 14:57:00,733,25.1787,25.18,25.18,25.18,25.18,14
2023-08-29 14:58:00,465,25.2011,25.19,25.21,25.21,25.19,9
2023-08-29 14:59:00,754,25.2316,25.21,25.23,25.23,25.21,23
2023-08-29 15:00:00,220,25.2423,25.25,25.235,25.25,25.235,3
2023-08-29 15:01:00,2452,25.2353,25.24,25.24,25.25,25.23,25
