t,v,vw,o,c,h,l,n
2024-02-05 09:00:00,214,10.5621,10.56,10.56,10.56,10.56,3
2024-02-05 09:01:00,278,10.5899,10.6,10.6,10.6,10.6,7
2024-02-05 12:00:00,1208,10.5225,10.55,10.52,10.55,10.52,9
2024-02-05 12:01:00,800,10.52,10.52,10.52,10.52,10.52,1
2024-02-05 12:02:00,100,10.52,10.52,10.52,10.52,10.52,1
2024-02-05 12:39:00,277,10.53,10.53,10.53,10.53,10.53,3
2024-02-05 12:48:00,3502,10.5001,10.5,10.5,10.5,10.5,21
2024-02-05 13:21:00,2969,10.4914,10.5,10.48,10.5,10.47,30
2024-02-05 13:39:00,137,10.4846,10.49,10.49,10.49,10.49,2
2024-02-05 13:56:00,201,10.49,10.49,10.49,10.49,10.49,2
2024-02-05 14:25:00,160,10.4637,10.47,10.47,10.47,10.47,5
2024-02-05 14:29:00,4758,10.4518,10.47,10.45,10.47,10.45,22
2024-02-05 14:30:00,180321,10.4303,10.43,10.42,10.5,10.4,543
2024-02-05 14:31:00,40776,10.4063,10.42,10.4,10.42,10.39,210
2024-02-05 14:32:00,24677,10.3917,10.4,10.38,10.4,10.375,112
2024-02-05 14:33:00,14910,10.374,10.3799,10.3685,10.3806,10.3685,86
2024-02-05 14:34:00,12902,10.361,10.365,10.3569,10.365,10.3501,61
2024-02-05 14:35:00,23897,10.3495,10.3501,10.36,10.365,10.34,145
2024-02-05 14:36:00,4923,10.3498,10.36,10.355,10.36,10.34,52
2024-02-05 14:37:00,24179,10.3658,10.35,10.37,10.37,10.35,79
2024-02-05 14:38:00,4177,10.3667,10.36,10.365,10.37,10.36,56
2024-02-05 14:39:00,1839,10.3654,10.37,10.365,10.37,10.3611,24
2024-02-05 14:40:00,20190,10.3613,10.36,10.3599,10.37,10.3512,141
2024-02-05 14:41:00,5451,10.3592,10.3575,10.365,10.365,10.355,53
2024-02-05 14:42:00,31027,10.3636,10.365,10.37,10.37,10.36,157
2024-02-05 14:43:00,30692,10.3831,10.365,10.39,10.4,10.3601,209
2024-02-05 14:44:00,12290,10.3969,10.39,10.41,10.41,10.38,57
2024-02-05 14:45:00,9545,10.402,10.405,10.4,10.41,10.4,168
2024-02-05 14:46:00,21513,10.3907,10.3919,10.4,10.4,10.38,124
2024-02-05 14:47:00,14945,10.4023,10.3962,10.41,10.41,10.39,172
2024-02-05 14:48:00,8370,10.4156,10.415,10.42,10.42,10.41,42
2024-02-05 14:49:00,12994,10.409,10.41,10.4,10.415,10.4,240
2024-02-05 14:50:00,20429,10.3934,10.3932,10.395,10.395,10.39,71
2024-02-05 14:51:00,9457,10.393,10.3901,10.39,10.4,10.39,32
2024-02-05 14:52:00,11601,10.4024,10.4,10.4,10.405,10.3976,91
2024-02-05 14:53:00,24467,10.4053,10.4,10.415,10.415,10.4,144
2024-02-05 14:54:00,25804,10.4118,10.41,10.415,10.415,10.41,89
2024-02-05 14:55:00,6113,10.4124,10.415,10.41,10.42,10.41,58
2024-02-05 14:56:00,25248,10.4148,10.415,10.415,10.42,10.41,114
2024-02-05 14:57:00,6196,10.4138,10.415,10.42,10.42,10.41,45
2024-02-05 14:58:00,11260,10.4228,10.42,10.43,10.43,10.42,52
2024-02-05 14:59:00,1296,10.4249,10.42,10.425,10.43,10.42,20
2024-02-05 15:00:00,22734,10.4209,10.425,10.415,10.425,10.41,163
2024-02-05 15:01:00,20451,10.4214,10.41,10.42,10.425,10.41,119
2024-02-05 15:02:00,54459,10.4096,10.42,10.405,10.42,10.4,425
2024-02-05 15:03:00,34477,10.3961,10.41,10.3902,10.41,10.39,196
2024-02-05 15:04:00,54774,10.3887,10.39,10.395,10.395,10.38,193
