t,v,vw,o,c,h,l,n
2023-09-22 09:57:00,100,8.49,8.49,8.49,8.49,8.49,1
2023-09-22 12:48:00,100,8.4802,8.4802,8.4802,8.4802,8.4802,1
2023-09-22 13:30:00,13935,8.53,8.53,8.53,8.53,8.53,26
2023-09-22 13:31:00,153,8.5356,8.5312,8.5312,8.5312,8.5312,5
2023-09-22 13:32:00,19108,8.5646,8.57,8.57,8.58,8.545,196
2023-09-22 13:33:00,1228,8.566,8.56,8.57,8.575,8.56,13
2023-09-22 13:34:00,3188,8.5698,8.57,8.57,8.5708,8.565,37
2023-09-22 13:35:00,10160,8.6044,8.57,8.62,8.62,8.565,84
2023-09-22 13:36:00,4840,8.6134,8.63,8.59,8.6308,8.59,69
2023-09-22 13:37:00,1514,8.5874,8.59,8.58,8.59,8.58,33
2023-09-22 13:38:00,2118,8.5825,8.59,8.58,8.59,8.57,69
2023-09-22 13:39:00,1659,8.557,8.58,8.54,8.58,8.54,43
2023-09-22 13:40:00,1980,8.538,8.535,8.53,8.54,8.53,74
2023-09-22 13:41:00,1921,8.5317,8.53,8.53,8.54,8.53,54
2023-09-22 13:42:00,5573,8.5282,8.53,8.53,8.53,8.52,94
2023-09-22 13:43:00,3593,8.5313,8.525,8.55,8.55,8.52,78
2023-09-22 13:44:00,1042,8.5348,8.54,8.53,8.54,8.5231,16
2023-09-22 13:45:00,778,8.5381,8.54,8.52,8.54,8.52,31
2023-09-22 13:46:00,1772,8.5204,8.52,8.5201,8.5201,8.52,21
2023-09-22 13:47:00,7535,8.5111,8.53,8.475,8.53,8.475,123
2023-09-22 13:48:00,2477,8.4724,8.475,8.47,8.476,8.47,30
2023-09-22 13:49:00,8942,8.4858,8.4709,8.485,8.5,8.4709,72
2023-09-22 13:50:00,1946,8.4762,8.48,8.47,8.48,8.47,20
2023-09-22 13:51:00,5787,8.4487,8.465,8.44,8.465,8.435,52
2023-09-22 13:53:00,1179,8.4363,8.44,8.435,8.44,8.4316,24
2023-09-22 13:54:00,2056,8.4392,8.44,8.435,8.44,8.435,31
2023-09-22 13:55:00,5505,8.4378,8.44,8.4307,8.445,8.4307,52
2023-09-22 13:56:00,845,8.4361,8.43,8.44,8.44,8.43,16
2023-09-22 13:57:00,4700,8.4477,8.435,8.455,8.455,8.435,36
2023-09-22 13:58:00,534,8.4562,8.46,8.455,8.46,8.455,5
2023-09-22 13:59:00,1064,8.4587,8.4599,8.455,8.46,8.455,23
2023-09-22 14:00:00,7796,8.459,8.4592,8.46,8.46,8.455,72
2023-09-22 14:01:00,14262,8.4592,8.4687,8.45,8.4687,8.45,80
2023-09-22 14:02:00,32759,8.4029,8.44,8.395,8.44,8.381,285
2023-09-22 14:03:00,7525,8.4006,8.395,8.39,8.41,8.39,80
2023-09-22 14:04:00,7847,8.394,8.39,8.395,8.4,8.385,92
2023-09-22 14:05:00,1494,8.393,8.395,8.395,8.395,8.39,13
2023-09-22 14:06:00,10751,8.4001,8.395,8.405,8.41,8.395,144
2023-09-22 14:07:00,12967,8.4039,8.415,8.395,8.425,8.39,123
2023-09-22 14:08:00,668,8.3961,8.395,8.395,8.3992,8.395,12
2023-09-22 14:09:00,7584,8.404,8.4,8.4,8.415,8.395,76
2023-09-22 14:10:00,10099,8.4008,8.405,8.405,8.41,8.395,66
2023-09-22 14:11:00,1506,8.3923,8.4,8.385,8.4,8.385,18
2023-09-22 14:12:00,3363,8.3855,8.38,8.395,8.395,8.38,41
2023-09-22 14:13:00,1995,8.3977,8.395,8.395,8.3999,8.395,11
2023-09-22 14:14:00,2926,8.3895,8.395,8.38,8.395,8.38,45
2023-09-22 14:15:00,2885,8.3721,8.37,8.3708,8.375,8.37,31
2023-09-22 14:17:00,4387,8.3629,8.37,8.36,8.37,8.36,54
2023-09-22 14:18:00,4332,8.3466,8.35,8.345,8.35,8.34,47
2023-09-22 14:19:00,1636,8.349,8.345,8.345,8.3499,8.34,11
2023-09-22 14:20:00,804,8.3437,8.345,8.345,8.345,8.34,17
2023-09-22 14:22:00,389,8.3403,8.34,8.34,8.34,8.34,12
2023-09-22 14:23:00,47094,8.3409,8.34,8.345,8.355,8.325,323
2023-09-22 14:24:00,58290,8.3511,8.345,8.35,8.37,8.34,455
2023-09-22 14:25:00,23315,8.3631,8.3499,8.385,8.3899,8.34,172
2023-09-22 14:26:00,2258,8.3851,8.385,8.3858,8.39,8.38,23
2023-09-22 14:27:00,6980,8.385,8.385,8.385,8.3859,8.385,27
2023-09-22 14:28:00,1385,8.3857,8.385,8.385,8.385,8.385,24
2023-09-22 14:29:00,4398,8.3926,8.385,8.4,8.4,8.385,59
2023-09-22 14:30:00,5530,8.4036,8.405,8.4197,8.42,8.4,78
2023-09-22 14:31:00,5140,8.4231,8.415,8.425,8.43,8.415,52
2023-09-22 14:32:00,306,8.4397,8.44,8.44,8.44,8.44,14
2023-09-22 14:33:00,1050,8.4352,8.435,8.435,8.435,8.435,15
2023-09-22 14:34:00,796,8.4352,8.435,8.435,8.435,8.435,10
2023-09-22 14:35:00,1415,8.4337,8.44,8.44,8.44,8.435,15
2023-09-22 14:36:00,6326,8.4475,8.44,8.45,8.455,8.44,72
2023-09-22 14:37:00,2095,8.4448,8.445,8.445,8.445,8.44,24
2023-09-22 14:38:00,3427,8.4385,8.44,8.435,8.44,8.43,40
2023-09-22 14:39:00,3529,8.451,8.44,8.46,8.46,8.44,51
2023-09-22 14:40:00,12272,8.4637,8.46,8.46,8.47,8.46,99
2023-09-22 14:41:00,3422,8.452,8.455,8.45,8.455,8.45,35
2023-09-22 14:42:00,553,8.4559,8.455,8.455,8.4599,8.455,12
2023-09-22 14:43:00,4332,8.4438,8.45,8.445,8.45,8.44,57
2023-09-22 14:44:00,578,8.4448,8.445,8.445,8.445,8.445,8
2023-09-22 14:45:00,745,8.4445,8.445,8.44,8.445,8.44,14
2023-09-22 14:46:00,2877,8.4411,8.44,8.44,8.445,8.44,50
2023-09-22 14:47:00,2813,8.4412,8.445,8.4355,8.445,8.435,38
2023-09-22 14:48:00,2800,8.4396,8.435,8.4429,8.445,8.435,38
2023-09-22 14:49:00,1943,8.451,8.45,8.455,8.455,8.4499,29
2023-09-22 14:50:00,247,8.4599,8.46,8.46,8.46,8.46,9
2023-09-22 14:51:00,5170,8.4533,8.46,8.445,8.46,8.445,69
2023-09-22 14:54:00,218,8.4493,8.45,8.45,8.45,8.45,10
2023-09-22 14:55:00,457,8.4432,8.445,8.441,8.445,8.44,12
2023-09-22 14:56:00,605,8.4458,8.45,8.445,8.45,8.445,12
2023-09-22 14:57:00,424,8.4452,8.445,8.445,8.445,8.445,14
2023-09-22 14:58:00,2702,8.4452,8.445,8.445,8.445,8.4444,23
2023-09-22 14:59:00,566,8.4469,8.445,8.445,8.445,8.445,18
2023-09-22 15:00:00,8102,8.4319,8.45,8.42,8.45,8.42,85
2023-09-22 15:01:00,1054,8.4075,8.41,8.4,8.41,8.4,20
2023-09-22 15:02:00,844,8.3975,8.4,8.395,8.4,8.39,25
2023-09-22 15:03:00,13386,8.3819,8.39,8.385,8.39,8.38,46
2023-09-22 15:04:00,2083,8.3844,8.385,8.385,8.385,8.38,21
2023-09-22 15:05:00,1206,8.3853,8.385,8.385,8.385,8.385,28
2023-09-22 15:06:00,558,8.3858,8.385,8.3857,8.3857,8.385,20
2023-09-22 15:07:00,1942,8.3933,8.385,8.3991,8.3991,8.385,35
2023-09-22 15:08:00,332,8.3952,8.39,8.39,8.39,8.39,24
2023-09-22 15:09:00,9581,8.4008,8.395,8.4,8.4059,8.395,115
2023-09-22 15:10:00,533,8.3999,8.4,8.4,8.4,8.4,10
2023-09-22 15:11:00,661,8.4033,8.4,8.405,8.4054,8.4,9
2023-09-22 15:12:00,280,8.4042,8.4039,8.4039,8.4039,8.4039,6
2023-09-22 15:13:00,3655,8.3988,8.405,8.395,8.405,8.39,38
2023-09-22 15:14:00,195,8.3901,8.39,8.39,8.39,8.39,5
2023-09-22 15:15:00,6673,8.4022,8.395,8.4,8.41,8.395,59
2023-09-22 15:16:00,12138,8.4035,8.4,8.415,8.415,8.39,93
2023-09-22 15:17:00,1029,8.4189,8.41,8.42,8.42,8.41,19
2023-09-22 15:18:00,6750,8.4239,8.42,8.42,8.43,8.415,67
2023-09-22 15:20:00,1386,8.4229,8.425,8.425,8.43,8.425,17
2023-09-22 15:21:00,168,8.4265,8.425,8.425,8.425,8.425,4
2023-09-22 15:22:00,3092,8.4197,8.4251,8.41,8.4251,8.41,38
2023-09-22 15:23:00,1409,8.4152,8.415,8.41,8.42,8.41,17
2023-09-22 15:24:00,1118,8.4128,8.415,8.415,8.415,8.41,17
2023-09-22 15:25:00,788,8.4142,8.415,8.41,8.415,8.41,20
2023-09-22 15:26:00,1664,8.4211,8.42,8.425,8.425,8.42,40
2023-09-22 15:27:00,8486,8.4268,8.43,8.42,8.435,8.42,71
2023-09-22 15:28:00,654,8.4252,8.425,8.425,8.425,8.425,24
2023-09-22 15:29:00,712,8.4255,8.425,8.425,8.425,8.425,14
2023-09-22 15:30:00,710,8.425,8.425,8.425,8.425,8.425,11
2023-09-22 15:31:00,635,8.4247,8.425,8.42,8.425,8.42,11
2023-09-22 15:32:00,13478,8.4283,8.43,8.425,8.435,8.42,103
2023-09-22 15:33:00,573,8.4233,8.42,8.425,8.425,8.42,5
2023-09-22 15:34:00,7107,8.4262,8.43,8.425,8.43,8.42,63
2023-09-22 15:35:00,17930,8.4313,8.43,8.44,8.44,8.42,191
2023-09-22 15:36:00,6599,8.4523,8.44,8.455,8.455,8.44,49
