t,v,vw,o,c,h,l,n
2023-10-02 11:59:00,421,11.7495,11.75,11.75,11.75,11.75,3
2023-10-02 12:22:00,200,11.72,11.72,11.72,11.72,11.72,1
2023-10-02 12:36:00,214,11.72,11.72,11.72,11.72,11.72,1
2023-10-02 13:12:00,426,11.75,11.75,11.75,11.75,11.75,2
2023-10-02 13:25:00,1081,11.6495,11.61,11.6,11.7,11.6,9
2023-10-02 13:27:00,656,11.6,11.6,11.6,11.6,11.6,1
2023-10-02 13:30:00,79258,11.5734,11.56,11.61,11.65,11.52,273
2023-10-02 13:31:00,23435,11.4994,11.61,11.44,11.62,11.42,198
2023-10-02 13:32:00,28018,11.5334,11.455,11.56,11.59,11.455,212
2023-10-02 13:33:00,28866,11.5319,11.55,11.51,11.56,11.48,242
2023-10-02 13:34:00,15352,11.446,11.5,11.4,11.5,11.39,145
2023-10-02 13:35:00,37216,11.4612,11.4,11.5,11.51,11.4,273
2023-10-02 13:36:00,26305,11.4817,11.49,11.46,11.51,11.44,193
2023-10-02 13:37:00,25110,11.4814,11.46,11.48,11.51,11.45,194
2023-10-02 13:38:00,44679,11.5549,11.49,11.57,11.58,11.49,193
2023-10-02 13:39:00,19907,11.5756,11.575,11.57,11.6,11.56,175
2023-10-02 13:40:00,16391,11.5932,11.57,11.59,11.6,11.57,163
2023-10-02 13:41:00,25012,11.5787,11.58,11.58,11.6,11.57,218
2023-10-02 13:42:00,7322,11.5808,11.59,11.58,11.59,11.575,78
2023-10-02 13:43:00,22912,11.583,11.57,11.59,11.6,11.57,211
2023-10-02 13:44:00,6010,11.5907,11.6,11.59,11.6075,11.58,53
2023-10-02 13:45:00,25424,11.5766,11.58,11.56,11.59,11.555,212
2023-10-02 13:46:00,10996,11.577,11.57,11.56,11.59,11.555,96
2023-10-02 13:47:00,28303,11.5381,11.56,11.53,11.56,11.51,230
2023-10-02 13:48:00,14198,11.5209,11.53,11.5175,11.54,11.51,149
2023-10-02 13:49:00,19968,11.5031,11.5175,11.51,11.52,11.485,204
2023-10-02 13:50:00,23617,11.4728,11.5,11.425,11.51,11.425,173
2023-10-02 13:51:00,17138,11.4018,11.425,11.395,11.43,11.385,124
2023-10-02 13:52:00,23228,11.3967,11.4,11.39,11.42,11.38,215
2023-10-02 13:53:00,15112,11.3883,11.39,11.42,11.42,11.37,131
2023-10-02 13:54:00,9367,11.4094,11.42,11.4,11.42,11.395,66
2023-10-02 13:55:00,7724,11.4208,11.4,11.435,11.435,11.395,73
2023-10-02 13:56:00,4712,11.4301,11.45,11.42,11.45,11.415,57
2023-10-02 13:57:00,24682,11.408,11.41,11.395,11.42,11.39,144
2023-10-02 13:58:00,11868,11.3943,11.37,11.415,11.43,11.37,111
2023-10-02 13:59:00,14686,11.4268,11.42,11.4,11.45,11.4,124
2023-10-02 14:00:00,7240,11.4236,11.41,11.42,11.44,11.41,55
2023-10-02 14:01:00,19356,11.4162,11.4,11.42,11.44,11.4,207
2023-10-02 14:02:00,12598,11.3888,11.41,11.37,11.41,11.37,116
2023-10-02 14:03:00,8237,11.3555,11.37,11.35,11.37,11.34,94
2023-10-02 14:04:00,13747,11.3463,11.34,11.35,11.36,11.33,128
2023-10-02 14:05:00,31719,11.3072,11.345,11.305,11.345,11.28,239
2023-10-02 14:06:00,6487,11.3108,11.3,11.32,11.32,11.3,65
2023-10-02 14:07:00,19297,11.3038,11.31,11.29,11.315,11.29,198
2023-10-02 14:08:00,10065,11.2861,11.29,11.3,11.3,11.28,85
