t,v,vw,o,c,h,l,n
2023-06-02 10:57:00,510,59.6151,59.7,59.77,59.77,59.7,9
2023-06-02 11:00:00,463,59.0483,59.05,59.05,59.05,59.05,8
2023-06-02 11:04:00,100,59.1,59.1,59.1,59.1,59.1,1
2023-06-02 11:13:00,425,59.2012,59.2,59.2,59.2,59.2,5
2023-06-02 11:18:00,568,59.25,59.25,59.25,59.25,59.25,19
2023-06-02 11:53:00,465,59.2511,59.25,59.25,59.25,59.25,9
2023-06-02 11:56:00,150,59.2933,59.3,59.3,59.3,59.3,2
2023-06-02 12:00:00,4503,59.2524,59.06,59.3,59.49,59.06,47
2023-06-02 12:12:00,411,59.3041,59.31,59.3,59.31,59.3,8
2023-06-02 12:15:00,1040,59.3456,59.3461,59.35,59.35,59.3461,5
2023-06-02 12:19:00,505,59.2623,59.25,59.25,59.25,59.25,11
2023-06-02 12:25:00,350,59.3214,59.35,59.25,59.35,59.25,4
2023-06-02 12:27:00,300,59.2767,59.28,59.28,59.28,59.28,4
2023-06-02 12:29:00,2891,59.35,59.35,59.35,59.35,59.35,3
2023-06-02 12:30:00,3789,59.2757,59.3,59.4,59.4,59.25,32
2023-06-02 12:32:00,400,59.293,59.27,59.3,59.3,59.27,6
2023-06-02 12:35:00,180,59.3867,59.4,59.4,59.4,59.4,2
2023-06-02 12:38:00,727,59.3511,59.35,59.35,59.35,59.35,4
2023-06-02 12:39:00,5352,59.2636,59.35,59.25,59.35,59.25,63
2023-06-02 12:40:00,255,59.348,59.35,59.35,59.35,59.35,2
2023-06-02 12:41:00,166,59.3404,59.4,59.4,59.4,59.4,2
2023-06-02 12:46:00,406,59.2475,59.25,59.25,59.25,59.25,6
2023-06-02 12:47:00,405,59.2395,59.25,59.25,59.25,59.25,6
2023-06-02 12:51:00,511,59.2471,59.25,59.25,59.25,59.25,3
2023-06-02 13:02:00,150,59.1667,59.15,59.15,59.15,59.15,2
2023-06-02 13:04:00,200,59.02,59.02,59.02,59.02,59.02,1
2023-06-02 13:06:00,1797,59.2817,59.29,59.3,59.3,59.18,18
