t,v,vw,o,c,h,l,n
2023-07-12 13:27:00,1567,30.9207,30.89,31.0,31.0,30.89,10
2023-07-12 13:30:00,22277,30.9014,30.91,30.8,30.92,30.8,69
2023-07-12 13:31:00,4706,30.8183,30.78,30.84,30.86,30.78,74
2023-07-12 13:32:00,2072,30.8639,30.86,30.87,30.88,30.855,43
2023-07-12 13:33:00,3240,30.8586,30.87,30.855,30.87,30.83,39
2023-07-12 13:34:00,645,30.8058,30.83,30.8099,30.83,30.7725,15
2023-07-12 13:35:00,21347,30.8071,30.79,30.86,30.865,30.77,178
2023-07-12 13:36:00,4280,30.8944,30.87,30.94,30.94,30.87,75
2023-07-12 13:37:00,10118,30.9378,30.93,30.98,30.98,30.92,74
2023-07-12 13:38:00,4793,30.9748,30.98,30.98,30.98,30.97,35
2023-07-12 13:39:00,11857,30.9307,30.97,30.95,30.97,30.9103,92
2023-07-12 13:40:00,12256,30.9519,30.96,30.9599,30.97,30.935,126
2023-07-12 13:41:00,7945,30.9928,30.965,31.02,31.02,30.965,120
2023-07-12 13:42:00,7607,31.0134,31.01,31.025,31.03,30.995,98
2023-07-12 13:43:00,9588,31.0331,31.02,31.05,31.06,31.02,103
2023-07-12 13:44:00,6902,31.0362,31.06,31.01,31.07,31.01,92
2023-07-12 13:45:00,12661,30.9823,31.01,30.985,31.01,30.97,151
2023-07-12 13:46:00,6720,30.9975,30.98,31.015,31.02,30.98,87
2023-07-12 13:47:00,23884,30.992,31.02,30.99,31.02,30.96,193
2023-07-12 13:48:00,10615,31.0034,31.0,30.99,31.03,30.97,117
2023-07-12 13:49:00,7792,31.0195,30.985,31.05,31.05,30.985,69
2023-07-12 13:50:00,8584,31.0479,31.05,31.03,31.07,31.03,97
2023-07-12 13:51:00,6454,31.0291,31.0399,31.04,31.045,31.01,89
2023-07-12 13:52:00,7477,31.0174,31.04,30.98,31.055,30.97,98
2023-07-12 13:53:00,8812,30.985,30.97,31.0,31.01,30.97,99
2023-07-12 13:54:00,7421,30.9876,30.99,30.97,30.995,30.97,82
2023-07-12 13:55:00,9966,30.979,30.97,31.005,31.005,30.97,122
2023-07-12 13:56:00,10089,31.0304,31.0093,31.035,31.055,31.0093,120
2023-07-12 13:57:00,6329,31.0216,31.03,31.0228,31.03,31.01,71
2023-07-12 13:58:00,3946,31.0374,31.025,31.045,31.05,31.025,60
2023-07-12 13:59:00,4544,31.039,31.04,31.03,31.05,31.03,64
2023-07-12 14:00:00,8944,31.0272,31.035,31.02,31.04,31.02,114
2023-07-12 14:01:00,12308,31.017,31.02,31.02,31.025,31.005,161
2023-07-12 14:02:00,6348,31.0193,31.015,31.02,31.03,31.011,60
2023-07-12 14:03:00,7012,31.009,31.01,31.01,31.01,31.0001,82
2023-07-12 14:04:00,10031,30.9863,31.01,31.0,31.01,30.965,127
2023-07-12 14:05:00,6153,30.9944,31.01,30.99,31.01,30.99,86
2023-07-12 14:06:00,6143,31.0031,31.0,31.005,31.01,31.0,82
2023-07-12 14:07:00,11331,31.0103,31.01,31.0,31.02,31.0,135
2023-07-12 14:08:00,6489,31.0194,31.01,31.04,31.04,31.01,95
2023-07-12 14:09:00,13546,31.0437,31.05,31.04,31.06,31.04,176
2023-07-12 14:10:00,6564,31.054,31.045,31.065,31.065,31.045,85
2023-07-12 14:11:00,11012,31.0503,31.06,31.065,31.07,31.04,103
2023-07-12 14:12:00,11053,31.0562,31.065,31.05,31.07,31.045,114
2023-07-12 14:13:00,8112,31.0717,31.08,31.065,31.08,31.065,96
2023-07-12 14:14:00,3266,31.0713,31.07,31.075,31.075,31.068,48
2023-07-12 14:15:00,10596,31.0998,31.08,31.115,31.12,31.08,135
2023-07-12 14:16:00,12933,31.1063,31.12,31.115,31.12,31.09,185
2023-07-12 14:17:00,3915,31.1337,31.115,31.1457,31.15,31.115,52
2023-07-12 14:18:00,8530,31.1455,31.15,31.115,31.1575,31.115,119
2023-07-12 14:19:00,5171,31.1042,31.11,31.095,31.115,31.095,78
2023-07-12 14:20:00,28790,31.0845,31.095,31.07,31.095,31.07,173
2023-07-12 14:21:00,6894,31.0891,31.08,31.1,31.1,31.075,61
2023-07-12 14:22:00,45871,31.0938,31.095,31.09,31.105,31.08,135
2023-07-12 14:23:00,9712,31.0852,31.09,31.08,31.09,31.075,59
2023-07-12 14:24:00,3714,31.065,31.075,31.0357,31.0785,31.03,55
2023-07-12 14:25:00,8879,31.0489,31.035,31.08,31.08,31.03,163
2023-07-12 14:26:00,3235,31.0697,31.07,31.075,31.075,31.065,62
2023-07-12 14:27:00,5152,31.0835,31.08,31.075,31.0975,31.075,61
2023-07-12 14:28:00,2312,31.0784,31.075,31.085,31.085,31.07,37
2023-07-12 14:29:00,4810,31.066,31.08,31.03,31.08,31.03,83
2023-07-12 14:30:00,7498,30.9646,31.02,30.95,31.02,30.95,135
2023-07-12 14:31:00,2301,30.9461,30.95,30.945,30.95,30.94,45
2023-07-12 14:32:00,6069,30.9358,30.94,30.925,30.94,30.92,93
2023-07-12 14:33:00,4919,30.9279,30.92,30.94,30.94,30.918,80
2023-07-12 14:34:00,1377,30.9459,30.94,30.945,30.95,30.94,26
2023-07-12 14:35:00,3304,30.9422,30.95,30.94,30.95,30.94,75
2023-07-12 14:36:00,4177,30.9079,30.91,30.9,30.91,30.9,74
2023-07-12 14:37:00,3323,30.8931,30.895,30.88,30.9,30.88,61
2023-07-12 14:38:00,2245,30.8731,30.89,30.85,30.89,30.85,47
2023-07-12 14:39:00,5960,30.8343,30.83,30.83,30.84,30.825,96
2023-07-12 14:40:00,2608,30.8217,30.835,30.815,30.835,30.815,54
2023-07-12 14:41:00,4141,30.8189,30.805,30.84,30.84,30.8005,66
2023-07-12 14:42:00,5419,30.8301,30.84,30.845,30.845,30.815,74
2023-07-12 14:43:00,4508,30.8583,30.85,30.88,30.88,30.85,71
2023-07-12 14:44:00,3799,30.8846,30.87,30.89,30.9,30.87,46
2023-07-12 14:45:00,1966,30.8811,30.9,30.87,30.9,30.87,44
2023-07-12 14:46:00,2040,30.8513,30.865,30.85,30.865,30.84,35
2023-07-12 14:47:00,4748,30.8569,30.85,30.86,30.865,30.85,90
2023-07-12 14:48:00,2977,30.8651,30.86,30.855,30.875,30.855,56
2023-07-12 14:49:00,8488,30.8811,30.86,30.89,30.895,30.86,104
2023-07-12 14:50:00,2530,30.8946,30.89,30.895,30.9,30.89,41
2023-07-12 14:51:00,1400,30.89,30.89,30.89,30.89,30.89,31
2023-07-12 14:52:00,4561,30.8983,30.88,30.93,30.93,30.88,68
2023-07-12 14:53:00,5673,30.9206,30.93,30.915,30.93,30.915,55
2023-07-12 14:54:00,5667,30.9161,30.91,30.93,30.93,30.91,67
2023-07-12 14:55:00,3371,30.926,30.93,30.925,30.93,30.92,53
2023-07-12 14:56:00,3143,30.9081,30.915,30.905,30.915,30.9,48
2023-07-12 14:57:00,6177,30.9172,30.91,30.925,30.93,30.91,83
2023-07-12 14:58:00,2927,30.9084,30.92,30.896,30.92,30.895,42
2023-07-12 14:59:00,4176,30.9156,30.9,30.93,30.93,30.9,73
2023-07-12 15:00:00,903,30.9264,30.925,30.93,30.93,30.92,17
2023-07-12 15:01:00,2862,30.9306,30.9275,30.94,30.94,30.9275,44
2023-07-12 15:02:00,6782,30.9292,30.94,30.93,30.94,30.925,71
2023-07-12 15:03:00,1293,30.922,30.925,30.925,30.93,30.92,15
2023-07-12 15:04:00,9812,30.9461,30.9275,30.975,30.975,30.9275,95
2023-07-12 15:05:00,12001,30.9805,30.97,31.01,31.01,30.97,118
2023-07-12 15:06:00,8773,31.0151,31.0,31.03,31.03,31.0,83
2023-07-12 15:07:00,5005,31.0131,31.025,30.995,31.025,30.995,74
2023-07-12 15:08:00,3310,30.9955,30.99,31.0099,31.01,30.99,54
