t,v,vw,o,c,h,l,n
2023-05-25 12:55:00,100.0,29.64,29.64,29.64,29.64,29.64,1
2023-05-25 13:01:00,532.0,29.6344,29.61,29.64,29.64,29.61,5
2023-05-25 13:02:00,100.0,29.65,29.65,29.65,29.65,29.65,1
2023-05-25 13:07:00,860.0,29.6446,29.65,29.64,29.65,29.64,4
2023-05-25 13:21:00,400.0,29.36,29.36,29.36,29.36,29.36,2
2023-05-25 13:30:00,41736.0,29.2659,29.28,29.27,29.33,29.15,220
2023-05-25 13:31:00,11973.0,29.3288,29.28,29.34,29.36,29.27,139
2023-05-25 13:32:00,6758.0,29.3649,29.31,29.47,29.47,29.275,101
2023-05-25 13:33:00,42252.0,29.5868,29.48,29.565,29.62,29.46,209
2023-05-25 13:34:00,4718.0,29.6435,29.55,29.66,29.67,29.55,59
2023-05-25 13:35:00,18034.0,29.6189,29.64,29.63,29.66,29.57,259
2023-05-25 13:36:00,18266.0,29.6455,29.62,29.67,29.67,29.61,227
2023-05-25 13:37:00,5660.0,29.6321,29.66,29.58,29.68,29.58,68
2023-05-25 13:38:00,6921.0,29.5875,29.575,29.62,29.62,29.57,67
2023-05-25 13:39:00,21316.0,29.6211,29.6,29.61,29.65,29.58,179
2023-05-25 13:40:00,11666.0,29.6381,29.6,29.63,29.65,29.6,122
2023-05-25 13:41:00,13430.0,29.6271,29.61,29.62,29.65,29.59,136
2023-05-25 13:42:00,18101.0,29.6164,29.63,29.66,29.66,29.57,165
2023-05-25 13:43:00,51901.0,29.6831,29.655,29.77,29.78,29.6,275
2023-05-25 13:44:00,16392.0,29.7124,29.77,29.69,29.77,29.66,147
2023-05-25 13:45:00,20077.0,29.7753,29.69,29.745,29.81,29.69,232
2023-05-25 13:46:00,6161.0,29.6931,29.75,29.6886,29.75,29.66,87
2023-05-25 13:47:00,7056.0,29.7067,29.69,29.745,29.75,29.65,79
2023-05-25 13:48:00,10527.0,29.7516,29.75,29.72,29.77,29.715,105
2023-05-25 13:49:00,15154.0,29.6364,29.71,29.655,29.71,29.62,182
2023-05-25 13:50:00,7517.0,29.6198,29.64,29.61,29.65,29.6,110
2023-05-25 13:51:00,24875.0,29.611,29.6,29.62,29.6325,29.585,233
2023-05-25 13:52:00,17861.0,29.6335,29.63,29.605,29.69,29.6,187
2023-05-25 13:53:00,53265.0,29.5949,29.61,29.48,29.62,29.48,233
2023-05-25 13:54:00,9138.0,29.4873,29.48,29.505,29.53,29.445,123
2023-05-25 13:55:00,62086.0,29.4779,29.505,29.45,29.505,29.44,180
2023-05-25 13:56:00,12657.0,29.4703,29.4699,29.49,29.5,29.42,150
2023-05-25 13:57:00,60537.0,29.4953,29.5,29.42,29.52,29.41,234
2023-05-25 13:58:00,14558.0,29.4313,29.43,29.46,29.48,29.41,191
2023-05-25 13:59:00,7988.0,29.4805,29.475,29.48,29.5,29.45,93
2023-05-25 14:00:00,16650.0,29.4937,29.48,29.48,29.505,29.47,198
2023-05-25 14:01:00,37507.0,29.4257,29.47,29.41,29.47,29.4,326
2023-05-25 14:02:00,49257.0,29.4344,29.405,29.34,29.42,29.34,220
2023-05-25 14:03:00,33317.0,29.4447,29.35,29.44,29.44,29.3475,128
2023-05-25 14:04:00,13278.0,29.4381,29.45,29.425,29.46,29.425,111
2023-05-25 14:05:00,18843.0,29.4372,29.425,29.4,29.46,29.39,176
2023-05-25 14:06:00,19638.0,29.4407,29.399,29.46,29.47,29.39,178
2023-05-25 14:07:00,23157.0,29.4339,29.45,29.405,29.46,29.4,104
2023-05-25 14:08:00,23728.0,29.3816,29.41,29.365,29.415,29.34,175
2023-05-25 14:09:00,54061.0,29.3759,29.36,29.375,29.395,29.35,187
2023-05-25 14:10:00,15095.0,29.3616,29.375,29.355,29.38,29.35,139
2023-05-25 14:11:00,38300.0,29.3563,29.355,29.385,29.39,29.325,323
2023-05-25 14:12:00,38192.0,29.3976,29.385,29.4275,29.4275,29.375,267
2023-05-25 14:13:00,14763.0,29.3987,29.425,29.36,29.445,29.35,129
2023-05-25 14:14:00,16847.0,29.3677,29.37,29.3694,29.38,29.35,106
2023-05-25 14:15:00,25601.0,29.4146,29.365,29.41,29.46,29.36,184
2023-05-25 14:16:00,10233.0,29.4361,29.41,29.44,29.47,29.405,92
2023-05-25 14:17:00,7914.0,29.4469,29.44,29.4425,29.46,29.435,89
2023-05-25 14:18:00,11050.0,29.4256,29.45,29.39,29.46,29.39,119
2023-05-25 14:19:00,13787.0,29.3894,29.39,29.38,29.41,29.375,136
2023-05-25 14:20:00,19184.0,29.3824,29.38,29.4,29.4,29.37,144
2023-05-25 14:21:00,15200.0,29.4125,29.4,29.42,29.43,29.395,140
2023-05-25 14:22:00,46803.0,29.3967,29.425,29.4,29.43,29.35,243
2023-05-25 14:23:00,11039.0,29.3888,29.405,29.37,29.41,29.37,103
2023-05-25 14:24:00,7380.0,29.3945,29.35,29.43,29.45,29.35,110
2023-05-25 14:25:00,7501.0,29.4068,29.425,29.41,29.425,29.3925,57
2023-05-25 14:26:00,9073.0,29.4073,29.4,29.425,29.43,29.395,107
2023-05-25 14:27:00,6147.0,29.4226,29.43,29.44,29.44,29.41,75
2023-05-25 14:28:00,6039.0,29.4171,29.435,29.41,29.435,29.395,65
2023-05-25 14:29:00,4691.0,29.4056,29.41,29.3925,29.42,29.3925,67
2023-05-25 14:30:00,64048.0,29.3869,29.39,29.37,29.46,29.35,632
2023-05-25 14:31:00,35166.0,29.3558,29.37,29.34,29.38,29.33,277
2023-05-25 14:32:00,58398.0,29.3015,29.33,29.3,29.33,29.28,406
2023-05-25 14:33:00,46704.0,29.2528,29.28,29.245,29.28,29.22,137
2023-05-25 14:34:00,11706.0,29.2638,29.25,29.32,29.32,29.2125,111
2023-05-25 14:35:00,11960.0,29.3134,29.32,29.31,29.33,29.2925,119
2023-05-25 14:36:00,17750.0,29.3399,29.31,29.4,29.415,29.31,206
