t,v,vw,o,c,h,l,n
2024-04-01 13:30:00,19313,5.4146,5.42,5.43,5.43,5.34,36
2024-04-01 13:31:00,1328,5.4294,5.43,5.43,5.43,5.43,21
2024-04-01 13:32:00,402,5.4398,5.44,5.44,5.44,5.44,5
2024-04-01 13:33:00,3500,5.4297,5.44,5.44,5.44,5.42,22
2024-04-01 13:35:00,809,5.4372,5.43,5.435,5.45,5.43,5
2024-04-01 13:36:00,1178,5.4473,5.44,5.45,5.45,5.44,14
2024-04-01 13:37:00,956,5.45,5.45,5.45,5.45,5.45,14
2024-04-01 13:38:00,666,5.4581,5.455,5.46,5.46,5.455,12
2024-04-01 13:39:00,2229,5.4595,5.46,5.46,5.46,5.46,15
2024-04-01 13:40:00,2238,5.4621,5.46,5.465,5.47,5.46,26
2024-04-01 13:41:00,264,5.4688,5.47,5.47,5.47,5.47,4
2024-04-01 13:42:00,2985,5.4602,5.465,5.46,5.465,5.46,23
2024-04-01 13:43:00,553,5.4662,5.4641,5.47,5.47,5.4641,3
2024-04-01 13:44:00,1212,5.4692,5.47,5.465,5.47,5.465,12
2024-04-01 13:45:00,511,5.4602,5.45,5.47,5.47,5.45,11
2024-04-01 13:46:00,6974,5.4525,5.46,5.45,5.46,5.45,26
2024-04-01 13:47:00,1097,5.4314,5.44,5.42,5.44,5.42,10
2024-04-01 13:48:00,1613,5.4172,5.42,5.415,5.42,5.41,15
2024-04-01 13:49:00,2756,5.423,5.42,5.43,5.43,5.42,32
2024-04-01 13:50:00,101,5.445,5.445,5.445,5.445,5.445,2
2024-04-01 13:52:00,990,5.4419,5.45,5.44,5.45,5.44,15
2024-04-01 13:53:00,313,5.4483,5.445,5.45,5.45,5.445,8
2024-04-01 13:54:00,259,5.446,5.4425,5.45,5.45,5.4425,7
2024-04-01 13:55:00,986,5.4531,5.45,5.45,5.46,5.45,15
2024-04-01 13:56:00,2626,5.4498,5.455,5.45,5.455,5.445,35
2024-04-01 13:57:00,109,5.445,5.445,5.445,5.445,5.445,5
2024-04-01 13:58:00,604,5.4467,5.45,5.44,5.45,5.44,9
2024-04-01 13:59:00,1576,5.4395,5.44,5.435,5.44,5.435,17
2024-04-01 14:01:00,201,5.43,5.43,5.43,5.43,5.43,4
2024-04-01 14:03:00,302,5.4267,5.425,5.425,5.43,5.425,5
2024-04-01 14:04:00,502,5.424,5.425,5.42,5.43,5.42,7
2024-04-01 14:05:00,2389,5.4211,5.42,5.43,5.43,5.42,18
2024-04-01 14:07:00,203,5.43,5.43,5.43,5.43,5.43,5
2024-04-01 14:08:00,203,5.43,5.43,5.43,5.43,5.43,5
2024-04-01 14:09:00,3687,5.4196,5.42,5.41,5.42,5.41,32
2024-04-01 14:11:00,2422,5.4102,5.41,5.41,5.41,5.41,23
2024-04-01 14:12:00,1082,5.4095,5.415,5.405,5.415,5.405,18
2024-04-01 14:13:00,619,5.4026,5.4,5.41,5.41,5.4,13
2024-04-01 14:15:00,437,5.4016,5.4,5.4,5.4,5.4,7
2024-04-01 14:16:00,355,5.405,5.405,5.405,5.405,5.405,5
2024-04-01 14:17:00,1100,5.4055,5.405,5.405,5.41,5.4001,16
2024-04-01 14:18:00,1737,5.4001,5.4,5.4001,5.4001,5.4,10
2024-04-01 14:19:00,2331,5.3973,5.4,5.385,5.4,5.385,33
2024-04-01 14:20:00,201,5.3825,5.38,5.385,5.385,5.38,3
2024-04-01 14:21:00,1822,5.3905,5.39,5.4,5.4,5.39,26
2024-04-01 14:23:00,101,5.4,5.4,5.4,5.4,5.4,2
2024-04-01 14:24:00,1418,5.4033,5.4,5.405,5.405,5.4,16
2024-04-01 14:25:00,2758,5.4096,5.405,5.415,5.415,5.405,33
2024-04-01 14:26:00,6789,5.4107,5.415,5.395,5.415,5.395,39
2024-04-01 14:27:00,221,5.3934,5.395,5.395,5.395,5.395,6
2024-04-01 14:28:00,304,5.3916,5.395,5.39,5.395,5.39,6
2024-04-01 14:29:00,2793,5.3888,5.395,5.38,5.395,5.38,21
2024-04-01 14:30:00,1072,5.3739,5.375,5.37,5.375,5.37,5
2024-04-01 14:31:00,304,5.375,5.375,5.375,5.375,5.375,6
2024-04-01 14:32:00,461,5.3751,5.375,5.37,5.38,5.37,10
2024-04-01 14:34:00,202,5.3725,5.37,5.37,5.37,5.37,5
2024-04-01 14:35:00,458,5.3746,5.37,5.375,5.38,5.37,12
2024-04-01 14:37:00,254,5.373,5.375,5.375,5.375,5.375,6
2024-04-01 14:38:00,1007,5.3785,5.375,5.38,5.38,5.375,11
2024-04-01 14:39:00,13754,5.3518,5.37,5.34,5.37,5.34,49
