t,v,vw,o,c,h,l,n
2024-04-17 11:08:00,140.0,101.2491,101.25,101.25,101.25,101.25,5
2024-04-17 11:35:00,100.0,101.25,101.25,101.25,101.25,101.25,1
2024-04-17 12:00:00,4473.0,100.8552,100.5422,100.75,101.0,100.5422,44
2024-04-17 12:02:00,297.0,100.797,100.77,100.77,100.77,100.77,99
2024-04-17 12:09:00,246.0,101.119,101.24,101.03,101.24,101.03,6
2024-04-17 12:20:00,135.0,100.785,100.785,100.785,100.785,100.785,1
2024-04-17 12:21:00,110.0,101.05,101.03,101.03,101.03,101.03,2
2024-04-17 12:25:00,445.0,101.2394,101.23,101.23,101.23,101.23,24
2024-04-17 12:48:00,250.0,101.0,101.0,101.0,101.0,101.0,1
2024-04-17 13:08:00,330.0,101.0939,101.1,101.1,101.1,101.1,5
2024-04-17 13:28:00,105.0,101.0981,101.1,101.1,101.1,101.1,3
2024-04-17 13:29:00,107.0,101.1021,101.1,101.1,101.1,101.1,4
2024-04-17 13:30:00,61885.0,101.3832,101.26,101.2052,101.55,101.13,326
2024-04-17 13:31:00,21704.0,101.2463,101.17,101.38,101.4,101.14,355
2024-04-17 13:32:00,7804.0,101.4038,101.38,101.47,101.48,101.36,147
2024-04-17 13:33:00,6799.0,101.4133,101.445,101.4384,101.5,101.37,110
2024-04-17 13:34:00,10108.0,101.5233,101.5,101.37,101.58,101.37,172
2024-04-17 13:35:00,13449.0,101.3859,101.4499,101.435,101.4499,101.3,256
2024-04-17 13:36:00,7606.0,101.4385,101.4,101.47,101.47,101.36,120
2024-04-17 13:37:00,45990.0,101.4965,101.48,101.6,101.6,101.47,425
2024-04-17 13:38:00,9855.0,101.5491,101.55,101.54,101.6,101.49,162
2024-04-17 13:39:00,10567.0,101.5893,101.54,101.59,101.6,101.54,106
2024-04-17 13:40:00,29073.0,101.6173,101.59,101.6,101.665,101.58,394
2024-04-17 13:41:00,11415.0,101.5729,101.59,101.59,101.59,101.53,164
2024-04-17 13:42:00,9830.0,101.6492,101.59,101.72,101.7299,101.59,158
2024-04-17 13:43:00,17777.0,101.6943,101.72,101.69,101.72,101.66,276
2024-04-17 13:44:00,10923.0,101.6897,101.67,101.72,101.729,101.67,127
2024-04-17 13:45:00,13460.0,101.6869,101.73,101.72,101.739,101.649,188
