t,v,vw,o,c,h,l,n
2024-04-25 12:00:00,621,2.7699,2.77,2.77,2.77,2.77,3
2024-04-25 13:09:00,22858,2.71,2.71,2.71,2.71,2.71,1
2024-04-25 13:30:00,24693,2.7096,2.71,2.73,2.73,2.69,35
2024-04-25 13:31:00,2936,2.7158,2.72,2.72,2.72,2.705,27
2024-04-25 13:32:00,2045,2.7182,2.73,2.71,2.73,2.7,21
2024-04-25 13:33:00,11267,2.7097,2.705,2.71,2.72,2.705,77
2024-04-25 13:34:00,11488,2.7192,2.72,2.72,2.72,2.71,58
2024-04-25 13:35:00,8982,2.6959,2.7,2.7097,2.7097,2.69,30
2024-04-25 13:36:00,1296,2.6996,2.7009,2.695,2.705,2.695,14
2024-04-25 13:37:00,43153,2.6815,2.695,2.67,2.695,2.67,62
2024-04-25 13:38:00,16374,2.6535,2.67,2.67,2.67,2.65,76
2024-04-25 13:39:00,46319,2.6862,2.66,2.69,2.7,2.66,117
2024-04-25 13:40:00,4047,2.6875,2.69,2.69,2.69,2.68,10
2024-04-25 13:41:00,1665,2.6907,2.695,2.685,2.695,2.685,14
2024-04-25 13:42:00,4495,2.6931,2.685,2.7,2.7,2.68,47
2024-04-25 13:43:00,27200,2.6969,2.695,2.72,2.72,2.695,25
2024-04-25 13:44:00,31840,2.7054,2.71,2.705,2.72,2.7,64
2024-04-25 13:45:00,1980,2.7182,2.72,2.7175,2.72,2.71,11
2024-04-25 13:46:00,4165,2.7193,2.7199,2.715,2.72,2.71,9
2024-04-25 13:47:00,152,2.71,2.71,2.71,2.71,2.71,4
2024-04-25 13:48:00,4021,2.7108,2.715,2.705,2.715,2.705,32
2024-04-25 13:49:00,18490,2.7194,2.71,2.725,2.73,2.71,110
2024-04-25 13:50:00,781,2.7265,2.725,2.725,2.73,2.725,9
2024-04-25 13:51:00,816,2.7259,2.725,2.725,2.725,2.725,16
2024-04-25 13:52:00,1724,2.7272,2.72,2.73,2.73,2.72,17
2024-04-25 13:53:00,807,2.7278,2.725,2.725,2.73,2.725,12
