t,v,vw,o,c,h,l,n
2023-12-27 14:30:00,3565,22.2643,22.25,22.255,22.38,22.24,16
2023-12-27 14:34:00,514,22.2998,22.29,22.31,22.31,22.29,5
2023-12-27 14:35:00,13644,22.206,22.225,21.98,22.225,21.98,37
2023-12-27 14:36:00,9014,22.0522,21.98,21.98,22.06,21.89,12
2023-12-27 14:37:00,1428,21.8731,21.84,21.88,22.0,21.84,18
2023-12-27 14:38:00,309,22.0164,22.1199,21.92,22.1199,21.92,9
2023-12-27 14:39:00,413,21.9869,21.97,21.97,21.97,21.97,7
2023-12-27 14:40:00,1449,22.066,22.09,22.0803,22.09,21.97,9
2023-12-27 14:41:00,154,22.131,22.145,22.145,22.145,22.145,10
2023-12-27 14:42:00,437,22.1081,22.06,22.18,22.18,22.06,18
2023-12-27 14:43:00,526,22.1964,22.18,22.18,22.18,22.18,23
2023-12-27 14:44:00,150,22.2472,22.255,22.255,22.255,22.255,4
2023-12-27 14:45:00,357,22.1982,22.235,22.17,22.235,22.17,4
2023-12-27 14:47:00,331,22.1909,22.17,22.17,22.17,22.17,13
2023-12-27 14:48:00,728,22.1346,22.16,22.135,22.16,22.06,22
2023-12-27 14:49:00,1184,22.107,22.11,22.11,22.11,22.11,14
2023-12-27 14:50:00,282,22.0629,22.06,22.06,22.06,22.06,4
2023-12-27 14:51:00,1150,22.0546,22.07,22.03,22.07,22.03,28
2023-12-27 14:52:00,423,22.0513,22.01,22.01,22.01,22.01,14
2023-12-27 14:53:00,334,21.9961,22.005,22.005,22.005,22.005,17
2023-12-27 14:54:00,3421,21.9361,21.98,21.96,21.98,21.93,41
2023-12-27 14:56:00,2656,21.9957,22.0,21.99,22.01,21.97,48
2023-12-27 14:57:00,447,22.0162,21.97,21.97,21.97,21.97,14
2023-12-27 14:59:00,1241,22.071,22.1,22.09,22.1,22.04,25
2023-12-27 15:01:00,575,22.201,22.17,22.26,22.26,22.17,14
2023-12-27 15:02:00,456,22.2485,22.24,22.245,22.245,22.22,10
2023-12-27 15:04:00,344,22.2118,22.21,22.21,22.21,22.21,15
2023-12-27 15:06:00,733,22.2093,22.21,22.2,22.22,22.2,28
2023-12-27 15:07:00,563,22.1894,22.19,22.18,22.2,22.18,16
2023-12-27 15:09:00,1116,22.2106,22.2,22.2,22.225,22.2,43
2023-12-27 15:10:00,244,22.2007,22.2,22.2,22.2,22.2,12
2023-12-27 15:11:00,739,22.1679,22.16,22.16,22.16,22.16,39
2023-12-27 15:12:00,1330,22.161,22.15,22.19,22.19,22.12,37
2023-12-27 15:13:00,597,22.1626,22.17,22.16,22.17,22.16,31
2023-12-27 15:14:00,275,22.1331,22.145,22.13,22.145,22.13,13
