t,v,vw,o,c,h,l,n
2023-10-02 12:20:00,20.0,32.04,32.04,32.04,32.04,32.04,1
2023-10-02 12:40:00,5.51,32.02,32.04,32.0,32.04,32.0,5
2023-10-02 12:44:00,27.42,37.09,32.04,38.43,38.43,32.04,18
2023-10-02 12:46:00,1.0,36.71,36.71,36.71,36.71,36.71,1
2023-10-02 12:48:00,1.0,36.5,36.5,36.5,36.5,36.5,1
2023-10-02 13:01:00,20.88,31.95,32.0,32.0,32.0,31.0,12
2023-10-02 13:06:00,1.66,31.97,31.97,31.97,31.97,31.97,2
2023-10-02 13:09:00,5.0,31.01,31.55,30.88,31.55,30.88,2
2023-10-02 13:28:00,10.0,32.02,31.98,31.98,31.98,31.98,7
2023-10-02 13:29:00,5.0,31.97,31.97,31.97,31.97,31.97,1
2023-10-02 13:30:00,14.45,31.92,31.9,31.98,31.98,31.9,4
2023-10-02 13:31:00,2.0,33.73,33.57,33.89,33.89,33.57,2
2023-10-02 13:32:00,3.91,33.89,33.89,33.9,33.9,33.89,2
2023-10-02 13:35:00,13.0,32.91,33.0,32.9,33.0,32.9,6
2023-10-02 13:46:00,1.5,32.93,33.4,33.4,33.4,33.4,2
2023-10-02 13:53:00,62.75,33.31,33.3,33.3,33.4,33.0,7
2023-10-02 13:59:00,11.36,32.82,33.0,32.0,33.0,32.0,5
2023-10-02 14:03:00,11.02,32.0,32.0,32.0,32.0,32.0,2
2023-10-02 14:06:00,1.0,32.99,32.99,32.99,32.99,32.99,1
2023-10-02 14:49:00,1.07,32.49,32.4949,32.4949,32.4949,32.4949,1
2023-10-02 15:01:00,10.0,32.01,32.01,32.01,32.01,32.01,1
2023-10-02 15:05:00,2.8,32.0,32.0,32.0,32.0,32.0,1
2023-10-02 15:17:00,3.0,32.99,32.99,32.99,32.99,32.99,1
2023-10-02 15:18:00,1.0,32.5,32.495,32.495,32.495,32.495,1
2023-10-02 15:39:00,57.83,31.98,32.0,31.35,32.0,31.35,17
2023-10-02 15:43:00,1.0,31.75,31.75,31.75,31.75,31.75,1
2023-10-02 15:44:00,2.95,32.3,32.3,32.3,32.3,32.3,1
2023-10-02 15:45:00,1.1,32.27,32.3,32.3,32.3,32.3,2
2023-10-02 15:49:00,2.95,32.18,32.13,32.13,32.13,32.13,2
2023-10-02 15:59:00,9.37,31.68,31.68,31.68,31.68,31.68,1
2023-10-02 16:26:00,100.0,31.62,31.68,31.35,31.6958,31.35,13
2023-10-02 17:06:00,1.0,31.83,31.8251,31.8251,31.8251,31.8251,1
2023-10-02 17:13:00,3.0,32.3,32.3,32.3,32.3,32.3,1
2023-10-02 17:14:00,1.0,32.2,32.2,32.2,32.2,32.2,1
2023-10-02 17:32:00,18.0,31.36,31.3564,31.3564,31.3564,31.3564,1
2023-10-02 17:40:00,51.0,31.99,31.9899,31.9,31.9899,31.9,3
2023-10-02 17:41:00,12.0,31.9,31.89,31.99,31.99,31.89,2
2023-10-02 17:45:00,1.0,31.99,31.99,31.99,31.99,31.99,1
2023-10-02 18:01:00,1.0,31.35,31.35,31.35,31.35,31.35,1
2023-10-02 18:11:00,1.0,31.94,31.94,31.94,31.94,31.94,1
2023-10-02 18:37:00,1.0,31.74,31.74,31.74,31.74,31.74,1
2023-10-02 18:40:00,10.55,31.92,31.74,31.98,31.98,31.74,2
2023-10-02 19:04:00,158.0,31.35,31.5,31.35,31.5,31.35,19
2023-10-02 19:10:00,114.0,31.15,31.35,31.0,31.36,31.0,10
2023-10-02 19:12:00,34.0,31.07,31.15,31.0,31.15,31.0,2
2023-10-02 19:16:00,3.1,31.49,31.485,31.485,31.485,31.485,1
