t,v,vw,o,c,h,l,n
2024-01-22 12:00:00,367,21.1192,21.11,21.11,21.11,21.11,9
2024-01-22 12:51:00,1364,21.2412,21.22,21.25,21.25,21.22,11
2024-01-22 13:00:00,1069,21.2331,21.24,21.23,21.24,21.23,12
2024-01-22 13:04:00,164,20.9,20.9,20.9,20.9,20.9,1
2024-01-22 13:05:00,416,20.9147,20.91,20.91,20.91,20.91,7
2024-01-22 14:30:00,26961,21.1,21.13,20.99,21.16,20.9711,171
2024-01-22 14:31:00,4816,21.014,21.0298,21.02,21.03,20.99,29
2024-01-22 14:32:00,13973,21.0701,21.0104,21.15,21.18,21.0104,91
2024-01-22 14:33:00,13661,21.1151,21.115,21.08,21.13,21.08,95
2024-01-22 14:34:00,11923,21.0658,21.0727,21.045,21.09,21.045,75
2024-01-22 14:35:00,10244,21.033,21.03,21.08,21.08,21.01,127
2024-01-22 14:36:00,7728,21.0623,21.06,21.05,21.1,21.0499,111
2024-01-22 14:37:00,18643,21.0417,21.05,21.0411,21.05,21.02,91
2024-01-22 14:38:00,8175,20.9931,21.0298,20.961,21.0298,20.961,110
2024-01-22 14:39:00,3295,20.9998,20.97,21.02,21.02,20.97,68
2024-01-22 14:40:00,2242,21.0503,21.03,21.045,21.0699,21.03,54
2024-01-22 14:41:00,8860,21.0616,21.05,21.06,21.08,21.04,124
2024-01-22 14:42:00,5238,21.0581,21.07,21.02,21.07,21.02,69
2024-01-22 14:43:00,7509,21.0625,21.05,21.04,21.08,21.04,114
2024-01-22 14:44:00,1059,21.0286,21.03,21.029,21.031,21.029,54
2024-01-22 14:45:00,5411,21.0198,21.002,21.0395,21.0395,20.9944,84
2024-01-22 14:46:00,9828,21.0603,21.03,21.06,21.09,21.03,175
2024-01-22 14:47:00,6539,21.0662,21.05,21.07,21.0712,21.05,109
2024-01-22 14:48:00,3104,21.0726,21.06,21.11,21.11,21.06,66
2024-01-22 14:49:00,943,21.1119,21.11,21.11,21.12,21.11,37
2024-01-22 14:50:00,629,21.1169,21.1033,21.1196,21.1201,21.1033,14
2024-01-22 14:51:00,538,21.1267,21.14,21.14,21.14,21.14,28
2024-01-22 14:52:00,1458,21.1187,21.12,21.11,21.12,21.11,39
2024-01-22 14:53:00,5341,21.1203,21.12,21.12,21.13,21.12,70
2024-01-22 14:54:00,2971,21.1509,21.15,21.15,21.15,21.15,28
2024-01-22 14:55:00,133,21.1547,21.1526,21.1526,21.1526,21.1526,11
2024-01-22 14:56:00,1641,21.1538,21.16,21.16,21.16,21.15,33
2024-01-22 14:57:00,2690,21.1552,21.16,21.14,21.18,21.14,49
2024-01-22 14:59:00,11160,21.1592,21.15,21.16,21.18,21.13,157
2024-01-22 15:00:00,5044,21.1882,21.19,21.18,21.19,21.17,30
2024-01-22 15:01:00,5868,21.1846,21.18,21.19,21.19,21.18,73
2024-01-22 15:02:00,3213,21.1796,21.18,21.195,21.195,21.16,53
2024-01-22 15:03:00,6278,21.1952,21.2,21.1812,21.2,21.18,59
2024-01-22 15:04:00,3915,21.1434,21.17,21.125,21.17,21.125,81
2024-01-22 15:05:00,1311,21.1417,21.13,21.14,21.145,21.13,27
2024-01-22 15:06:00,1454,21.1324,21.1308,21.14,21.14,21.13,12
2024-01-22 15:07:00,2021,21.1664,21.17,21.165,21.17,21.165,38
2024-01-22 15:08:00,1783,21.1645,21.17,21.17,21.17,21.16,43
2024-01-22 15:09:00,3266,21.1764,21.17,21.18,21.18,21.17,48
2024-01-22 15:10:00,5146,21.1594,21.185,21.169,21.185,21.14,66
2024-01-22 15:11:00,761,21.17,21.17,21.17,21.17,21.17,15
2024-01-22 15:12:00,4238,21.1811,21.17,21.18,21.19,21.17,59
2024-01-22 15:13:00,1650,21.2009,21.19,21.21,21.21,21.19,25
2024-01-22 15:14:00,1770,21.2207,21.22,21.22,21.2206,21.22,19
2024-01-22 15:15:00,4032,21.2099,21.2201,21.2224,21.2224,21.2,72
2024-01-22 15:16:00,833,21.2172,21.2298,21.21,21.2298,21.21,22
2024-01-22 15:17:00,2458,21.1897,21.21,21.185,21.21,21.185,53
2024-01-22 15:18:00,4215,21.1685,21.17,21.16,21.17,21.16,61
2024-01-22 15:19:00,1816,21.1617,21.16,21.163,21.163,21.16,20
2024-01-22 15:20:00,1324,21.1603,21.1605,21.1599,21.1605,21.1599,17
2024-01-22 15:21:00,5864,21.1668,21.1613,21.1701,21.18,21.1613,59
2024-01-22 15:22:00,6433,21.1833,21.18,21.1999,21.1999,21.1797,83
2024-01-22 15:23:00,1363,21.1998,21.1801,21.21,21.21,21.1801,32
2024-01-22 15:24:00,1503,21.213,21.2155,21.22,21.22,21.21,24
2024-01-22 15:25:00,1570,21.2257,21.22,21.23,21.23,21.22,33
2024-01-22 15:26:00,2743,21.2358,21.235,21.235,21.24,21.235,25
2024-01-22 15:27:00,15850,21.2345,21.2399,21.21,21.25,21.21,132
2024-01-22 15:28:00,2257,21.1804,21.19,21.175,21.19,21.17,44
2024-01-22 15:29:00,1475,21.1909,21.1706,21.2001,21.21,21.1706,29
2024-01-22 15:30:00,4756,21.2127,21.201,21.23,21.23,21.201,28
2024-01-22 15:31:00,2070,21.2106,21.21,21.22,21.22,21.21,32
2024-01-22 15:32:00,4838,21.224,21.21,21.24,21.25,21.21,97
2024-01-22 15:33:00,7417,21.2423,21.24,21.25,21.26,21.23,82
2024-01-22 15:34:00,5261,21.2443,21.255,21.22,21.255,21.22,101
2024-01-22 15:35:00,1152,21.1926,21.205,21.19,21.205,21.19,22
2024-01-22 15:36:00,2554,21.2187,21.2,21.24,21.24,21.2,40
2024-01-22 15:37:00,2744,21.2474,21.25,21.25,21.26,21.24,55
2024-01-22 15:38:00,4855,21.2736,21.26,21.285,21.29,21.26,61
2024-01-22 15:39:00,2927,21.2882,21.285,21.2903,21.295,21.28,30
2024-01-22 15:40:00,5651,21.2972,21.295,21.306,21.306,21.29,89
2024-01-22 15:41:00,2014,21.3039,21.31,21.3042,21.31,21.3,24
2024-01-22 15:42:00,1920,21.2995,21.305,21.3,21.305,21.29,41
2024-01-22 15:43:00,2365,21.3162,21.31,21.32,21.32,21.31,41
2024-01-22 15:44:00,4656,21.3265,21.3139,21.32,21.34,21.3139,79
2024-01-22 15:45:00,3559,21.3005,21.31,21.305,21.31,21.28,48
2024-01-22 15:46:00,1471,21.329,21.31,21.33,21.33,21.31,42
2024-01-22 15:47:00,3848,21.3606,21.36,21.36,21.37,21.3595,50
2024-01-22 15:48:00,1335,21.3658,21.36,21.3619,21.37,21.36,23
