t,v,vw,o,c,h,l,n
2023-09-14 08:56:00,246.0,96.54,96.54,96.54,96.54,96.54,3
2023-09-14 10:16:00,354.0,96.506,96.5,96.5,96.5,96.5,10
2023-09-14 10:17:00,625.0,96.4299,96.43,96.43,96.43,96.43,10
2023-09-14 10:18:00,116.0,96.4,96.4,96.4,96.4,96.4,1
2023-09-14 10:22:00,473.0,96.4026,96.4,96.4,96.4,96.4,5
2023-09-14 10:27:00,778.0,96.6525,96.6,96.69,96.69,96.6,25
2023-09-14 10:28:00,101.0,96.69,96.69,96.69,96.69,96.69,2
2023-09-14 10:29:00,135.0,96.7,96.7,96.7,96.7,96.7,1
2023-09-14 10:56:00,504.0,96.5836,96.58,96.58,96.58,96.58,7
2023-09-14 11:16:00,1043.0,96.5214,96.51,96.5,96.51,96.5,22
2023-09-14 12:00:00,288318.0,96.9283,96.74,96.67,96.74,96.67,35
2023-09-14 12:01:00,270.0,96.7166,96.6,96.6,96.6,96.6,34
2023-09-14 12:02:00,1216.0,96.6734,96.67,96.67,96.67,96.67,13
2023-09-14 12:11:00,222.0,96.5643,96.55,96.55,96.55,96.55,10
2023-09-14 12:19:00,100.0,96.65,96.65,96.65,96.65,96.65,1
2023-09-14 12:21:00,1066.0,96.6552,96.65,96.68,96.68,96.65,31
2023-09-14 12:22:00,201.0,96.6966,96.71,96.71,96.71,96.71,5
2023-09-14 12:30:00,101.0,96.6591,96.66,96.66,96.66,96.66,2
2023-09-14 12:33:00,300.0,96.7088,96.7088,96.7088,96.7088,96.7088,1
2023-09-14 12:35:00,250.0,96.7054,96.71,96.71,96.71,96.71,5
2023-09-14 12:39:00,600.0,96.6188,96.66,96.61,96.66,96.61,2
2023-09-14 12:55:00,672.0,96.7723,96.78,96.79,96.79,96.78,14
2023-09-14 12:56:00,207.0,96.7897,96.79,96.79,96.79,96.79,2
2023-09-14 13:00:00,235.0,96.7885,96.79,96.79,96.79,96.79,3
2023-09-14 13:11:00,100.0,96.83,96.83,96.83,96.83,96.83,1
2023-09-14 13:14:00,234.0,96.8304,96.83,96.83,96.83,96.83,9
2023-09-14 13:30:00,89371.0,96.7988,96.77,96.75,96.91,96.62,1162
2023-09-14 13:31:00,17141.0,96.7762,96.755,96.765,96.8931,96.65,250
2023-09-14 13:32:00,18690.0,96.8659,96.765,96.71,96.93,96.71,292
2023-09-14 13:33:00,9527.0,96.8793,96.72,96.9952,96.9952,96.72,226
2023-09-14 13:34:00,12470.0,96.9889,96.98,97.005,97.0899,96.867,212
2023-09-14 13:35:00,16175.0,96.964,97.02,96.96,97.0299,96.9,283
2023-09-14 13:36:00,11503.0,96.9761,96.955,97.0,97.04,96.91,172
2023-09-14 13:37:00,11862.0,96.9386,97.04,96.8699,97.05,96.855,197
2023-09-14 13:38:00,8684.0,96.8896,96.86,96.92,96.92,96.86,172
2023-09-14 13:39:00,9034.0,97.0314,96.91,97.0,97.1,96.91,205
2023-09-14 13:40:00,9054.0,96.9722,96.98,96.97,97.02,96.935,155
2023-09-14 13:41:00,9431.0,96.9717,96.97,96.96,97.0,96.939,170
2023-09-14 13:42:00,14810.0,96.9352,96.97,96.99,97.0,96.84,205
2023-09-14 13:43:00,5930.0,96.9853,96.99,96.93,97.05,96.93,123
2023-09-14 13:44:00,27408.0,96.9219,96.9,96.92,96.9784,96.9,180
2023-09-14 13:45:00,9799.0,96.9339,96.94,96.96,96.989,96.89,100
2023-09-14 13:46:00,4136.0,96.9297,96.92,96.92,96.94,96.91,222
2023-09-14 13:47:00,22539.0,96.8746,96.93,96.88,96.94,96.83,388
2023-09-14 13:48:00,19939.0,96.7974,96.83,96.6892,96.87,96.67,427
