t,v,vw,o,c,h,l,n
2024-04-25 08:39:00,300,110.5919,110.6,110.6,110.6,110.6,5
2024-04-25 09:25:00,100,110.65,110.65,110.65,110.65,110.65,1
2024-04-25 09:34:00,187,110.9986,111.0,111.0,111.0,111.0,4
2024-04-25 10:05:00,200,111.45,111.45,111.45,111.45,111.45,4
2024-04-25 11:01:00,895,110.9997,111.0,111.0,111.0,111.0,18
2024-04-25 12:03:00,9363,109.2461,109.23,109.23,109.23,109.23,2
2024-04-25 12:05:00,229,109.9302,109.74,109.74,109.74,109.74,3
2024-04-25 12:08:00,200,111.6742,111.72,111.72,111.72,111.72,3
2024-04-25 13:06:00,150,111.3,111.3,111.3,111.3,111.3,1
2024-04-25 13:13:00,111,111.0018,111.0,111.0,111.0,111.0,3
2024-04-25 13:17:00,203,110.1236,110.1,110.1,110.1,110.1,4
2024-04-25 13:20:00,882,110.0084,110.0,110.0,110.0,110.0,15
2024-04-25 13:21:00,234,110.1938,110.0,110.0,110.0,110.0,2
2024-04-25 13:29:00,593,109.8273,110.06,109.46,110.06,109.46,5
2024-04-25 13:30:00,19462,109.7043,109.71,109.51,109.81,109.51,127
2024-04-25 13:31:00,6851,109.8286,109.685,110.03,110.1575,109.6,123
2024-04-25 13:32:00,1527,110.0549,110.0327,110.05,110.13,110.01,24
2024-04-25 13:33:00,4353,109.5983,109.81,109.45,109.81,109.31,62
2024-04-25 13:34:00,2097,109.3597,109.4683,109.31,109.4683,109.31,37
2024-04-25 13:35:00,7065,109.058,109.29,108.775,109.4757,108.6925,136
2024-04-25 13:36:00,1548,108.5575,108.5618,108.42,108.6,108.42,36
2024-04-25 13:37:00,521,108.6298,108.6393,108.61,108.817,108.61,15
2024-04-25 13:38:00,356,108.6341,108.7,108.7,108.7,108.7,9
2024-04-25 13:39:00,6450,108.336,108.47,108.03,108.47,108.03,103
2024-04-25 13:40:00,4126,108.3791,108.21,108.485,108.52,108.12,69
2024-04-25 13:41:00,329,108.5048,108.495,108.5,108.5,108.495,12
2024-04-25 13:42:00,2599,108.8166,108.61,108.97,108.97,108.61,85
2024-04-25 13:43:00,2712,109.2876,109.05,109.34,109.48,109.05,68
2024-04-25 13:44:00,2855,109.4002,109.34,109.42,109.44,109.34,67
2024-04-25 13:45:00,12656,109.4729,109.31,109.665,109.7644,109.24,185
2024-04-25 13:46:00,2649,109.7559,109.665,109.78,109.82,109.665,58
2024-04-25 13:47:00,2227,109.6455,109.67,109.69,109.69,109.6,58
2024-04-25 13:48:00,7606,109.5509,109.715,109.56,109.72,109.47,142
2024-04-25 13:49:00,2537,109.6631,109.68,109.61,109.76,109.61,55
2024-04-25 13:50:00,1558,109.6427,109.63,109.635,109.635,109.63,49
2024-04-25 13:51:00,1036,109.6049,109.66,109.56,109.66,109.54,34
2024-04-25 13:52:00,6301,109.5039,109.49,109.52,109.59,109.43,164
2024-04-25 13:53:00,656,109.5043,109.55,109.52,109.55,109.44,25
2024-04-25 13:54:00,3793,109.3122,109.39,109.13,109.4,109.13,80
2024-04-25 13:55:00,7571,109.2736,109.145,109.47,109.575,109.145,129
2024-04-25 13:56:00,3700,109.5222,109.57,109.56,109.63,109.5,100
2024-04-25 13:57:00,1509,109.4926,109.45,109.5,109.5,109.41,46
2024-04-25 13:58:00,2366,109.6332,109.6215,109.605,109.68,109.56,82
2024-04-25 13:59:00,10147,109.577,109.53,109.65,109.71,109.435,159
2024-04-25 14:00:00,3376,109.5047,109.605,109.52,109.605,109.41,45
2024-04-25 14:01:00,4325,109.4437,109.5,109.38,109.63,109.33,70
2024-04-25 14:02:00,2878,109.2053,109.26,109.1,109.26,109.1,56
2024-04-25 14:03:00,3708,108.9607,108.97,108.94,109.1335,108.89,44
2024-04-25 14:04:00,2867,109.0973,109.09,109.175,109.175,109.09,100
2024-04-25 14:05:00,1445,109.1849,109.2,109.19,109.205,109.07,29
2024-04-25 14:06:00,1810,109.2739,109.18,109.38,109.38,109.15,69
2024-04-25 14:07:00,932,109.3021,109.372,109.372,109.372,109.372,25
2024-04-25 14:08:00,2998,109.3985,109.38,109.395,109.48,109.335,70
2024-04-25 14:09:00,4827,109.2404,109.31,109.18,109.33,109.07,101
2024-04-25 14:10:00,1415,109.0966,109.06,109.02,109.13,109.01,47
2024-04-25 14:11:00,3660,109.1431,109.1,109.16,109.23,109.1,107
2024-04-25 14:12:00,1714,109.1817,109.125,109.22,109.22,109.125,50
2024-04-25 14:13:00,2603,109.3679,109.31,109.48,109.48,109.24,87
2024-04-25 14:14:00,2146,109.5491,109.52,109.6,109.6,109.47,74
2024-04-25 14:15:00,3816,109.5424,109.565,109.49,109.72,109.44,63
2024-04-25 14:16:00,1470,109.5324,109.6003,109.535,109.6003,109.52,28
2024-04-25 14:17:00,1638,109.6369,109.535,109.67,109.67,109.535,62
2024-04-25 14:18:00,652,109.6941,109.6,109.73,109.735,109.6,37
2024-04-25 14:19:00,3421,109.5939,109.73,109.54,109.73,109.54,73
2024-04-25 14:20:00,1434,109.498,109.54,109.475,109.54,109.47,33
2024-04-25 14:21:00,373,109.4534,109.44,109.47,109.47,109.44,12
2024-04-25 14:22:00,22911,109.7276,109.37,110.09,110.1,109.33,441
2024-04-25 14:23:00,12909,110.1772,110.1,110.43,110.48,110.06,201
2024-04-25 14:24:00,11368,110.5195,110.4321,110.7299,110.73,110.25,172
2024-04-25 14:25:00,7446,110.6356,110.58,110.785,110.785,110.55,170
2024-04-25 14:26:00,33463,111.167,110.75,111.56,111.575,110.73,539
2024-04-25 14:27:00,11780,111.5391,111.59,111.52,111.7196,111.405,245
2024-04-25 14:28:00,14881,111.3637,111.48,111.31,111.605,111.2,269
2024-04-25 14:29:00,3758,111.0803,111.28,110.86,111.28,110.86,90
2024-04-25 14:30:00,39722,111.5763,110.89,112.33,112.33,110.89,563
2024-04-25 14:31:00,43541,112.4301,112.27,112.6,112.82,112.005,893
2024-04-25 14:32:00,8575,112.2882,112.5735,112.13,112.58,111.94,126
2024-04-25 14:33:00,12726,111.7572,112.1,111.5,112.21,111.25,154
2024-04-25 14:34:00,8976,111.315,111.2016,111.37,111.6,111.075,186
2024-04-25 14:35:00,9589,111.2628,111.37,111.51,111.56,111.0925,207
2024-04-25 14:36:00,2413,111.5874,111.54,111.74,111.74,111.4,71
2024-04-25 14:37:00,10317,111.8271,111.72,111.935,112.04,111.58,191
2024-04-25 14:38:00,4414,112.1481,112.0,112.12,112.365,112.0,94
2024-04-25 14:39:00,2675,112.1289,112.14,112.155,112.2,112.0,55
2024-04-25 14:40:00,8727,111.8828,112.01,111.92,112.08,111.68,154
2024-04-25 14:41:00,5570,111.443,111.535,111.31,111.655,111.295,115
2024-04-25 14:42:00,5968,111.0711,111.31,111.01,111.31,110.88,86
2024-04-25 14:43:00,3573,111.0633,111.075,110.9966,111.13,110.9966,92
