t,v,vw,o,c,h,l,n
2023-09-22 08:01:00,375,64.49,64.49,64.49,64.49,64.49,4
2023-09-22 08:20:00,500,64.41,64.41,64.41,64.41,64.41,2
2023-09-22 08:30:00,916,64.3449,64.34,64.33,64.35,64.33,6
2023-09-22 08:35:00,1000,64.54,64.54,64.54,64.54,64.54,4
2023-09-22 10:15:00,308,64.74,64.74,64.74,64.74,64.74,3
2023-09-22 10:23:00,1000,64.8,64.8,64.8,64.8,64.8,4
2023-09-22 10:25:00,347,64.87,64.87,64.87,64.87,64.87,3
2023-09-22 10:54:00,500,64.84,64.84,64.84,64.84,64.84,1
2023-09-22 10:59:00,500,64.88,64.88,64.88,64.88,64.88,2
2023-09-22 11:19:00,165,64.84,64.84,64.84,64.84,64.84,1
2023-09-22 11:21:00,1000,64.896,64.89,64.9,64.9,64.89,5
2023-09-22 11:57:00,6887,65.001,65.0,65.01,65.01,65.0,34
2023-09-22 11:59:00,2694,65.0007,65.0,65.0,65.01,65.0,11
2023-09-22 12:00:00,383,64.9387,65.05,65.05,65.05,65.05,16
2023-09-22 12:02:00,1818,64.769,63.44,65.1,65.1,63.44,11
2023-09-22 12:03:00,860,63.493,63.44,63.44,63.44,63.44,5
2023-09-22 12:04:00,4200,64.6439,64.6439,64.6439,64.6439,64.6439,2
2023-09-22 12:10:00,1372,65.0009,65.0,65.0,65.01,65.0,10
2023-09-22 12:11:00,1504,65.0016,65.0,65.0,65.01,65.0,12
2023-09-22 12:18:00,1421,65.0011,65.0,65.0,65.0,65.0,12
2023-09-22 12:22:00,1185,65.0005,65.0,65.0,65.0,65.0,12
2023-09-22 12:32:00,128,64.9941,65.0,65.0,65.0,65.0,3
2023-09-22 12:42:00,414,64.8802,64.88,64.88,64.88,64.88,10
2023-09-22 12:54:00,306,64.98,64.98,64.98,64.98,64.98,2
2023-09-22 13:00:00,676,65.0115,65.02,65.01,65.02,65.01,2
2023-09-22 13:09:00,211,64.95,64.95,64.95,64.95,64.95,3
2023-09-22 13:11:00,1001,64.844,64.85,64.84,64.85,64.84,4
2023-09-22 13:12:00,200,64.8323,64.83,64.83,64.83,64.83,3
2023-09-22 13:17:00,1000,64.85,64.85,64.85,64.85,64.85,8
2023-09-22 13:18:00,200,64.85,64.85,64.85,64.85,64.85,2
2023-09-22 13:20:00,701,64.8086,64.8,64.81,64.81,64.8,3
2023-09-22 13:22:00,500,64.85,64.85,64.85,64.85,64.85,1
2023-09-22 13:24:00,500,64.845,64.84,64.85,64.85,64.84,2
2023-09-22 13:29:00,3760,64.9755,64.96,64.97,64.99,64.96,15
2023-09-22 13:30:00,49661,64.9479,64.98,64.94,64.98,64.87,381
2023-09-22 13:31:00,9382,64.9727,64.94,64.99,65.02,64.93,172
2023-09-22 13:32:00,6850,64.9867,64.98,65.03,65.03,64.95,80
2023-09-22 13:33:00,6849,65.0722,65.03,65.08,65.09,65.03,74
2023-09-22 13:34:00,6368,65.0331,65.08,65.04,65.08,65.02,96
