t,v,vw,o,c,h,l,n
2023-11-17 12:06:00,100,2.97,2.97,2.97,2.97,2.97,1
2023-11-17 12:34:00,200,2.97,2.97,2.97,2.97,2.97,1
2023-11-17 12:44:00,200,2.98,2.98,2.98,2.98,2.98,1
2023-11-17 13:00:00,3125,2.9892,2.97,2.99,2.99,2.97,2
2023-11-17 13:04:00,6190,2.9966,2.99,3.0,3.0,2.99,13
2023-11-17 13:05:00,2000,2.9998,3.0,3.0,3.0,3.0,11
2023-11-17 13:06:00,800,3.0,3.0,3.0,3.0,3.0,4
2023-11-17 13:07:00,200,2.99,2.99,2.99,2.99,2.99,1
2023-11-17 13:12:00,800,2.99,2.99,2.99,2.99,2.99,4
2023-11-17 13:13:00,1000,3.0,3.0,3.0,3.0,3.0,5
2023-11-17 13:14:00,200,3.0,3.0,3.0,3.0,3.0,1
2023-11-17 13:16:00,800,2.99,2.99,2.99,2.99,2.99,4
2023-11-17 13:19:00,450,2.9744,2.97,2.98,2.98,2.97,2
2023-11-17 13:21:00,2000,2.97,2.97,2.97,2.97,2.97,1
2023-11-17 13:23:00,2100,2.99,2.99,2.99,2.99,2.99,6
2023-11-17 13:28:00,100,2.97,2.97,2.97,2.97,2.97,1
2023-11-17 13:30:00,700,2.97,2.97,2.97,2.97,2.97,4
2023-11-17 13:35:00,1850,2.99,2.99,2.99,2.99,2.99,9
2023-11-17 13:45:00,600,2.99,2.99,2.99,2.99,2.99,3
2023-11-17 13:48:00,1000,2.9805,2.9805,2.9805,2.9805,2.9805,1
2023-11-17 13:49:00,6400,2.9894,2.98,2.99,2.99,2.98,2
2023-11-17 13:59:00,1000,2.98,2.98,2.98,2.98,2.98,6
2023-11-17 14:05:00,267,2.99,2.99,2.99,2.99,2.99,2
2023-11-17 14:09:00,100,2.98,2.98,2.98,2.98,2.98,1
2023-11-17 14:11:00,300,2.98,2.98,2.98,2.98,2.98,1
2023-11-17 14:13:00,605,2.98,2.98,2.98,2.98,2.98,5
2023-11-17 14:16:00,200,2.96,2.96,2.96,2.96,2.96,2
2023-11-17 14:20:00,300,2.97,2.97,2.97,2.97,2.97,2
2023-11-17 14:21:00,200,2.97,2.97,2.97,2.97,2.97,2
2023-11-17 14:26:00,800,2.98,2.98,2.98,2.98,2.98,2
2023-11-17 14:27:00,100,2.97,2.97,2.97,2.97,2.97,1
2023-11-17 14:29:00,100,2.97,2.97,2.97,2.97,2.97,1
2023-11-17 14:30:00,14791,2.97,2.97,2.97,2.97,2.97,33
2023-11-17 14:31:00,9107,2.9702,2.975,2.97,2.975,2.965,41
2023-11-17 14:32:00,30056,2.9777,2.97,2.975,2.98,2.97,72
2023-11-17 14:33:00,18153,2.9806,2.98,2.985,2.985,2.9795,32
2023-11-17 14:34:00,10106,2.9903,2.99,2.99,2.995,2.99,34
2023-11-17 14:35:00,8002,2.9901,2.99,2.985,2.995,2.985,26
2023-11-17 14:36:00,21234,2.98,2.985,2.98,2.985,2.975,51
2023-11-17 14:37:00,903,2.98,2.98,2.98,2.98,2.98,4
2023-11-17 14:38:00,19309,2.98,2.98,2.98,2.98,2.98,14
2023-11-17 14:40:00,7903,2.9784,2.98,2.975,2.985,2.975,27
2023-11-17 14:41:00,2335,2.9751,2.979,2.97,2.979,2.97,5
2023-11-17 14:42:00,10344,2.98,2.98,2.98,2.98,2.98,14
2023-11-17 14:43:00,1300,2.9847,2.985,2.9814,2.985,2.9814,2
2023-11-17 14:45:00,2910,2.985,2.985,2.985,2.985,2.985,15
2023-11-17 14:46:00,29511,2.9799,2.98,2.98,2.98,2.975,36
2023-11-17 14:47:00,1200,2.9758,2.975,2.98,2.98,2.975,2
2023-11-17 14:48:00,12346,2.98,2.98,2.98,2.98,2.98,39
2023-11-17 14:49:00,1102,2.9792,2.98,2.979,2.98,2.979,4
2023-11-17 14:50:00,660,2.98,2.98,2.98,2.98,2.98,3
2023-11-17 14:51:00,156,2.9782,2.98,2.98,2.98,2.98,2
2023-11-17 14:52:00,1296,2.975,2.975,2.975,2.975,2.975,3
2023-11-17 14:53:00,1696,2.975,2.975,2.975,2.975,2.975,2
2023-11-17 14:54:00,100,2.975,2.975,2.975,2.975,2.975,1
2023-11-17 14:55:00,11409,2.9712,2.9787,2.97,2.9787,2.97,19
2023-11-17 14:56:00,53972,2.9689,2.97,2.97,2.97,2.96,62
2023-11-17 14:57:00,9598,2.965,2.965,2.97,2.97,2.9601,17
2023-11-17 14:58:00,1926,2.965,2.965,2.965,2.965,2.965,11
2023-11-17 14:59:00,5820,2.9693,2.969,2.9693,2.97,2.969,5
2023-11-17 15:00:00,58966,2.9694,2.97,2.9614,2.975,2.96,58
2023-11-17 15:01:00,1951,2.9649,2.965,2.965,2.965,2.965,6
2023-11-17 15:02:00,5014,2.9663,2.9688,2.965,2.97,2.965,10
2023-11-17 15:03:00,2536,2.9656,2.965,2.965,2.97,2.965,12
2023-11-17 15:04:00,3169,2.9676,2.97,2.965,2.97,2.965,15
2023-11-17 15:05:00,4415,2.9623,2.965,2.965,2.97,2.96,30
2023-11-17 15:06:00,17122,2.9603,2.9615,2.965,2.965,2.96,24
2023-11-17 15:07:00,4943,2.9625,2.96,2.965,2.97,2.96,18
2023-11-17 15:08:00,23018,2.9695,2.965,2.97,2.97,2.965,11
2023-11-17 15:09:00,14450,2.9608,2.965,2.96,2.965,2.96,20
2023-11-17 15:10:00,350,2.96,2.96,2.96,2.96,2.96,5
2023-11-17 15:11:00,27178,2.9578,2.96,2.9501,2.96,2.9501,55
2023-11-17 15:12:00,6276,2.9509,2.955,2.95,2.955,2.95,23
2023-11-17 15:13:00,416,2.9506,2.95,2.9513,2.9513,2.95,4
2023-11-17 15:14:00,3746,2.9548,2.95,2.955,2.955,2.95,10
2023-11-17 15:15:00,7805,2.9573,2.955,2.96,2.96,2.9515,22
2023-11-17 15:16:00,20176,2.9608,2.96,2.965,2.965,2.955,24
2023-11-17 15:17:00,4746,2.9643,2.965,2.965,2.965,2.96,6
2023-11-17 15:18:00,1000,2.965,2.965,2.965,2.965,2.965,2
2023-11-17 15:19:00,1400,2.965,2.965,2.965,2.965,2.965,4
2023-11-17 15:20:00,100,2.9679,2.9679,2.9679,2.9679,2.9679,1
2023-11-17 15:21:00,800,2.965,2.965,2.965,2.965,2.965,2
2023-11-17 15:22:00,500,2.965,2.965,2.965,2.965,2.965,3
2023-11-17 15:23:00,1840,2.965,2.965,2.965,2.965,2.965,5
2023-11-17 15:24:00,872,2.9661,2.965,2.965,2.97,2.965,5
2023-11-17 15:25:00,1600,2.9689,2.965,2.97,2.97,2.965,7
2023-11-17 15:26:00,4308,2.963,2.965,2.96,2.965,2.96,31
2023-11-17 15:27:00,3400,2.96,2.96,2.96,2.96,2.96,10
2023-11-17 15:28:00,1452,2.965,2.965,2.965,2.965,2.965,2
2023-11-17 15:30:00,14203,2.9602,2.965,2.96,2.965,2.96,13
2023-11-17 15:31:00,100,2.965,2.965,2.965,2.965,2.965,1
2023-11-17 15:32:00,2328,2.965,2.965,2.965,2.965,2.965,6
2023-11-17 15:33:00,1100,2.961,2.97,2.96,2.97,2.96,4
2023-11-17 15:35:00,1860,2.9627,2.9611,2.9605,2.965,2.96,6
2023-11-17 15:36:00,3004,2.9697,2.97,2.96,2.97,2.96,6
2023-11-17 15:41:00,117,2.9601,2.9601,2.9601,2.9601,2.9601,2
2023-11-17 15:42:00,106,2.9671,2.9675,2.9675,2.9675,2.9675,2
2023-11-17 15:43:00,1050,2.961,2.96,2.965,2.965,2.96,4
2023-11-17 15:44:00,1450,2.9615,2.9601,2.965,2.965,2.9601,7
2023-11-17 15:45:00,492,2.965,2.965,2.965,2.965,2.965,7
2023-11-17 15:46:00,453,2.9616,2.9611,2.9611,2.9611,2.9611,5
2023-11-17 15:47:00,1115,2.9601,2.96,2.96,2.96,2.96,10
2023-11-17 15:49:00,1501,2.965,2.965,2.965,2.965,2.965,1
2023-11-17 15:51:00,100,2.97,2.97,2.97,2.97,2.97,1
2023-11-17 15:52:00,602,2.965,2.965,2.965,2.965,2.965,5
2023-11-17 15:53:00,290,2.9616,2.9611,2.9611,2.9611,2.9611,2
2023-11-17 15:54:00,3128,2.9687,2.97,2.97,2.97,2.965,24
2023-11-17 15:55:00,33003,2.9702,2.97,2.975,2.975,2.97,37
2023-11-17 15:56:00,2400,2.9702,2.975,2.97,2.975,2.97,14
2023-11-17 15:57:00,4352,2.9724,2.97,2.97,2.9789,2.97,9
2023-11-17 15:58:00,26029,2.9693,2.97,2.965,2.97,2.965,46
2023-11-17 15:59:00,2019,2.9695,2.97,2.97,2.97,2.965,10
2023-11-17 16:00:00,13990,2.9699,2.97,2.97,2.97,2.969,26
2023-11-17 16:01:00,1560,2.97,2.97,2.97,2.97,2.97,6
2023-11-17 16:02:00,1300,2.97,2.97,2.97,2.97,2.97,2
2023-11-17 16:03:00,3523,2.963,2.965,2.9623,2.965,2.9623,2
2023-11-17 16:04:00,902,2.965,2.965,2.965,2.965,2.965,4
2023-11-17 16:05:00,53452,2.9612,2.965,2.965,2.965,2.96,31
2023-11-17 16:06:00,63291,2.9576,2.96,2.955,2.96,2.955,129
