t,v,vw,o,c,h,l,n
2024-05-20 08:00:00,156,9.4005,9.41,9.41,9.41,9.41,3
2024-05-20 08:42:00,1400,9.7302,9.72,9.73,9.73,9.72,9
2024-05-20 09:14:00,200,9.7,9.7,9.7,9.7,9.7,2
2024-05-20 09:50:00,1000,9.66,9.66,9.66,9.66,9.66,1
2024-05-20 11:00:00,718,9.5634,9.56,9.57,9.57,9.56,10
2024-05-20 11:08:00,1086,9.5552,9.56,9.55,9.56,9.55,5
2024-05-20 11:12:00,500,9.54,9.54,9.54,9.54,9.54,2
2024-05-20 11:15:00,1150,9.5913,9.57,9.6,9.6,9.57,6
2024-05-20 11:28:00,900,9.54,9.54,9.54,9.54,9.54,2
2024-05-20 11:29:00,202,9.5351,9.54,9.53,9.54,9.53,3
2024-05-20 11:30:00,180,9.5,9.5,9.5,9.5,9.5,1
2024-05-20 11:33:00,325,9.4869,9.48,9.49,9.49,9.48,4
2024-05-20 11:34:00,4711,9.4928,9.5,9.47,9.5,9.46,10
2024-05-20 11:36:00,400,9.4543,9.46,9.45,9.46,9.45,2
2024-05-20 11:41:00,280,9.45,9.45,9.45,9.45,9.45,2
2024-05-20 11:47:00,369,9.4158,9.41,9.42,9.42,9.41,5
2024-05-20 11:48:00,351,9.38,9.38,9.38,9.38,9.38,2
2024-05-20 11:54:00,106,9.4294,9.43,9.43,9.43,9.43,2
2024-05-20 11:55:00,253,9.45,9.45,9.45,9.45,9.45,2
2024-05-20 11:56:00,500,9.44,9.44,9.44,9.44,9.44,10
2024-05-20 12:00:00,3827,9.5228,9.5308,9.54,9.565,9.45,17
2024-05-20 12:09:00,7000,9.44,9.44,9.44,9.44,9.44,1
2024-05-20 12:25:00,350,9.3469,9.3469,9.3469,9.3469,9.3469,1
2024-05-20 12:32:00,100,9.364,9.364,9.364,9.364,9.364,1
2024-05-20 12:34:00,287,9.39,9.39,9.39,9.39,9.39,8
2024-05-20 12:37:00,2859,9.6,9.6,9.6,9.6,9.6,1
2024-05-20 12:41:00,500,9.44,9.44,9.44,9.44,9.44,1
2024-05-20 12:48:00,2274,9.3762,9.42,9.34,9.42,9.34,5
2024-05-20 12:59:00,100,9.36,9.36,9.36,9.36,9.36,1
2024-05-20 13:01:00,4300,9.37,9.37,9.37,9.37,9.37,4
2024-05-20 13:02:00,200,9.39,9.39,9.39,9.39,9.39,2
2024-05-20 13:04:00,250,9.39,9.39,9.39,9.39,9.39,2
2024-05-20 13:05:00,1225,9.4148,9.41,9.4197,9.4197,9.41,13
2024-05-20 13:06:00,875,9.4145,9.41,9.42,9.42,9.41,7
2024-05-20 13:20:00,1790,9.4433,9.44,9.45,9.45,9.44,9
2024-05-20 13:26:00,250,9.44,9.44,9.44,9.44,9.44,2
2024-05-20 13:29:00,445,9.45,9.45,9.45,9.45,9.45,2
