t,v,vw,o,c,h,l,n
2024-02-13 14:04:00,500,7.551,7.551,7.551,7.551,7.551,1
2024-02-13 14:29:00,808,7.5164,7.5,7.55,7.55,7.5,7
2024-02-13 14:30:00,6990,7.5276,7.52,7.69,7.69,7.51,35
2024-02-13 14:31:00,3129,7.5133,7.52,7.46,7.52,7.46,41
2024-02-13 14:33:00,609,7.4619,7.41,7.4853,7.4853,7.41,18
2024-02-13 14:34:00,620,7.4623,7.5,7.42,7.5,7.42,5
2024-02-13 14:35:00,503,7.4477,7.44,7.465,7.465,7.42,14
2024-02-13 14:36:00,1089,7.4216,7.4201,7.4201,7.4201,7.4201,8
2024-02-13 14:38:00,258,7.4608,7.46,7.46,7.46,7.46,5
2024-02-13 14:40:00,433,7.4463,7.44,7.44,7.44,7.44,9
2024-02-13 14:42:00,745,7.4029,7.41,7.41,7.41,7.41,19
2024-02-13 14:43:00,1403,7.4146,7.4299,7.395,7.4299,7.395,12
2024-02-13 14:45:00,303,7.3682,7.36,7.36,7.36,7.36,10
2024-02-13 14:46:00,501,7.3748,7.36,7.39,7.39,7.36,5
2024-02-13 14:47:00,130,7.39,7.39,7.39,7.39,7.39,10
2024-02-13 14:48:00,283,7.3725,7.37,7.37,7.37,7.37,5
2024-02-13 14:50:00,3321,7.3911,7.36,7.39,7.42,7.36,18
2024-02-13 14:52:00,105,7.4043,7.405,7.405,7.405,7.405,2
2024-02-13 14:53:00,566,7.3699,7.39,7.3669,7.39,7.3669,24
2024-02-13 14:54:00,208,7.393,7.385,7.4025,7.4025,7.385,8
2024-02-13 14:58:00,9228,7.3706,7.345,7.43,7.43,7.34,103
2024-02-13 14:59:00,2897,7.3995,7.42,7.41,7.42,7.39,26
2024-02-13 15:00:00,729,7.4137,7.41,7.44,7.44,7.41,17
2024-02-13 15:01:00,493,7.4561,7.44,7.44,7.44,7.44,10
2024-02-13 15:03:00,1616,7.4605,7.48,7.445,7.48,7.445,44
2024-02-13 15:05:00,144,7.4372,7.435,7.435,7.435,7.435,2
2024-02-13 15:06:00,1163,7.4249,7.435,7.42,7.435,7.42,24
2024-02-13 15:07:00,105,7.4387,7.44,7.44,7.44,7.44,3
2024-02-13 15:08:00,601,7.4244,7.41,7.425,7.44,7.41,13
2024-02-13 15:09:00,166,7.4167,7.41,7.41,7.41,7.41,3
2024-02-13 15:10:00,517,7.4222,7.425,7.44,7.44,7.425,9
2024-02-13 15:11:00,822,7.4385,7.44,7.435,7.44,7.435,15
2024-02-13 15:12:00,3376,7.4636,7.435,7.48,7.48,7.435,49
2024-02-13 15:13:00,1940,7.4619,7.47,7.46,7.47,7.455,45
2024-02-13 15:14:00,5186,7.4885,7.46,7.5,7.5,7.46,48
2024-02-13 15:15:00,3000,7.4766,7.49,7.46,7.49,7.46,72
2024-02-13 15:17:00,275,7.4611,7.46,7.46,7.46,7.46,3
2024-02-13 15:18:00,4299,7.4854,7.47,7.475,7.5,7.47,74
2024-02-13 15:20:00,4489,7.4931,7.48,7.475,7.5,7.475,43
2024-02-13 15:21:00,492,7.4672,7.48,7.46,7.48,7.46,25
2024-02-13 15:22:00,931,7.4562,7.46,7.45,7.46,7.45,36
2024-02-13 15:23:00,9096,7.4766,7.44,7.495,7.5,7.43,97
2024-02-13 15:25:00,337,7.4751,7.47,7.47,7.47,7.47,11
2024-02-13 15:27:00,2959,7.5119,7.5,7.515,7.54,7.5,53
2024-02-13 15:29:00,1310,7.5016,7.5,7.51,7.51,7.5,36
2024-02-13 15:30:00,143,7.509,7.51,7.51,7.51,7.51,3
2024-02-13 15:31:00,298,7.5066,7.51,7.51,7.51,7.51,12
2024-02-13 15:32:00,1042,7.491,7.49,7.49,7.49,7.485,36
2024-02-13 15:33:00,2070,7.497,7.498,7.5,7.5,7.49,53
2024-02-13 15:35:00,259,7.4948,7.495,7.495,7.495,7.495,6
2024-02-13 15:36:00,856,7.491,7.49,7.495,7.495,7.485,28
2024-02-13 15:37:00,220,7.4951,7.495,7.495,7.495,7.495,3
2024-02-13 15:38:00,1802,7.4898,7.49,7.495,7.495,7.48,53
2024-02-13 15:39:00,2762,7.5002,7.5,7.5,7.505,7.5,35
2024-02-13 15:40:00,1141,7.4866,7.49,7.485,7.49,7.48,37
2024-02-13 15:41:00,658,7.4817,7.49,7.48,7.49,7.48,27
2024-02-13 15:42:00,152,7.4876,7.49,7.49,7.49,7.49,4
2024-02-13 15:43:00,289,7.492,7.49,7.495,7.495,7.49,11
2024-02-13 15:44:00,340,7.488,7.49,7.49,7.49,7.49,10
2024-02-13 15:45:00,1074,7.482,7.49,7.48,7.49,7.48,28
2024-02-13 15:46:00,224,7.4765,7.475,7.475,7.475,7.475,4
2024-02-13 15:47:00,1313,7.4686,7.47,7.46,7.47,7.46,45
2024-02-13 15:48:00,1217,7.4703,7.47,7.475,7.475,7.465,21
2024-02-13 15:49:00,4426,7.4863,7.47,7.5,7.5,7.47,73
2024-02-13 15:50:00,574,7.5022,7.5,7.505,7.505,7.5,8
2024-02-13 15:51:00,872,7.5064,7.5,7.5,7.51,7.5,21
2024-02-13 15:52:00,2825,7.4977,7.5,7.5,7.5,7.49,34
2024-02-13 15:53:00,1097,7.4998,7.5,7.5,7.5,7.5,25
2024-02-13 15:54:00,2662,7.5044,7.5,7.51,7.51,7.5,30
2024-02-13 15:55:00,2278,7.502,7.51,7.5,7.51,7.5,55
2024-02-13 15:56:00,152,7.5084,7.51,7.51,7.51,7.51,6
2024-02-13 15:57:00,394,7.503,7.5,7.5,7.5,7.5,11
2024-02-13 15:58:00,3909,7.5211,7.53,7.53,7.53,7.51,28
2024-02-13 15:59:00,1238,7.5376,7.53,7.56,7.56,7.53,20
2024-02-13 16:00:00,571,7.5942,7.6,7.595,7.6,7.595,11
2024-02-13 16:02:00,494,7.5802,7.58,7.58,7.58,7.58,4
2024-02-13 16:03:00,250,7.588,7.6,7.58,7.6,7.58,2
