t,v,vw,o,c,h,l,n
2023-06-20 13:30:00,1413,25.5,25.5,25.5,25.5,25.5,1
2023-06-20 13:32:00,679,25.5016,25.5,25.5,25.5,25.5,5
2023-06-20 13:33:00,216,25.802,25.78,25.815,25.815,25.78,4
2023-06-20 13:42:00,250,25.6882,25.6882,25.6882,25.6882,25.6882,1
2023-06-20 14:02:00,352,25.6962,25.69,25.69,25.69,25.69,13
2023-06-20 14:09:00,915,26.0002,25.98,25.98,25.98,25.98,32
2023-06-20 14:15:00,116,26.4724,26.49,26.49,26.49,26.49,3
2023-06-20 14:18:00,418,26.8374,26.84,26.84,26.84,26.84,2
2023-06-20 14:23:00,230,26.2233,26.12,26.12,26.12,26.12,7
2023-06-20 14:24:00,129,26.5312,26.555,26.555,26.555,26.555,4
2023-06-20 14:28:00,457,26.5338,26.5,26.55,26.55,26.5,6
2023-06-20 14:30:00,200,26.3875,26.495,26.28,26.495,26.28,2
2023-06-20 14:36:00,413,26.4125,26.41,26.41,26.41,26.41,6
2023-06-20 14:37:00,2363,26.3323,26.4372,26.31,26.4372,26.27,46
2023-06-20 14:39:00,256,26.2991,26.345,26.345,26.345,26.345,10
2023-06-20 14:40:00,201,26.35,26.35,26.35,26.35,26.35,2
2023-06-20 14:41:00,201,26.3144,26.315,26.315,26.315,26.315,2
2023-06-20 14:42:00,205,26.2977,26.295,26.295,26.295,26.295,3
2023-06-20 14:50:00,251,26.2696,26.3,26.3,26.3,26.3,3
2023-06-20 14:55:00,415,26.1147,26.13,26.12,26.13,26.12,22
2023-06-20 15:11:00,607,26.172,26.17,26.18,26.18,26.17,15
2023-06-20 15:14:00,211,26.1176,26.115,26.115,26.115,26.115,5
2023-06-20 15:21:00,1932,26.233,26.2,26.25,26.25,26.2,30
2023-06-20 15:22:00,720,26.3182,26.325,26.325,26.325,26.32,12
2023-06-20 15:37:00,6129,26.1656,26.235,26.03,26.235,26.03,72
2023-06-20 15:38:00,1383,26.0352,26.04,26.04,26.04,26.03,32
2023-06-20 15:42:00,280,26.0995,26.115,26.11,26.115,26.11,5
2023-06-20 15:53:00,3125,26.065,26.105,26.1,26.24,25.98,34
2023-06-20 15:57:00,2223,25.9398,25.84,25.805,25.99,25.805,19
2023-06-20 16:07:00,347,25.8707,25.84,25.84,25.84,25.84,10
2023-06-20 16:18:00,267,25.7806,25.805,25.805,25.805,25.805,4
2023-06-20 16:27:00,430,25.8653,25.84,25.84,25.84,25.84,16
2023-06-20 16:29:00,432,25.9178,25.88,25.88,25.88,25.88,8
2023-06-20 16:42:00,4242,25.7569,25.83,25.9,25.9,25.57,68
2023-06-20 16:54:00,3208,25.5778,25.74,25.6301,25.74,25.46,67
2023-06-20 16:55:00,109,25.7808,25.8,25.8,25.8,25.8,6
2023-06-20 16:57:00,282,25.5773,25.59,25.58,25.59,25.58,4
2023-06-20 16:59:00,146,25.7195,25.74,25.74,25.74,25.74,5
2023-06-20 17:00:00,136,25.6946,25.7,25.7,25.7,25.7,5
2023-06-20 17:02:00,895,25.6809,25.665,25.665,25.665,25.665,7
2023-06-20 17:04:00,100,25.86,25.86,25.86,25.86,25.86,1
2023-06-20 17:21:00,1701,25.78,25.78,25.78,25.78,25.78,10
2023-06-20 17:22:00,1477,25.7883,25.822,25.83,25.85,25.71,16
2023-06-20 17:23:00,100,25.79,25.79,25.79,25.79,25.79,1
2023-06-20 17:24:00,1008,25.6507,25.6499,25.6499,25.6499,25.6499,2
2023-06-20 17:27:00,104,25.78,25.78,25.78,25.78,25.78,3
2023-06-20 17:32:00,2256,25.6788,25.65,25.7647,25.7647,25.51,52
2023-06-20 17:45:00,1044,25.5487,25.55,25.6,25.6,25.51,31
2023-06-20 17:50:00,205,25.4918,25.5,25.5,25.5,25.5,15
2023-06-20 17:59:00,105,25.5945,25.6,25.6,25.6,25.6,2
2023-06-20 18:07:00,113,25.5499,25.555,25.555,25.555,25.555,3
2023-06-20 18:14:00,345,25.5684,25.565,25.565,25.565,25.565,14
2023-06-20 18:22:00,461,25.5223,25.47,25.47,25.47,25.47,10
2023-06-20 18:24:00,688,25.4811,25.48,25.48,25.48,25.48,2
2023-06-20 18:25:00,438,25.6316,25.61,25.66,25.66,25.61,13
2023-06-20 18:37:00,100,25.81,25.81,25.81,25.81,25.81,1
2023-06-20 18:45:00,360,25.6992,25.805,25.65,25.805,25.65,6
2023-06-20 18:55:00,1165,25.6852,25.8,25.6701,25.8,25.6701,7
2023-06-20 18:57:00,145,25.789,25.805,25.805,25.805,25.805,3
2023-06-20 19:02:00,100,25.85,25.85,25.85,25.85,25.85,1
2023-06-20 19:07:00,114,25.7757,25.78,25.78,25.78,25.78,3
2023-06-20 19:09:00,342,25.774,25.775,25.775,25.775,25.775,9
2023-06-20 19:12:00,100,25.8,25.8,25.8,25.8,25.8,1
2023-06-20 19:15:00,1346,25.6927,25.68,25.68,25.69,25.68,42
2023-06-20 19:19:00,1671,25.6872,25.795,25.735,25.795,25.67,45
2023-06-20 19:25:00,132,25.7035,25.7,25.7,25.7,25.7,3
2023-06-20 19:29:00,633,25.6691,25.66,25.66,25.66,25.66,28
2023-06-20 19:30:00,115,25.6504,25.655,25.655,25.655,25.655,5
2023-06-20 19:31:00,102,25.71,25.71,25.71,25.71,25.71,2
2023-06-20 19:32:00,1166,25.6832,25.68,25.68,25.68,25.68,27
2023-06-20 19:33:00,702,25.6749,25.65,25.68,25.68,25.65,16
2023-06-20 19:36:00,1873,25.6345,25.67,25.625,25.67,25.6,69
2023-06-20 19:37:00,113,25.6361,25.64,25.64,25.64,25.64,4
2023-06-20 19:38:00,2056,25.5172,25.54,25.535,25.54,25.49,41
2023-06-20 19:46:00,220,25.5884,25.61,25.61,25.61,25.61,9
2023-06-20 19:50:00,822,25.6967,25.625,25.725,25.74,25.625,39
2023-06-20 19:51:00,1068,25.7244,25.74,25.81,25.81,25.67,36
2023-06-20 19:55:00,1215,25.6545,25.68,25.6,25.68,25.6,38
2023-06-20 19:56:00,926,25.6241,25.65,25.645,25.65,25.59,28
2023-06-20 19:57:00,845,25.6906,25.7,25.76,25.76,25.7,39
2023-06-20 19:58:00,525,25.7459,25.76,25.76,25.76,25.76,17
2023-06-20 19:59:00,1298,25.7569,25.775,25.78,25.78,25.775,55
2023-06-20 20:15:00,200,25.55,25.55,25.55,25.55,25.55,1
2023-06-21 13:30:00,244,25.7775,25.75,25.75,25.75,25.75,2
2023-06-21 13:32:00,200,27.3502,27.3502,27.3502,27.3502,27.3502,1
2023-06-21 13:33:00,2004,25.7631,25.99,26.2072,26.2072,25.03,19
2023-06-21 13:34:00,100,25.98,25.98,25.98,25.98,25.98,1
2023-06-21 13:36:00,318,26.1139,26.12,26.12,26.12,26.12,2
2023-06-21 13:53:00,104,25.9,25.91,25.91,25.91,25.91,2
2023-06-21 13:54:00,100,25.9,25.9,25.9,25.9,25.9,1
2023-06-21 14:01:00,100,25.56,25.56,25.56,25.56,25.56,1
2023-06-21 14:04:00,2008,25.5512,25.5501,25.5501,25.5501,25.5501,3
2023-06-21 14:05:00,2883,25.6565,25.86,25.566,25.86,25.55,52
2023-06-21 14:09:00,1637,25.2729,25.26,25.32,25.32,25.13,30
2023-06-21 14:20:00,104,25.4217,25.43,25.43,25.43,25.43,2
2023-06-21 14:21:00,100,25.655,25.655,25.655,25.655,25.655,1
2023-06-21 14:22:00,1607,25.2832,25.46,25.335,25.46,25.24,33
2023-06-21 14:30:00,500,25.0557,25.0557,25.0557,25.0557,25.0557,1
2023-06-21 14:33:00,300,25.55,25.55,25.55,25.55,25.55,3
2023-06-21 14:45:00,118,25.3294,25.35,25.35,25.35,25.35,2
2023-06-21 14:59:00,139,25.1814,25.215,25.215,25.215,25.215,6
2023-06-21 15:05:00,1897,25.4007,25.37,25.41,25.41,25.37,42
2023-06-21 15:16:00,2146,25.6884,25.69,25.67,25.69,25.67,5
2023-06-21 15:17:00,2060,25.2408,25.2301,25.2301,25.2301,25.2301,3
2023-06-21 15:20:00,2609,25.2955,25.66,25.2801,25.66,25.2801,3
2023-06-21 15:24:00,4974,25.3958,25.495,25.22,25.505,25.21,49
2023-06-21 15:31:00,102,25.4896,25.49,25.49,25.49,25.49,2
2023-06-21 15:33:00,2571,25.091,25.25,25.265,25.265,25.0,33
2023-06-21 15:59:00,100,25.36,25.36,25.36,25.36,25.36,1
2023-06-21 16:04:00,356,25.3924,25.355,25.355,25.355,25.355,12
2023-06-21 16:09:00,111,25.3949,25.38,25.38,25.38,25.38,3
2023-06-21 16:11:00,1359,25.2038,25.21,25.2,25.21,25.2,36
2023-06-21 16:27:00,102,25.3653,25.365,25.365,25.365,25.365,2
2023-06-21 16:30:00,130,25.3235,25.35,25.35,25.35,25.35,3
2023-06-21 16:43:00,1121,25.4266,25.37,25.625,25.625,25.37,31
2023-06-21 16:51:00,132,25.6061,25.64,25.64,25.64,25.64,3
2023-06-21 16:59:00,410,25.6376,25.62,25.645,25.645,25.62,6
2023-06-21 17:04:00,822,25.6487,25.64,25.65,25.65,25.64,19
2023-06-21 17:07:00,114,25.8104,25.81,25.81,25.81,25.81,4
2023-06-21 17:12:00,955,25.7262,25.74,25.67,25.74,25.67,38
2023-06-21 17:30:00,200,25.8209,25.84,25.84,25.84,25.84,17
2023-06-21 17:31:00,120,25.815,25.815,25.815,25.815,25.815,3
2023-06-21 17:32:00,1170,25.7098,25.6801,25.68,25.6801,25.68,63
2023-06-21 17:43:00,421,25.556,25.5522,25.55,25.5522,25.55,4
2023-06-21 17:44:00,132,25.6289,25.64,25.64,25.64,25.64,4
2023-06-21 17:52:00,104,25.7199,25.72,25.72,25.72,25.72,3
2023-06-21 17:55:00,1461,25.5736,25.634,25.49,25.634,25.49,47
2023-06-21 18:09:00,292,25.4931,25.465,25.465,25.465,25.465,8
2023-06-21 18:10:00,127,25.5939,25.595,25.595,25.595,25.595,2
2023-06-21 18:16:00,102,25.59,25.59,25.59,25.59,25.59,3
2023-06-21 18:19:00,645,25.6068,25.6,25.6,25.6,25.6,14
2023-06-21 18:20:00,212,25.6909,25.69,25.69,25.69,25.69,5
2023-06-21 18:32:00,576,25.6647,25.705,25.66,25.705,25.62,18
2023-06-21 18:47:00,130,25.708,25.725,25.725,25.725,25.725,3
2023-06-21 19:04:00,1134,25.6878,25.7,25.74,25.74,25.62,40
2023-06-21 19:12:00,156,25.7306,25.7305,25.7305,25.7305,25.7305,3
2023-06-21 19:18:00,1223,25.7774,25.74,25.8,25.8,25.74,53
2023-06-21 19:19:00,358,25.7828,25.75,25.75,25.75,25.75,17
