t,v,vw,o,c,h,l,n
2023-07-12 12:00:00,155,2.0597,2.06,2.06,2.06,2.06,2
2023-07-12 12:07:00,200,2.09,2.09,2.09,2.09,2.09,1
2023-07-12 12:32:00,250,2.0917,2.09,2.09,2.09,2.09,4
2023-07-12 12:38:00,257,2.09,2.09,2.09,2.09,2.09,1
2023-07-12 12:47:00,750,2.09,2.09,2.09,2.09,2.09,1
2023-07-12 12:55:00,2005,2.09,2.09,2.09,2.09,2.09,3
2023-07-12 12:56:00,800,2.09,2.09,2.09,2.09,2.09,2
2023-07-12 13:05:00,120,2.06,2.06,2.06,2.06,2.06,1
2023-07-12 13:06:00,100,2.1,2.1,2.1,2.1,2.1,1
2023-07-12 13:30:00,17277,2.0727,2.08,2.07,2.08,2.06,36
2023-07-12 13:31:00,6041,2.0999,2.08,2.105,2.115,2.08,35
2023-07-12 13:32:00,19070,2.1173,2.11,2.131,2.135,2.1,48
2023-07-12 13:33:00,7417,2.1228,2.13,2.12,2.13,2.11,50
2023-07-12 13:34:00,35495,2.13,2.13,2.13,2.14,2.125,50
2023-07-12 13:35:00,8930,2.1201,2.1201,2.12,2.125,2.12,23
2023-07-12 13:36:00,1014,2.1101,2.11,2.11,2.11,2.11,5
2023-07-12 13:37:00,32079,2.1258,2.12,2.145,2.1467,2.11,48
2023-07-12 13:38:00,10094,2.1715,2.1494,2.18,2.18,2.1494,26
2023-07-12 13:39:00,1148,2.1758,2.17,2.18,2.18,2.17,9
2023-07-12 13:40:00,19879,2.1746,2.1701,2.18,2.19,2.16,54
2023-07-12 13:41:00,4893,2.1774,2.1804,2.1706,2.1804,2.17,20
2023-07-12 13:42:00,43699,2.1862,2.175,2.1901,2.1991,2.175,81
2023-07-12 13:43:00,6240,2.1985,2.2,2.195,2.2,2.195,18
2023-07-12 13:44:00,10315,2.1819,2.195,2.185,2.195,2.18,29
2023-07-12 13:45:00,5100,2.176,2.1806,2.1671,2.1806,2.165,20
2023-07-12 13:46:00,516,2.1602,2.16,2.16,2.16,2.16,7
2023-07-12 13:47:00,109,2.1607,2.16,2.16,2.16,2.16,3
2023-07-12 13:48:00,3523,2.1811,2.17,2.19,2.195,2.17,44
2023-07-12 13:49:00,3828,2.1983,2.195,2.1999,2.2,2.195,31
2023-07-12 13:50:00,425,2.1937,2.19,2.195,2.195,2.19,6
2023-07-12 13:51:00,33750,2.1866,2.1998,2.1899,2.1998,2.18,32
2023-07-12 13:52:00,2163,2.18,2.18,2.18,2.18,2.18,18
2023-07-12 13:53:00,25615,2.1791,2.1701,2.2013,2.2013,2.17,35
2023-07-12 13:54:00,28824,2.199,2.2067,2.195,2.2067,2.19,67
2023-07-12 13:55:00,4980,2.1855,2.19,2.1829,2.19,2.1829,18
2023-07-12 13:56:00,500,2.1855,2.18,2.1892,2.1892,2.18,2
2023-07-12 13:57:00,354,2.1801,2.18,2.18,2.18,2.18,2
2023-07-12 13:58:00,1240,2.1904,2.185,2.1999,2.1999,2.185,16
2023-07-12 13:59:00,103,2.1951,2.195,2.195,2.195,2.195,2
2023-07-12 14:00:00,2830,2.2042,2.2,2.205,2.205,2.2,10
2023-07-12 14:01:00,24328,2.2182,2.2019,2.22,2.2327,2.2019,77
2023-07-12 14:02:00,5999,2.2152,2.2188,2.205,2.2196,2.205,20
2023-07-12 14:03:00,257,2.2139,2.215,2.215,2.215,2.215,2
2023-07-12 14:04:00,405,2.2062,2.2,2.205,2.205,2.2,7
2023-07-12 14:05:00,201,2.2,2.2,2.2,2.2,2.2,3
2023-07-12 14:06:00,2806,2.2008,2.2033,2.2,2.2036,2.2,5
2023-07-12 14:07:00,5300,2.2047,2.2,2.2,2.205,2.2,4
2023-07-12 14:08:00,1132,2.1974,2.2,2.1905,2.2,2.19,16
2023-07-12 14:09:00,3158,2.188,2.1906,2.18,2.1906,2.18,15
2023-07-12 14:10:00,20259,2.1962,2.185,2.1901,2.2,2.18,43
