t,v,vw,o,c,h,l,n
2023-10-24 08:04:00,341,3.4932,3.49,3.5,3.5,3.49,6
2023-10-24 08:21:00,101,3.5,3.5,3.5,3.5,3.5,2
2023-10-24 08:22:00,236,3.5,3.5,3.5,3.5,3.5,3
2023-10-24 08:23:00,100,3.5,3.5,3.5,3.5,3.5,1
2023-10-24 09:16:00,116,3.49,3.49,3.49,3.49,3.49,2
2023-10-24 09:44:00,101,3.49,3.49,3.49,3.49,3.49,2
2023-10-24 09:48:00,100,3.49,3.49,3.49,3.49,3.49,1
2023-10-24 09:58:00,300,3.4946,3.5,3.49,3.5,3.49,4
2023-10-24 10:20:00,200,3.48,3.48,3.48,3.48,3.48,2
2023-10-24 10:37:00,249,3.4804,3.48,3.48,3.48,3.48,6
2023-10-24 10:38:00,600,3.48,3.48,3.48,3.48,3.48,6
2023-10-24 10:44:00,200,3.491,3.49,3.49,3.49,3.49,3
2023-10-24 10:46:00,620,3.48,3.48,3.48,3.48,3.48,8
2023-10-24 10:50:00,1589,3.4968,3.49,3.5,3.5,3.49,7
2023-10-24 10:51:00,3515,3.5517,3.52,3.56,3.56,3.52,45
2023-10-24 10:54:00,3092,3.5914,3.55,3.6,3.6,3.55,21
2023-10-24 10:59:00,500,3.6,3.6,3.6,3.6,3.6,1
2023-10-24 11:00:00,21742,3.4932,3.54,3.47,3.54,3.46,128
2023-10-24 11:01:00,161,3.5005,3.5,3.5,3.5,3.5,2
2023-10-24 11:10:00,200,3.575,3.57,3.58,3.58,3.57,2
2023-10-24 11:21:00,241,3.5312,3.53,3.53,3.53,3.53,2
2023-10-24 11:23:00,300,3.55,3.55,3.55,3.55,3.55,1
2023-10-24 11:27:00,270,3.5363,3.53,3.54,3.54,3.53,3
2023-10-24 11:28:00,8679,3.5777,3.54,3.59,3.59,3.54,30
2023-10-24 11:33:00,120,3.58,3.58,3.58,3.58,3.58,2
2023-10-24 11:38:00,1110,3.5355,3.55,3.57,3.57,3.52,5
2023-10-24 11:51:00,160,3.5638,3.56,3.56,3.56,3.56,2
2023-10-24 11:58:00,1037,3.5797,3.58,3.58,3.58,3.58,12
2023-10-24 12:00:00,3357,3.5554,3.47,3.58,3.6,3.47,18
2023-10-24 12:02:00,1246,3.4911,3.48,3.52,3.52,3.47,31
2023-10-24 12:03:00,2425,3.5443,3.56,3.5,3.6,3.45,43
2023-10-24 12:04:00,9000,3.5889,3.5889,3.5889,3.5889,3.5889,1
2023-10-24 12:08:00,500,3.57,3.57,3.57,3.57,3.57,1
2023-10-24 12:15:00,250,3.57,3.57,3.57,3.57,3.57,1
