t,v,vw,o,c,h,l,n
2023-12-19 09:13:00,735,0.8998,0.9,0.9,0.9,0.9,6
2023-12-19 09:30:00,191,0.99,0.99,0.99,0.99,0.99,1
2023-12-19 11:23:00,100,0.945,0.945,0.945,0.945,0.945,1
2023-12-19 12:13:00,104,0.9196,0.92,0.92,0.92,0.92,2
2023-12-19 12:49:00,436,0.9681,0.97,0.97,0.97,0.97,5
2023-12-19 13:00:00,2799,0.977,0.955,0.93,0.98,0.93,3
2023-12-19 13:12:00,100,0.97,0.97,0.97,0.97,0.97,1
2023-12-19 13:21:00,100,0.96,0.96,0.96,0.96,0.96,1
2023-12-19 13:24:00,514,0.96,0.96,0.96,0.96,0.96,2
2023-12-19 13:30:00,400,0.95,0.95,0.95,0.95,0.95,1
2023-12-19 13:31:00,400,0.95,0.95,0.95,0.95,0.95,1
2023-12-19 13:47:00,100,0.95,0.95,0.95,0.95,0.95,1
2023-12-19 13:51:00,156,0.95,0.95,0.95,0.95,0.95,1
2023-12-19 14:01:00,100,0.94,0.94,0.94,0.94,0.94,1
2023-12-19 14:20:00,100,0.9401,0.9401,0.9401,0.9401,0.9401,1
2023-12-19 14:30:00,889,0.9401,0.9401,0.9401,0.9401,0.9401,2
2023-12-19 14:32:00,200,0.95,0.95,0.95,0.95,0.95,1
2023-12-19 14:36:00,4430,0.9402,0.9401,0.94,0.9412,0.94,15
2023-12-19 14:37:00,13095,0.9245,0.9301,0.910001,0.9301,0.910001,27
2023-12-19 14:38:00,100,0.92,0.92,0.92,0.92,0.92,1
2023-12-19 14:39:00,205,0.92,0.92,0.92,0.92,0.92,3
2023-12-19 14:42:00,1000,0.92,0.92,0.92,0.92,0.92,4
2023-12-19 14:44:00,200,0.92,0.92,0.92,0.92,0.92,2
2023-12-19 14:48:00,2313,0.9088,0.9101,0.9,0.9101,0.9,25
2023-12-19 14:49:00,200,0.9,0.9,0.9,0.9,0.9,2
2023-12-19 14:50:00,3102,0.8903,0.889999,0.899899,0.899899,0.889999,3
2023-12-19 14:51:00,418,0.8999,0.9,0.8999,0.9,0.8999,3
2023-12-19 14:53:00,16667,0.9031,0.9099,0.9,0.91,0.9,13
2023-12-19 14:57:00,1350,0.9,0.9,0.9,0.9,0.9,1
2023-12-19 14:58:00,600,0.91,0.91,0.91,0.91,0.91,1
2023-12-19 15:00:00,105,0.91,0.91005,0.91005,0.91005,0.91005,2
2023-12-19 15:01:00,2418,0.91,0.91,0.91,0.91,0.91,5
2023-12-19 15:05:00,2673,0.9003,0.900101,0.900101,0.900101,0.900101,3
2023-12-19 15:07:00,300,0.9094,0.9093,0.9093,0.9093,0.9093,2
2023-12-19 15:08:00,1290,0.9022,0.9093,0.9,0.91,0.9,4
2023-12-19 15:13:00,6497,0.8983,0.9,0.8901,0.9,0.8901,23
