t,v,vw,o,c,h,l,n
2024-05-20 08:00:00,100,0.2569,0.2569,0.2569,0.2569,0.2569,1
2024-05-20 08:01:00,3110,0.2644,0.257,0.257,0.27,0.257,5
2024-05-20 08:02:00,157,0.2508,0.25,0.25,0.25,0.25,2
2024-05-20 08:03:00,600,0.25,0.25,0.25,0.25,0.25,2
2024-05-20 08:04:00,5796,0.25,0.25,0.25,0.25,0.25,5
2024-05-20 08:05:00,41729,0.2545,0.259,0.27,0.27,0.2499,16
2024-05-20 08:06:00,100,0.2584,0.2584,0.2584,0.2584,0.2584,1
2024-05-20 08:07:00,1000,0.2585,0.2585,0.2585,0.2585,0.2585,1
2024-05-20 08:08:00,2767,0.2585,0.2585,0.2585,0.2585,0.2585,2
2024-05-20 08:09:00,16600,0.2585,0.2585,0.2585,0.2585,0.2585,8
2024-05-20 08:10:00,4500,0.2585,0.2585,0.2585,0.2585,0.2585,2
2024-05-20 08:11:00,510,0.2584,0.2584,0.2584,0.2584,0.2584,2
2024-05-20 08:12:00,7200,0.256,0.2584,0.247,0.2584,0.247,16
2024-05-20 08:16:00,2740,0.2459,0.2455,0.246,0.246,0.2455,6
2024-05-20 08:21:00,500,0.2601,0.26,0.2602,0.2602,0.26,5
2024-05-20 08:22:00,3780,0.2547,0.26,0.259,0.26,0.2501,10
2024-05-20 08:23:00,400,0.26,0.26,0.26,0.26,0.26,1
2024-05-20 08:25:00,500,0.2597,0.256,0.2611,0.2611,0.256,4
2024-05-20 08:26:00,100,0.256,0.256,0.256,0.256,0.256,1
2024-05-20 08:28:00,623,0.2535,0.2553,0.2501,0.2553,0.2501,3
2024-05-20 08:29:00,100,0.259,0.259,0.259,0.259,0.259,1
2024-05-20 08:37:00,758,0.2601,0.2623,0.2541,0.2637,0.2541,6
2024-05-20 08:39:00,260,0.2635,0.2647,0.2647,0.2647,0.2647,2
2024-05-20 08:40:00,275,0.2634,0.2659,0.2659,0.2659,0.2659,4
2024-05-20 08:45:00,3000,0.2549,0.2549,0.255,0.255,0.2549,2
2024-05-20 08:46:00,2000,0.2505,0.2519,0.2501,0.2519,0.2501,5
