t,v,vw,o,c,h,l,n
2023-06-26 12:00:00,146,419.5767,419.56,419.56,419.56,419.56,3
2023-06-26 13:28:00,151,421.0265,421.04,421.04,421.04,421.04,5
2023-06-26 13:30:00,14482,420.3393,420.65,420.42,420.65,419.44,181
2023-06-26 13:31:00,914,420.2356,420.37,420.42,420.44,420.37,28
2023-06-26 13:33:00,936,420.484,420.73,420.86,420.86,420.2,34
2023-06-26 13:34:00,1335,420.1435,419.1554,421.71,421.71,419.1554,35
2023-06-26 13:35:00,1183,421.1643,421.07,421.07,421.07,421.07,47
2023-06-26 13:36:00,3000,421.9099,421.73,422.0,422.0,421.73,64
2023-06-26 13:37:00,351,421.4321,421.61,421.56,421.61,421.56,16
2023-06-26 13:38:00,694,421.0579,421.06,421.12,421.12,421.06,25
2023-06-26 13:39:00,423,421.1567,421.14,421.14,421.14,421.14,21
2023-06-26 13:40:00,1730,421.6959,421.83,421.84,422.335,421.375,55
2023-06-26 13:41:00,972,421.8682,421.93,421.84,422.155,421.79,29
2023-06-26 13:43:00,2154,422.2551,421.84,422.72,422.72,421.84,69
2023-06-26 13:44:00,350,422.5283,422.72,422.43,422.72,422.43,16
2023-06-26 13:45:00,1070,422.4318,422.38,422.29,422.64,422.25,54
2023-06-26 13:46:00,1181,422.3002,422.09,422.52,422.52,422.09,44
2023-06-26 13:47:00,246,422.3352,422.25,422.25,422.25,422.25,15
2023-06-26 13:48:00,1414,422.2421,422.04,422.49,422.49,422.04,61
2023-06-26 13:49:00,611,422.1527,422.1,422.1,422.1,422.1,35
2023-06-26 13:50:00,1030,422.5017,422.39,422.81,422.81,422.39,51
2023-06-26 13:51:00,2083,423.2124,423.11,423.08,423.56,423.08,56
2023-06-26 13:52:00,433,423.5929,423.72,423.44,423.72,423.44,24
2023-06-26 13:53:00,317,423.5609,423.55,423.55,423.55,423.55,21
2023-06-26 13:54:00,554,423.7814,423.75,423.75,423.75,423.75,39
2023-06-26 13:55:00,1014,423.3407,423.23,423.44,423.44,423.18,56
2023-06-26 13:56:00,192,423.5261,423.58,423.58,423.58,423.58,17
2023-06-26 13:58:00,513,423.8698,423.99,423.68,423.99,423.68,50
2023-06-26 13:59:00,1830,424.0167,424.335,424.1249,424.335,423.86,75
2023-06-26 14:00:00,427,423.9063,423.99,423.99,423.99,423.99,38
2023-06-26 14:01:00,985,423.8982,423.79,424.17,424.17,423.76,69
2023-06-26 14:02:00,1938,424.1061,423.97,424.16,424.38,423.97,45
2023-06-26 14:03:00,1188,423.9141,424.0,423.8,424.0,423.77,39
2023-06-26 14:04:00,490,423.8507,423.94,423.98,423.98,423.64,26
2023-06-26 14:05:00,6151,424.0919,423.93,424.33,424.83,423.77,173
2023-06-26 14:06:00,1523,424.32,424.6,424.27,424.6,424.12,56
2023-06-26 14:07:00,862,424.3984,424.355,424.45,424.63,424.355,44
2023-06-26 14:08:00,2111,424.8528,424.45,424.99,424.99,424.45,56
2023-06-26 14:09:00,2963,424.8232,424.835,424.61,425.04,424.61,103
2023-06-26 14:10:00,1028,424.3691,424.6,424.15,424.6,424.15,56
2023-06-26 14:13:00,2005,425.0556,424.92,424.9954,425.325,424.92,59
2023-06-26 14:14:00,1192,425.1241,425.18,425.14,425.24,424.97,50
2023-06-26 14:15:00,1511,425.0054,425.5,424.96,425.5,424.96,67
2023-06-26 14:16:00,1513,424.8422,424.59,425.0,425.0,424.59,49
2023-06-26 14:17:00,391,424.964,424.925,424.93,424.93,424.925,33
2023-06-26 14:18:00,1388,424.8997,424.99,424.82,425.0,424.82,56
2023-06-26 14:19:00,349,424.4443,424.37,424.37,424.37,424.37,22
2023-06-26 14:20:00,1564,423.779,424.0,423.72,424.0,423.71,68
2023-06-26 14:21:00,457,423.8099,423.79,423.75,423.8,423.75,24
2023-06-26 14:23:00,1875,424.325,424.29,424.5,424.5,424.17,63
