t,v,vw,o,c,h,l,n
2024-02-13 10:08:00,4073,67.9509,67.95,67.95,67.95,67.95,3
2024-02-13 10:09:00,4000,67.95,67.95,67.95,67.95,67.95,3
2024-02-13 12:28:00,634,68.1932,68.3,68.16,68.3,68.16,4
2024-02-13 12:30:00,296,68.16,68.16,68.16,68.16,68.16,2
2024-02-13 12:31:00,3385,68.0221,68.05,67.9,68.15,67.9,34
2024-02-13 12:32:00,6036,67.7996,67.8,67.8,67.81,67.8,63
2024-02-13 12:33:00,6483,67.7978,67.81,68.05,68.05,67.8,37
2024-02-13 12:34:00,381,68.1848,68.19,68.18,68.19,68.18,6
2024-02-13 12:40:00,250,68.2,68.2,68.2,68.2,68.2,2
2024-02-13 12:42:00,500,68.2372,68.24,68.24,68.24,68.24,3
2024-02-13 12:49:00,300,68.24,68.24,68.24,68.24,68.24,1
2024-02-13 13:31:00,1218,67.9867,67.98,67.98,67.98,67.98,4
2024-02-13 13:32:00,403,67.9599,67.96,67.96,67.96,67.96,2
2024-02-13 13:40:00,200,67.8,67.8,67.8,67.8,67.8,1
2024-02-13 14:09:00,469,67.8528,67.8,67.8,67.8,67.8,15
2024-02-13 14:10:00,250,67.8,67.8,67.8,67.8,67.8,1
2024-02-13 14:23:00,200,67.7974,67.8,67.8,67.8,67.8,3
2024-02-13 14:30:00,72276,68.0577,68.0,68.37,68.45,68.0,275
2024-02-13 14:31:00,20327,68.4762,68.36,68.44,68.56,68.35,353
2024-02-13 14:32:00,30079,68.3462,68.39,68.345,68.4,68.21,202
2024-02-13 14:33:00,7135,68.2827,68.36,68.2,68.36,68.2,131
2024-02-13 14:34:00,6162,68.2401,68.29,68.24,68.29,68.2,142
2024-02-13 14:35:00,7276,68.2827,68.31,68.17,68.36,68.17,152
2024-02-13 14:36:00,6522,68.1589,68.17,68.125,68.22,68.125,122
2024-02-13 14:37:00,12428,68.0413,68.08,67.96,68.12,67.96,128
2024-02-13 14:38:00,32736,68.0271,67.96,68.05,68.07,67.96,318
2024-02-13 14:39:00,25279,67.9856,68.04,67.93,68.05,67.88,451
2024-02-13 14:40:00,12208,67.8803,67.95,67.87,67.95,67.81,216
2024-02-13 14:41:00,38494,67.8248,67.905,67.85,67.925,67.76,403
2024-02-13 14:42:00,16875,67.8276,67.85,67.83,67.89,67.78,219
2024-02-13 14:43:00,22292,67.8143,67.84,67.76,67.875,67.74,257
2024-02-13 14:44:00,8460,67.7544,67.765,67.77,67.79,67.72,138
2024-02-13 14:45:00,8228,67.7376,67.76,67.78,67.78,67.69,163
2024-02-13 14:46:00,9512,67.6829,67.73,67.66,67.76,67.64,152
2024-02-13 14:47:00,18000,67.6381,67.645,67.655,67.68,67.61,262
2024-02-13 14:48:00,22093,67.6014,67.65,67.58,67.65,67.54,241
2024-02-13 14:49:00,20269,67.5912,67.59,67.55,67.61,67.55,354
2024-02-13 14:50:00,16685,67.6005,67.54,67.65,67.655,67.54,314
2024-02-13 14:51:00,25669,67.6396,67.65,67.67,67.67,67.56,429
2024-02-13 14:52:00,4443,67.6703,67.667,67.67,67.6901,67.65,104
2024-02-13 14:53:00,4827,67.6637,67.66,67.67,67.68,67.65,125
2024-02-13 14:54:00,9910,67.6213,67.7,67.59,67.7,67.55,134
2024-02-13 14:55:00,5483,67.6628,67.6,67.66,67.7,67.6,106
2024-02-13 14:56:00,6066,67.6065,67.66,67.57,67.67,67.55,101
2024-02-13 14:57:00,5058,67.6008,67.58,67.6,67.62,67.575,101
2024-02-13 14:58:00,21691,67.6147,67.61,67.65,67.65,67.585,276
2024-02-13 14:59:00,9688,67.6089,67.67,67.57,67.675,67.56,159
2024-02-13 15:00:00,18902,67.6157,67.57,67.6,67.65,67.57,185
2024-02-13 15:01:00,8904,67.5625,67.6,67.53,67.6,67.53,143
2024-02-13 15:02:00,36035,67.5114,67.51,67.48,67.54,67.46,296
2024-02-13 15:03:00,6223,67.4955,67.46,67.5399,67.54,67.46,124
2024-02-13 15:04:00,4089,67.5373,67.53,67.5394,67.5776,67.52,64
2024-02-13 15:05:00,21834,67.5215,67.53,67.5,67.58,67.47,136
2024-02-13 15:06:00,7074,67.4983,67.48,67.48,67.53,67.48,79
2024-02-13 15:07:00,13572,67.5182,67.49,67.48,67.55,67.48,146
2024-02-13 15:08:00,14105,67.4876,67.5,67.47,67.5,67.46,80
2024-02-13 15:09:00,5392,67.4936,67.4774,67.48,67.54,67.475,90
2024-02-13 15:10:00,18168,67.417,67.48,67.38,67.48,67.37,163
2024-02-13 15:11:00,4813,67.4039,67.395,67.432,67.432,67.37,97
2024-02-13 15:12:00,3585,67.4206,67.41,67.42,67.445,67.4,61
2024-02-13 15:13:00,3467,67.3947,67.415,67.41,67.415,67.38,67
2024-02-13 15:14:00,13029,67.4259,67.41,67.45,67.455,67.4,192
2024-02-13 15:15:00,25932,67.4251,67.46,67.36,67.465,67.36,333
2024-02-13 15:16:00,8428,67.3477,67.355,67.34,67.3699,67.33,133
2024-02-13 15:17:00,5646,67.3558,67.34,67.34,67.36,67.33,64
2024-02-13 15:18:00,45324,67.3168,67.34,67.31,67.35,67.27,377
2024-02-13 15:19:00,7015,67.2995,67.31,67.25,67.33,67.25,104
2024-02-13 15:20:00,20068,67.2277,67.24,67.19,67.25,67.19,209
2024-02-13 15:21:00,12687,67.1961,67.185,67.2,67.24,67.15,185
2024-02-13 15:22:00,8619,67.2037,67.21,67.19,67.2211,67.18,108
2024-02-13 15:23:00,16636,67.1766,67.2,67.19,67.205,67.155,233
2024-02-13 15:24:00,64379,67.2262,67.18,67.2,67.26,67.16,871
2024-02-13 15:25:00,42296,67.2487,67.18,67.21,67.28,67.18,337
2024-02-13 15:26:00,10348,67.2614,67.23,67.23,67.29,67.23,159
2024-02-13 15:27:00,10307,67.2613,67.23,67.2552,67.29,67.23,185
2024-02-13 15:28:00,26874,67.2129,67.25,67.2,67.28,67.19,276
2024-02-13 15:29:00,18896,67.2066,67.2,67.195,67.23,67.19,278
2024-02-13 15:30:00,106692,67.1874,67.19,67.155,67.22,67.125,749
2024-02-13 15:31:00,27287,67.1072,67.16,67.09,67.16,67.08,306
2024-02-13 15:32:00,16516,67.0904,67.09,67.075,67.11,67.06,219
2024-02-13 15:33:00,105486,67.0602,67.07,67.01,67.105,67.005,631
2024-02-13 15:34:00,21580,66.971,67.02,66.9,67.06,66.89,320
2024-02-13 15:35:00,68140,66.8945,66.9,66.85,66.935,66.85,375
2024-02-13 15:36:00,7748,66.8516,66.84,66.83,66.885,66.8201,163
2024-02-13 15:37:00,10261,66.8306,66.83,66.82,66.87,66.81,222
2024-02-13 15:38:00,6124,66.7947,66.82,66.82,66.83,66.77,150
2024-02-13 15:39:00,8612,66.8179,66.83,66.8168,66.83,66.76,171
2024-02-13 15:40:00,19522,66.7526,66.8,66.75,66.8,66.74,209
2024-02-13 15:41:00,4452,66.7522,66.76,66.755,66.76,66.74,89
