t,v,vw,o,c,h,l,n
2023-08-29 08:26:00,298,8.23,8.23,8.23,8.23,8.23,2
2023-08-29 08:28:00,1000,8.24,8.24,8.24,8.24,8.24,1
2023-08-29 08:32:00,1100,8.2387,8.23,8.24,8.24,8.23,3
2023-08-29 08:38:00,13801,8.2018,8.21,8.2,8.21,8.2,31
2023-08-29 08:39:00,700,8.21,8.21,8.21,8.21,8.21,7
2023-08-29 08:53:00,350,8.22,8.22,8.22,8.22,8.22,1
2023-08-29 09:00:00,1202,8.21,8.21,8.21,8.21,8.21,5
2023-08-29 09:03:00,152,8.21,8.21,8.21,8.21,8.21,2
2023-08-29 09:11:00,237,8.2,8.2,8.2,8.2,8.2,3
2023-08-29 09:12:00,1200,8.21,8.21,8.21,8.21,8.21,4
2023-08-29 09:23:00,496,8.21,8.21,8.21,8.21,8.21,6
2023-08-29 09:29:00,122,8.2182,8.22,8.22,8.22,8.22,3
2023-08-29 09:45:00,243,8.22,8.22,8.22,8.22,8.22,3
2023-08-29 09:54:00,1859,8.2286,8.23,8.225,8.23,8.225,10
2023-08-29 10:04:00,201,8.24,8.24,8.24,8.24,8.24,3
2023-08-29 10:05:00,300,8.24,8.24,8.24,8.24,8.24,1
2023-08-29 10:13:00,619,8.24,8.24,8.24,8.24,8.24,2
2023-08-29 10:19:00,152,8.24,8.24,8.24,8.24,8.24,2
2023-08-29 10:22:00,605,8.23,8.23,8.23,8.23,8.23,5
2023-08-29 10:41:00,200,8.22,8.22,8.22,8.22,8.22,1
2023-08-29 10:50:00,2847,8.22,8.22,8.22,8.22,8.22,12
2023-08-29 10:58:00,100,8.22,8.22,8.22,8.22,8.22,1
2023-08-29 11:08:00,300,8.22,8.22,8.22,8.22,8.22,2
2023-08-29 11:23:00,2400,8.2283,8.22,8.23,8.23,8.22,10
2023-08-29 11:25:00,500,8.23,8.23,8.23,8.23,8.23,9
2023-08-29 11:33:00,100,8.22,8.22,8.22,8.22,8.22,1
2023-08-29 11:39:00,912,8.22,8.22,8.22,8.22,8.22,5
2023-08-29 11:54:00,600,8.22,8.22,8.22,8.22,8.22,1
2023-08-29 11:55:00,586,8.22,8.22,8.22,8.22,8.22,2
2023-08-29 12:00:00,40368,8.2278,8.22,8.23,8.24,8.2001,86
2023-08-29 12:01:00,132,8.2279,8.23,8.23,8.23,8.23,16
2023-08-29 12:03:00,2013,8.2208,8.2208,8.2208,8.2208,8.2208,2
2023-08-29 12:07:00,2124,8.22,8.22,8.22,8.22,8.22,10
2023-08-29 12:08:00,937,8.2286,8.23,8.23,8.23,8.23,13
2023-08-29 12:09:00,3011,8.22,8.22,8.22,8.22,8.22,4
2023-08-29 12:10:00,2000,8.22,8.22,8.22,8.22,8.22,1
2023-08-29 12:11:00,4005,8.22,8.22,8.22,8.22,8.22,4
2023-08-29 12:12:00,4104,8.22,8.22,8.22,8.22,8.22,8
2023-08-29 12:20:00,222,8.23,8.23,8.23,8.23,8.23,2
2023-08-29 12:22:00,1510,8.2201,8.22,8.22,8.22,8.22,2
2023-08-29 12:23:00,1292,8.2343,8.22,8.22,8.22,8.22,12
2023-08-29 12:24:00,430,8.2257,8.22,8.22,8.22,8.22,11
2023-08-29 12:26:00,500,8.22,8.22,8.22,8.22,8.22,2
2023-08-29 12:27:00,16195,8.2024,8.21,8.2,8.21,8.2,66
2023-08-29 12:29:00,629,8.199,8.2,8.2,8.2,8.2,14
2023-08-29 12:30:00,13116,8.1853,8.2,8.18,8.2,8.18,32
2023-08-29 12:31:00,1600,8.19,8.19,8.19,8.19,8.19,5
2023-08-29 12:32:00,1494,8.1877,8.19,8.19,8.19,8.18,5
2023-08-29 12:33:00,10515,8.181,8.1805,8.19,8.19,8.1805,7
2023-08-29 12:34:00,208,8.19,8.19,8.19,8.19,8.19,6
2023-08-29 12:35:00,1516,8.1801,8.18,8.18,8.18,8.18,3
2023-08-29 12:36:00,157,8.2,8.2,8.2,8.2,8.2,6
2023-08-29 12:37:00,137,8.1999,8.2,8.2,8.2,8.2,6
2023-08-29 12:40:00,276,8.1927,8.19,8.19,8.19,8.19,6
2023-08-29 12:41:00,5312,8.2,8.2,8.1999,8.2,8.1999,7
2023-08-29 12:42:00,3000,8.19,8.19,8.19,8.19,8.19,1
2023-08-29 12:43:00,267,8.1906,8.19,8.19,8.19,8.19,3
2023-08-29 12:47:00,403,8.2,8.2,8.2,8.2,8.2,7
2023-08-29 12:48:00,4111,8.2017,8.21,8.2003,8.21,8.2003,8
2023-08-29 12:53:00,224,8.2011,8.2001,8.2001,8.2001,8.2001,6
2023-08-29 12:55:00,398,8.2003,8.2,8.2,8.2,8.2,4
2023-08-29 12:57:00,1409,8.1929,8.2,8.19,8.2,8.19,19
2023-08-29 12:58:00,10087,8.19,8.19,8.19,8.19,8.19,3
2023-08-29 12:59:00,180,8.21,8.21,8.21,8.21,8.21,3
2023-08-29 13:00:00,100,8.21,8.21,8.21,8.21,8.21,1
2023-08-29 13:01:00,218,8.21,8.21,8.21,8.21,8.21,6
2023-08-29 13:02:00,852,8.2006,8.2,8.2,8.2,8.2,5
2023-08-29 13:03:00,400,8.21,8.21,8.21,8.21,8.21,1
2023-08-29 13:08:00,8201,8.1928,8.21,8.19,8.21,8.19,11
2023-08-29 13:12:00,878,8.19,8.19,8.19,8.19,8.19,3
2023-08-29 13:13:00,3446,8.19,8.191,8.19,8.191,8.19,29
2023-08-29 13:14:00,493,8.1803,8.18,8.18,8.18,8.18,9
2023-08-29 13:15:00,202,8.19,8.19,8.19,8.19,8.19,10
2023-08-29 13:16:00,375,8.1899,8.19,8.19,8.19,8.19,7
2023-08-29 13:17:00,2702,8.1887,8.18,8.19,8.19,8.18,8
2023-08-29 13:18:00,474,8.1813,8.18,8.18,8.18,8.18,3
2023-08-29 13:23:00,170,8.1871,8.19,8.19,8.19,8.19,4
2023-08-29 13:24:00,2210,8.181,8.18,8.19,8.19,8.18,4
2023-08-29 13:25:00,176,8.1877,8.19,8.19,8.19,8.19,4
2023-08-29 13:26:00,10671,8.1801,8.19,8.18,8.19,8.18,40
2023-08-29 13:27:00,1240,8.1879,8.18,8.19,8.19,8.18,5
2023-08-29 13:28:00,1294,8.19,8.19,8.19,8.19,8.19,7
2023-08-29 13:29:00,4641,8.1818,8.18,8.18,8.19,8.18,16
2023-08-29 13:30:00,182587,8.186,8.18,8.18,8.22,8.18,383
2023-08-29 13:31:00,51430,8.1694,8.1799,8.195,8.195,8.16,251
2023-08-29 13:32:00,59193,8.1932,8.195,8.195,8.21,8.18,187
2023-08-29 13:33:00,33323,8.206,8.2,8.2199,8.22,8.1902,140
2023-08-29 13:34:00,63469,8.2025,8.2101,8.225,8.23,8.19,156
2023-08-29 13:35:00,87053,8.2385,8.2234,8.2399,8.26,8.22,236
2023-08-29 13:36:00,62372,8.2235,8.235,8.2251,8.24,8.215,182
2023-08-29 13:37:00,19226,8.2452,8.225,8.2417,8.25,8.225,100
2023-08-29 13:38:00,65925,8.2432,8.25,8.237,8.25,8.23,162
2023-08-29 13:39:00,135041,8.246,8.24,8.26,8.26,8.22,357
2023-08-29 13:40:00,61306,8.2474,8.255,8.26,8.26,8.2309,239
2023-08-29 13:41:00,118291,8.2851,8.27,8.295,8.295,8.27,316
2023-08-29 13:42:00,66778,8.2967,8.2901,8.305,8.31,8.29,174
2023-08-29 13:43:00,47065,8.2921,8.3,8.3,8.3084,8.28,171
2023-08-29 13:44:00,34286,8.2873,8.295,8.3,8.3,8.275,156
2023-08-29 13:45:00,24498,8.2987,8.295,8.29,8.3,8.29,107
2023-08-29 13:46:00,39234,8.2899,8.295,8.285,8.3,8.28,153
2023-08-29 13:47:00,16657,8.292,8.285,8.285,8.3,8.285,103
2023-08-29 13:48:00,63597,8.2815,8.29,8.2839,8.29,8.27,249
2023-08-29 13:49:00,21956,8.2921,8.285,8.289,8.3,8.2819,112
2023-08-29 13:50:00,73891,8.2698,8.2802,8.25,8.29,8.25,195
2023-08-29 13:51:00,18531,8.2562,8.2401,8.265,8.2691,8.2401,117
2023-08-29 13:52:00,36347,8.2755,8.27,8.2848,8.29,8.27,125
2023-08-29 13:53:00,20457,8.2877,8.2877,8.2872,8.29,8.28,119
2023-08-29 13:54:00,33446,8.2791,8.28,8.2732,8.2888,8.2714,151
2023-08-29 13:55:00,8026,8.2724,8.2732,8.27,8.28,8.265,65
2023-08-29 13:56:00,15343,8.2625,8.27,8.2501,8.2753,8.25,83
2023-08-29 13:57:00,8533,8.2611,8.2518,8.27,8.27,8.2518,95
2023-08-29 13:58:00,8125,8.2652,8.27,8.2619,8.27,8.26,38
2023-08-29 13:59:00,12929,8.2632,8.2645,8.2621,8.27,8.26,88
2023-08-29 14:00:00,112265,8.2768,8.27,8.295,8.295,8.26,441
2023-08-29 14:01:00,86521,8.3002,8.295,8.295,8.31,8.29,188
2023-08-29 14:02:00,72148,8.3002,8.295,8.302,8.31,8.2906,167
2023-08-29 14:03:00,38596,8.3085,8.3056,8.3089,8.31,8.3,81
2023-08-29 14:04:00,64776,8.308,8.3081,8.3199,8.32,8.3,154
2023-08-29 14:05:00,79837,8.3243,8.31,8.3393,8.34,8.31,227
2023-08-29 14:06:00,40408,8.3343,8.335,8.34,8.34,8.33,105
2023-08-29 14:07:00,118712,8.3388,8.335,8.345,8.35,8.33,312
2023-08-29 14:08:00,130107,8.3589,8.35,8.365,8.38,8.34,418
2023-08-29 14:09:00,317644,8.3772,8.36,8.3799,8.39,8.355,583
2023-08-29 14:10:00,73935,8.3576,8.3756,8.34,8.3756,8.34,219
2023-08-29 14:11:00,69194,8.3543,8.345,8.3631,8.365,8.34,229
2023-08-29 14:12:00,20718,8.3649,8.36,8.365,8.37,8.36,90
2023-08-29 14:13:00,123039,8.3804,8.365,8.4,8.4,8.3615,372
2023-08-29 14:14:00,115644,8.3999,8.4,8.41,8.41,8.39,374
2023-08-29 14:15:00,141494,8.4175,8.405,8.43,8.43,8.4,271
2023-08-29 14:16:00,57271,8.4262,8.43,8.43,8.43,8.4201,181
2023-08-29 14:17:00,189674,8.4387,8.43,8.43,8.45,8.425,476
2023-08-29 14:18:00,65157,8.4323,8.43,8.4371,8.44,8.4228,199
2023-08-29 14:19:00,55706,8.4305,8.43,8.427,8.44,8.4201,141
2023-08-29 14:20:00,361351,8.4501,8.4299,8.475,8.48,8.42,473
2023-08-29 14:21:00,150053,8.4854,8.475,8.4934,8.5,8.47,396
2023-08-29 14:22:00,336662,8.5051,8.495,8.5084,8.52,8.49,667
2023-08-29 14:23:00,88593,8.4968,8.5,8.5,8.505,8.49,257
2023-08-29 14:24:00,266195,8.5076,8.495,8.53,8.53,8.48,435
2023-08-29 14:25:00,117476,8.5329,8.53,8.5333,8.54,8.52,338
2023-08-29 14:26:00,292370,8.5536,8.54,8.545,8.57,8.53,645
2023-08-29 14:27:00,75923,8.5412,8.5485,8.55,8.55,8.531,191
2023-08-29 14:28:00,220340,8.5518,8.5471,8.55,8.565,8.5309,419
2023-08-29 14:29:00,203229,8.5364,8.5499,8.5201,8.56,8.52,394
2023-08-29 14:30:00,88066,8.5303,8.525,8.535,8.54,8.52,250
2023-08-29 14:31:00,157360,8.5271,8.535,8.535,8.54,8.52,365
2023-08-29 14:32:00,139724,8.5482,8.53,8.545,8.56,8.53,301
2023-08-29 14:33:00,61483,8.5396,8.545,8.5399,8.55,8.53,181
2023-08-29 14:34:00,82798,8.5338,8.535,8.53,8.55,8.52,249
2023-08-29 14:35:00,65203,8.5291,8.525,8.535,8.54,8.52,253
2023-08-29 14:36:00,133052,8.5573,8.54,8.567,8.58,8.535,327
2023-08-29 14:37:00,70993,8.5557,8.568,8.545,8.5699,8.54,208
2023-08-29 14:38:00,45995,8.552,8.5468,8.5414,8.56,8.5414,166
2023-08-29 14:39:00,80013,8.5415,8.545,8.535,8.55,8.53,204
2023-08-29 14:40:00,91925,8.5438,8.5374,8.5599,8.56,8.53,300
2023-08-29 14:41:00,173738,8.5671,8.5599,8.545,8.58,8.545,332
2023-08-29 14:42:00,76448,8.5579,8.545,8.555,8.57,8.5434,235
2023-08-29 14:43:00,117735,8.556,8.56,8.565,8.57,8.54,256
2023-08-29 14:44:00,91571,8.5618,8.56,8.565,8.57,8.555,218
2023-08-29 14:45:00,94607,8.5595,8.57,8.54,8.58,8.54,251
2023-08-29 14:46:00,136233,8.5354,8.5425,8.5385,8.55,8.52,358
2023-08-29 14:47:00,155296,8.5158,8.54,8.4903,8.55,8.49,402
2023-08-29 14:48:00,65074,8.4911,8.49,8.49,8.5,8.4838,223
2023-08-29 14:49:00,161102,8.4868,8.485,8.485,8.5,8.475,373
2023-08-29 14:50:00,31103,8.4791,8.4832,8.4799,8.489,8.4703,88
2023-08-29 14:51:00,55839,8.4896,8.475,8.5,8.5,8.47,163
2023-08-29 14:52:00,112133,8.5005,8.49,8.505,8.51,8.49,247
2023-08-29 14:53:00,165400,8.5088,8.5086,8.52,8.53,8.49,340
2023-08-29 14:54:00,52200,8.5088,8.525,8.5045,8.525,8.5,151
2023-08-29 14:55:00,60603,8.4998,8.5,8.5,8.51,8.49,200
2023-08-29 14:56:00,73358,8.5018,8.5,8.49,8.51,8.49,169
2023-08-29 14:57:00,80798,8.4994,8.495,8.5099,8.51,8.49,213
2023-08-29 14:58:00,47636,8.4875,8.5066,8.49,8.5066,8.471,208
2023-08-29 14:59:00,49908,8.4915,8.4889,8.485,8.5,8.48,170
2023-08-29 15:00:00,49416,8.4808,8.485,8.475,8.49,8.475,161
2023-08-29 15:01:00,65560,8.4788,8.475,8.475,8.49,8.47,173
2023-08-29 15:02:00,58096,8.4799,8.47,8.48,8.49,8.47,162
2023-08-29 15:03:00,72875,8.4844,8.48,8.495,8.495,8.475,232
2023-08-29 15:04:00,56481,8.4923,8.4983,8.485,8.5,8.485,162
2023-08-29 15:05:00,86676,8.4996,8.49,8.5085,8.51,8.485,271
2023-08-29 15:06:00,54371,8.5106,8.5084,8.5099,8.52,8.5032,162
2023-08-29 15:07:00,61818,8.5053,8.5091,8.505,8.515,8.495,186
2023-08-29 15:08:00,28726,8.5017,8.505,8.4988,8.51,8.495,125
2023-08-29 15:09:00,33510,8.5002,8.4976,8.505,8.51,8.4901,109
2023-08-29 15:10:00,81509,8.5162,8.5099,8.51,8.525,8.5034,248
2023-08-29 15:11:00,94273,8.5054,8.504,8.52,8.52,8.4935,209
2023-08-29 15:12:00,77909,8.5068,8.515,8.49,8.52,8.49,230
2023-08-29 15:13:00,46625,8.4992,8.495,8.505,8.51,8.4901,122
2023-08-29 15:14:00,50275,8.5037,8.5049,8.5,8.51,8.495,155
2023-08-29 15:15:00,104904,8.4892,8.5006,8.474,8.505,8.47,288
2023-08-29 15:16:00,80638,8.4593,8.475,8.4599,8.4799,8.45,278
2023-08-29 15:17:00,97237,8.4655,8.4537,8.465,8.47,8.45,302
2023-08-29 15:18:00,62695,8.4779,8.4697,8.475,8.49,8.46,152
2023-08-29 15:19:00,30372,8.4726,8.47,8.465,8.48,8.46,92
2023-08-29 15:20:00,65305,8.4599,8.4601,8.455,8.47,8.45,210
2023-08-29 15:21:00,50478,8.4712,8.455,8.48,8.48,8.4533,119
2023-08-29 15:22:00,94944,8.4756,8.475,8.4719,8.4837,8.47,227
