t,v,vw,o,c,h,l,n
2023-12-11 12:18:00,1926,0.3614,0.3631,0.3611,0.3631,0.3611,5
2023-12-11 12:19:00,332,0.3611,0.3611,0.3611,0.3611,0.3611,1
2023-12-11 12:29:00,400,0.3614,0.3611,0.3625,0.3625,0.3611,2
2023-12-11 12:30:00,1700,0.3611,0.3611,0.3611,0.3611,0.3611,1
2023-12-11 12:31:00,158,0.3611,0.3611,0.3611,0.3611,0.3611,1
2023-12-11 13:00:00,542,0.3661,0.3673,0.3611,0.3673,0.3611,3
2023-12-11 13:15:00,211,0.365,0.365,0.365,0.365,0.365,1
2023-12-11 13:36:00,272,0.3674,0.3674,0.3674,0.3674,0.3674,3
2023-12-11 13:54:00,111,0.3674,0.3674,0.3674,0.3674,0.3674,1
2023-12-11 13:59:00,1000,0.365,0.365,0.365,0.365,0.365,2
2023-12-11 14:09:00,244,0.365,0.365,0.365,0.365,0.365,1
2023-12-11 14:30:00,1100,0.3658,0.369,0.365,0.369,0.365,3
2023-12-11 14:36:00,100,0.3615,0.3615,0.3615,0.3615,0.3615,1
2023-12-11 14:37:00,789,0.3637,0.3649,0.36168,0.3649,0.36168,3
2023-12-11 14:38:00,250,0.3615,0.3615,0.3615,0.3615,0.3615,1
2023-12-11 14:41:00,235,0.3615,0.3615,0.3615,0.3615,0.3615,2
2023-12-11 14:46:00,500,0.3615,0.3615,0.3615,0.3615,0.3615,1
2023-12-11 14:48:00,500,0.3615,0.3615,0.3615,0.3615,0.3615,2
2023-12-11 14:51:00,4292,0.3646,0.3615,0.3615,0.365,0.3615,10
2023-12-11 14:55:00,550,0.3615,0.3615,0.3615,0.3615,0.3615,1
2023-12-11 14:57:00,100,0.365,0.365,0.365,0.365,0.365,1
2023-12-11 15:13:00,100,0.3649,0.3649,0.3649,0.3649,0.3649,1
2023-12-11 15:16:00,3100,0.3648,0.3649,0.3632,0.3649,0.3632,3
2023-12-11 15:19:00,6102,0.3622,0.3622,0.3622,0.3622,0.3622,4
2023-12-11 15:22:00,100,0.3632,0.3632,0.3632,0.3632,0.3632,1
2023-12-11 15:27:00,100,0.3631,0.3631,0.3631,0.3631,0.3631,1
2023-12-11 15:36:00,308,0.3631,0.3631,0.3631,0.3631,0.3631,3
2023-12-11 15:37:00,5000,0.362,0.3626,0.361,0.3629,0.361,29
2023-12-11 15:38:00,3128,0.3606,0.3605,0.361113,0.361113,0.3605,14
2023-12-11 15:39:00,304,0.3601,0.3601,0.3601,0.3601,0.3601,3
2023-12-11 15:44:00,100,0.3611,0.3611,0.3611,0.3611,0.3611,1
2023-12-11 15:45:00,993,0.3616,0.3615,0.3615,0.3624,0.3615,8
2023-12-11 15:47:00,138399,0.3601,0.36,0.36,0.361,0.3588,58
2023-12-11 15:48:00,205,0.3582,0.3582,0.3582,0.3582,0.3582,2
2023-12-11 16:02:00,442,0.3591,0.359001,0.359001,0.359001,0.359001,3
2023-12-11 16:03:00,100,0.3602,0.36015,0.36015,0.36015,0.36015,1
2023-12-11 16:27:00,100,0.3604,0.3604,0.3604,0.3604,0.3604,1
2023-12-11 16:36:00,6232,0.3598,0.3604,0.3595,0.3613,0.3595,19
2023-12-11 16:44:00,105,0.3597,0.3596,0.3596,0.3596,0.3596,3
2023-12-11 16:51:00,100,0.3613,0.3613,0.3613,0.3613,0.3613,1
2023-12-11 17:11:00,904,0.3624,0.362372,0.362372,0.362372,0.362372,3
2023-12-11 17:14:00,2000,0.3624,0.3624,0.3624,0.3624,0.3624,3
2023-12-11 17:25:00,504,0.3624,0.3624,0.3624,0.3624,0.3624,3
2023-12-11 17:35:00,124,0.3648,0.3648,0.3648,0.3648,0.3648,2
2023-12-11 17:42:00,103,0.3626,0.3625,0.3625,0.3625,0.3625,2
2023-12-11 17:49:00,109,0.3647,0.3647,0.3647,0.3647,0.3647,5
2023-12-11 17:52:00,1000,0.3647,0.3647,0.3647,0.3647,0.3647,6
2023-12-11 17:55:00,100,0.3647,0.3647,0.3647,0.3647,0.3647,1
2023-12-11 18:13:00,1200,0.3624,0.362201,0.3635,0.3635,0.362201,3
2023-12-11 18:15:00,1900,0.3622,0.3635,0.3622,0.3635,0.3621,7
2023-12-11 18:16:00,2000,0.3621,0.3621,0.3622,0.3622,0.3621,4
2023-12-11 18:17:00,3100,0.3622,0.3622,0.3621,0.3622,0.3621,9
2023-12-11 18:29:00,1000,0.3622,0.3622,0.3622,0.3622,0.3622,1
2023-12-11 18:30:00,1000,0.3622,0.362201,0.362201,0.362201,0.362201,1
