t,v,vw,o,c,h,l,n
2024-05-03 08:00:00,2342,75.2468,75.03,75.3,75.48,75.03,27
2024-05-03 08:01:00,1267,75.287,75.3,75.3,75.3,75.3,17
2024-05-03 08:02:00,2696,75.3485,75.3,75.39,75.39,75.3,37
2024-05-03 08:03:00,1041,75.3646,75.37,75.4,75.4,75.37,7
2024-05-03 08:05:00,673,75.3877,75.39,75.39,75.39,75.39,12
2024-05-03 08:09:00,168,75.3987,75.4,75.4,75.4,75.4,5
2024-05-03 08:11:00,244,75.442,75.44,75.44,75.44,75.44,8
2024-05-03 08:15:00,1833,75.4977,75.46,75.5,75.57,75.46,26
2024-05-03 08:16:00,581,75.6149,75.57,75.71,75.71,75.57,14
2024-05-03 08:18:00,1089,75.6547,75.65,75.65,75.65,75.65,15
2024-05-03 08:19:00,306,75.5895,75.57,75.57,75.57,75.57,9
2024-05-03 08:29:00,1790,75.3968,75.43,75.38,75.44,75.38,26
2024-05-03 08:31:00,631,75.4547,75.45,75.5,75.5,75.45,20
2024-05-03 08:32:00,150,75.48,75.5,75.5,75.5,75.5,2
2024-05-03 08:34:00,708,75.5344,75.54,75.53,75.54,75.52,11
2024-05-03 08:36:00,238,75.6003,75.6,75.6,75.6,75.6,6
2024-05-03 08:47:00,398,75.6028,75.61,75.61,75.61,75.61,7
2024-05-03 08:48:00,398,75.5596,75.55,75.55,75.55,75.55,6
2024-05-03 08:53:00,1970,75.4465,75.55,75.55,75.55,75.55,60
2024-05-03 08:54:00,1846,75.3084,75.3,75.31,75.31,75.3,16
2024-05-03 08:57:00,745,75.2793,75.3,75.25,75.3,75.25,12
2024-05-03 09:05:00,685,75.0582,75.1,75.05,75.1,75.05,12
2024-05-03 09:06:00,257,75.0937,75.1,75.1,75.1,75.1,9
2024-05-03 09:07:00,501,75.0615,75.1,75.05,75.1,75.05,11
2024-05-03 09:10:00,210,75.15,75.15,75.15,75.15,75.15,3
2024-05-03 09:11:00,301,75.1501,75.15,75.15,75.15,75.15,7
2024-05-03 09:15:00,2404,75.1648,75.17,75.2,75.2,75.15,28
2024-05-03 09:16:00,700,75.2347,75.25,75.25,75.25,75.25,22
2024-05-03 09:32:00,200,75.2679,75.22,75.22,75.22,75.22,4
2024-05-03 09:33:00,115,75.2191,75.22,75.22,75.22,75.22,2
2024-05-03 09:42:00,982,75.3941,75.4,75.5,75.5,75.4,22
2024-05-03 09:43:00,149,75.42,75.42,75.42,75.42,75.42,1
2024-05-03 09:48:00,1060,75.2522,75.2,75.2,75.2,75.2,28
2024-05-03 10:12:00,468,75.3026,75.29,75.29,75.29,75.29,11
2024-05-03 10:13:00,1203,75.2533,75.25,75.25,75.25,75.25,7
2024-05-03 10:27:00,485,75.2501,75.25,75.25,75.25,75.25,11
2024-05-03 10:41:00,610,75.2902,75.3,75.3,75.3,75.3,6
2024-05-03 10:45:00,677,75.2127,75.2,75.17,75.2,75.17,15
2024-05-03 10:47:00,6304,75.3129,75.2,75.35,75.35,75.2,50
2024-05-03 10:49:00,1061,75.3483,75.34,75.35,75.35,75.34,14
2024-05-03 10:54:00,200,75.5199,75.5,75.5,75.5,75.5,3
2024-05-03 10:57:00,868,75.5441,75.55,75.55,75.55,75.55,13
2024-05-03 11:00:00,2203,75.4043,75.35,75.35,75.35,75.35,38
2024-05-03 11:01:00,163,75.35,75.35,75.35,75.35,75.35,5
2024-05-03 11:04:00,179,75.4347,75.4,75.4,75.4,75.4,3
2024-05-03 11:06:00,775,75.4832,75.48,75.48,75.48,75.48,15
2024-05-03 11:07:00,698,75.4813,75.5,75.5,75.5,75.5,16
2024-05-03 11:08:00,2662,75.4285,75.45,75.35,75.45,75.35,15
2024-05-03 11:10:00,1356,75.481,75.49,75.5,75.5,75.49,12
2024-05-03 11:22:00,759,75.3848,75.4,75.4,75.4,75.4,21
2024-05-03 11:33:00,886,75.375,75.36,75.36,75.36,75.36,24
2024-05-03 11:36:00,335,75.357,75.36,75.36,75.36,75.36,8
2024-05-03 11:43:00,340,75.3625,75.35,75.35,75.35,75.35,7
2024-05-03 11:49:00,346,75.3917,75.36,75.36,75.36,75.36,9
2024-05-03 12:00:00,23129,75.4194,75.44,75.43,75.55,75.31,173
2024-05-03 12:01:00,2402,75.6155,76.26,75.62,76.3,75.43,18
2024-05-03 12:02:00,3611,75.8331,75.64,76.0,76.43,75.04,80
2024-05-03 12:03:00,1379,75.3407,75.62,75.01,76.03,75.0,30
2024-05-03 12:04:00,3569,75.4344,75.13,75.4502,75.49,75.13,75
2024-05-03 12:05:00,2790,75.5697,75.4515,75.44,76.03,75.44,33
2024-05-03 12:06:00,293,75.364,75.36,75.36,75.36,75.36,13
2024-05-03 12:07:00,3676,75.3584,75.37,75.32,75.4,75.32,74
2024-05-03 12:08:00,1571,75.3628,75.36,75.39,75.39,75.35,30
2024-05-03 12:09:00,3601,75.2898,75.36,75.25,75.36,75.25,65
2024-05-03 12:10:00,1471,75.1851,75.2,75.1025,75.2,75.1025,22
2024-05-03 12:11:00,764,75.1453,75.1013,75.25,75.25,75.1013,9
2024-05-03 12:12:00,698,75.1571,75.1,75.2,75.2,75.1,12
2024-05-03 12:13:00,699,75.18,75.1001,75.2,75.2,75.1001,13
2024-05-03 12:14:00,815,75.3796,75.3993,75.3993,75.3993,75.3993,10
2024-05-03 12:15:00,1039,75.284,75.26,75.3,75.3,75.25,13
2024-05-03 12:16:00,1511,75.3554,75.3966,75.31,75.3966,75.31,42
2024-05-03 12:17:00,334,75.3911,75.4,75.39,75.4,75.39,11
2024-05-03 12:18:00,1257,75.2862,75.3,75.29,75.3,75.29,23
2024-05-03 12:19:00,1503,75.3448,75.37,75.33,75.37,75.33,12
2024-05-03 12:21:00,1014,75.3789,75.38,75.38,75.38,75.38,5
2024-05-03 12:24:00,5534,75.4155,75.3495,75.47,75.47,75.3495,37
2024-05-03 12:25:00,1709,75.4554,75.4699,75.5,75.5,75.4,40
2024-05-03 12:26:00,302,75.4729,75.49,75.47,75.49,75.47,5
2024-05-03 12:27:00,2649,75.3194,75.49,75.45,75.49,75.25,29
2024-05-03 12:28:00,481,75.3492,75.32,75.32,75.32,75.32,12
2024-05-03 12:30:00,20227,75.5889,75.49,76.1699,76.1699,75.49,183
2024-05-03 12:31:00,5430,76.1711,76.14,76.01,76.4999,76.0,63
2024-05-03 12:32:00,13264,76.4756,76.4,76.59,76.59,76.192,243
2024-05-03 12:33:00,7830,76.4756,76.51,76.48,76.65,76.08,89
2024-05-03 12:34:00,3777,76.4223,76.43,76.4,76.45,76.4,97
2024-05-03 12:35:00,5102,76.4856,76.4,76.6,76.6,76.38,76
2024-05-03 12:36:00,4512,76.7634,76.54,76.9,76.9,76.54,143
2024-05-03 12:37:00,6131,76.9158,76.68,77.0,77.0,76.68,120
