t,v,vw,o,c,h,l,n
2023-08-14 13:30:00,786,36.8876,37.01,37.01,37.01,37.01,30
2023-08-14 13:51:00,283,36.5836,36.545,36.545,36.545,36.545,9
2023-08-14 13:59:00,109,37.1842,37.17,37.17,37.17,37.17,3
2023-08-14 14:00:00,153,37.1841,37.185,37.185,37.185,37.185,5
2023-08-14 14:01:00,100,37.09,37.09,37.09,37.09,37.09,1
2023-08-14 14:21:00,129,37.2146,37.22,37.22,37.22,37.22,4
2023-08-14 14:27:00,217,37.3485,37.36,37.36,37.36,37.36,5
2023-08-14 14:28:00,1155,37.2561,37.256,37.256,37.2567,37.256,2
2023-08-14 14:41:00,240,37.3193,37.37,37.37,37.37,37.37,6
2023-08-14 14:52:00,1195,37.3777,37.37,37.45,37.45,37.275,44
2023-08-14 14:53:00,310,37.4503,37.455,37.455,37.455,37.455,8
2023-08-14 14:58:00,4074,37.2915,37.445,37.07,37.445,37.07,117
2023-08-14 14:59:00,593,36.9914,37.0,37.0,37.0,37.0,16
2023-08-14 15:00:00,1262,36.9082,36.914,36.84,36.914,36.84,4
2023-08-14 15:05:00,378,36.9405,36.915,37.0,37.0,36.915,10
2023-08-14 15:06:00,100,36.98,36.98,36.98,36.98,36.98,1
2023-08-14 15:10:00,130,36.9844,36.985,36.985,36.985,36.985,2
2023-08-14 15:18:00,125,36.8724,36.865,36.865,36.865,36.865,4
2023-08-14 15:20:00,103,37.0353,37.04,37.04,37.04,37.04,3
2023-08-14 15:22:00,635,37.0383,37.02,37.035,37.035,37.02,16
2023-08-14 15:23:00,398,37.0832,37.08,37.09,37.09,37.08,9
2023-08-14 15:28:00,134,37.0954,37.095,37.095,37.095,37.095,2
2023-08-14 15:31:00,126,37.2267,37.23,37.23,37.23,37.23,2
2023-08-14 16:07:00,170,37.1082,37.08,37.08,37.08,37.08,6
2023-08-14 16:09:00,1387,37.063,37.085,37.1,37.1,37.07,41
2023-08-14 16:13:00,292,36.9365,36.93,36.93,36.93,36.93,13
2023-08-14 16:44:00,473,37.0265,37.04,36.985,37.04,36.985,7
2023-08-14 16:48:00,810,37.0526,36.985,37.05,37.06,36.985,25
2023-08-14 16:50:00,316,37.094,37.11,37.11,37.11,37.11,10
2023-08-14 17:11:00,100,37.19,37.19,37.19,37.19,37.19,1
2023-08-14 17:28:00,569,37.1744,37.17,37.16,37.19,37.16,14
2023-08-14 17:30:00,963,37.2054,37.2632,37.185,37.2632,37.15,11
2023-08-14 17:39:00,200,37.12,37.12,37.12,37.12,37.12,2
2023-08-14 17:50:00,2570,36.9474,37.06,36.8,37.06,36.8,78
2023-08-14 17:51:00,301,36.8,36.8,36.8,36.8,36.8,3
2023-08-14 17:52:00,1110,36.8903,36.8,36.98,36.98,36.8,18
2023-08-14 17:53:00,316,36.89,36.89,36.89,36.89,36.89,2
2023-08-14 17:54:00,2650,37.1099,36.98,37.255,37.27,36.98,45
2023-08-14 17:55:00,523,37.2452,37.26,37.28,37.28,37.21,7
2023-08-14 18:01:00,300,37.2467,37.32,37.21,37.32,37.21,3
2023-08-14 18:04:00,432,37.2162,37.205,37.205,37.205,37.205,10
2023-08-14 18:05:00,310,37.2252,37.205,37.29,37.29,37.205,5
2023-08-14 18:06:00,101,37.21,37.21,37.21,37.21,37.21,2
2023-08-14 18:10:00,501,37.1387,37.13,37.165,37.165,37.13,12
2023-08-14 18:13:00,310,37.1826,37.185,37.185,37.185,37.185,5
2023-08-14 18:15:00,141,37.1644,37.185,37.185,37.185,37.185,4
2023-08-14 18:18:00,200,37.185,37.185,37.185,37.185,37.185,2
2023-08-14 18:19:00,110,37.18,37.185,37.185,37.185,37.185,2
2023-08-14 18:22:00,324,37.2761,37.285,37.285,37.285,37.285,9
2023-08-14 18:24:00,151,37.2472,37.265,37.265,37.265,37.265,4
2023-08-14 18:25:00,200,37.255,37.255,37.255,37.255,37.255,1
2023-08-14 18:27:00,206,37.255,37.255,37.255,37.255,37.255,2
2023-08-14 18:29:00,127,37.2448,37.255,37.255,37.255,37.255,4
2023-08-14 18:34:00,300,37.26,37.26,37.26,37.26,37.26,3
2023-08-14 18:35:00,176,37.2947,37.32,37.32,37.32,37.32,14
2023-08-14 18:36:00,220,37.2617,37.27,37.27,37.27,37.27,7
2023-08-14 18:37:00,267,37.2374,37.21,37.27,37.27,37.21,7
2023-08-14 18:44:00,2339,37.2069,37.21,37.22,37.25,37.18,45
2023-08-14 18:45:00,131,37.2141,37.22,37.22,37.22,37.22,5
2023-08-14 18:48:00,103,37.2,37.2,37.2,37.2,37.2,2
2023-08-14 18:49:00,4963,37.0575,37.22,37.065,37.22,37.0,75
2023-08-14 18:50:00,200,37.065,37.065,37.065,37.065,37.065,2
2023-08-14 18:51:00,1232,37.1962,37.16,37.205,37.25,37.16,40
2023-08-14 18:52:00,100,37.205,37.205,37.205,37.205,37.205,1
2023-08-14 18:53:00,310,37.2023,37.205,37.205,37.205,37.205,4
2023-08-14 18:54:00,120,37.1842,37.2,37.2,37.2,37.2,3
2023-08-14 18:56:00,120,37.1625,37.175,37.175,37.175,37.175,5
