t,v,vw,o,c,h,l,n
2023-11-27 09:00:00,169,83.4778,83.48,83.48,83.48,83.48,6
2023-11-27 09:18:00,956,82.999,83.2,82.92,83.2,82.87,28
2023-11-27 09:20:00,669,82.9441,82.96,82.93,82.96,82.93,44
2023-11-27 09:26:00,114,82.8865,82.9,82.9,82.9,82.9,2
2023-11-27 09:30:00,1075,82.9069,82.83,82.98,82.98,82.83,25
2023-11-27 09:31:00,653,82.7472,82.85,82.67,82.85,82.67,26
2023-11-27 09:33:00,504,82.7784,82.84,82.71,82.84,82.71,13
2023-11-27 09:40:00,324,82.8465,82.84,82.84,82.84,82.84,13
2023-11-27 12:12:00,1556,82.874,82.85,82.9,82.9,82.85,87
2023-11-27 12:13:00,1428,83.0661,83.0,83.05,83.05,83.0,38
2023-11-27 12:14:00,295,83.0718,83.0,83.0,83.0,83.0,29
2023-11-27 12:15:00,1647,82.8112,82.92,83.0,83.0,82.73,51
2023-11-27 12:16:00,909,82.9029,83.0,82.82,83.0,82.82,19
2023-11-27 12:17:00,1871,82.7741,82.7,82.9,82.9,82.7,18
2023-11-27 12:18:00,1218,82.7605,82.63,82.77,82.8,82.63,47
2023-11-27 12:19:00,658,82.7643,82.75,82.8,82.8,82.75,12
2023-11-27 12:20:00,2063,82.7166,82.64,82.76,82.8,82.63,53
2023-11-27 14:30:00,10334,82.3582,82.5,81.6602,82.84,81.64,127
2023-11-27 14:31:00,3289,81.8789,81.88,81.88,81.88,81.88,15
2023-11-27 14:32:00,2203,82.3693,82.09,82.575,82.575,82.09,58
2023-11-27 14:35:00,782,82.4298,82.59,82.35,82.59,82.35,17
2023-11-27 14:36:00,629,82.083,82.11,82.03,82.11,82.03,12
2023-11-27 14:38:00,1954,82.1934,82.06,82.415,82.415,82.0,38
2023-11-27 14:39:00,372,82.5564,82.56,82.56,82.56,82.56,5
2023-11-27 14:40:00,164,82.2858,82.24,82.24,82.24,82.24,14
2023-11-27 14:41:00,246,82.2226,82.235,82.24,82.24,82.235,15
2023-11-27 14:42:00,313,82.2245,82.2503,82.2503,82.2503,82.2503,10
2023-11-27 14:44:00,2974,82.0305,82.02,82.02,82.11,82.0,43
2023-11-27 14:45:00,414,81.9316,82.01,82.01,82.01,82.01,19
2023-11-27 14:46:00,656,82.0533,82.21,82.0,82.21,82.0,34
2023-11-27 14:47:00,2378,81.9607,82.0,82.06,82.06,81.9,73
2023-11-27 14:48:00,2020,82.1523,82.13,82.095,82.23,82.095,44
2023-11-27 14:49:00,347,81.9746,81.93,81.93,81.93,81.93,12
2023-11-27 14:51:00,597,82.2753,82.32,82.32,82.32,82.32,32
2023-11-27 14:52:00,1521,82.3967,82.37,82.47,82.47,82.36,31
2023-11-27 14:53:00,516,82.2768,82.26,82.26,82.29,82.25,25
2023-11-27 14:54:00,1003,82.3897,82.36,82.35,82.3998,82.35,9
2023-11-27 14:55:00,380,82.3374,82.345,82.34,82.345,82.33,6
2023-11-27 14:56:00,391,82.3363,82.335,82.335,82.335,82.335,13
2023-11-27 14:58:00,120,82.3603,82.35,82.35,82.35,82.35,10
2023-11-27 14:59:00,590,82.352,82.36,82.35,82.36,82.35,21
2023-11-27 15:00:00,2253,82.5137,82.47,82.57,82.57,82.47,67
2023-11-27 15:01:00,522,82.6131,82.594,82.68,82.68,82.594,10
2023-11-27 15:02:00,550,82.7449,82.72,82.72,82.72,82.72,17
2023-11-27 15:03:00,1223,82.9147,82.88,82.96,83.055,82.88,43
2023-11-27 15:04:00,583,82.9449,82.87,82.96,82.96,82.87,21
2023-11-27 15:05:00,972,83.1734,83.07,83.22,83.22,83.07,22
2023-11-27 15:06:00,2361,83.1839,83.21,83.24,83.24,83.09,25
2023-11-27 15:07:00,1335,83.3543,83.27,83.36,83.36,83.27,42
2023-11-27 15:08:00,496,83.4904,83.54,83.5999,83.5999,83.39,15
2023-11-27 15:09:00,123,83.4437,83.41,83.41,83.41,83.41,7
2023-11-27 15:10:00,2799,83.6668,83.6,83.85,83.85,83.6,73
2023-11-27 15:11:00,1997,83.7996,83.86,83.71,83.9672,83.7,102
2023-11-27 15:12:00,1377,83.6562,83.6419,83.6419,83.6419,83.6419,23
2023-11-27 15:15:00,2315,83.8302,83.87,83.6697,83.88,83.6697,71
2023-11-27 15:17:00,1379,83.6605,83.66,83.62,83.66,83.62,68
2023-11-27 15:18:00,935,83.775,83.8,83.71,83.83,83.71,33
