t,v,vw,o,c,h,l,n
2023-06-26 09:41:00,100,13.5,13.5,13.5,13.5,13.5,1
2023-06-26 09:45:00,1026,13.3695,13.33,13.4,13.4,13.31,10
2023-06-26 09:47:00,500,13.4,13.4,13.4,13.4,13.4,1
2023-06-26 10:07:00,200,13.4,13.4,13.4,13.4,13.4,2
2023-06-26 11:09:00,650,13.41,13.41,13.41,13.41,13.41,3
2023-06-26 11:12:00,530,13.44,13.44,13.44,13.44,13.44,1
2023-06-26 11:13:00,8000,13.45,13.45,13.45,13.45,13.45,5
2023-06-26 11:14:00,780,13.45,13.45,13.45,13.45,13.45,3
2023-06-26 11:50:00,1020,13.55,13.55,13.55,13.55,13.55,1
2023-06-26 12:00:00,20746,13.5145,13.45,13.55,13.55,13.45,6
2023-06-26 12:04:00,10000,13.55,13.55,13.55,13.55,13.55,1
2023-06-26 12:05:00,10000,13.55,13.55,13.55,13.55,13.55,1
2023-06-26 12:48:00,324,13.5,13.5,13.5,13.5,13.5,1
2023-06-26 13:04:00,570,13.5,13.5,13.5,13.5,13.5,2
2023-06-26 13:25:00,2651,13.5238,13.5,13.55,13.55,13.5,35
2023-06-26 13:29:00,1637,13.4735,13.48,13.47,13.48,13.45,10
2023-06-26 13:30:00,42758,13.4847,13.5,13.55,13.55,13.42,143
2023-06-26 13:31:00,1904,13.5437,13.56,13.5297,13.56,13.5297,33
2023-06-26 13:32:00,4989,13.57,13.54,13.565,13.585,13.54,31
2023-06-26 13:33:00,298,13.5634,13.56,13.56,13.56,13.56,18
2023-06-26 13:34:00,1518,13.6064,13.6,13.63,13.63,13.6,26
2023-06-26 13:35:00,11920,13.6216,13.62,13.62,13.64,13.59,74
2023-06-26 13:36:00,4917,13.6284,13.61,13.638,13.64,13.6092,30
2023-06-26 13:37:00,858,13.6138,13.63,13.62,13.63,13.6,30
2023-06-26 13:38:00,1635,13.6093,13.6117,13.61,13.6117,13.6,40
2023-06-26 13:39:00,5015,13.6104,13.6187,13.61,13.6187,13.6,30
2023-06-26 13:40:00,3958,13.6177,13.61,13.62,13.62,13.61,53
2023-06-26 13:41:00,106621,13.6218,13.63,13.6588,13.6588,13.62,85
2023-06-26 13:42:00,28846,13.6357,13.65,13.63,13.65,13.62,261
2023-06-26 13:43:00,22252,13.6326,13.63,13.63,13.642,13.6257,215
2023-06-26 13:44:00,21679,13.6765,13.63,13.6643,13.705,13.63,204
2023-06-26 13:45:00,28604,13.6636,13.665,13.665,13.68,13.655,276
2023-06-26 13:46:00,30095,13.6585,13.66,13.66,13.67,13.64,230
2023-06-26 13:47:00,10521,13.6444,13.655,13.635,13.66,13.635,113
2023-06-26 13:48:00,3542,13.631,13.63,13.625,13.64,13.625,47
2023-06-26 13:49:00,10082,13.6266,13.63,13.61,13.635,13.61,102
2023-06-26 13:50:00,8772,13.6126,13.605,13.62,13.63,13.595,107
2023-06-26 13:51:00,4385,13.6025,13.61,13.6,13.61,13.5995,66
2023-06-26 13:52:00,9028,13.6137,13.605,13.6,13.62,13.6,57
2023-06-26 13:53:00,710,13.5891,13.59,13.585,13.59,13.585,19
