t,v,vw,o,c,h,l,n
2024-05-03 12:00:00,1365,85.6217,85.6,85.6,85.6,85.6,7
2024-05-03 12:35:00,100,87.6,87.6,87.6,87.6,87.6,1
2024-05-03 12:48:00,578,86.5,86.5,86.5,86.5,86.5,1
2024-05-03 12:53:00,923,86.5,86.5,86.5,86.5,86.5,5
2024-05-03 13:02:00,200,86.79,86.79,86.79,86.79,86.79,2
2024-05-03 13:30:00,34423,86.6581,86.5,87.33,87.36,86.5,248
2024-05-03 13:31:00,4576,87.2586,87.2,87.295,87.35,87.15,91
2024-05-03 13:32:00,18590,87.0379,87.285,86.83,87.2855,86.82,146
2024-05-03 13:33:00,7061,87.038,87.0,87.105,87.17,86.96,97
2024-05-03 13:34:00,7170,86.9705,87.08,86.89,87.15,86.71,124
2024-05-03 13:35:00,6579,87.0685,86.92,87.11,87.13,86.92,150
2024-05-03 13:36:00,112590,87.8734,87.11,88.0999,88.31,87.11,795
2024-05-03 13:37:00,14004,88.2281,88.05,88.28,88.3889,88.05,283
2024-05-03 13:38:00,42887,88.0351,88.32,87.67,88.32,87.5772,200
2024-05-03 13:39:00,2471,87.7749,87.71,87.84,87.88,87.666,67
2024-05-03 13:40:00,6765,87.8162,87.7999,87.815,87.9,87.72,153
2024-05-03 13:41:00,6750,87.8997,87.87,87.888,88.02,87.81,143
2024-05-03 13:42:00,9984,88.0206,87.94,87.985,88.1,87.93,179
2024-05-03 13:43:00,27328,88.0312,88.05,87.9775,88.05,87.835,144
2024-05-03 13:44:00,3859,88.0231,87.995,88.0987,88.0987,87.975,77
2024-05-03 13:45:00,11280,87.8984,88.03,87.515,88.03,87.515,192
2024-05-03 13:46:00,7783,87.4174,87.54,87.42,87.54,87.33,151
2024-05-03 13:47:00,6860,87.4409,87.5,87.28,87.56,87.205,178
2024-05-03 13:48:00,8498,87.2861,87.2975,87.15,87.39,87.15,153
2024-05-03 13:49:00,9886,87.3149,87.24,87.455,87.495,87.15,137
2024-05-03 13:50:00,1324,87.4171,87.395,87.43,87.43,87.395,51
2024-05-03 13:51:00,9176,87.347,87.43,87.26,87.47,87.26,115
2024-05-03 13:52:00,3554,87.2199,87.25,87.18,87.25,87.12,88
2024-05-03 13:53:00,10830,87.1595,87.21,87.005,87.27,86.96,208
2024-05-03 13:54:00,21613,87.1516,86.98,87.31,87.32,86.98,269
2024-05-03 13:55:00,3502,87.3495,87.4,87.335,87.41,87.29,82
2024-05-03 13:56:00,5396,87.3998,87.4,87.37,87.48,87.32,117
2024-05-03 13:57:00,6801,87.2522,87.41,87.13,87.44,87.12,124
2024-05-03 13:58:00,16938,87.1456,87.08,87.1,87.18,87.08,289
2024-05-03 13:59:00,4690,87.0397,87.09,86.885,87.09,86.885,110
2024-05-03 14:00:00,22616,86.596,86.97,86.395,87.01,86.26,409
2024-05-03 14:01:00,13226,86.2838,86.34,86.0,86.54,85.99,372
2024-05-03 14:02:00,6240,86.1225,86.07,86.2199,86.2199,86.015,160
2024-05-03 14:03:00,4849,86.0123,86.1241,85.94,86.1241,85.91,118
2024-05-03 14:04:00,9136,85.8649,85.955,85.635,86.01,85.6262,178
2024-05-03 14:05:00,8442,85.7488,85.65,85.85,85.85,85.635,191
2024-05-03 14:06:00,6981,85.8265,85.81,85.905,85.92,85.72,147
2024-05-03 14:07:00,5093,85.7738,85.83,85.69,85.88,85.665,111
2024-05-03 14:08:00,11789,85.5904,85.665,85.515,85.72,85.5,262
2024-05-03 14:09:00,10187,85.5127,85.49,85.6,85.6,85.4525,147
2024-05-03 14:10:00,6019,85.6268,85.61,85.57,85.67,85.57,149
2024-05-03 14:11:00,6538,85.4643,85.54,85.34,85.54,85.33,158
2024-05-03 14:12:00,9523,85.3452,85.34,85.25,85.46,85.24,164
2024-05-03 14:13:00,8037,85.301,85.2,85.365,85.41,85.19,158
2024-05-03 14:14:00,4672,85.3744,85.35,85.44,85.46,85.315,114
2024-05-03 14:15:00,9921,85.4418,85.51,85.45,85.535,85.38,166
2024-05-03 14:16:00,7959,85.3589,85.45,85.32,85.45,85.29,172
2024-05-03 14:17:00,7640,85.425,85.32,85.45,85.47,85.32,159
2024-05-03 14:18:00,9561,85.3452,85.42,85.2,85.42,85.2,197
2024-05-03 14:19:00,16115,85.049,85.2373,84.92,85.2373,84.92,348
2024-05-03 14:20:00,20639,84.7192,84.94,84.56,84.99,84.5,404
2024-05-03 14:21:00,13443,84.6479,84.6,84.86,84.8874,84.51,210
2024-05-03 14:22:00,16720,84.8178,84.865,84.72,84.92,84.71,260
2024-05-03 14:23:00,11278,84.7583,84.73,84.66,84.85,84.66,170
2024-05-03 14:24:00,12575,84.7397,84.67,84.73,84.8,84.65,234
2024-05-03 14:25:00,5886,84.6226,84.68,84.57,84.68,84.57,127
2024-05-03 14:26:00,9763,84.7699,84.59,84.64,84.87,84.58,213
2024-05-03 14:27:00,9629,84.6364,84.67,84.66,84.68,84.57,167
2024-05-03 14:28:00,7965,84.7087,84.66,84.79,84.82,84.63,171
2024-05-03 14:29:00,6967,84.8483,84.83,84.81,84.89,84.7913,119
2024-05-03 14:30:00,4435,84.8931,84.83,84.905,84.924,84.82,89
2024-05-03 14:31:00,7257,84.8316,84.89,84.83,84.915,84.78,158
2024-05-03 14:32:00,7992,84.7793,84.79,84.77,84.93,84.68,167
2024-05-03 14:33:00,6696,84.6952,84.765,84.63,84.765,84.63,136
2024-05-03 14:34:00,6215,84.5987,84.56,84.59,84.64,84.55,154
2024-05-03 14:35:00,9691,84.5782,84.599,84.62,84.7,84.49,225
2024-05-03 14:36:00,6294,84.6737,84.605,84.71,84.74,84.605,124
2024-05-03 14:37:00,3851,84.7988,84.71,84.9,84.92,84.71,92
2024-05-03 14:38:00,21239,84.8311,84.95,84.8459,84.95,84.71,269
2024-05-03 14:39:00,20925,84.8223,84.84,84.75,84.88,84.75,198
2024-05-03 14:40:00,9919,84.8006,84.78,84.79,84.835,84.77,127
2024-05-03 14:41:00,9971,84.7998,84.8,84.74,84.84,84.74,149
2024-05-03 14:42:00,3641,84.7301,84.74,84.8,84.8,84.68,99
2024-05-03 14:43:00,24616,84.8236,84.8,84.85,84.86,84.8,208
2024-05-03 14:44:00,13993,84.9486,84.85,84.995,85.0399,84.85,241
2024-05-03 14:45:00,9303,85.1004,85.02,85.1,85.27,84.9975,322
2024-05-03 14:46:00,3760,84.9623,85.07,84.885,85.07,84.88,112
2024-05-03 14:47:00,3590,84.9406,84.875,84.91,84.97,84.875,93
2024-05-03 14:48:00,3611,84.9446,84.88,84.935,84.98,84.88,80
