t,v,vw,o,c,h,l,n
2023-10-09 12:31:00,100,97.66,97.66,97.66,97.66,97.66,1
2023-10-09 12:41:00,301,97.1965,97.2,97.2,97.2,97.2,6
2023-10-09 13:25:00,864,97.8156,97.64,97.64,97.64,97.64,19
2023-10-09 13:29:00,196,97.2255,97.25,97.25,97.25,97.25,2
2023-10-09 13:30:00,17065,97.3244,97.44,97.355,97.53,97.24,112
2023-10-09 13:31:00,790,97.4622,97.56,97.375,97.56,97.375,24
2023-10-09 13:32:00,4380,97.0994,97.44,97.05,97.44,96.89,65
2023-10-09 13:33:00,1469,97.047,97.06,96.93,97.11,96.93,49
2023-10-09 13:34:00,4306,97.066,96.9391,97.1356,97.1356,96.9391,79
2023-10-09 13:35:00,1125,97.0976,97.11,97.1,97.11,97.08,33
2023-10-09 13:36:00,1023,97.1489,97.14,97.12,97.17,97.12,30
2023-10-09 13:37:00,2784,97.3264,97.13,97.5,97.5,97.08,58
2023-10-09 13:38:00,973,97.5507,97.51,97.54,97.63,97.51,30
2023-10-09 13:39:00,408,97.6163,97.62,97.63,97.63,97.62,19
2023-10-09 13:40:00,2636,97.4911,97.63,97.425,97.63,97.425,77
2023-10-09 13:41:00,2024,97.5112,97.4301,97.5,97.53,97.43,26
2023-10-09 13:42:00,2955,97.5162,97.47,97.53,97.56,97.45,76
2023-10-09 13:43:00,805,97.7486,97.82,97.82,97.82,97.82,45
2023-10-09 13:45:00,680,97.8013,97.8,97.82,97.82,97.8,33
2023-10-09 13:46:00,701,97.6161,97.62,97.55,97.68,97.54,30
2023-10-09 13:47:00,1533,97.4343,97.47,97.34,97.53,97.34,53
2023-10-09 13:48:00,1348,97.5069,97.47,97.52,97.55,97.47,69
2023-10-09 13:49:00,802,97.4969,97.49,97.47,97.49,97.47,44
2023-10-09 13:50:00,1503,97.3975,97.47,97.28,97.47,97.28,47
2023-10-09 13:51:00,987,97.1111,97.22,97.02,97.22,97.02,40
2023-10-09 13:52:00,1915,97.0787,97.085,97.13,97.13,97.04,58
2023-10-09 13:53:00,8604,97.0727,97.12,97.25,97.25,97.0,164
2023-10-09 13:54:00,1313,97.2885,97.3,97.24,97.33,97.24,34
2023-10-09 13:55:00,1598,97.2356,97.26,97.27,97.27,97.22,61
2023-10-09 13:56:00,1896,97.2442,97.285,97.2,97.285,97.195,47
2023-10-09 13:57:00,2737,97.3186,97.25,97.38,97.38,97.25,58
2023-10-09 13:58:00,1447,97.3248,97.33,97.34,97.34,97.33,51
2023-10-09 13:59:00,991,97.3292,97.32,97.38,97.38,97.31,36
2023-10-09 14:00:00,2161,97.3624,97.365,97.355,97.415,97.31,58
2023-10-09 14:01:00,443,97.2471,97.215,97.215,97.215,97.215,22
2023-10-09 14:02:00,2481,97.2068,97.27,97.16,97.27,97.16,80
2023-10-09 14:03:00,2684,97.0332,97.02,97.009,97.055,96.99,74
2023-10-09 14:04:00,7860,97.0626,97.05,96.97,97.12,96.97,146
2023-10-09 14:05:00,4910,96.9992,96.98,96.99,97.03,96.98,104
2023-10-09 14:06:00,1114,97.0612,97.07,97.08,97.08,97.07,67
2023-10-09 14:07:00,2229,96.9945,97.0,96.96,97.03,96.96,102
2023-10-09 14:08:00,2789,96.9246,96.94,96.89,96.95,96.89,70
2023-10-09 14:09:00,3064,96.8777,96.96,96.76,96.96,96.76,92
2023-10-09 14:10:00,2222,96.8711,96.74,96.97,96.97,96.74,76
2023-10-09 14:11:00,1857,96.9254,96.96,96.87,96.96,96.87,58
2023-10-09 14:12:00,1026,96.862,96.84,96.93,96.93,96.8347,32
2023-10-09 14:13:00,734,96.8809,96.89,96.875,96.89,96.86,48
2023-10-09 14:14:00,819,96.8049,96.81,96.81,96.81,96.79,47
2023-10-09 14:15:00,2517,96.8738,96.785,96.95,96.97,96.785,82
2023-10-09 14:16:00,8044,96.9421,96.93,96.92,96.96,96.92,68
2023-10-09 14:17:00,391,96.92,96.9,96.9,96.9,96.9,24
2023-10-09 14:18:00,2318,96.9781,96.95,96.99,96.99,96.95,56
2023-10-09 14:19:00,1755,97.056,96.99,97.1,97.1,96.99,64
2023-10-09 14:20:00,824,97.0334,97.06,97.01,97.06,97.01,41
2023-10-09 14:21:00,208,97.0423,97.04,97.04,97.04,97.04,15
2023-10-09 14:22:00,1137,97.0764,97.07,97.11,97.11,97.07,46
2023-10-09 14:23:00,1137,97.0957,97.08,97.095,97.11,97.08,36
2023-10-09 14:24:00,1420,97.0798,97.08,97.06,97.08,97.06,51
2023-10-09 14:25:00,2464,97.0666,97.055,97.01,97.1,97.01,87
2023-10-09 14:26:00,2351,97.1128,97.07,97.11,97.17,97.07,79
2023-10-09 14:27:00,1106,97.1052,97.1681,97.08,97.1681,97.07,49
2023-10-09 14:28:00,1412,97.0616,97.08,97.05,97.08,97.02,45
2023-10-09 14:29:00,1029,97.0099,97.04,97.01,97.04,96.9912,33
2023-10-09 14:30:00,991,97.023,97.04,97.03,97.04,97.03,46
2023-10-09 14:31:00,488,97.0844,97.1421,97.1421,97.1421,97.1421,42
2023-10-09 14:32:00,1358,97.039,97.05,97.01,97.06,97.01,55
2023-10-09 14:33:00,232,97.033,97.01,97.01,97.01,97.01,11
2023-10-09 14:34:00,2115,96.983,96.975,97.02,97.02,96.94,66
2023-10-09 14:35:00,538,97.0154,97.005,97.04,97.04,97.005,33
2023-10-09 14:36:00,1006,97.0517,97.05,97.07,97.07,97.05,38
2023-10-09 14:37:00,1450,97.0367,97.02,97.035,97.055,97.02,72
2023-10-09 14:38:00,1333,96.9817,96.9923,96.99,97.01,96.94,52
2023-10-09 14:39:00,833,97.0553,97.09,97.04,97.09,97.04,52
2023-10-09 14:40:00,786,96.9914,97.05,96.97,97.05,96.97,26
2023-10-09 14:41:00,1640,96.9988,96.99,97.01,97.01,96.99,65
2023-10-09 14:42:00,796,97.0227,97.0,97.03,97.03,97.0,38
2023-10-09 14:43:00,971,97.1066,97.1075,97.08,97.1075,97.08,54
2023-10-09 14:44:00,143,97.16,97.16,97.16,97.16,97.16,10
2023-10-09 14:45:00,472,97.1456,97.16,97.165,97.165,97.16,24
2023-10-09 14:46:00,1750,97.1582,97.19,97.13,97.19,97.13,62
2023-10-09 14:47:00,433,97.1375,97.15,97.125,97.15,97.125,21
2023-10-09 14:48:00,823,97.0854,97.09,97.095,97.095,97.08,32
2023-10-09 14:49:00,1445,96.9779,97.045,96.92,97.045,96.92,49
2023-10-09 14:50:00,1393,96.9862,96.9642,97.01,97.01,96.9642,54
2023-10-09 14:51:00,737,97.0224,97.03,97.0013,97.03,97.0013,30
2023-10-09 14:52:00,2537,97.0003,96.97,97.04,97.04,96.97,56
2023-10-09 14:53:00,965,97.1024,97.08,97.14,97.14,97.08,37
2023-10-09 14:57:00,1213,97.168,97.15,97.21,97.21,97.15,57
2023-10-09 14:58:00,466,97.158,97.18,97.18,97.18,97.18,16
2023-10-09 14:59:00,2047,97.1057,97.145,97.05,97.145,97.05,76
2023-10-09 15:00:00,691,96.9937,96.995,96.98,96.995,96.98,33
2023-10-09 15:01:00,2081,97.0157,97.01,97.04,97.04,96.99,68
2023-10-09 15:02:00,2119,96.9928,97.02,96.94,97.02,96.94,52
2023-10-09 15:03:00,2255,96.9179,96.94,96.895,96.945,96.895,62
2023-10-09 15:04:00,1017,96.9202,96.91,96.93,96.93,96.905,55
2023-10-09 15:05:00,519,96.9584,96.92,96.93,96.93,96.92,21
2023-10-09 15:06:00,982,96.869,96.86,96.86,96.86,96.86,48
2023-10-09 15:07:00,457,96.808,96.8334,96.81,96.8334,96.81,25
2023-10-09 15:08:00,1084,96.7966,96.81,96.77,96.81,96.77,35
2023-10-09 15:09:00,1121,96.7837,96.76,96.795,96.795,96.76,41
2023-10-09 15:10:00,866,96.7359,96.75,96.7212,96.75,96.7212,31
2023-10-09 15:11:00,3291,96.6991,96.73,96.66,96.73,96.66,65
2023-10-09 15:12:00,2422,96.7082,96.68,96.68,96.75,96.68,66
2023-10-09 15:14:00,1572,96.7422,96.68,96.78,96.785,96.68,52
2023-10-09 15:15:00,882,96.7718,96.77,96.78,96.78,96.77,39
2023-10-09 15:17:00,4583,96.8445,96.81,96.85,96.87,96.81,106
2023-10-09 15:18:00,944,96.8303,96.81,96.85,96.85,96.81,33
2023-10-09 15:19:00,1122,96.881,96.85,96.93,96.93,96.85,38
2023-10-09 15:20:00,545,96.8964,96.93,96.89,96.93,96.89,21
2023-10-09 15:21:00,466,96.9259,96.91,96.93,96.945,96.91,11
2023-10-09 15:22:00,462,96.9731,96.97,96.97,96.97,96.97,32
2023-10-09 15:23:00,1466,97.0507,97.02,97.0799,97.0799,97.02,38
2023-10-09 15:24:00,1298,97.046,97.05,97.05,97.05,97.04,24
2023-10-09 15:25:00,2327,97.0435,97.06,97.02,97.06,97.01,69
2023-10-09 15:26:00,189,97.0056,97.0,97.0,97.0,97.0,20
2023-10-09 15:27:00,4154,96.982,97.01,96.93,97.03,96.92,91
2023-10-09 15:28:00,1157,96.9967,96.95,97.03,97.03,96.95,29
2023-10-09 15:29:00,1639,97.0025,97.01,96.98,97.01,96.98,39
2023-10-09 15:30:00,8087,97.0204,97.01,97.08,97.08,96.99,97
2023-10-09 15:31:00,711,97.1501,97.14,97.14,97.17,97.14,29
2023-10-09 15:32:00,1583,97.0844,97.08,97.07,97.095,97.07,58
2023-10-09 15:33:00,854,97.0873,97.11,97.08,97.11,97.08,24
2023-10-09 15:34:00,1702,97.0657,97.0715,97.1,97.1,97.05,28
2023-10-09 15:35:00,599,97.1122,97.1,97.1286,97.1286,97.1,24
2023-10-09 15:36:00,1471,97.0944,97.115,97.1,97.115,97.07,41
2023-10-09 15:37:00,242,97.143,97.145,97.145,97.145,97.145,28
2023-10-09 15:39:00,743,97.1213,97.1,97.12,97.12,97.1,38
2023-10-09 15:40:00,1343,97.073,97.1,97.05,97.1,97.05,29
2023-10-09 15:41:00,167,97.077,97.09,97.09,97.09,97.09,9
2023-10-09 15:42:00,1670,97.0273,97.03,97.0,97.07,97.0,40
2023-10-09 15:43:00,1312,97.0004,96.995,97.0148,97.0148,96.98,40
2023-10-09 15:44:00,392,97.0713,97.08,97.07,97.08,97.07,32
2023-10-09 15:45:00,1218,97.0508,97.06,97.07,97.07,97.03,30
2023-10-09 15:46:00,3375,97.0231,97.095,96.99,97.095,96.985,88
2023-10-09 15:47:00,808,97.0134,97.02,97.0,97.02,97.0,27
2023-10-09 15:48:00,241,97.038,97.04,97.04,97.04,97.04,16
2023-10-09 15:49:00,464,97.0593,97.06,97.09,97.09,97.06,11
2023-10-09 15:51:00,846,97.0601,97.09,97.0899,97.09,97.05,41
2023-10-09 15:52:00,1268,97.0931,97.08,97.12,97.12,97.08,58
2023-10-09 15:53:00,909,97.1301,97.13,97.14,97.14,97.13,30
2023-10-09 15:54:00,1189,97.0975,97.09,97.1,97.11,97.09,40
2023-10-09 15:55:00,1129,97.084,97.08,97.13,97.13,97.06,40
2023-10-09 15:56:00,767,97.1144,97.08,97.08,97.08,97.08,26
2023-10-09 15:57:00,528,97.1132,97.1,97.13,97.13,97.1,25
2023-10-09 15:58:00,975,97.1573,97.16,97.16,97.16,97.16,39
2023-10-09 15:59:00,726,97.1893,97.15,97.21,97.21,97.15,34
2023-10-09 16:00:00,7289,97.2812,97.25,97.27,97.31,97.24,165
2023-10-09 16:01:00,347,97.2961,97.3,97.3,97.3,97.3,12
2023-10-09 16:02:00,1685,97.24,97.24,97.245,97.27,97.19,51
2023-10-09 16:03:00,206,97.2115,97.21,97.21,97.21,97.21,8
2023-10-09 16:04:00,670,97.2692,97.26,97.285,97.285,97.26,39
2023-10-09 16:05:00,1167,97.2901,97.3,97.28,97.31,97.28,18
2023-10-09 16:06:00,600,97.3203,97.33,97.345,97.345,97.33,34
2023-10-09 16:07:00,1651,97.4219,97.365,97.46,97.475,97.36,70
2023-10-09 16:08:00,1020,97.5008,97.48,97.51,97.51,97.48,31
2023-10-09 16:09:00,887,97.4759,97.5043,97.48,97.5043,97.48,19
2023-10-09 16:10:00,721,97.4728,97.435,97.53,97.53,97.435,24
2023-10-09 16:11:00,1190,97.4836,97.51,97.4659,97.51,97.4659,33
2023-10-09 16:12:00,1945,97.4756,97.47,97.53,97.53,97.445,46
2023-10-09 16:13:00,621,97.5107,97.52,97.5,97.52,97.5,18
2023-10-09 16:14:00,892,97.4922,97.52,97.49,97.52,97.48,24
2023-10-09 16:15:00,761,97.5079,97.495,97.52,97.52,97.495,26
2023-10-09 16:16:00,724,97.5172,97.53,97.54,97.54,97.4801,19
2023-10-09 16:17:00,3085,97.538,97.5335,97.535,97.55,97.5335,45
2023-10-09 16:18:00,3563,97.5485,97.525,97.541,97.57,97.525,33
2023-10-09 16:19:00,678,97.5739,97.57,97.565,97.59,97.565,32
2023-10-09 16:20:00,3447,97.5313,97.56,97.57,97.57,97.5185,45
2023-10-09 16:21:00,1507,97.6061,97.59,97.62,97.62,97.59,47
2023-10-09 16:22:00,3074,97.6385,97.6203,97.66,97.675,97.6203,60
2023-10-09 16:23:00,968,97.6109,97.62,97.625,97.625,97.62,44
2023-10-09 16:24:00,715,97.6,97.605,97.58,97.62,97.58,9
2023-10-09 16:25:00,2210,97.5431,97.58,97.51,97.58,97.51,86
2023-10-09 16:26:00,284,97.5251,97.525,97.525,97.525,97.525,10
2023-10-09 16:27:00,568,97.551,97.57,97.55,97.57,97.55,21
2023-10-09 16:28:00,964,97.5186,97.54,97.51,97.54,97.51,33
2023-10-09 16:29:00,1027,97.5075,97.495,97.515,97.515,97.475,24
2023-10-09 16:30:00,950,97.5158,97.51,97.51,97.52,97.51,24
2023-10-09 16:31:00,789,97.5069,97.51,97.52,97.52,97.5,25
2023-10-09 16:32:00,1294,97.5248,97.53,97.52,97.53,97.52,35
2023-10-09 16:33:00,650,97.525,97.52,97.525,97.54,97.52,27
2023-10-09 16:34:00,1189,97.5396,97.53,97.56,97.56,97.53,34
2023-10-09 16:35:00,932,97.5314,97.555,97.52,97.555,97.52,37
2023-10-09 16:36:00,1559,97.4982,97.5228,97.53,97.53,97.49,36
2023-10-09 16:37:00,1174,97.4802,97.5,97.45,97.5,97.45,46
2023-10-09 16:38:00,337,97.4589,97.47,97.45,97.47,97.45,13
2023-10-09 16:39:00,1195,97.4427,97.44,97.435,97.4542,97.435,30
2023-10-09 16:40:00,859,97.4249,97.44,97.44,97.44,97.41,22
2023-10-09 16:41:00,624,97.4473,97.445,97.44,97.455,97.44,25
2023-10-09 16:42:00,877,97.4263,97.4166,97.425,97.44,97.4166,19
2023-10-09 16:43:00,1101,97.3715,97.375,97.36,97.375,97.36,59
2023-10-09 16:44:00,1406,97.2957,97.345,97.28,97.35,97.28,47
2023-10-09 16:45:00,395,97.2266,97.24,97.22,97.24,97.22,10
2023-10-09 16:46:00,1121,97.3021,97.26,97.33,97.33,97.26,30
2023-10-09 16:47:00,1320,97.3654,97.35,97.39,97.39,97.35,39
2023-10-09 16:48:00,539,97.3972,97.4,97.4,97.4,97.4,14
2023-10-09 16:49:00,565,97.3694,97.38,97.38,97.38,97.38,27
2023-10-09 16:50:00,608,97.3692,97.365,97.35,97.365,97.35,30
2023-10-09 16:51:00,426,97.4005,97.4,97.4,97.4,97.4,5
2023-10-09 16:52:00,149,97.3889,97.385,97.385,97.385,97.385,13
2023-10-09 16:53:00,2015,97.3795,97.385,97.42,97.42,97.36,78
2023-10-09 16:54:00,898,97.4089,97.3937,97.41,97.42,97.3937,27
2023-10-09 16:55:00,1956,97.4193,97.405,97.43,97.435,97.405,57
2023-10-09 16:56:00,797,97.4001,97.39,97.405,97.405,97.39,29
2023-10-09 16:57:00,668,97.3532,97.36,97.32,97.36,97.32,40
2023-10-09 16:58:00,1330,97.3158,97.3,97.33,97.33,97.3,48
2023-10-09 16:59:00,629,97.3595,97.36,97.365,97.365,97.36,21
2023-10-09 17:00:00,514,97.4161,97.42,97.42,97.42,97.42,17
2023-10-09 17:01:00,5236,97.397,97.42,97.38,97.43,97.38,138
2023-10-09 17:02:00,520,97.3848,97.39,97.39,97.39,97.39,12
2023-10-09 17:03:00,1859,97.3945,97.39,97.41,97.41,97.39,31
2023-10-09 17:04:00,1019,97.4084,97.41,97.4,97.425,97.4,31
2023-10-09 17:06:00,897,97.4039,97.41,97.415,97.415,97.4,23
2023-10-09 17:07:00,3446,97.4106,97.38,97.419,97.419,97.38,38
2023-10-09 17:08:00,2126,97.4443,97.44,97.48,97.48,97.435,56
2023-10-09 17:09:00,1498,97.4531,97.49,97.45,97.49,97.44,35
2023-10-09 17:10:00,1139,97.4454,97.46,97.42,97.465,97.42,52
2023-10-09 17:12:00,1528,97.4859,97.435,97.5,97.5,97.435,32
2023-10-09 17:14:00,2288,97.4847,97.52,97.48,97.52,97.47,64
2023-10-09 17:15:00,368,97.4609,97.46,97.46,97.46,97.46,18
2023-10-09 17:16:00,1921,97.5112,97.49,97.52,97.54,97.49,37
