t,v,vw,o,c,h,l,n
2023-12-04 14:14:00,1000.0,33.71,33.71,33.71,33.71,33.71,1
2023-12-04 14:16:00,1000.0,33.73,33.73,33.73,33.73,33.73,1
2023-12-04 14:30:00,41773.0,33.5988,33.6,33.625,33.625,33.51,188
2023-12-04 14:31:00,20409.0,33.7548,33.625,33.8768,33.89,33.61,267
2023-12-04 14:32:00,2945.0,33.8808,33.86,33.9,33.9,33.86,45
2023-12-04 14:33:00,13789.0,33.8413,33.88,33.84,33.88,33.805,210
2023-12-04 14:34:00,13140.0,33.8761,33.84,33.88,33.9,33.84,203
2023-12-04 14:35:00,10439.0,34.0284,33.878,34.09,34.1,33.878,172
2023-12-04 14:36:00,9210.0,34.0711,34.09,34.09,34.09,34.05,178
2023-12-04 14:37:00,15588.0,34.1326,34.08,34.185,34.185,34.08,174
2023-12-04 14:38:00,13954.0,34.1972,34.18,34.22,34.22,34.18,190
2023-12-04 14:39:00,22484.0,34.2185,34.22,34.24,34.25,34.18,273
2023-12-04 14:40:00,26868.0,34.3068,34.27,34.33,34.34,34.27,337
2023-12-04 14:41:00,67433.0,34.3239,34.34,34.33,34.38,34.25,726
2023-12-04 14:42:00,8685.0,34.3307,34.32,34.33,34.35,34.31,100
2023-12-04 14:43:00,18481.0,34.3249,34.33,34.35,34.36,34.3,158
2023-12-04 14:44:00,13224.0,34.3795,34.36,34.365,34.41,34.345,132
2023-12-04 14:45:00,15294.0,34.3873,34.36,34.415,34.43,34.36,215
2023-12-04 14:46:00,24562.0,34.416,34.415,34.455,34.46,34.39,281
2023-12-04 14:47:00,21613.0,34.4657,34.46,34.495,34.5,34.435,227
2023-12-04 14:48:00,52428.0,34.4745,34.49,34.46,34.495,34.44,476
2023-12-04 14:49:00,10017.0,34.4225,34.45,34.405,34.455,34.4,136
2023-12-04 14:50:00,28339.0,34.3584,34.395,34.36,34.395,34.325,334
2023-12-04 14:51:00,31397.0,34.3766,34.35,34.38,34.395,34.35,281
2023-12-04 14:52:00,16422.0,34.3605,34.36,34.3209,34.39,34.32,182
2023-12-04 14:53:00,24209.0,34.2915,34.32,34.27,34.325,34.27,267
2023-12-04 14:54:00,21152.0,34.2718,34.26,34.26,34.295,34.255,240
2023-12-04 14:55:00,11886.0,34.2244,34.26,34.18,34.265,34.18,162
2023-12-04 14:56:00,39471.0,34.1948,34.19,34.185,34.22,34.17,376
2023-12-04 14:57:00,22148.0,34.1648,34.19,34.15,34.19,34.14,241
2023-12-04 14:58:00,15226.0,34.1941,34.155,34.2,34.23,34.15,194
