t,v,vw,o,c,h,l,n
2023-11-09 14:29:00,600,277.7892,277.79,277.81,277.81,277.79,5
2023-11-09 14:30:00,23278,276.4563,276.43,278.12,278.12,276.43,29
2023-11-09 14:31:00,1110,276.5551,276.01,277.015,277.085,276.01,32
2023-11-09 14:32:00,4689,275.7036,276.5781,275.465,276.5781,274.89,85
2023-11-09 14:33:00,888,274.9067,274.9,274.615,275.2299,274.615,32
2023-11-09 14:34:00,6952,275.7621,275.23,276.265,276.265,274.785,91
2023-11-09 14:35:00,380,275.5345,275.605,275.605,275.605,275.605,15
2023-11-09 14:36:00,5396,274.8247,274.91,274.85,275.0,274.715,88
2023-11-09 14:37:00,3160,274.7187,274.985,275.0,275.04,274.53,39
2023-11-09 14:38:00,3348,274.9644,274.73,274.995,275.04,274.73,52
2023-11-09 14:39:00,4340,274.7214,275.0,274.895,275.0,274.25,75
2023-11-09 14:40:00,469,275.2136,275.3,275.31,275.31,275.3,32
2023-11-09 14:41:00,1055,275.1694,274.8332,274.77,275.27,274.77,36
2023-11-09 14:42:00,479,275.1858,275.27,275.2073,275.27,275.0,24
2023-11-09 14:43:00,324,275.2765,275.19,275.19,275.19,275.19,18
2023-11-09 14:44:00,1180,275.3386,275.275,275.47,275.47,275.275,45
2023-11-09 14:45:00,2487,275.6612,275.64,275.62,275.845,275.46,85
2023-11-09 14:47:00,2454,275.5499,275.72,275.255,275.895,275.25,58
2023-11-09 14:48:00,394,275.1323,275.13,275.095,275.13,275.095,21
2023-11-09 14:49:00,2178,275.2674,274.97,275.38,275.62,274.955,64
2023-11-09 14:50:00,1143,275.5092,275.335,275.76,275.76,275.1632,44
2023-11-09 14:51:00,516,275.7624,275.955,275.77,275.955,275.77,22
2023-11-09 14:52:00,7260,275.6011,275.82,275.83,275.83,275.365,137
2023-11-09 14:53:00,1368,275.0998,275.5,275.0,275.5,274.98,48
2023-11-09 14:54:00,3241,274.9507,275.06,274.992,275.1498,274.885,57
2023-11-09 14:55:00,6777,274.9746,274.9,275.11,275.1399,274.775,76
2023-11-09 14:56:00,7294,275.6017,275.15,275.76,275.91,275.0412,99
2023-11-09 14:57:00,1023,275.4824,275.46,275.44,275.63,275.44,74
2023-11-09 14:59:00,114,274.8079,274.78,274.78,274.78,274.78,10
2023-11-09 15:00:00,3598,275.1854,275.25,274.83,275.31,274.83,103
2023-11-09 15:02:00,879,275.0013,274.98,274.82,275.055,274.82,25
2023-11-09 15:03:00,3874,274.7638,274.79,274.725,274.835,274.58,83
2023-11-09 15:04:00,4820,274.6279,274.725,274.44,274.99,274.365,99
2023-11-09 15:05:00,9195,274.4956,274.44,274.27,274.57,274.25,153
2023-11-09 15:06:00,10991,274.5799,274.35,274.805,274.96,274.35,199
2023-11-09 15:07:00,15009,274.5302,274.805,274.245,274.805,274.08,149
2023-11-09 15:08:00,4999,274.1317,274.05,274.165,274.36,273.9,107
2023-11-09 15:09:00,5956,274.3416,274.36,274.07,274.52,274.07,133
2023-11-09 15:10:00,2609,273.9487,274.07,273.8,274.07,273.8,85
2023-11-09 15:11:00,2674,273.637,273.75,273.495,273.835,273.41,85
2023-11-09 15:12:00,2629,273.3825,273.51,273.335,273.515,273.2,90
2023-11-09 15:13:00,1383,273.2859,273.24,273.19,273.41,273.18,47
2023-11-09 15:14:00,4071,272.9472,273.16,272.99,273.16,272.79,86
2023-11-09 15:15:00,3069,272.782,272.76,272.71,272.81,272.63,60
2023-11-09 15:16:00,1099,272.7296,272.63,272.76,272.76,272.63,55
2023-11-09 15:17:00,963,272.8158,272.81,272.805,272.81,272.78,44
2023-11-09 15:18:00,8955,272.8932,272.87,272.785,272.96,272.78,163
2023-11-09 15:19:00,3829,272.8332,272.785,272.875,273.05,272.67,93
2023-11-09 15:20:00,31940,272.329,272.88,272.12,272.88,272.0,410
2023-11-09 15:21:00,7270,272.4081,272.25,272.34,272.53,272.25,160
2023-11-09 15:22:00,2481,272.4298,272.365,272.49,272.49,272.365,48
2023-11-09 15:23:00,3115,272.4584,272.47,272.415,272.515,272.38,99
2023-11-09 15:24:00,5393,272.3999,272.5,272.405,272.5,272.28,122
2023-11-09 15:25:00,3595,272.3016,272.405,272.1,272.405,272.06,83
2023-11-09 15:26:00,5880,271.9889,272.11,271.82,272.11,271.82,111
2023-11-09 15:27:00,8703,271.8021,271.84,271.5,271.91,271.5,154
2023-11-09 15:28:00,4290,271.5677,271.64,271.475,271.67,271.47,96
2023-11-09 15:29:00,3295,271.5582,271.5,271.575,271.62,271.475,90
2023-11-09 15:30:00,6573,271.5998,271.575,271.57,271.71,271.49,143
2023-11-09 15:31:00,3619,271.4438,271.635,271.19,271.635,271.18,112
2023-11-09 15:32:00,1866,271.1206,271.06,271.135,271.17,270.94,42
2023-11-09 15:33:00,10991,271.0126,271.1,271.0,271.12,270.96,141
2023-11-09 15:34:00,2403,270.8701,271.035,270.77,271.035,270.77,56
2023-11-09 15:35:00,3167,270.783,270.75,270.675,270.97,270.57,97
2023-11-09 15:36:00,8495,270.8212,270.57,271.23,271.23,270.57,169
2023-11-09 15:37:00,5414,271.0407,271.255,270.88,271.26,270.88,102
2023-11-09 15:38:00,2511,270.8784,270.81,271.035,271.035,270.81,84
2023-11-09 15:39:00,3936,270.9666,271.035,270.955,271.035,270.82,87
2023-11-09 15:40:00,4402,271.1296,270.955,271.005,271.3072,270.955,129
2023-11-09 15:41:00,1283,270.9707,271.0,270.96,271.0,270.96,42
2023-11-09 15:42:00,2040,271.2018,270.965,271.365,271.365,270.965,82
2023-11-09 15:43:00,1185,271.3783,271.31,271.45,271.47,271.31,39
2023-11-09 15:44:00,3112,271.4058,271.535,271.33,271.535,271.325,94
2023-11-09 15:45:00,828,271.2234,271.21,271.14,271.21,271.14,38
2023-11-09 15:46:00,2112,270.9104,271.11,270.85,271.12,270.84,59
2023-11-09 15:47:00,6644,271.0058,270.86,271.0,271.15,270.855,138
2023-11-09 15:48:00,1904,270.963,270.93,270.825,270.995,270.825,46
2023-11-09 15:49:00,13426,270.9908,270.8,271.17,271.3,270.8,253
2023-11-09 15:50:00,2156,271.0692,271.17,271.0275,271.17,271.0,63
2023-11-09 15:51:00,1319,270.9242,271.055,270.795,271.055,270.795,47
2023-11-09 15:52:00,2672,270.7246,270.68,270.785,270.785,270.655,76
2023-11-09 15:53:00,4766,270.8888,270.785,271.045,271.08,270.69,108
2023-11-09 15:54:00,2388,271.0355,271.08,271.08,271.08,271.0,37
2023-11-09 15:55:00,2239,271.0085,271.0,271.055,271.055,270.99,37
2023-11-09 15:56:00,4665,271.0686,270.99,271.1871,271.23,270.88,95
2023-11-09 15:57:00,3109,271.1119,271.1635,271.21,271.21,271.08,73
2023-11-09 15:58:00,2564,271.3062,271.22,271.45,271.45,271.22,81
2023-11-09 15:59:00,2424,271.3372,271.33,271.42,271.455,271.22,56
2023-11-09 16:00:00,976,271.4073,271.415,271.395,271.415,271.395,22
2023-11-09 16:01:00,17027,271.0992,271.29,270.915,271.39,270.89,210
2023-11-09 16:02:00,4623,271.0498,270.915,271.05,271.1,270.915,67
2023-11-09 16:03:00,3051,271.0468,271.05,271.0,271.14,270.98,66
2023-11-09 16:04:00,20995,270.9908,271.0875,271.11,271.13,270.92,215
2023-11-09 16:05:00,1027,271.0774,271.155,271.155,271.155,271.0,28
2023-11-09 16:06:00,2731,270.9998,271.165,270.99,271.165,270.89,62
2023-11-09 16:07:00,2034,271.1574,271.035,271.21,271.21,271.035,59
2023-11-09 16:08:00,1901,271.3063,271.23,271.3782,271.3782,271.17,66
2023-11-09 16:09:00,1028,271.2714,271.3,271.36,271.36,271.23,40
2023-11-09 16:10:00,14864,271.1508,271.32,271.025,271.32,270.95,216
2023-11-09 16:11:00,7991,271.1808,271.125,271.25,271.33,271.07,114
2023-11-09 16:12:00,8277,271.5718,271.255,271.85,271.93,271.255,120
2023-11-09 16:13:00,5046,271.9639,271.93,272.2,272.21,271.74,80
2023-11-09 16:14:00,12638,272.2019,272.19,272.5,272.5,272.025,264
2023-11-09 16:15:00,16961,272.6873,272.47,272.75,272.92,272.4,266
2023-11-09 16:16:00,7617,272.8733,272.69,272.9,273.0,272.69,145
2023-11-09 16:17:00,5605,272.5372,272.935,272.42,272.94,272.305,154
2023-11-09 16:18:00,12454,272.1322,272.32,271.94,272.32,271.93,189
2023-11-09 16:19:00,2030,271.9996,271.93,271.96,272.08,271.93,45
2023-11-09 16:20:00,1400,271.8586,271.87,271.815,271.89,271.815,45
2023-11-09 16:21:00,3010,272.001,271.815,271.895,272.15,271.815,54
2023-11-09 16:22:00,2779,272.0932,271.9,272.2,272.28,271.9,71
2023-11-09 16:23:00,2015,272.2983,272.2,272.35,272.355,272.2,51
2023-11-09 16:24:00,480,272.3692,272.35,272.35,272.38,272.35,18
2023-11-09 16:25:00,1063,272.2899,272.38,272.24,272.38,272.21,41
2023-11-09 16:26:00,1057,272.0867,272.09,272.075,272.115,272.07,33
2023-11-09 16:27:00,527,272.0909,272.075,272.04,272.075,272.04,32
2023-11-09 16:28:00,576,272.1073,272.08,272.08,272.2,272.08,24
2023-11-09 16:29:00,1786,272.3124,272.2,272.43,272.43,272.2,61
2023-11-09 16:30:00,2078,272.5007,272.63,272.49,272.63,272.485,42
2023-11-09 16:31:00,1318,272.6801,272.5,272.755,272.78,272.5,65
2023-11-09 16:32:00,3673,272.6888,272.76,272.645,272.85,272.64,105
2023-11-09 16:33:00,550,272.612,272.645,272.625,272.645,272.62,19
2023-11-09 16:34:00,5078,272.8618,272.63,272.96,273.16,272.63,108
2023-11-09 16:35:00,4017,272.9383,273.0,272.9,273.05,272.87,74
2023-11-09 16:36:00,11444,272.9774,272.9,272.95,273.1,272.89,242
2023-11-09 16:37:00,2214,272.9327,272.93,272.92,272.98,272.83,34
2023-11-09 16:38:00,1287,273.0578,273.02,273.055,273.15,273.02,38
2023-11-09 16:39:00,2696,273.3073,273.3,273.4305,273.46,273.17,62
2023-11-09 16:40:00,2828,273.3747,273.42,273.445,273.575,273.3,98
2023-11-09 16:41:00,4919,273.127,273.295,273.18,273.295,272.99,62
2023-11-09 16:42:00,6833,273.0611,273.18,273.03,273.1811,272.82,115
2023-11-09 16:43:00,3736,273.1504,273.07,273.2,273.2,273.07,84
2023-11-09 16:44:00,2000,273.3349,273.265,273.435,273.435,273.1033,47
2023-11-09 16:45:00,1437,273.5003,273.445,273.46,273.58,273.445,24
2023-11-09 16:46:00,1509,273.5926,273.455,273.77,273.77,273.455,55
2023-11-09 16:47:00,671,273.6834,273.7,273.72,273.72,273.7,27
2023-11-09 16:48:00,1856,273.5332,273.55,273.49,273.55,273.49,56
2023-11-09 16:49:00,491,273.5328,273.475,273.64,273.64,273.475,14
