t,v,vw,o,c,h,l,n
2023-06-26 08:00:00,1134.0,15.5457,15.55,15.55,15.55,15.55,10
2023-06-26 08:01:00,756.0,15.5189,15.52,15.52,15.52,15.52,4
2023-06-26 08:02:00,1520.0,15.4614,15.46,15.46,15.46,15.46,5
2023-06-26 08:09:00,480.0,15.52,15.52,15.52,15.52,15.52,3
2023-06-26 08:47:00,138.0,15.5014,15.5,15.5,15.5,15.5,11
2023-06-26 09:25:00,243.0,15.51,15.51,15.51,15.51,15.51,4
2023-06-26 10:44:00,336.0,15.5211,15.53,15.53,15.53,15.53,11
2023-06-26 10:52:00,500.0,15.5,15.5,15.5,15.5,15.5,8
2023-06-26 10:54:00,267.0,15.5,15.5,15.5,15.5,15.5,3
2023-06-26 11:00:00,940.0,15.4956,15.5,15.49,15.5,15.49,21
2023-06-26 11:02:00,691.0,15.4904,15.49,15.49,15.49,15.49,15
2023-06-26 11:04:00,1545.0,15.48,15.48,15.48,15.48,15.48,7
2023-06-26 11:05:00,3015.0,15.47,15.47,15.47,15.47,15.47,5
2023-06-26 11:06:00,640.0,15.4713,15.47,15.47,15.47,15.47,3
2023-06-26 11:07:00,4008.0,15.47,15.47,15.47,15.47,15.47,8
2023-06-26 11:08:00,100.0,15.49,15.49,15.49,15.49,15.49,1
2023-06-26 11:11:00,1300.0,15.4602,15.46,15.46,15.46,15.46,9
2023-06-26 11:12:00,256.0,15.48,15.48,15.48,15.48,15.48,2
2023-06-26 11:17:00,310.0,15.47,15.47,15.47,15.47,15.47,6
2023-06-26 11:40:00,113.0,15.48,15.48,15.48,15.48,15.48,1
2023-06-26 11:50:00,105.0,15.47,15.47,15.47,15.47,15.47,2
2023-06-26 11:59:00,1201.0,15.48,15.48,15.48,15.48,15.48,2
2023-06-26 12:00:00,5147.0,15.4798,15.51,15.4799,15.51,15.47,90
2023-06-26 12:02:00,647.0,15.4758,15.48,15.48,15.48,15.48,61
2023-06-26 12:04:00,3000.0,15.48,15.48,15.48,15.48,15.48,1
2023-06-26 12:05:00,673.0,15.48,15.48,15.4797,15.48,15.4797,3
2023-06-26 12:06:00,290.0,15.4761,15.48,15.47,15.48,15.47,5
2023-06-26 12:07:00,510.0,15.4798,15.48,15.48,15.48,15.48,2
2023-06-26 12:09:00,1513.0,15.4707,15.48,15.4701,15.48,15.47,19
2023-06-26 12:12:00,854.0,15.47,15.47,15.47,15.47,15.47,24
2023-06-26 12:18:00,5008.0,15.48,15.48,15.48,15.48,15.48,7
2023-06-26 12:19:00,5010.0,15.48,15.48,15.48,15.48,15.48,2
2023-06-26 12:20:00,5983.0,15.4704,15.48,15.47,15.48,15.47,18
2023-06-26 12:21:00,2795.0,15.47,15.47,15.47,15.47,15.47,9
2023-06-26 12:22:00,6935.0,15.4681,15.47,15.46,15.47,15.46,10
2023-06-26 12:30:00,342.0,15.4702,15.47,15.47,15.47,15.47,7
2023-06-26 12:32:00,6054.0,15.47,15.47,15.47,15.47,15.47,7
2023-06-26 12:33:00,590.0,15.4785,15.48,15.48,15.48,15.48,8
