t,v,vw,o,c,h,l,n
2024-04-17 08:44:00,250,3.338,3.32,3.35,3.35,3.32,2
2024-04-17 12:00:00,397,3.2624,3.2689,3.2689,3.2689,3.2689,9
2024-04-17 12:14:00,332,3.0011,3.0011,3.0011,3.0011,3.0011,1
2024-04-17 12:58:00,100,3.11,3.11,3.11,3.11,3.11,1
2024-04-17 13:05:00,100,3.19,3.19,3.19,3.19,3.19,1
2024-04-17 13:06:00,665,3.17,3.17,3.17,3.17,3.17,3
2024-04-17 13:23:00,163,3.1721,3.16,3.16,3.16,3.16,5
2024-04-17 13:25:00,100,3.2,3.2,3.2,3.2,3.2,1
2024-04-17 13:27:00,242,3.16,3.16,3.16,3.16,3.16,1
2024-04-17 13:30:00,27019,3.0937,3.1,3.11,3.11,3.07,72
2024-04-17 13:31:00,3353,3.1239,3.12,3.1266,3.13,3.11,45
2024-04-17 13:32:00,571,3.1318,3.13,3.14,3.14,3.13,13
2024-04-17 13:33:00,1573,3.1372,3.135,3.14,3.14,3.135,15
2024-04-17 13:34:00,2099,3.1352,3.14,3.12,3.14,3.12,27
2024-04-17 13:35:00,745,3.1045,3.105,3.105,3.105,3.1,10
2024-04-17 13:36:00,1442,3.1042,3.1,3.11,3.11,3.1,18
2024-04-17 13:37:00,217,3.1014,3.1011,3.1011,3.1011,3.1011,7
2024-04-17 13:38:00,153,3.1083,3.11,3.11,3.11,3.11,2
2024-04-17 13:39:00,2970,3.1005,3.11,3.09,3.11,3.09,32
2024-04-17 13:40:00,3046,3.0977,3.095,3.095,3.1,3.095,14
2024-04-17 13:41:00,970,3.0882,3.09,3.0817,3.09,3.0817,19
2024-04-17 13:42:00,2418,3.0897,3.09,3.09,3.09,3.09,28
2024-04-17 13:43:00,325,3.0892,3.09,3.09,3.09,3.09,7
2024-04-17 13:44:00,407,3.0862,3.085,3.09,3.09,3.085,4
2024-04-17 13:45:00,296,3.0873,3.09,3.085,3.09,3.085,4
2024-04-17 13:46:00,310,3.0834,3.08,3.09,3.09,3.08,5
2024-04-17 13:48:00,1947,3.0799,3.0875,3.075,3.0875,3.075,14
2024-04-17 13:51:00,245,3.067,3.07,3.07,3.07,3.07,4
2024-04-17 13:52:00,150,3.0617,3.06,3.06,3.06,3.06,3
2024-04-17 13:53:00,2310,3.0601,3.06,3.06,3.06,3.06,24
2024-04-17 13:54:00,3046,3.0669,3.066,3.07,3.07,3.065,23
2024-04-17 13:55:00,124,3.075,3.075,3.075,3.075,3.075,3
2024-04-17 13:57:00,789,3.068,3.07,3.065,3.07,3.065,18
2024-04-17 13:58:00,208,3.0677,3.07,3.07,3.07,3.07,8
2024-04-17 14:00:00,3165,3.0595,3.0602,3.055,3.0602,3.055,14
2024-04-17 14:01:00,535,3.0511,3.055,3.0505,3.055,3.05,4
2024-04-17 14:02:00,1410,3.0489,3.05,3.045,3.05,3.045,20
2024-04-17 14:04:00,444,3.0445,3.045,3.045,3.045,3.045,7
2024-04-17 14:06:00,2029,3.0395,3.04,3.035,3.04,3.035,14
2024-04-17 14:07:00,1713,3.0358,3.035,3.0356,3.0356,3.035,20
2024-04-17 14:12:00,3225,3.0308,3.035,3.025,3.0375,3.025,41
2024-04-17 14:13:00,1357,3.0296,3.03,3.03,3.03,3.03,16
2024-04-17 14:14:00,669,3.0354,3.036,3.035,3.036,3.035,5
2024-04-17 14:16:00,16567,3.0221,3.0301,3.02,3.0301,3.02,22
2024-04-17 14:17:00,2514,3.025,3.025,3.025,3.025,3.025,9
2024-04-17 14:18:00,427,3.0288,3.025,3.03,3.03,3.025,5
2024-04-17 14:19:00,1558,3.0287,3.025,3.03,3.03,3.025,14
2024-04-17 14:20:00,2275,3.035,3.035,3.035,3.035,3.035,3
2024-04-17 14:21:00,458,3.0303,3.03,3.031,3.031,3.03,5
2024-04-17 14:22:00,1488,3.0291,3.03,3.025,3.03,3.025,23
2024-04-17 14:23:00,1206,3.0201,3.025,3.02,3.025,3.02,21
