t,v,vw,o,c,h,l,n
2023-12-11 14:29:00,100,18.84,18.84,18.84,18.84,18.84,1
2023-12-11 14:30:00,12598,18.8004,18.8,18.86,18.86,18.69,21
2023-12-11 14:31:00,295,18.6801,18.665,18.665,18.665,18.665,15
2023-12-11 14:32:00,147,18.5983,18.61,18.61,18.61,18.61,8
2023-12-11 14:33:00,587,18.6182,18.61,18.66,18.66,18.61,15
2023-12-11 14:34:00,142,18.6146,18.615,18.615,18.615,18.615,7
2023-12-11 14:35:00,3673,18.6614,18.66,18.62,18.7,18.62,73
2023-12-11 14:36:00,2671,18.6126,18.625,18.67,18.67,18.6,22
2023-12-11 14:37:00,1005,18.668,18.675,18.66,18.7,18.66,18
2023-12-11 14:38:00,1859,18.6419,18.65,18.65,18.65,18.63,35
2023-12-11 14:39:00,2271,18.5833,18.62,18.57,18.62,18.555,46
2023-12-11 14:40:00,2624,18.5906,18.555,18.6,18.62,18.5201,44
2023-12-11 14:41:00,223,18.5918,18.59,18.59,18.59,18.59,11
2023-12-11 14:42:00,2633,18.5526,18.56,18.53,18.58,18.53,46
2023-12-11 14:43:00,225,18.5279,18.525,18.53,18.53,18.525,5
2023-12-11 14:45:00,486,18.5272,18.53,18.53,18.53,18.53,17
2023-12-11 14:46:00,1323,18.4832,18.5,18.45,18.5,18.45,43
2023-12-11 14:47:00,2439,18.4052,18.41,18.42,18.42,18.39,40
2023-12-11 14:48:00,990,18.3047,18.3,18.32,18.32,18.29,23
2023-12-11 14:49:00,845,18.2412,18.24,18.23,18.265,18.23,21
2023-12-11 14:50:00,4713,18.2015,18.19,18.205,18.23,18.1818,72
2023-12-11 14:51:00,3640,18.1909,18.18,18.19,18.2,18.18,65
2023-12-11 14:52:00,9541,18.1773,18.18,18.16,18.2,18.15,155
2023-12-11 14:53:00,13946,18.0809,18.12,18.04,18.12,18.03,139
2023-12-11 14:54:00,6048,18.0394,18.04,18.0275,18.05,18.025,114
2023-12-11 14:55:00,9809,18.0162,18.03,18.005,18.03,17.99,133
2023-12-11 14:56:00,19762,18.0354,18.01,18.05,18.0851,18.0,245
2023-12-11 14:57:00,10010,18.0551,18.05,18.075,18.09,18.03,117
2023-12-11 14:58:00,2238,18.0401,18.06,18.02,18.06,18.02,45
2023-12-11 14:59:00,3567,18.0052,18.02,17.985,18.02,17.98,63
2023-12-11 15:00:00,14466,18.0265,18.0,18.02,18.06,17.985,207
2023-12-11 15:01:00,15078,18.04,18.03,18.035,18.065,18.02,224
2023-12-11 15:02:00,8610,18.0306,18.04,17.99,18.055,17.99,129
2023-12-11 15:03:00,4300,17.9723,17.99,17.97,17.99,17.96,56
2023-12-11 15:04:00,3703,18.0028,17.97,18.035,18.05,17.97,61
2023-12-11 15:05:00,4366,18.1002,18.07,18.13,18.13,18.05,84
2023-12-11 15:06:00,3298,18.1082,18.13,18.09,18.13,18.09,58
2023-12-11 15:07:00,1786,18.1097,18.09,18.14,18.14,18.09,37
2023-12-11 15:08:00,1118,18.1697,18.18,18.17,18.18,18.17,18
2023-12-11 15:09:00,544,18.1618,18.17,18.17,18.17,18.17,20
2023-12-11 15:10:00,453,18.1654,18.16,18.16,18.16,18.16,16
2023-12-11 15:11:00,2337,18.1681,18.17,18.18,18.19,18.17,37
2023-12-11 15:12:00,1576,18.2239,18.22,18.255,18.255,18.22,35
2023-12-11 15:13:00,2919,18.3025,18.27,18.29,18.33,18.27,43
2023-12-11 15:14:00,1472,18.2874,18.3,18.28,18.3,18.28,28
2023-12-11 15:15:00,2174,18.2576,18.27,18.27,18.27,18.25,42
2023-12-11 15:16:00,1688,18.2452,18.26,18.24,18.26,18.24,31
2023-12-11 15:17:00,2668,18.2582,18.25,18.29,18.29,18.24,43
2023-12-11 15:18:00,1821,18.3083,18.29,18.3,18.33,18.29,25
2023-12-11 15:19:00,2041,18.2816,18.29,18.32,18.32,18.27,45
2023-12-11 15:21:00,4226,18.2478,18.29,18.23,18.29,18.22,75
2023-12-11 15:22:00,4101,18.2186,18.24,18.19,18.24,18.19,61
2023-12-11 15:23:00,1722,18.1942,18.2,18.19,18.2,18.19,34
2023-12-11 15:24:00,2452,18.2074,18.18,18.22,18.22,18.18,49
2023-12-11 15:25:00,2248,18.1982,18.21,18.2,18.21,18.185,51
2023-12-11 15:27:00,1508,18.2161,18.21,18.24,18.24,18.21,24
2023-12-11 15:28:00,2773,18.2217,18.22,18.23,18.23,18.215,67
2023-12-11 15:29:00,600,18.215,18.21,18.22,18.23,18.21,6
2023-12-11 15:30:00,2200,18.2372,18.23,18.24,18.24,18.23,53
2023-12-11 15:31:00,302,18.24,18.24,18.24,18.24,18.24,9
2023-12-11 15:32:00,160,18.2418,18.25,18.25,18.25,18.25,4
2023-12-11 15:33:00,3616,18.2602,18.24,18.26,18.28,18.24,65
2023-12-11 15:34:00,701,18.2726,18.26,18.27,18.27,18.26,17
2023-12-11 15:35:00,501,18.2691,18.265,18.27,18.27,18.265,11
2023-12-11 15:36:00,385,18.2669,18.2631,18.2631,18.2631,18.2631,10
2023-12-11 15:37:00,3530,18.2604,18.27,18.26,18.27,18.255,66
2023-12-11 15:38:00,4043,18.2732,18.265,18.26,18.29,18.255,90
2023-12-11 15:39:00,1609,18.2888,18.28,18.3006,18.31,18.28,31
2023-12-11 15:40:00,2094,18.2898,18.33,18.27,18.33,18.27,48
2023-12-11 15:41:00,1156,18.2786,18.28,18.29,18.29,18.27,19
2023-12-11 15:43:00,3322,18.2846,18.28,18.3,18.305,18.275,64
2023-12-11 15:44:00,736,18.2914,18.3,18.29,18.3,18.29,15
2023-12-11 15:45:00,1934,18.2967,18.29,18.29,18.3,18.29,38
2023-12-11 15:46:00,157,18.2906,18.29,18.29,18.29,18.29,3
2023-12-11 15:47:00,5755,18.2729,18.28,18.26,18.284,18.26,76
2023-12-11 15:48:00,830,18.2886,18.27,18.31,18.31,18.27,17
2023-12-11 15:49:00,945,18.298,18.3,18.3,18.3,18.29,29
2023-12-11 15:50:00,954,18.2906,18.2899,18.295,18.295,18.285,20
2023-12-11 15:51:00,1384,18.2992,18.3,18.295,18.302,18.295,29
2023-12-11 15:53:00,1269,18.2879,18.29,18.28,18.29,18.28,28
2023-12-11 15:54:00,204,18.2801,18.28,18.28,18.28,18.28,4
2023-12-11 15:55:00,1163,18.2897,18.29,18.29,18.29,18.28,26
2023-12-11 15:57:00,1305,18.3233,18.3,18.37,18.37,18.3,34
2023-12-11 15:58:00,1386,18.4136,18.4,18.44,18.44,18.4,28
2023-12-11 15:59:00,1235,18.4214,18.42,18.42,18.42,18.415,34
2023-12-11 16:02:00,553,18.4493,18.435,18.46,18.46,18.435,13
2023-12-11 16:03:00,3516,18.4583,18.47,18.46,18.47,18.45,31
2023-12-11 16:04:00,716,18.4513,18.45,18.45,18.45,18.45,18
2023-12-11 16:05:00,740,18.4552,18.45,18.46,18.46,18.45,15
2023-12-11 16:06:00,1319,18.4439,18.45,18.44,18.45,18.44,35
2023-12-11 16:07:00,147,18.4409,18.44,18.44,18.44,18.44,5
2023-12-11 16:09:00,1391,18.4411,18.445,18.44,18.45,18.44,24
2023-12-11 16:10:00,2026,18.4258,18.44,18.42,18.44,18.42,43
2023-12-11 16:12:00,2545,18.4064,18.42,18.39,18.42,18.39,47
2023-12-11 16:13:00,6654,18.3531,18.38,18.33,18.38,18.32,86
2023-12-11 16:14:00,2719,18.3144,18.315,18.3,18.33,18.3,42
2023-12-11 16:15:00,3839,18.2976,18.3,18.282,18.31,18.28,64
2023-12-11 16:16:00,3433,18.273,18.27,18.25,18.275,18.25,50
2023-12-11 16:17:00,3321,18.258,18.25,18.26,18.275,18.25,58
