t,v,vw,o,c,h,l,n
2024-01-29 13:00:00,4730,15.8449,15.8491,15.85,15.85,15.8206,12
2024-01-29 14:24:00,500,15.86,15.86,15.86,15.86,15.86,1
2024-01-29 14:29:00,4000,16.0499,16.0,16.02,16.14,16.0,13
2024-01-29 14:30:00,27518,15.8283,15.83,15.8,15.89,15.795,138
2024-01-29 14:31:00,17390,15.6634,15.76,15.68,15.76,15.6057,159
2024-01-29 14:32:00,7977,15.7463,15.715,15.73,15.774,15.7033,62
2024-01-29 14:33:00,1341,15.7185,15.715,15.7121,15.74,15.7121,17
2024-01-29 14:34:00,5964,15.6902,15.7,15.715,15.72,15.66,54
2024-01-29 14:35:00,11345,15.7039,15.71,15.67,15.73,15.665,82
2024-01-29 14:36:00,4325,15.6827,15.67,15.7,15.7,15.6679,54
2024-01-29 14:37:00,8988,15.7418,15.72,15.75,15.775,15.7,81
2024-01-29 14:38:00,6005,15.8044,15.76,15.85,15.85,15.76,80
2024-01-29 14:39:00,4050,15.8075,15.84,15.79,15.84,15.79,69
2024-01-29 14:40:00,2367,15.7511,15.76,15.75,15.76,15.74,53
2024-01-29 14:41:00,4814,15.6555,15.72,15.62,15.72,15.62,56
2024-01-29 14:42:00,11904,15.6334,15.63,15.641,15.655,15.61,135
2024-01-29 14:43:00,2416,15.6536,15.64,15.69,15.69,15.64,39
2024-01-29 14:44:00,4148,15.6778,15.6808,15.69,15.69,15.665,42
2024-01-29 14:45:00,3292,15.6889,15.69,15.685,15.71,15.6702,40
2024-01-29 14:46:00,3745,15.6899,15.7,15.69,15.7,15.6876,26
2024-01-29 14:47:00,1650,15.678,15.685,15.69,15.69,15.67,37
2024-01-29 14:48:00,8418,15.7153,15.69,15.75,15.75,15.68,75
2024-01-29 14:49:00,2996,15.7342,15.74,15.715,15.745,15.71,53
2024-01-29 14:50:00,1505,15.6921,15.71,15.68,15.71,15.68,36
2024-01-29 14:51:00,2902,15.6731,15.675,15.67,15.68,15.67,29
2024-01-29 14:52:00,1428,15.6976,15.68,15.71,15.71,15.68,42
2024-01-29 14:53:00,4721,15.7265,15.71,15.72,15.735,15.71,60
2024-01-29 14:54:00,614,15.7379,15.725,15.75,15.75,15.725,24
2024-01-29 14:55:00,1451,15.7809,15.77,15.79,15.79,15.77,32
2024-01-29 14:56:00,517,15.7869,15.785,15.785,15.785,15.785,23
2024-01-29 14:57:00,1069,15.8064,15.805,15.8099,15.8099,15.8,19
2024-01-29 14:58:00,4114,15.7931,15.805,15.78,15.8051,15.78,30
2024-01-29 14:59:00,2171,15.7738,15.77,15.79,15.79,15.76,69
2024-01-29 15:00:00,2754,15.8074,15.805,15.79,15.825,15.79,38
2024-01-29 15:01:00,2027,15.7633,15.7637,15.755,15.77,15.75,58
2024-01-29 15:02:00,1729,15.7497,15.75,15.745,15.75,15.745,34
2024-01-29 15:03:00,6141,15.721,15.74,15.73,15.74,15.71,63
2024-01-29 15:04:00,1392,15.7281,15.73,15.73,15.73,15.7212,32
2024-01-29 15:05:00,2255,15.7489,15.75,15.76,15.76,15.75,40
2024-01-29 15:06:00,1884,15.7984,15.77,15.82,15.82,15.77,43
2024-01-29 15:07:00,2924,15.8321,15.82,15.83,15.8389,15.82,39
2024-01-29 15:08:00,11321,15.853,15.82,15.84,15.88,15.82,162
2024-01-29 15:09:00,7954,15.8657,15.855,15.86,15.875,15.855,102
2024-01-29 15:10:00,14203,15.8025,15.87,15.8,15.875,15.79,82
2024-01-29 15:11:00,2889,15.8054,15.8035,15.825,15.825,15.79,60
2024-01-29 15:12:00,2692,15.8464,15.83,15.86,15.86,15.83,26
2024-01-29 15:13:00,2539,15.8733,15.88,15.88,15.89,15.88,31
2024-01-29 15:14:00,3939,15.8721,15.89,15.86,15.9,15.845,50
2024-01-29 15:15:00,4485,15.8396,15.85,15.85,15.85,15.83,26
2024-01-29 15:16:00,2545,15.8112,15.81,15.82,15.83,15.8,41
2024-01-29 15:17:00,261,15.827,15.83,15.83,15.83,15.83,7
2024-01-29 15:18:00,623,15.8337,15.835,15.83,15.835,15.83,16
2024-01-29 15:19:00,2765,15.8226,15.83,15.82,15.83,15.81,37
2024-01-29 15:20:00,246,15.8341,15.83,15.84,15.84,15.83,4
2024-01-29 15:21:00,961,15.8448,15.845,15.84,15.85,15.84,25
2024-01-29 15:22:00,2659,15.842,15.845,15.84,15.855,15.83,29
2024-01-29 15:23:00,2704,15.8353,15.83,15.845,15.845,15.82,35
2024-01-29 15:24:00,4945,15.8302,15.84,15.81,15.84,15.81,71
2024-01-29 15:25:00,2821,15.8038,15.805,15.7863,15.805,15.7863,16
2024-01-29 15:26:00,83232,15.7854,15.78,15.81,15.81,15.775,67
2024-01-29 15:27:00,4525,15.8375,15.815,15.865,15.865,15.815,59
2024-01-29 15:28:00,12402,15.8482,15.865,15.84,15.87,15.8214,127
2024-01-29 15:29:00,3370,15.836,15.84,15.85,15.85,15.825,38
2024-01-29 15:30:00,4485,15.8772,15.85,15.8845,15.885,15.85,25
2024-01-29 15:31:00,3067,15.8851,15.885,15.89,15.89,15.875,34
2024-01-29 15:32:00,2133,15.8833,15.895,15.87,15.9,15.87,30
2024-01-29 15:33:00,3951,15.8716,15.875,15.875,15.88,15.86,50
2024-01-29 15:34:00,1330,15.8605,15.87,15.86,15.87,15.855,22
2024-01-29 15:35:00,6377,15.8716,15.88,15.84,15.89,15.84,96
2024-01-29 15:36:00,2884,15.8555,15.85,15.855,15.86,15.85,28
2024-01-29 15:37:00,2504,15.866,15.86,15.86,15.88,15.86,32
2024-01-29 15:38:00,6498,15.8388,15.865,15.84,15.865,15.815,76
2024-01-29 15:39:00,12110,15.8562,15.835,15.87,15.87,15.835,198
2024-01-29 15:40:00,2471,15.8672,15.87,15.865,15.87,15.86,31
2024-01-29 15:41:00,3571,15.8783,15.865,15.885,15.885,15.865,72
2024-01-29 15:42:00,1991,15.8724,15.885,15.869,15.885,15.865,28
