t,v,vw,o,c,h,l,n
2023-05-09 12:48:00,110,1.46,1.46,1.46,1.46,1.46,1
2023-05-09 12:51:00,1500,1.46,1.46,1.46,1.46,1.46,1
2023-05-09 13:30:00,2801,1.4807,1.47,1.51,1.51,1.47,5
2023-05-09 13:31:00,466,1.49,1.49,1.49,1.49,1.49,4
2023-05-09 13:32:00,208,1.49,1.49,1.49,1.49,1.49,3
2023-05-09 13:33:00,100,1.49,1.49,1.49,1.49,1.49,1
2023-05-09 13:34:00,2869,1.5014,1.49,1.4942,1.51,1.49,14
2023-05-09 13:36:00,5579,1.5135,1.495,1.53,1.5394,1.495,39
2023-05-09 13:37:00,6162,1.5205,1.53,1.5299,1.53,1.51,13
2023-05-09 13:38:00,900,1.5263,1.5135,1.53,1.53,1.5135,5
2023-05-09 13:40:00,729,1.5209,1.53,1.5193,1.53,1.5193,5
2023-05-09 13:41:00,300,1.5233,1.52,1.52,1.52,1.52,4
2023-05-09 13:42:00,1500,1.5083,1.51,1.505,1.51,1.505,3
2023-05-09 13:43:00,1200,1.5018,1.51,1.5001,1.51,1.5001,3
2023-05-09 13:44:00,1300,1.5061,1.5049,1.505,1.51,1.5049,5
2023-05-09 13:45:00,300,1.51,1.51,1.51,1.51,1.51,3
2023-05-09 13:46:00,1000,1.5016,1.51,1.5007,1.51,1.5007,2
2023-05-09 13:47:00,1000,1.5013,1.5013,1.5013,1.5013,1.5013,1
2023-05-09 13:48:00,1000,1.5007,1.5007,1.5007,1.5007,1.5007,1
2023-05-09 13:49:00,100,1.5,1.5,1.5,1.5,1.5,1
2023-05-09 13:50:00,100,1.5004,1.5004,1.5004,1.5004,1.5004,1
2023-05-09 13:51:00,3221,1.4921,1.5,1.49,1.5,1.48,23
2023-05-09 13:52:00,3400,1.49,1.49,1.49,1.49,1.49,3
2023-05-09 13:53:00,5142,1.47,1.47,1.47,1.47,1.47,11
2023-05-09 13:54:00,10768,1.4279,1.46,1.4001,1.46,1.4,48
2023-05-09 13:56:00,7521,1.4003,1.41,1.3955,1.41,1.3955,16
2023-05-09 13:57:00,2209,1.38,1.38,1.38,1.38,1.3799,16
2023-05-09 13:58:00,5678,1.3975,1.38,1.42,1.42,1.38,35
2023-05-09 14:00:00,3463,1.4199,1.42,1.4199,1.42,1.4199,7
2023-05-09 14:01:00,1966,1.4393,1.43,1.45,1.45,1.43,6
2023-05-09 14:02:00,2562,1.4499,1.45,1.45,1.45,1.45,4
2023-05-09 14:03:00,1000,1.441,1.44,1.45,1.45,1.44,6
2023-05-09 14:05:00,5053,1.4305,1.435,1.43,1.435,1.43,10
2023-05-09 14:12:00,9721,1.3916,1.42,1.38,1.4215,1.38,33
2023-05-09 14:13:00,800,1.3988,1.4,1.39,1.4,1.39,2
2023-05-09 14:15:00,247,1.377,1.38,1.38,1.38,1.38,4
2023-05-09 14:16:00,200,1.396,1.396,1.396,1.396,1.396,1
2023-05-09 14:29:00,800,1.4,1.4,1.4,1.4,1.4,3
2023-05-09 14:35:00,500,1.4001,1.4001,1.4001,1.4001,1.4001,1
2023-05-09 14:36:00,964,1.4091,1.4178,1.41,1.4178,1.4,10
2023-05-09 14:37:00,315,1.4048,1.4,1.41,1.41,1.4,4
2023-05-09 14:38:00,100,1.41,1.41,1.41,1.41,1.41,1
2023-05-09 14:39:00,208,1.4097,1.41,1.41,1.41,1.41,3
2023-05-09 14:40:00,3057,1.4127,1.41,1.42,1.42,1.41,14
2023-05-09 14:41:00,200,1.42,1.42,1.42,1.42,1.42,2
2023-05-09 14:42:00,800,1.42,1.42,1.42,1.42,1.42,4
2023-05-09 14:43:00,200,1.435,1.44,1.43,1.44,1.43,2
2023-05-09 14:44:00,2309,1.4283,1.43,1.4201,1.45,1.4201,8
2023-05-09 14:45:00,600,1.45,1.45,1.45,1.45,1.45,7
2023-05-09 14:46:00,2254,1.442,1.4499,1.43,1.45,1.43,13
2023-05-09 14:47:00,400,1.4325,1.43,1.43,1.43,1.43,3
2023-05-09 14:48:00,167,1.442,1.45,1.45,1.45,1.45,2
2023-05-09 14:49:00,100,1.43,1.43,1.43,1.43,1.43,1
2023-05-09 14:50:00,2400,1.4321,1.43,1.43,1.44,1.43,3
2023-05-09 14:55:00,120,1.43,1.43,1.43,1.43,1.43,1
2023-05-09 14:56:00,2000,1.4496,1.4496,1.4496,1.4496,1.4496,1
2023-05-09 15:13:00,5000,1.425,1.425,1.425,1.425,1.425,1
2023-05-09 15:14:00,100,1.44,1.44,1.44,1.44,1.44,1
2023-05-09 15:18:00,100,1.44,1.44,1.44,1.44,1.44,1
2023-05-09 15:22:00,300,1.4267,1.44,1.42,1.44,1.42,3
2023-05-09 15:24:00,2000,1.4046,1.41,1.4001,1.41,1.4001,5
2023-05-09 15:31:00,9000,1.4022,1.4001,1.401,1.42,1.4,16
2023-05-09 15:32:00,1500,1.4046,1.4046,1.4046,1.4046,1.4046,1
2023-05-09 15:34:00,100,1.41,1.41,1.41,1.41,1.41,1
2023-05-09 15:36:00,100,1.41,1.41,1.41,1.41,1.41,1
2023-05-09 15:38:00,302,1.3934,1.4,1.39,1.4,1.39,4
2023-05-09 15:41:00,300,1.4,1.41,1.39,1.41,1.39,3
2023-05-09 15:44:00,1064,1.3903,1.39,1.39,1.39,1.39,8
2023-05-09 15:55:00,100,1.39,1.39,1.39,1.39,1.39,1
2023-05-09 16:07:00,179,1.39,1.39,1.39,1.39,1.39,2
2023-05-09 16:08:00,1300,1.39,1.39,1.39,1.39,1.39,5
2023-05-09 16:09:00,2100,1.39,1.39,1.39,1.39,1.39,9
2023-05-09 16:10:00,2400,1.39,1.39,1.39,1.39,1.39,2
2023-05-09 16:15:00,583,1.38,1.38,1.38,1.38,1.38,3
2023-05-09 16:16:00,812,1.38,1.38,1.38,1.38,1.38,5
2023-05-09 16:17:00,3689,1.3867,1.38,1.39,1.39,1.38,12
2023-05-09 16:20:00,700,1.41,1.41,1.41,1.41,1.41,6
2023-05-09 16:24:00,1700,1.42,1.42,1.42,1.42,1.42,16
2023-05-09 16:25:00,3700,1.42,1.42,1.42,1.42,1.42,4
2023-05-09 16:26:00,1300,1.4285,1.42,1.44,1.44,1.42,8
2023-05-09 16:27:00,1700,1.4441,1.44,1.45,1.45,1.44,15
2023-05-09 16:28:00,886,1.4489,1.45,1.44,1.45,1.44,6
2023-05-09 16:29:00,2937,1.4375,1.44,1.44,1.44,1.43,10
2023-05-09 16:30:00,752,1.438,1.44,1.44,1.44,1.44,4
2023-05-09 16:31:00,900,1.4521,1.44,1.457,1.457,1.44,6
2023-05-09 16:32:00,1052,1.43,1.43,1.43,1.43,1.43,5
2023-05-09 16:33:00,200,1.42,1.42,1.42,1.42,1.42,2
2023-05-09 16:34:00,100,1.42,1.42,1.42,1.42,1.42,1
2023-05-09 16:35:00,100,1.42,1.42,1.42,1.42,1.42,1
2023-05-09 16:36:00,3369,1.4093,1.42,1.4001,1.43,1.4001,10
2023-05-09 16:37:00,300,1.4333,1.44,1.43,1.44,1.43,3
2023-05-09 16:38:00,300,1.43,1.43,1.43,1.43,1.43,3
2023-05-09 16:39:00,100,1.43,1.43,1.43,1.43,1.43,1
2023-05-09 16:40:00,200,1.43,1.43,1.43,1.43,1.43,2
2023-05-09 16:41:00,500,1.43,1.43,1.43,1.43,1.43,5
2023-05-09 16:42:00,2200,1.4183,1.44,1.4104,1.44,1.4101,17
2023-05-09 16:43:00,200,1.42,1.42,1.42,1.42,1.42,2
2023-05-09 16:44:00,2200,1.42,1.42,1.42,1.42,1.42,2
