t,v,vw,o,c,h,l,n
2024-01-04 09:00:00,3165.0,2.3037,2.31,2.3,2.31,2.3,6
2024-01-04 09:01:00,1747.0,2.31,2.31,2.31,2.31,2.31,2
2024-01-04 09:04:00,753.0,2.3134,2.31,2.32,2.32,2.31,3
2024-01-04 09:06:00,2174.0,2.3195,2.31,2.32,2.32,2.31,2
2024-01-04 09:08:00,6466.0,2.3197,2.31,2.32,2.32,2.31,6
2024-01-04 09:10:00,4914.0,2.3186,2.31,2.31,2.32,2.31,5
2024-01-04 09:14:00,2700.0,2.31,2.31,2.31,2.31,2.31,11
2024-01-04 09:15:00,1000.0,2.31,2.31,2.31,2.31,2.31,3
2024-01-04 09:17:00,412.0,2.31,2.31,2.31,2.31,2.31,6
2024-01-04 09:21:00,794.0,2.3138,2.31,2.32,2.32,2.31,3
2024-01-04 09:27:00,300.0,2.32,2.32,2.32,2.32,2.32,1
2024-01-04 09:29:00,528.0,2.31,2.31,2.31,2.31,2.31,1
2024-01-04 09:33:00,146.0,2.32,2.32,2.32,2.32,2.32,2
2024-01-04 09:44:00,1000.0,2.31,2.31,2.31,2.31,2.31,5
2024-01-04 09:49:00,1200.0,2.32,2.32,2.32,2.32,2.32,7
2024-01-04 09:51:00,500.0,2.32,2.32,2.32,2.32,2.32,1
2024-01-04 09:58:00,18191.0,2.3208,2.32,2.32,2.34,2.32,14
2024-01-04 09:59:00,3300.0,2.32,2.32,2.32,2.32,2.32,2
2024-01-04 10:06:00,1500.0,2.32,2.32,2.32,2.32,2.32,3
2024-01-04 10:11:00,3673.0,2.32,2.32,2.32,2.32,2.32,3
2024-01-04 10:12:00,3047.0,2.32,2.32,2.32,2.32,2.32,4
2024-01-04 10:15:00,500.0,2.32,2.32,2.32,2.32,2.32,1
2024-01-04 10:16:00,1500.0,2.32,2.32,2.32,2.32,2.32,2
2024-01-04 10:19:00,800.0,2.33,2.33,2.33,2.33,2.33,4
2024-01-04 10:20:00,3993.0,2.3275,2.33,2.32,2.33,2.32,5
2024-01-04 10:23:00,1000.0,2.32,2.32,2.32,2.32,2.32,1
2024-01-04 10:27:00,130.0,2.33,2.33,2.33,2.33,2.33,2
2024-01-04 10:28:00,500.0,2.33,2.33,2.33,2.33,2.33,1
2024-01-04 10:29:00,350.0,2.32,2.32,2.32,2.32,2.32,1
2024-01-04 10:32:00,124.0,2.32,2.32,2.32,2.32,2.32,1
2024-01-04 10:35:00,400.0,2.33,2.33,2.33,2.33,2.33,2
2024-01-04 10:37:00,500.0,2.325,2.325,2.325,2.325,2.325,2
2024-01-04 10:38:00,1800.0,2.3289,2.32,2.33,2.33,2.32,9
2024-01-04 10:40:00,2000.0,2.33,2.33,2.33,2.33,2.33,4
2024-01-04 10:53:00,200.0,2.33,2.33,2.33,2.33,2.33,1
2024-01-04 10:55:00,800.0,2.33,2.33,2.33,2.33,2.33,2
2024-01-04 10:57:00,2000.0,2.33,2.33,2.33,2.33,2.33,3
2024-01-04 11:00:00,1000.0,2.33,2.33,2.33,2.33,2.33,3
2024-01-04 11:03:00,1181.0,2.33,2.33,2.33,2.33,2.33,4
2024-01-04 11:07:00,2748.0,2.33,2.33,2.33,2.33,2.33,5
2024-01-04 11:16:00,3659.0,2.33,2.33,2.33,2.33,2.33,3
2024-01-04 11:17:00,490.0,2.33,2.33,2.33,2.33,2.33,1
2024-01-04 11:25:00,2840.0,2.33,2.33,2.33,2.33,2.33,3
2024-01-04 11:40:00,391.0,2.335,2.335,2.335,2.335,2.335,1
2024-01-04 12:00:00,1657.0,2.3389,2.335,2.34,2.34,2.335,30
2024-01-04 12:03:00,800.0,2.33,2.33,2.33,2.33,2.33,3
2024-01-04 12:04:00,300.0,2.33,2.33,2.33,2.33,2.33,2
2024-01-04 12:06:00,5001.0,2.3264,2.33,2.33,2.33,2.32,33
2024-01-04 12:10:00,200.0,2.33,2.33,2.33,2.33,2.33,2
2024-01-04 12:16:00,17000.0,2.3241,2.33,2.32,2.33,2.32,7
2024-01-04 12:19:00,3320.0,2.321,2.33,2.32,2.33,2.32,7
2024-01-04 12:20:00,2930.0,2.3265,2.33,2.33,2.33,2.325,5
2024-01-04 12:29:00,1646.0,2.33,2.33,2.33,2.33,2.33,5
2024-01-04 12:31:00,387.0,2.33,2.33,2.33,2.33,2.33,4
2024-01-04 12:32:00,500.0,2.32,2.32,2.32,2.32,2.32,1
2024-01-04 12:37:00,600.0,2.32,2.32,2.32,2.32,2.32,1
2024-01-04 12:41:00,200.0,2.32,2.32,2.32,2.32,2.32,1
2024-01-04 12:43:00,6000.0,2.32,2.32,2.32,2.32,2.32,5
2024-01-04 12:45:00,37445.0,2.3198,2.32,2.33,2.33,2.31,33
2024-01-04 12:56:00,3527.0,2.33,2.33,2.33,2.33,2.33,24
2024-01-04 12:59:00,761.0,2.33,2.33,2.33,2.33,2.33,10
2024-01-04 13:00:00,109277.0,2.3242,2.35,2.34,2.35,2.32,123
2024-01-04 13:02:00,546.0,2.302,2.3,2.3,2.3,2.3,7
2024-01-04 13:03:00,1057.0,2.3296,2.33,2.33,2.33,2.33,13
2024-01-04 13:04:00,1911.0,2.3302,2.3303,2.33,2.3303,2.33,4
2024-01-04 13:05:00,1504.0,2.34,2.34,2.34,2.34,2.34,4
2024-01-04 13:06:00,184.0,2.3305,2.33,2.33,2.33,2.33,3
2024-01-04 13:07:00,5778.0,2.3399,2.34,2.3399,2.34,2.3399,5
2024-01-04 13:09:00,4160.0,2.3399,2.3397,2.34,2.34,2.3397,4
2024-01-04 13:10:00,5012.0,2.34,2.34,2.34,2.34,2.34,3
2024-01-04 13:12:00,250006.0,2.3397,2.3397,2.3397,2.3397,2.3397,3
2024-01-04 13:13:00,61019.0,2.344,2.34,2.35,2.36,2.34,142
2024-01-04 13:14:00,2239.0,2.351,2.36,2.35,2.36,2.35,6
2024-01-04 13:15:00,362.0,2.36,2.36,2.36,2.36,2.36,5
2024-01-04 13:16:00,200.0,2.35,2.35,2.35,2.35,2.35,2
2024-01-04 13:17:00,462.0,2.3552,2.35,2.36,2.36,2.35,7
2024-01-04 13:18:00,1627.0,2.3514,2.36,2.34,2.36,2.34,6
2024-01-04 13:19:00,4226.0,2.35,2.35,2.3501,2.3501,2.35,26
2024-01-04 13:20:00,1401.0,2.3507,2.35,2.35,2.36,2.35,5
2024-01-04 13:21:00,192.0,2.3598,2.3598,2.3598,2.3598,2.3598,5
2024-01-04 13:22:00,2953.0,2.3519,2.36,2.35,2.36,2.35,25
2024-01-04 13:23:00,101.0,2.3499,2.35,2.35,2.35,2.35,2
2024-01-04 13:24:00,4400.0,2.35,2.35,2.3499,2.35,2.3499,3
2024-01-04 13:25:00,4418.0,2.35,2.35,2.35,2.35,2.35,4
2024-01-04 13:28:00,5668.0,2.3491,2.34,2.35,2.35,2.34,9
2024-01-04 13:29:00,194.0,2.3477,2.35,2.35,2.35,2.35,3
2024-01-04 13:30:00,3510.0,2.3546,2.35,2.36,2.36,2.35,16
2024-01-04 13:31:00,1078.0,2.3592,2.3599,2.3599,2.3599,2.3599,6
2024-01-04 13:32:00,1746.0,2.3502,2.35,2.35,2.35,2.35,10
2024-01-04 13:33:00,12171.0,2.35,2.35,2.35,2.35,2.35,17
2024-01-04 13:34:00,9932.0,2.3414,2.34,2.34,2.35,2.34,6
2024-01-04 13:35:00,16033.0,2.3499,2.35,2.3499,2.35,2.3499,8
2024-01-04 13:36:00,3101.0,2.35,2.35,2.35,2.35,2.35,6
2024-01-04 13:37:00,131.0,2.3499,2.35,2.35,2.35,2.35,3
2024-01-04 13:38:00,100.0,2.34,2.34,2.34,2.34,2.34,1
2024-01-04 13:39:00,2136.0,2.3401,2.34,2.34,2.34,2.34,5
2024-01-04 13:40:00,6780.0,2.34,2.34,2.34,2.34,2.34,6
2024-01-04 13:41:00,18751.0,2.3367,2.34,2.33,2.34,2.33,29
2024-01-04 13:42:00,8310.0,2.3336,2.33,2.34,2.34,2.33,11
2024-01-04 13:43:00,3258.0,2.3308,2.34,2.33,2.34,2.33,3
2024-01-04 13:44:00,4414.0,2.33,2.33,2.33,2.33,2.33,8
2024-01-04 13:45:00,4300.0,2.33,2.33,2.3301,2.3301,2.33,4
2024-01-04 13:47:00,1363.0,2.34,2.34,2.34,2.34,2.34,3
2024-01-04 13:49:00,165.0,2.3399,2.34,2.34,2.34,2.34,5
2024-01-04 13:50:00,1172.0,2.339,2.3398,2.33,2.3398,2.33,4
2024-01-04 13:52:00,10000.0,2.33,2.33,2.33,2.33,2.33,1
2024-01-04 13:53:00,1009.0,2.3387,2.3302,2.3397,2.3397,2.3302,3
2024-01-04 13:54:00,13114.0,2.33,2.33,2.33,2.33,2.33,19
2024-01-04 13:55:00,5093.0,2.3202,2.32,2.32,2.32,2.32,7
2024-01-04 13:57:00,431.0,2.3226,2.33,2.3201,2.33,2.3201,5
2024-01-04 14:01:00,48028.0,2.3192,2.32,2.31,2.32,2.31,29
2024-01-04 14:02:00,238.0,2.3191,2.32,2.32,2.32,2.32,4
2024-01-04 14:03:00,10775.0,2.3111,2.32,2.31,2.32,2.31,15
2024-01-04 14:04:00,2241.0,2.3,2.3,2.3,2.3,2.3,19
2024-01-04 14:05:00,756.0,2.3,2.3,2.3,2.3,2.3,4
2024-01-04 14:06:00,3053.0,2.298,2.3,2.295,2.3,2.295,9
2024-01-04 14:07:00,2651.0,2.3,2.3,2.2999,2.3,2.2999,5
2024-01-04 14:09:00,200.0,2.29,2.29,2.29,2.29,2.29,2
2024-01-04 14:10:00,330.0,2.2915,2.29,2.29,2.29,2.29,6
2024-01-04 14:12:00,5913.0,2.29,2.29,2.29,2.29,2.29,30
2024-01-04 14:13:00,448.0,2.29,2.29,2.29,2.29,2.29,8
2024-01-04 14:14:00,100.0,2.29,2.29,2.29,2.29,2.29,1
2024-01-04 14:15:00,12700.0,2.2992,2.29,2.3,2.3,2.29,23
2024-01-04 14:16:00,7007.0,2.3071,2.3,2.31,2.31,2.3,6
2024-01-04 14:17:00,909.0,2.3033,2.31,2.3,2.31,2.3,4
2024-01-04 14:20:00,236.0,2.3099,2.3099,2.3099,2.3099,2.3099,6
2024-01-04 14:22:00,4163.0,2.3106,2.3,2.32,2.32,2.3,20
2024-01-04 14:23:00,16359.0,2.3225,2.32,2.3299,2.33,2.32,24
2024-01-04 14:24:00,2400.0,2.33,2.33,2.33,2.33,2.33,5
2024-01-04 14:25:00,6497.0,2.3371,2.34,2.34,2.35,2.33,42
2024-01-04 14:26:00,21110.0,2.3252,2.34,2.33,2.34,2.32,31
2024-01-04 14:27:00,201.0,2.33,2.33,2.33,2.33,2.33,3
2024-01-04 14:28:00,908.0,2.3224,2.33,2.33,2.33,2.32,9
2024-01-04 14:29:00,2192.0,2.336,2.33,2.34,2.34,2.32,13
2024-01-04 14:30:00,443728.0,2.318,2.33,2.32,2.33,2.295,891
2024-01-04 14:31:00,331968.0,2.3097,2.3199,2.31,2.33,2.29,523
2024-01-04 14:32:00,112371.0,2.2975,2.31,2.3091,2.31,2.285,251
2024-01-04 14:33:00,77319.0,2.2947,2.295,2.295,2.309,2.29,149
2024-01-04 14:34:00,136691.0,2.2823,2.29,2.2799,2.2999,2.27,181
2024-01-04 14:35:00,139721.0,2.2656,2.275,2.27,2.28,2.2596,180
2024-01-04 14:36:00,176070.0,2.2578,2.265,2.26,2.265,2.25,210
2024-01-04 14:37:00,215013.0,2.2643,2.2593,2.27,2.27,2.2501,213
2024-01-04 14:38:00,176640.0,2.2692,2.2699,2.2701,2.28,2.26,225
